panel_id,culture_condition,objective,score_name,n_tasks,spearman,magnitude_spearman,delta_vs_magnitude
Q04,Rest,ensemble_rmse,disagreement,200,0.10056401410035253,0.11325283132078302,-0.012688817220430498
Q04,Rest,ensemble_rmse,magnitude,200,0.11325283132078302,0.11325283132078302,0
Q04,Rest,pair_mean_rmse,SafeConf,200,0.082346058651466297,0.14412660316507916,-0.061780544513612867
Q04,Rest,pair_mean_rmse,disagreement,200,0.13378534463361585,0.14412660316507916,-0.01034125853146331
Q04,Rest,pair_mean_rmse,magnitude,200,0.14412660316507916,0.14412660316507916,0
Q04,Rest,pair_max_rmse,SafeConf,200,0.10045901147528689,0.1816665416635416,-0.081207530188254703
Q04,Rest,pair_max_rmse,disagreement,200,0.17008625215630394,0.1816665416635416,-0.011580289507237662
Q04,Rest,pair_max_rmse,magnitude,200,0.1816665416635416,0.1816665416635416,0
Q04,Stim8hr,ensemble_rmse,SafeConf,200,-0.00795319882997075,0.033203330083252089,-0.041156528913222842
Q04,Stim8hr,ensemble_rmse,disagreement,200,-0.03239480987024676,0.033203330083252089,-0.065598139953498849
Q04,Stim8hr,ensemble_rmse,magnitude,200,0.033203330083252089,0.033203330083252089,0
Q04,Stim8hr,pair_mean_rmse,SafeConf,200,0.016314407860196507,0.065079126978174473,-0.048764719117977966
Q04,Stim8hr,pair_mean_rmse,disagreement,200,-0.0001530038250956274,0.065079126978174473,-0.065232130803270102
Q04,Stim8hr,pair_mean_rmse,magnitude,200,0.065079126978174473,0.065079126978174473,0
Q04,Stim8hr,pair_max_rmse,SafeConf,200,0.050404260106502674,0.10223055576389412,-0.051826295657391441
Q04,Stim8hr,pair_max_rmse,disagreement,200,0.036957923948098707,0.10223055576389412,-0.065272631815795401
Q04,Stim8hr,pair_max_rmse,magnitude,200,0.10223055576389412,0.10223055576389412,0
Q04,Stim48hr,ensemble_rmse,SafeConf,200,0.10619665491637292,0.17965649141228532,-0.073459836495912395
Q04,Stim48hr,ensemble_rmse,disagreement,200,0.11332333308332711,0.17965649141228532,-0.066333158328958211
Q04,Stim48hr,ensemble_rmse,magnitude,200,0.17965649141228532,0.17965649141228532,0
Q04,Stim48hr,pair_mean_rmse,SafeConf,200,0.12831920798019952,0.20892672316807923,-0.080607515187879702
Q04,Stim48hr,pair_mean_rmse,disagreement,200,0.14549763744093605,0.20892672316807923,-0.063429085727143175
Q04,Stim48hr,pair_mean_rmse,magnitude,200,0.20892672316807923,0.20892672316807923,0
Q04,Stim48hr,pair_max_rmse,SafeConf,200,0.1435610890272257,0.23545038625965653,-0.091889297232430833
Q04,Stim48hr,pair_max_rmse,disagreement,200,0.17082277056926426,0.23545038625965653,-0.06462761569039227
Q04,Stim48hr,pair_max_rmse,magnitude,200,0.23545038625965653,0.23545038625965653,0
