perturbation,n_target_cells,n_guides,n_eligible_guides,min_cells_per_eligible_guide,max_cells_per_eligible_guide,is_single_gene_label,in_expression_var,in_scgpt_vocab,eligible_e180_target,selection_used_expression_matrix_or_truth_effect
POLA2,142,2,2,55,87,True,True,True,True,False
POLD1,61,2,2,29,32,True,True,True,True,False
POLD2,181,2,2,44,137,True,True,True,True,False
POLD3,125,3,3,32,48,True,True,True,True,False
POLE,79,2,2,23,56,True,True,True,True,False
POLR1A,138,2,2,69,69,True,True,True,True,False
POLR1B,110,2,2,52,58,True,True,True,True,False
POLR1D,111,1,1,111,111,True,True,True,False,False
POLR2B,148,2,2,74,74,True,True,True,True,False
POLR2F,525,2,2,57,468,True,True,True,True,False
POLR2K,73,1,1,73,73,True,True,True,False,False
POLR3A,652,3,3,30,427,True,True,True,True,False
PPP1CB,265,3,3,48,157,True,True,True,True,False
PPP2CA,921,2,2,423,498,True,True,True,True,False
PPP2R1A,495,3,3,96,296,True,True,True,True,False
PRDM2,757,3,3,204,320,True,True,True,True,False
PRIM1,383,3,3,24,295,True,True,True,True,False
PRIM2,17,1,0,0,0,True,True,True,False,False
PRPF31,33,1,1,33,33,True,True,True,False,False
PRPF38B,371,3,3,68,178,True,True,True,True,False
RAD21,337,1,1,337,337,True,True,True,False,False
RBM22,22,1,1,22,22,True,True,True,False,False
RBM25,34,1,1,34,34,True,True,True,False,False
RBM8A,16,1,0,0,0,True,True,True,False,False
RELA,959,3,3,312,325,True,True,True,True,False
REST,492,2,2,112,380,True,True,True,True,False
RFC4,176,3,2,23,141,True,True,True,True,False
RFC5,87,1,1,87,87,True,True,True,False,False
RNMT,556,3,3,119,252,True,True,True,True,False
RPL10,9,1,0,0,0,True,True,True,False,False
RPL11,51,2,1,38,38,True,True,True,False,False
RPL30,116,2,2,33,83,True,True,True,True,False
RPL5,34,1,1,34,34,True,True,True,False,False
RPS15A,131,2,1,113,113,True,True,True,False,False
RPS2,166,3,1,135,135,True,True,True,False,False
RPS9,150,2,2,71,79,True,True,True,True,False
RUVBL1,10,1,0,0,0,True,True,True,False,False
SCO1,596,3,3,142,266,True,True,True,True,False
SCO2,573,3,3,116,245,True,True,True,True,False
SDHA,1066,3,3,317,430,True,True,True,True,False
SDHAF1,1148,3,3,349,425,True,True,True,True,False
SDHB,415,2,2,167,248,True,True,True,True,False
SDHC,807,3,3,214,308,True,True,True,True,False
SEC61G,147,2,2,65,82,True,True,True,True,False
SEC62,1375,3,3,192,862,True,True,True,True,False
SETD2,406,2,2,199,207,True,True,True,True,False
SF3A3,30,2,0,0,0,True,True,True,False,False
SLC25A1,1880,3,3,398,899,True,True,True,True,False
SLC28A1,330,2,2,128,202,True,True,True,True,False
SLC28A3,531,3,3,147,194,True,True,True,True,False
SLC29A1,964,3,3,285,394,True,True,True,True,False
SLC29A2,893,3,3,231,341,True,True,True,True,False
SLC29A3,741,3,3,223,293,True,True,True,True,False
SLC29A4,1012,3,3,296,403,True,True,True,True,False
SLC2A1,680,3,3,199,252,True,True,True,True,False
SMARCA4,891,3,3,242,352,True,True,True,True,False
SMARCB1,926,3,3,256,351,True,True,True,True,False
SMARCD1,2158,3,3,326,1227,True,True,True,True,False
SMC1A,371,2,2,78,293,True,True,True,True,False
SMC3,515,3,3,130,224,True,True,True,True,False
SMG5,214,2,2,66,148,True,True,True,True,False
SMG7,492,2,2,155,337,True,True,True,True,False
SOX2,614,3,3,129,316,True,True,True,True,False
STAG2,1074,3,3,280,444,True,True,True,True,False
SURF1,512,2,2,126,386,True,True,True,True,False
TAF1,28,1,1,28,28,True,True,True,False,False
TAF12,116,1,1,116,116,True,True,True,False,False
TAF2,252,3,3,43,157,True,True,True,True,False
TAF5,398,2,2,191,207,True,True,True,True,False
TAF8,408,3,3,92,203,True,True,True,True,False
TCP1,27,2,0,0,0,True,True,True,False,False
TIAL1,660,3,3,193,246,True,True,True,True,False
TPI1,603,3,3,169,232,True,True,True,True,False
UCK2,794,3,3,118,493,True,True,True,True,False
UPF1,404,3,3,101,162,True,True,True,True,False
UPF2,337,3,3,58,179,True,True,True,True,False
UPRT,383,2,2,116,267,True,True,True,True,False
UQCRFS1,136,1,1,136,136,True,True,True,False,False
WDR12,135,3,3,31,69,True,True,True,True,False
XPO5,1583,3,3,302,952,True,True,True,True,False
XRN2,238,3,3,62,106,True,True,True,True,False
YY1,360,1,1,360,360,True,True,True,False,False
ZC3H13,689,2,2,117,572,True,True,True,True,False
