perturbation,Cell_cycle_phase,n_cells
SMG5,S,80
SMG7,G1,85
SMG7,G2M,254
SMG7,S,153
SOX2,G1,89
SOX2,G2M,297
SOX2,S,228
STAG2,G1,138
STAG2,G2M,562
STAG2,S,374
SURF1,G1,73
SURF1,G2M,277
SURF1,S,162
TAF2,G1,33
TAF2,G2M,125
TAF2,S,94
TAF5,G1,54
TAF5,G2M,206
TAF5,S,138
TAF8,G1,54
TAF8,G2M,200
TAF8,S,154
TIAL1,G1,92
TIAL1,G2M,332
TIAL1,S,236
TPI1,G1,94
TPI1,G2M,268
TPI1,S,241
UCK2,G1,121
UCK2,G2M,387
UCK2,S,286
UPF1,G1,66
UPF1,G2M,199
UPF1,S,139
UPF2,G1,42
UPF2,G2M,165
UPF2,S,130
UPRT,G1,56
UPRT,G2M,189
UPRT,S,138
WDR12,G1,17
WDR12,G2M,68
WDR12,S,50
XPO5,G1,219
XPO5,G2M,767
XPO5,S,597
XRN2,G1,30
XRN2,G2M,115
XRN2,S,93
ZC3H13,G1,93
ZC3H13,G2M,335
ZC3H13,S,261
