dataset,method,budget,utility,capture,spearman,remaining_relative_error
Frangieh,tree_residual_MDH,0.1,0.5538604456917956,0.18404787539279752,0.5257528116258592,0.9742109923075671
Frangieh,tree_residual_MDH,0.2,0.5753909075703633,0.26884285488930243,0.5257528116258592,0.9626134630636312
Frangieh,tree_residual_MDH,0.3,0.552214250105721,0.3862114550919654,0.5257528116258592,0.9544227844943339
Frangieh,tree_residual_MDH_condition,0.1,0.5532188220349209,0.18402390650177253,0.5263513679459907,0.9742416914297316
Frangieh,tree_residual_MDH_condition,0.2,0.5750398775372866,0.26885211635561423,0.5263513679459907,0.9626023030091281
Frangieh,tree_residual_MDH_condition,0.3,0.5541118632854539,0.3864070783384097,0.5263513679459907,0.954086417239458
Lara_exvivo,magnitude,0.1,0.25200952382737174,0.41305666115972933,0.17178452962381532,0.9753712781098228
Lara_exvivo,magnitude,0.2,0.23439497209411955,0.4393987952380299,0.17178452962381532,0.9727776642700354
Lara_exvivo,magnitude,0.3,0.2267327247497052,0.5495749419511801,0.17178452962381532,0.9577620008080855
Lara_exvivo,ridge_M,0.1,0.25200952382737174,0.41305666115972933,0.17178452962381532,0.9753712781098228
Lara_exvivo,ridge_M,0.2,0.23439497209411955,0.4393987952380299,0.17178452962381532,0.9727776642700354
Lara_exvivo,ridge_M,0.3,0.2267327247497052,0.5495749419511801,0.17178452962381532,0.9577620008080855
Lara_exvivo,ridge_MD,0.1,0.2517521942325866,0.4130184651862835,0.17171146336027288,0.9754177543040331
Lara_exvivo,ridge_MD,0.2,0.23439497209411955,0.4393987952380299,0.17171146336027288,0.9727776642700354
Lara_exvivo,ridge_MD,0.3,0.22737351154016483,0.5496331049798688,0.17171146336027288,0.9576527440806024
Lara_exvivo,ridge_MDH,0.1,0.25009071035794295,0.4129497828159218,0.17186520534139582,0.9755242820621451
Lara_exvivo,ridge_MDH,0.2,0.23498160807047483,0.43945593183605053,0.17186520534139582,0.9726853666886174
Lara_exvivo,ridge_MDH,0.3,0.22756325677206127,0.5496212690639747,0.17186520534139582,0.9576767136026546
Lara_exvivo,ridge_MDH_condition,0.1,0.27620700420113486,0.4141120661195824,0.19183588314243077,0.9734632465122532
Lara_exvivo,ridge_MDH_condition,0.2,0.2598857142157451,0.44059772782815004,0.19183588314243077,0.9706420799538112
Lara_exvivo,ridge_MDH_condition,0.3,0.24007556614116396,0.5501631536242597,0.19183588314243077,0.9565055365471432
Lara_exvivo,tree_direct_M,0.1,0.23190599324390157,0.41295456760638327,0.19381257001897736,0.9732896295431229
Lara_exvivo,tree_direct_M,0.2,0.24663819816251878,0.4400992172080105,0.19381257001897736,0.9701612678804972
Lara_exvivo,tree_direct_M,0.3,0.22120092773321393,0.5485377347758106,0.19381257001897736,0.9595368385574463
Lara_exvivo,tree_direct_MD,0.1,0.2036608744166365,0.4095495437358449,0.1733881875663717,0.9791880112462554
Lara_exvivo,tree_direct_MD,0.2,0.22090404565809732,0.4365875207284305,0.1733881875663717,0.9764886830146949
Lara_exvivo,tree_direct_MD,0.3,0.21546966679928506,0.5454141595414944,0.1733881875663717,0.9661718138046903
Lara_exvivo,tree_direct_MDH,0.1,0.2519242550139842,0.4127859662756405,0.22467861938284414,0.9749480199576297
Lara_exvivo,tree_direct_MDH,0.2,0.2513390445332233,0.439220823260337,0.22467861938284414,0.9728784818332895
Lara_exvivo,tree_direct_MDH,0.3,0.2597597947451447,0.549819457585725,0.22467861938284414,0.957252588351133
Lara_exvivo,tree_direct_MDH_condition,0.1,0.26231238453593586,0.41317154632008996,0.2362146208831947,0.9748042073738861
Lara_exvivo,tree_direct_MDH_condition,0.2,0.25909184596363866,0.43957430269530456,0.2362146208831947,0.9726596314256244
Lara_exvivo,tree_direct_MDH_condition,0.3,0.26387038790093925,0.5502863584252626,0.2362146208831947,0.9568625980537332
Lara_exvivo,tree_residual_M,0.1,0.2457436750813545,0.4129724136902004,0.17645194366920558,0.9752495022108694
Lara_exvivo,tree_residual_M,0.2,0.23023184045774958,0.43941655939394403,0.17645194366920558,0.9725977322763169
Lara_exvivo,tree_residual_M,0.3,0.2288924199217487,0.5498318663314458,0.17645194366920558,0.9569630542762357
Lara_exvivo,tree_residual_MD,0.1,0.2417376616288939,0.41309750008211593,0.18670156695156695,0.9747260633284657
Lara_exvivo,tree_residual_MD,0.2,0.23089448359833184,0.43960759196908333,0.18670156695156695,0.9719880388312705
Lara_exvivo,tree_residual_MD,0.3,0.24223056535397566,0.5502851578277824,0.18670156695156695,0.9560793128107713
Lara_exvivo,tree_residual_MDH,0.1,0.2301146129033246,0.41265679761275675,0.18199197264375835,0.9756019378697814
Lara_exvivo,tree_residual_MDH,0.2,0.2264193157757003,0.4394810165713844,0.18199197264375835,0.9723861200362977
Lara_exvivo,tree_residual_MDH,0.3,0.23067591903514667,0.5498500273963238,0.18199197264375835,0.9572184599423271
Lara_exvivo,tree_residual_MDH_condition,0.1,0.24214020580874132,0.41329029974437187,0.18723078861174097,0.9747904438677749
Lara_exvivo,tree_residual_MDH_condition,0.2,0.23768194761699568,0.4401393187833054,0.18723078861174097,0.9715636304104914
Lara_exvivo,tree_residual_MDH_condition,0.3,0.2404918191623123,0.5505227214499832,0.18723078861174097,0.955912745087969
Santinha,magnitude,0.1,0.48780566557249727,0.5125865145658455,0.3518627800770658,0.957655973283254
Santinha,magnitude,0.2,0.4771520015355453,0.5212814166608503,0.3518627800770658,0.9562209848979683
Santinha,magnitude,0.3,0.3986524781912663,0.6016469979036055,0.3518627800770658,0.9545065776714206
Santinha,ridge_M,0.1,0.48780566557249727,0.5125865145658455,0.3518627800770658,0.957655973283254
Santinha,ridge_M,0.2,0.4771520015355453,0.5212814166608503,0.3518627800770658,0.9562209848979683
Santinha,ridge_M,0.3,0.3986524781912663,0.6016469979036055,0.3518627800770658,0.9545065776714206
Santinha,ridge_MD,0.1,0.4847259572924942,0.512358886268841,0.3500148502291359,0.958105736645355
Santinha,ridge_MD,0.2,0.47304722226223533,0.521023332542683,0.3500148502291359,0.9567319138394622
Santinha,ridge_MD,0.3,0.39694375524601194,0.6015046912466115,0.3500148502291359,0.9548789185185901
Santinha,ridge_MDH,0.1,0.4848834433517613,0.512379873144067,0.3511842760414189,0.9580839805355134
Santinha,ridge_MDH,0.2,0.4729027720639035,0.5210173101374257,0.3511842760414189,0.9567564593533061
Santinha,ridge_MDH,0.3,0.4012717244952294,0.6018097877580897,0.3511842760414189,0.9540502886965904
Santinha,ridge_MDH_condition,0.1,0.48780566557249727,0.5125865145658455,0.3523756005898863,0.957655973283254
Santinha,ridge_MDH_condition,0.2,0.4771520015355453,0.5212814166608503,0.3523756005898863,0.9562209848979683
