file,rows,row_groups,columns
train-00012-of-01026.parquet,3986181,3987,gene_name|baseMean|log2FoldChange|lfcSE|stat|pvalue|padj|plate|n_cells_trt|n_cells_ctrl|Cell_ID_Cellosaur|Cell_ID_DepMap|drug|concentration|concentration_unit|Cell_Name_Vevo
train-00013-of-01026.parquet,3986181,3987,gene_name|baseMean|log2FoldChange|lfcSE|stat|pvalue|padj|plate|n_cells_trt|n_cells_ctrl|Cell_ID_Cellosaur|Cell_ID_DepMap|drug|concentration|concentration_unit|Cell_Name_Vevo
train-00014-of-01026.parquet,3986181,3987,gene_name|baseMean|log2FoldChange|lfcSE|stat|pvalue|padj|plate|n_cells_trt|n_cells_ctrl|Cell_ID_Cellosaur|Cell_ID_DepMap|drug|concentration|concentration_unit|Cell_Name_Vevo
train-00015-of-01026.parquet,3986181,3987,gene_name|baseMean|log2FoldChange|lfcSE|stat|pvalue|padj|plate|n_cells_trt|n_cells_ctrl|Cell_ID_Cellosaur|Cell_ID_DepMap|drug|concentration|concentration_unit|Cell_Name_Vevo
train-00016-of-01026.parquet,3986181,3987,gene_name|baseMean|log2FoldChange|lfcSE|stat|pvalue|padj|plate|n_cells_trt|n_cells_ctrl|Cell_ID_Cellosaur|Cell_ID_DepMap|drug|concentration|concentration_unit|Cell_Name_Vevo
train-00017-of-01026.parquet,3986181,3987,gene_name|baseMean|log2FoldChange|lfcSE|stat|pvalue|padj|plate|n_cells_trt|n_cells_ctrl|Cell_ID_Cellosaur|Cell_ID_DepMap|drug|concentration|concentration_unit|Cell_Name_Vevo
train-00018-of-01026.parquet,3986181,3987,gene_name|baseMean|log2FoldChange|lfcSE|stat|pvalue|padj|plate|n_cells_trt|n_cells_ctrl|Cell_ID_Cellosaur|Cell_ID_DepMap|drug|concentration|concentration_unit|Cell_Name_Vevo
train-00019-of-01026.parquet,3986181,3987,gene_name|baseMean|log2FoldChange|lfcSE|stat|pvalue|padj|plate|n_cells_trt|n_cells_ctrl|Cell_ID_Cellosaur|Cell_ID_DepMap|drug|concentration|concentration_unit|Cell_Name_Vevo
train-00020-of-01026.parquet,3986181,3987,gene_name|baseMean|log2FoldChange|lfcSE|stat|pvalue|padj|plate|n_cells_trt|n_cells_ctrl|Cell_ID_Cellosaur|Cell_ID_DepMap|drug|concentration|concentration_unit|Cell_Name_Vevo
train-00021-of-01026.parquet,3986181,3987,gene_name|baseMean|log2FoldChange|lfcSE|stat|pvalue|padj|plate|n_cells_trt|n_cells_ctrl|Cell_ID_Cellosaur|Cell_ID_DepMap|drug|concentration|concentration_unit|Cell_Name_Vevo
train-00022-of-01026.parquet,3986181,3987,gene_name|baseMean|log2FoldChange|lfcSE|stat|pvalue|padj|plate|n_cells_trt|n_cells_ctrl|Cell_ID_Cellosaur|Cell_ID_DepMap|drug|concentration|concentration_unit|Cell_Name_Vevo
train-00023-of-01026.parquet,3986181,3987,gene_name|baseMean|log2FoldChange|lfcSE|stat|pvalue|padj|plate|n_cells_trt|n_cells_ctrl|Cell_ID_Cellosaur|Cell_ID_DepMap|drug|concentration|concentration_unit|Cell_Name_Vevo
train-00024-of-01026.parquet,3986181,3987,gene_name|baseMean|log2FoldChange|lfcSE|stat|pvalue|padj|plate|n_cells_trt|n_cells_ctrl|Cell_ID_Cellosaur|Cell_ID_DepMap|drug|concentration|concentration_unit|Cell_Name_Vevo
