drug,n_cells
Medroxyprogesterone acetate,266000
Isocorydine,265759
Dabrafenib,265732
Minodronic acid,265296
Fostamatinib (disodium hexahydrate),265294
Fedratinib (hydrochloride hydrate),265056
Crizotinib (hydrochloride),265019
Oxaliplatin,264547
Methotrexate,263502
Ciclopirox,263501
Pioglitazone,263411
Zileuton,263356
Demeclocycline,263134
Erlotinib,262860
Atazanavir (sulfate),262831
Busulfan,262428
olaparib,261912
Tofacitinib,260702
Panobinostat,260258
Gallic acid (hydrate),259296
Tolmetin,258978
Rimonabant (Hydrochloride),258911
Posaconazole,258502
5-Fluorouracil,258189
Ranolazine,258117
Entrectinib,257859
Triamcinolone,257845
Aprepitant,257802
Bestatin,256476
Niclosamide (olamine),256444
Cinacalcet,256018
Sacubitril/Valsartan,255515
Pexidartinib (hydrochloride),255204
Tucatinib,255157
Rutin (trihydrate),254745
Asciminib,254713
L-Eflornithine (monohydrochloride),253354
Ropivacaine (hydrochloride monohydrate),253143
Sapanisertib,252866
Clotrimazole,252357
Furosemide,252170
Ritonavir,251829
Pralsetinib,251177
AT7519,250821
Aspirin,250589
Nafamostat (mesylate),250507
Harringtonine,250328
Rapamycin,249892
(S)-Crizotinib,249843
AZD-8055,249670
Vitamin K4,248803
Darinaparsin,247405
Larotrectinib sulfate,246583
Elagolix sodium,246073
Vinblastine (sulfate),245435
Lapatinib ditosylate,245250
Tofacitinib (citrate),244797
Lopinavir,244410
Bimatoprost,244285
Tazarotene,243720
Radotinib,241647
Dexamethasone,240528
Fluvoxamine (maleate),240444
Brivudine,239937
Estrone sulfate (potassium),239755
Cilostazol,239515
Irinotecan,239054
Abemaciclib,238963
Sildenafil,238960
Docetaxel,238558
Lactate (calcium),237734
Vandetanib,237630
Lonafarnib,237009
Fingolimod (hydrochloride),236979
Ivermectin,236742
Quinidine (15% dihydroquinidine),235640
Azithromycin (hydrate),235634
Cabozantinib (S-malate),235187
Flutamide,235001
ETC-206,234113
Acetohexamide,232981
Larotrectinib,232162
Eplerenone,231400
Pyridoxine,231217
LB-100,230892
Dexmedetomidine,229910
Neratinib,229447
Daptomycin,229114
Ivabradine (hydrochloride),228702
Idarubicin (hydrochloride),228490
APTO-253,228123
Infigratinib,227592
Homoharringtonine,227519
9-ING-41,227250
Talc,226784
Vortioxetine,226129
Lenalidomide (hemihydrate),225612
Osimertinib (mesylate),225228
Fenofibrate,224982
Verapamil,224823
Tranilast,224732
venetoclax,224629
c-Kit-IN-1,224186
Apalutamide,224021
ML264,223959
LY2090314,223748
Tadalafil,223631
Imiquimod (hydrochloride),223612
Tubulin inhibitor 6,223538
Cepharanthine,223405
Tomivosertib,222932
Vilanterol,222148
Acetazolamide,222034
Budesonide,220836
BAY1125976,219970
Sulfatinib,219215
4EGI-1,216533
Proglumide,216206
18β-Glycyrrhetinic acid,215619
Meloxicam,214594
Hydroxyfasudil,214261
Oleic acid,214157
Levobupivacaine (hydrochloride),214127
Cytarabine (hydrochloride),213187
PF-06260933,213135
Nevirapine,212891
Capivasertib,212332
Belinostat,211970
Almonertinib (hydrochloride),211133
Macitentan,211067
Rifaximin,210448
Bimiralisib,209752
Rosiglitazone,209422
Clobetasol propionate,209156
Mifepristone,207246
Benproperine (phosphate),206748
Dorzolamide (hydrochloride),206168
crizotinib,205849
Futibatinib,205136
5-Azacytidine,204914
Ligustrazine,203219
Auranofin,202094
Mitoxantrone (dihydrochloride),201567
Encorafenib,200812
Arbutin,200521
Dihydroartemisinin,200050
L-Thyroxine (sodium salt pentahydrate),199865
Fluvoxamine,199063
Ralimetinib dimesylate,198504
Monocrotaline,198485
DT-061,198438
Hesperidin,198092
Thymol,197853
Torkinib,197053
Capmatinib,196806
Ipatasertib,196130
Erythromycin,195690
GSK1059615,194926
Ixazomib citrate,193485
MK-8353,193150
Oxaprozin,192030
Roxadustat,192025
ERK5-IN-2,191248
Bentamapimod,190871
Thymopentin,190494
Altretamine,190238
Peretinoin,188421
Belumosudil (mesylate),187253
Orlistat,186664
Carbamazepine,186656
Pimozide,186486
Nimesulide,185838
Vismodegib,184785
Ixazomib,183894
BI-78D3,183464
Valdecoxib,183402
Saquinavir,183145
AZD1390,181902
Sonidegib,181300
Alpelisib,180865
Bosentan (hydrate),180813
Temuterkib,180681
Decitabine,180484
Canagliflozin,178499
Sunitinib,178202
Lidocaine (hydrochloride),177248
Elimusertib hydrochloride,175881
PH-797804,175735
Volasertib,175151
palbociclib,174991
Methylprednisolone succinate,174856
Phenytoin (sodium),174703
OTS514,174356
Verteporfin,173439
Bisoprolol (hemifumarate),173297
Digitoxin,170926
Pimitespib,170329
EX229,170182
XRK3F2,169700
Bendamustine,167635
Docetaxel (Trihydrate),167414
Finasteride,166847
Betamethasone dipropionate,166777
NVP-BHG712,166395
Silodosin,159228
Epirubicin (hydrochloride),157780
Mozavaptan,157667
TAK-733,155606
NG25,155200
Procainamide (hydrochloride),155131
IQ 1,154348
Doxorubicin (hydrochloride),151959
TAK-901,151045
Doxycycline (monohydrate),149362
CP21R7,147361
Hydroxyurea,146827
Glycyrrhizic acid,146807
Pemetrexed,146414
HI-TOPK-032,145874
Ferulic acid,145304
AZD-7648,142891
Simotinib,139639
ULK-101,137849
Celecoxib,137823
LJI308,137596
MK-3903,137338
Clofarabine,137161
Penfluridol,136532
Bortezomib,136016
"Dapagliflozin ((2S)-1,2-propanediol, hydrate)",133797
Cobimetinib,126393
Menadione,125243
vincristine,121341
Erdafitinib ,118801
Imiquimod (maleate),109056
Pitavastatin (Calcium),107596
Belzutifan,102039
AZD2858,100272
SBI-0640756,98856
Pemigatinib,98737
LY-2584702 (tosylate salt),96941
Dinaciclib,62599
