recon_loss,KL,disnt_basal,disnt_after,r2_mean,r2_var,adv_loss,penalty_adv,adv_perts,acc_perts,penalty_perts,adv_context_cpa,penalty_context_cpa,acc_context_cpa,epoch,mode
1784.681396484375,,0.9039271348195834,1.0016409897292249,-0.01200751463572184,0.13388359049956003,,,,,,,,,6,valid
1742.9325714111328,,0.0,0.0,0.18470179967375266,-0.007648847738487851,1.612478218972683,,1.0487537682056427,0.4070660974830389,,0.5637244507670403,,0.859375,6,train
1752.6119995117188,,0.9136126135496845,0.9986799165746534,0.09207784136136372,0.17363662521044412,,,,,,,,,7,valid
1722.946304321289,,0.0,0.0,0.2516792785479791,-0.017248307716929253,1.6126844435930252,,1.0623113736510277,0.404403755441308,,0.5503730718046427,,0.8779296875,7,train
1723.6719970703125,,0.8965431766583694,0.9982425775784409,0.190685306986173,0.21161647637685138,,,,,,,,,8,valid
1710.0637283325195,,0.0,0.0,0.2920016342153152,0.002541245685683362,1.6072766408324242,,1.0584914796054363,0.39640527963638306,,0.5487851742655039,,0.8662109375,8,train
1702.1201171875,,0.9008900351740909,1.0037464985994395,0.24996898074944812,0.19232426087061563,,,,,,,,,9,valid
1702.4152221679688,,0.0,0.0,0.32385722258024746,-0.023941541297568217,1.612864151597023,,1.0520708933472633,0.3842087984085083,,0.5607932657003403,,0.865234375,9,train
1691.8919677734375,,0.894222406450174,0.9986885316740125,0.3162758151690165,0.23151801029841107,,,,,,,,,10,valid
1693.0703048706055,,0.0,0.0,0.3635242435977691,-0.0007109251908130124,1.6007731035351753,,1.0494381673634052,0.40444739907979965,,0.5513349398970604,,0.8681640625,10,train
1685.1278076171875,,0.9099918808102951,0.9988632119514472,0.35113154351711273,0.22131824990113577,,,,,,,,,11,valid
1685.778579711914,,0.0,0.0,0.38567218494911987,-0.030092068689150937,1.6189440563321114,,1.0610646344721317,0.39881538040935993,,0.5578794218599796,,0.8662109375,11,train
1676.5956420898438,,0.8933030634754773,0.9977867081496845,0.39103571573893225,0.22805113593737286,,,,,,,,,12,valid
1681.6113739013672,,0.0,0.0,0.40428166096616125,-0.03870064956653449,1.6375675350427628,,1.0526142306625843,0.39962890185415745,,0.5849532932043076,,0.8447265625,12,train
1665.8822631835938,,0.8876414365029166,0.9947146991739021,0.4206699033578237,0.22411684195200604,,,,,,,,,13,valid
1675.1864929199219,,0.0,0.0,0.42607152586181957,-0.004866162521971595,1.6538595035672188,,1.0627116709947586,0.38261571153998375,,0.5911478213965893,,0.857421875,13,train
1658.0618896484375,,0.8727905010163075,1.0004049029191342,0.43699073791503906,0.22890223562717438,,,,,,,,,14,valid
1671.7421569824219,,0.0,0.0,0.44652384892106056,0.0046220997141467185,1.650763638317585,,1.0627777203917503,0.37352116219699383,,0.5879859291017056,,0.8447265625,14,train
1665.9613037109375,,0.8693035105780204,1.0074369747899161,0.4458312640587489,0.19831122954686484,,,,,,,,,15,valid
1667.3125915527344,,0.0,0.0,0.45146619776884717,-0.0031128654049502515,1.6544175520539284,,1.0570899844169617,0.39700050093233585,,0.5973275527358055,,0.830078125,15,train
1652.1967163085938,,0.8846348321016253,0.9991279014049411,0.4696408212184906,0.22006836036841076,,,,,,,,,16,valid
1664.1361694335938,,0.0,0.0,0.46047409458292854,0.040397768219312034,1.6726719960570335,,1.0708138942718506,0.38709430769085884,,0.601858114823699,,0.8427734375,16,train
1653.4275512695312,,0.8747190964296228,0.9992808826142159,0.4792575885852178,0.22866927087306976,,,,,,,,,17,valid
1660.6165390014648,,0.0,0.0,0.47825782704684466,0.0007653741372956185,1.6773190572857857,,1.058257844299078,0.3933094162493944,,0.6190611943602562,,0.8349609375,17,train
1653.177978515625,,0.8596406795245805,0.9962480547774664,0.4900502761205037,0.19149532914161682,,,,,,,,,18,valid
1658.2578582763672,,0.0,0.0,0.4893228376491202,0.029014997391237154,1.6977990418672562,,1.058341696858406,0.40407814271748066,,0.6394573412835598,,0.8232421875,18,train
1652.3284301757812,,0.8703827541849708,0.9991215375038903,0.49735748271147406,0.22438675165176392,,,,,,,,,19,valid
1655.2185516357422,,0.0,0.0,0.5004217066905565,0.03700993644694487,1.7229601591825485,,1.0629318207502365,0.38812270015478134,,0.6600283235311508,,0.8115234375,19,train
