dataset,formula,n_tasks,n_folds,spearman,top20_enrichment,top20_capture,magnitude_spearman,delta_spearman_vs_magnitude
Shifrut,fixed_80_20,172,4,0.2016470398209292,1.036346667282495,0.3055555555555556,0.2086982784657203,-0.007051238644791097
Shifrut,magnitude,172,4,0.2086982784657203,1.0382608577444061,0.3333333333333333,0.2086982784657203,0.0
Shifrut,magnitude_quintile_safeconf,172,4,0.22183630323165204,1.0382608577444061,0.3333333333333333,0.2086982784657203,0.013138024765931733
Shifrut,one_sided_025,172,4,0.21363853800565888,1.04386801541287,0.3333333333333333,0.2086982784657203,0.0049402595399385685
Shifrut,safeconf,172,4,0.1726819691935971,1.0253913770731518,0.3055555555555555,0.2086982784657203,-0.03601630927212321
Shifrut,setting_adaptive_lodo,172,4,0.22371280070254884,1.0412164563451383,0.33333333333333337,0.2086982784657203,0.015014522236828531
Tian_CRISPRi,fixed_80_20,732,4,0.09159214900223087,1.0409919292545595,0.25,0.06673836676509523,0.024853782237135635
Tian_CRISPRi,magnitude,732,4,0.06673836676509523,1.0206221659412935,0.23648648648648649,0.06673836676509523,0.0
Tian_CRISPRi,magnitude_quintile_safeconf,732,4,0.07576141784089042,1.0206221659412935,0.23648648648648649,0.06673836676509523,0.009023051075795194
Tian_CRISPRi,one_sided_025,732,4,0.08617914243403027,1.023904364197231,0.23648648648648649,0.06673836676509523,0.01944077566893504
Tian_CRISPRi,safeconf,732,4,0.13421641615690097,1.0428527734905253,0.25,0.06673836676509523,0.06747804939180574
Tian_CRISPRi,setting_adaptive_lodo,732,4,0.09242968706781164,1.0338959128717475,0.24324324324324326,0.06673836676509523,0.02569132030271641
