panel,task_id,n_cells,rmse_cell_gene,rmse_mean_profile,mae_cell_gene,magnitude_pred_rms,magnitude_truth_rms_diagnostic_only,epistemic_confidence,aleatoric_confidence,combined_confidence_official,risk_epistemic,risk_aleatoric,risk_combined,cosine_error_mean_effect,gene_order_hash
Norman_P1,PTPN13+ctrl,270,0.1428029835224151,0.0205281302332878,0.0721763372421264,0.0359852984547615,0.0453653410077095,14.345635414123535,-17.266956329345703,11.424314498901367,-14.345635414123535,17.266956329345703,-11.424314498901367,0.10212004567946487,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P1,S1PR2+ctrl,541,0.1455798149108886,0.0313473455607891,0.0717346966266632,0.0568460300564765,0.0617941804230213,17.354873657226562,-16.495874404907227,18.2138729095459,-17.354873657226562,16.495874404907227,-18.2138729095459,0.1363847398619591,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P1,SNAI1+ctrl,467,0.1515843272209167,0.0469667352735996,0.076182872056961,0.0574370436370372,0.068474605679512,17.35476303100586,-16.401653289794922,18.3078727722168,-17.35476303100586,16.401653289794922,-18.3078727722168,0.2649450167088401,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P1,SPI1+ctrl,613,0.1937495619058609,0.0973240137100219,0.1003949418663978,0.0621751807630062,0.1530112028121948,18.061782836914062,-16.250688552856445,19.87287712097168,-18.061782836914062,16.250688552856445,-19.87287712097168,0.06416040430795689,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P1,STIL+ctrl,309,0.149860605597496,0.0203152652829885,0.0754666477441787,0.0482086054980754,0.0495076589286327,16.1608829498291,-16.97199821472168,15.349767684936523,-16.1608829498291,16.97199821472168,-15.349767684936523,0.08610701353116801,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P1,TSC22D1+ctrl,441,0.1240618079900741,0.0231649745255708,0.0628936737775802,0.0154280858114361,0.0323576591908931,11.06407356262207,-17.507844924926758,4.620302200317383,-11.06407356262207,17.507844924926758,-4.620302200317383,0.25039792910402703,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P2,ARRDC3+ctrl,495,0.1271543204784393,0.0210709124803543,0.0645150691270828,0.0260480642318725,0.0409086942672729,12.693284034729004,-18.445087432861328,6.94148063659668,-12.693284034729004,18.445087432861328,-6.94148063659668,0.10470470565026879,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P2,ATL1+ctrl,379,0.1837876141071319,0.1093252226710319,0.0946522280573844,0.0167068466544151,0.1188813671469688,11.172836303710938,-17.972856521606445,4.37281608581543,-11.172836303710938,17.972856521606445,-4.37281608581543,0.38073238464514003,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P2,BPGM+ctrl,464,0.1379835754632949,0.0548394955694675,0.0707881450653076,0.0739041119813919,0.0674136132001876,18.51702690124512,-17.929685592651367,19.104368209838867,-18.51702690124512,17.929685592651367,-19.104368209838867,0.29758713111535984,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P2,CBFA2T3+ctrl,658,0.1422480940818786,0.0488739311695098,0.0719645023345947,0.0645556226372718,0.0599424168467521,17.605403900146484,-18.41022491455078,16.800582885742188,-17.605403900146484,18.41022491455078,-16.800582885742188,0.305893092366441,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P2,CDKN1C+ctrl,230,0.1596200615167617,0.054866649210453,0.0809706151485443,0.058884747326374,0.0977892279624939,16.88332748413086,-18.573637008666992,15.193017959594728,-16.88332748413086,18.573637008666992,-15.193017959594728,0.12996828144147243,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P2,CEBPA+ctrl,460,0.3026376664638519,0.2041800022125244,0.1519858986139297,0.0835587009787559,0.2527150809764862,19.71884536743164,-17.59295654296875,21.84473419189453,-19.71884536743164,17.59295654296875,-21.84473419189453,0.30960515404133415,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P2,CEBPB+ctrl,488,0.1979341953992843,0.0947753563523292,0.099847637116909,0.0697719231247901,0.1344567090272903,17.972627639770508,-18.372467041015625,17.57278823852539,-17.972627639770508,18.372467041015625,-17.57278823852539,0.25573453340071206,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P2,CELF2+ctrl,475,0.1457678526639938,0.0443313494324684,0.0730643272399902,0.0473576188087463,0.0477573126554489,15.507811546325684,-18.484893798828125,12.530729293823242,-15.507811546325684,18.484893798828125,-12.530729293823242,0.43443703530126787,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P2,COL1A1+ctrl,328,0.1720173209905624,0.0901570543646812,0.0864259228110313,0.0139928925782442,0.0937971994280815,10.442489624023438,-17.700576782226562,3.1844024658203125,-10.442489624023438,17.700576782226562,-3.1844024658203125,0.6703139147058108,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P2,COL2A1+ctrl,598,0.1572029590606689,0.0675321742892265,0.0791833475232124,0.0203413367271423,0.0729056894779205,11.799964904785156,-18.157468795776367,5.442461013793945,-11.799964904785156,18.157468795776367,-5.442461013793945,0.6060634891721237,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P2,CSRNP1+ctrl,478,0.1301671713590622,0.0388662815093994,0.0672090202569961,0.0162836406379938,0.0342835150659084,11.086640357971191,-18.041410446166992,4.131870269775391,-11.086640357971191,18.041410446166992,-4.131870269775391,1.0627587839520771,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P2,DLX2+ctrl,732,0.1452990770339965,0.0513275526463985,0.0721288099884986,0.0565842203795909,0.0715311542153358,16.53831672668457,-18.532007217407227,14.544626235961914,-16.53831672668457,18.532007217407227,-14.544626235961914,0.2978488496908388,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
Norman_P2,HK2+ctrl,303,0.128606230020523,0.0305194891989231,0.0657764747738838,0.0572932288050651,0.04303565248847,16.699050903320312,-18.613771438598636,14.784330368041992,-16.699050903320312,18.613771438598636,-14.784330368041992,0.14766086895925512,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995
