panel,score,coverage,n_retained,retained_mean_error,normalized_retained_error
Norman_P2,PRESCRIBE epistemic,0.9,22,0.06220383129336613,0.9865996150808111
Norman_P2,PRESCRIBE epistemic,0.95,23,0.06187008450860559,0.981306139702642
Norman_P2,PRESCRIBE epistemic,1.0,24,0.06304870825260873,1.0
Norman_P2,PRESCRIBE aleatoric,0.5,12,0.07586348398278153,1.2032519949311185
Norman_P2,PRESCRIBE aleatoric,0.55,14,0.07477775482194761,1.1860315126892955
Norman_P2,PRESCRIBE aleatoric,0.6,15,0.0766855994860331,1.2162913660147845
Norman_P2,PRESCRIBE aleatoric,0.65,16,0.07494737021625036,1.1887217405940955
Norman_P2,PRESCRIBE aleatoric,0.7,17,0.07397193111041007,1.1732505416928882
Norman_P2,PRESCRIBE aleatoric,0.75,18,0.07103298563096254,1.1266366528298135
Norman_P2,PRESCRIBE aleatoric,0.8,20,0.06740007568150755,1.0690159647912971
Norman_P2,PRESCRIBE aleatoric,0.85,21,0.06663471744174045,1.0568768066550092
Norman_P2,PRESCRIBE aleatoric,0.9,22,0.0660998052494092,1.048392696398728
Norman_P2,PRESCRIBE aleatoric,0.95,23,0.06455283498634459,1.0238565828773125
Norman_P2,PRESCRIBE aleatoric,1.0,24,0.06304870825260873,1.0
Norman_P2,PRESCRIBE combined,0.5,12,0.07353202253580089,1.1662732603686357
Norman_P2,PRESCRIBE combined,0.55,14,0.0698602266077484,1.1080358114213678
Norman_P2,PRESCRIBE combined,0.6,15,0.06709979772567747,1.0642533302480643
Norman_P2,PRESCRIBE combined,0.65,16,0.06655386695638293,1.0555944570621583
Norman_P2,PRESCRIBE combined,0.7,17,0.06411401730249905,1.0168966039022098
Norman_P2,PRESCRIBE combined,0.75,18,0.06172273370126878,0.9789690449163946
Norman_P2,PRESCRIBE combined,0.8,20,0.06101463921368118,0.9677381330196659
Norman_P2,PRESCRIBE combined,0.85,21,0.06331514318784073,1.004225858746614
Norman_P2,PRESCRIBE combined,0.9,22,0.06220383129336613,0.9865996150808111
Norman_P2,PRESCRIBE combined,0.95,23,0.06187008450860559,0.981306139702642
Norman_P2,PRESCRIBE combined,1.0,24,0.06304870825260873,1.0
Norman_P2,PRESCRIBE magnitude,0.5,12,0.05690438331415251,0.9025463786848957
Norman_P2,PRESCRIBE magnitude,0.55,14,0.05462140297251084,0.8663365909681552
Norman_P2,PRESCRIBE magnitude,0.6,15,0.05463775272170699,0.8665959103047329
Norman_P2,PRESCRIBE magnitude,0.65,16,0.056116797728463966,0.8900546781010704
Norman_P2,PRESCRIBE magnitude,0.7,17,0.055690746754407834,0.8832971887588759
Norman_P2,PRESCRIBE magnitude,0.75,18,0.05786211395429235,0.9177367079824069
Norman_P2,PRESCRIBE magnitude,0.8,20,0.05553583782166238,0.880840216411008
Norman_P2,PRESCRIBE magnitude,0.85,21,0.05550267866679596,0.8803142872399682
Norman_P2,PRESCRIBE magnitude,0.9,22,0.05847287347370924,0.9274238139730616
Norman_P2,PRESCRIBE magnitude,0.95,23,0.05691256503696023,0.9026761469709474
Norman_P2,PRESCRIBE magnitude,1.0,24,0.06304870825260873,1.0
