task_id,condition_label,gene,cell_line,n_prediction_cells,family_diversity,diversity_lower_bound,predicted_magnitude,model_baseline_gap,family_pairwise_rmse_mean,family_pairwise_rmse_max,string_train_neighbor_count,go_train_neighbor_count,graph_isolated,historical_support,context_similarity
RPS6+ctrl,K562_RPS6+ctrl_1+1,RPS6,K562,165,0.0002604174498607143,0.016137454875559353,0.04974465131854042,0.03704069224616108,0.025864274082945202,0.033952874828743415,35,14,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
SEC13+ctrl,K562_SEC13+ctrl_1+1,SEC13,K562,43,5.9529309183502475e-05,0.007715523908556209,0.0193467456556671,0.009528654918544606,0.012381693131412385,0.017633254616716894,11,7,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
SFSWAP+ctrl,K562_SFSWAP+ctrl_1+1,SFSWAP,K562,145,0.00020403466802300016,0.014284070429082887,0.015153678531688964,0.018368253712907925,0.021160313327099833,0.03032876863072733,7,2,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
SLU7+ctrl,K562_SLU7+ctrl_1+1,SLU7,K562,195,1.6624754853520103e-05,0.004077346545674049,0.029202297998231964,0.02140553528725127,0.007014966439936428,0.007943019067913138,12,9,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
POLA1+ctrl,K562_POLA1+ctrl_1+1,POLA1,K562,195,1.7510832585143136e-05,0.004184594673937147,0.03648135148325909,0.030161959054563852,0.007132486098290434,0.008759884348651397,18,6,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
GFER+ctrl,K562_GFER+ctrl_1+1,GFER,K562,198,3.7188949773671484e-05,0.006098274327518523,0.016136659554501623,0.019326565350762562,0.01027566920084915,0.012667479987882679,5,1,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
C1QBP+ctrl,K562_C1QBP+ctrl_1+1,C1QBP,K562,189,6.814775572374768e-05,0.008255165396510701,0.022113037083104362,0.007251344098573786,0.013687233559755587,0.017343914413637168,7,4,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
SNRNP200+ctrl,K562_SNRNP200+ctrl_1+1,SNRNP200,K562,92,4.857340428015864e-05,0.006969462266212411,0.0341728801118113,0.024323035702193248,0.011540503600100803,0.01637388980268245,33,9,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
NUDC+ctrl,K562_NUDC+ctrl_1+1,NUDC,K562,106,4.367828833540703e-05,0.006608955162157406,0.02010775917155788,0.008762397126739558,0.011222337007235192,0.012896253019742256,8,3,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
PCF11+ctrl,K562_PCF11+ctrl_1+1,PCF11,K562,393,0.00010541711983116616,0.01026728395590412,0.018973051900145924,0.013182770333781785,0.016994853888756132,0.02427597677290125,11,3,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
PSMA3+ctrl,K562_PSMA3+ctrl_1+1,PSMA3,K562,194,0.00019387354425746603,0.013923848040590863,0.04940705836546006,0.040039306083610615,0.022227148047845147,0.03273823009795746,16,7,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
RPS26+ctrl,K562_RPS26+ctrl_1+1,RPS26,K562,73,0.00026177866963747844,0.016179575693987727,0.0478502545403671,0.039129201586946355,0.0249663348009697,0.03648143338952914,27,14,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
GRPEL1+ctrl,K562_GRPEL1+ctrl_1+1,GRPEL1,K562,96,7.157255902336513e-05,0.008460056679678047,0.05448452163416853,0.04242834587471616,0.013631174079919773,0.019636598799592266,6,5,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
PHF5A+ctrl,K562_PHF5A+ctrl_1+1,PHF5A,K562,197,6.0685074921155386e-05,0.007790062574919112,0.04328138306260463,0.03139271360933899,0.012367930241505844,0.016426009058790814,17,11,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
ZNHIT6+ctrl,K562_ZNHIT6+ctrl_1+1,ZNHIT6,K562,116,5.31277027423975e-05,0.007288875272797409,0.01393348467549868,0.014043227002720118,0.012293062662656402,0.016321081557253193,7,1,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
SRBD1+ctrl,K562_SRBD1+ctrl_1+1,SRBD1,K562,143,2.063331848146534e-05,0.004542391273488595,0.0174482301412938,0.009266649363806497,0.007671176926478739,0.009901964703140396,3,9,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
MFAP1+ctrl,K562_MFAP1+ctrl_1+1,MFAP1,K562,164,8.980584816389701e-05,0.00947659475570719,0.03953090105104506,0.028504970434707285,0.01567301589892285,0.02114901393299373,11,10,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
RPS19+ctrl,K562_RPS19+ctrl_1+1,RPS19,K562,410,2.6163864999567e-05,0.005115062560669908,0.05170718638632409,0.04466011799906277,0.008501986861424763,0.010334651177930658,33,15,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
ARGLU1+ctrl,K562_ARGLU1+ctrl_1+1,ARGLU1,K562,367,5.6115849119511744e-05,0.0074910512693153915,0.01565776159391238,0.011562224078173719,0.012203301822686757,0.015343284626522248,9,5,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
GTF2E2+ctrl,K562_GTF2E2+ctrl_1+1,GTF2E2,K562,69,0.00016008065690887511,0.012652298483235175,0.03118485053026367,0.02468368782762128,0.019543997813237315,0.027140506321766057,14,11,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
DYNLRB1+ctrl,K562_DYNLRB1+ctrl_1+1,DYNLRB1,K562,192,2.154805359575352e-05,0.00464198810810126,0.015679542261018555,0.011442705783724133,0.007902525939908532,0.009026625856632737,4,2,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
TSR2+ctrl,K562_TSR2+ctrl_1+1,TSR2,K562,486,9.028595130810694e-05,0.00950189198571037,0.029673063309194656,0.025108524151632082,0.015678547760620786,0.0214396371237458,9,1,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
COG2+ctrl,K562_COG2+ctrl_1+1,COG2,K562,332,1.0548736496914177e-05,0.0032478818477454157,0.02099219432754792,0.01454622203283744,0.00553973187108055,0.006699473425307446,2,3,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
SFPQ+ctrl,K562_SFPQ+ctrl_1+1,SFPQ,K562,185,1.9025600584990918e-05,0.004361834543513877,0.017576854800129382,0.01633973575066411,0.007531584421010595,0.008024526374832343,7,3,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
MRPL18+ctrl,K562_MRPL18+ctrl_1+1,MRPL18,K562,128,1.698462494703427e-05,0.004121240704816241,0.021919451711283136,0.02473266741347435,0.00678700157495166,0.008482011156094309,11,8,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
NAA15+ctrl,K562_NAA15+ctrl_1+1,NAA15,K562,107,4.015285277551642e-05,0.006336627870998614,0.02158226548055926,0.00814606712726689,0.0108538268334685,0.0131416873503781,9,6,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
DONSON+ctrl,K562_DONSON+ctrl_1+1,DONSON,K562,688,8.523938824374478e-06,0.0029195785354010394,0.02906855816873271,0.022174874894218603,0.005050695769892407,0.0052398704144035555,12,5,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
RARS2+ctrl,K562_RARS2+ctrl_1+1,RARS2,K562,139,5.1771027472228515e-05,0.0071952086468863785,0.014449024928989614,0.01746342202383772,0.012094392849821584,0.015650990741456292,7,7,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
RPF1+ctrl,K562_RPF1+ctrl_1+1,RPF1,K562,108,8.552384708874197e-05,0.009247910417426305,0.03506947872225058,0.026770656787921357,0.015134295504619,0.02242648021640872,9,2,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
ZBTB17+ctrl,K562_ZBTB17+ctrl_1+1,ZBTB17,K562,158,3.9320851363657635e-05,0.006270634047977735,0.01149192025119315,0.015978239323691867,0.01077772229335755,0.012618718404929076,2,0,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
DPH2+ctrl,K562_DPH2+ctrl_1+1,DPH2,K562,161,0.0001416995849361671,0.011903763477832004,0.01505850912142116,0.013471114878917109,0.01893059297749093,0.02482701329617687,5,0,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
TAF10+ctrl,K562_TAF10+ctrl_1+1,TAF10,K562,38,0.00034664184754233624,0.01861832021269202,0.04464955539373293,0.03638538158830889,0.03060209733305505,0.04412433945314099,10,9,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
XPO1+ctrl,K562_XPO1+ctrl_1+1,XPO1,K562,139,4.893939268766661e-05,0.0069956695667867715,0.01918890810669743,0.012163496829389019,0.011826164521528224,0.014201787021200925,11,6,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
NUP54+ctrl,K562_NUP54+ctrl_1+1,NUP54,K562,266,0.00010673573881310014,0.010331298989628562,0.02961768896311677,0.017587856231736684,0.017086014319384026,0.020886770572690172,9,7,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
SSRP1+ctrl,K562_SSRP1+ctrl_1+1,SSRP1,K562,440,0.00027149794595932334,0.01647719472359671,0.031396239589824966,0.020796904319682258,0.026676265857774967,0.037670940450768624,12,5,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
SON+ctrl,K562_SON+ctrl_1+1,SON,K562,238,3.316891224106965e-05,0.005759245804883626,0.017088245635574453,0.00998694771703923,0.009869182585905856,0.011565366852050552,3,5,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
BGLAP+ctrl,K562_BGLAP+ctrl_1+1,BGLAP,K562,236,3.348275262472571e-05,0.005786428313279765,0.014950900801301301,0.012298690126876665,0.009702962254394699,0.011956080616716453,0,0,True,0,NOT_APPLICABLE_SINGLE_CONTEXT
PSMD7+ctrl,K562_PSMD7+ctrl_1+1,PSMD7,K562,175,5.5146668146228655e-05,0.0074260802679629485,0.04715594146979975,0.03698240526597773,0.01218904208301766,0.015954094679779495,15,20,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
SUGT1+ctrl,K562_SUGT1+ctrl_1+1,SUGT1,K562,94,0.00013472401083055866,0.0116070672794879,0.017022251861356016,0.013740332065982463,0.018077236655022044,0.02522318795000479,1,3,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
CENPE+ctrl,K562_CENPE+ctrl_1+1,CENPE,K562,171,6.408852666935511e-05,0.00800553100483379,0.027452134448467364,0.010625968315488427,0.013255297181769194,0.01712827276962327,8,1,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
MZT1+ctrl,K562_MZT1+ctrl_1+1,MZT1,K562,381,1.188173171104678e-05,0.0034469887889354645,0.0178920678463671,0.011398402404069759,0.005968745281153681,0.006078651461807708,2,0,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
NFRKB+ctrl,K562_NFRKB+ctrl_1+1,NFRKB,K562,223,6.075672086251392e-05,0.007794659765667384,0.010284770778874203,0.017451822993421025,0.013050422298099133,0.017845999054378767,5,2,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
RPS14+ctrl,K562_RPS14+ctrl_1+1,RPS14,K562,156,0.0004765203247982681,0.02182934549633287,0.05590125073137702,0.04494732451742219,0.03216530328377352,0.046852054321644576,34,16,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
SNRPG+ctrl,K562_SNRPG+ctrl_1+1,SNRPG,K562,325,5.5605765525452254e-05,0.0074569273514935265,0.04240762014105873,0.03067104789407906,0.012631573329695002,0.016410776183694176,45,7,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
MRPL38+ctrl,K562_MRPL38+ctrl_1+1,MRPL38,K562,132,1.3298191823569768e-05,0.0036466685925060104,0.017478775799918547,0.020844990284288222,0.006277667783720677,0.007219358968936486,8,12,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
MAGOH+ctrl,K562_MAGOH+ctrl_1+1,MAGOH,K562,149,4.758551856738875e-05,0.006898225755032141,0.016375369142346455,0.013000422703413053,0.011693287902397766,0.015140165066714246,9,10,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
DNTTIP2+ctrl,K562_DNTTIP2+ctrl_1+1,DNTTIP2,K562,235,0.0001075325023393205,0.010369787960190916,0.03074791907566233,0.027433142831301202,0.01700844725329631,0.025169968569973555,9,28,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
U2AF1+ctrl,K562_U2AF1+ctrl_1+1,U2AF1,K562,141,2.7369791441540463e-05,0.0052316146113356304,0.020909769421968538,0.013673313721846228,0.008817445696692032,0.011693715633773822,6,12,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
NOL6+ctrl,K562_NOL6+ctrl_1+1,NOL6,K562,107,1.9051457767356845e-05,0.004364797563158783,0.039456288082586416,0.03656273335176076,0.00752907687102466,0.008269280264544725,20,13,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
SF3A2+ctrl,K562_SF3A2+ctrl_1+1,SF3A2,K562,236,0.00011753704368117938,0.010841450257284741,0.03970998948388782,0.02957312318372044,0.01792779739053863,0.02478580561099156,25,9,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
TXN+ctrl,K562_TXN+ctrl_1+1,TXN,K562,81,0.00014182362322353478,0.011908972383188013,0.020732954587751214,0.011392058642802214,0.019220126299792247,0.02713384731455306,2,1,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
ORC5+ctrl,K562_ORC5+ctrl_1+1,ORC5,K562,89,2.0693555567365594e-05,0.004549016989126947,0.021289763218991127,0.017467847509548638,0.0077837892805002985,0.008809785400292078,8,4,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
DDX49+ctrl,K562_DDX49+ctrl_1+1,DDX49,K562,41,1.8447299251613793e-05,0.004295031926728111,0.028174502148641856,0.025859898842590465,0.00739498313210829,0.008007458747755245,13,13,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
ANKRD11+ctrl,K562_ANKRD11+ctrl_1+1,ANKRD11,K562,184,9.160552778983156e-05,0.009571077671288201,0.020561989740830813,0.008570266969160235,0.015550465666719387,0.022454943497857253,1,2,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
CCDC86+ctrl,K562_CCDC86+ctrl_1+1,CCDC86,K562,235,3.7772858603585586e-05,0.006145962788984781,0.01935997381413186,0.014784563142847186,0.01038226464693415,0.012964696524093752,4,59,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
RPS21+ctrl,K562_RPS21+ctrl_1+1,RPS21,K562,63,0.00016626390292064455,0.01289433607909475,0.05328979123694898,0.04420459841361021,0.02125647377753144,0.029602698849601233,27,13,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
POLE+ctrl,K562_POLE+ctrl_1+1,POLE,K562,154,2.025663484108034e-05,0.004500737144188754,0.03080580934170748,0.02668142910661186,0.007486333944226579,0.009313870464896973,15,2,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
TRMT10C+ctrl,K562_TRMT10C+ctrl_1+1,TRMT10C,K562,67,6.0927864591507615e-05,0.007805630313530587,0.012252509270485573,0.016636816541431874,0.013345318095807787,0.01632435454435388,3,2,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
VPS29+ctrl,K562_VPS29+ctrl_1+1,VPS29,K562,146,0.00012532811994201378,0.01119500424037498,0.02107329641588107,0.016178633992239306,0.01901813996701846,0.024120825371903982,1,1,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
CWC15+ctrl,K562_CWC15+ctrl_1+1,CWC15,K562,144,2.855417454110806e-05,0.005343610627759854,0.037533053139070224,0.02899301059790435,0.009237649357809602,0.00973547825629341,18,26,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
CHMP6+ctrl,K562_CHMP6+ctrl_1+1,CHMP6,K562,620,4.750938230367237e-05,0.00689270500628544,0.04229286730760635,0.030127518355569406,0.011724186450506486,0.014908521171077762,4,4,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
RBX1+ctrl,K562_RBX1+ctrl_1+1,RBX1,K562,41,5.347790013564941e-05,0.0073128585474935455,0.017990106320224526,0.017216094354412688,0.01190459872938203,0.016173734889712296,16,4,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
BRIX1+ctrl,K562_BRIX1+ctrl_1+1,BRIX1,K562,95,3.926745711825544e-05,0.0062663751179015325,0.03805118656693208,0.029767140372673823,0.010200527929035839,0.01309050447226087,20,9,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
PTCD1+ctrl,K562_PTCD1+ctrl_1+1,PTCD1,K562,246,8.243666725203616e-05,0.009079464039910955,0.01550473400782425,0.01964933554300178,0.014931307142271701,0.01981163050936005,3,6,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
HIRA+ctrl,K562_HIRA+ctrl_1+1,HIRA,K562,228,1.6749015502831137e-05,0.004092556108696756,0.020396688407132046,0.009991672662014117,0.006864825935496223,0.008665262426288328,0,0,True,0,NOT_APPLICABLE_SINGLE_CONTEXT
POP4+ctrl,K562_POP4+ctrl_1+1,POP4,K562,116,0.00010397759386833023,0.01019694041702364,0.030174092780781685,0.02882588100896412,0.016154395550303076,0.023889341304834336,11,6,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
DYNC1H1+ctrl,K562_DYNC1H1+ctrl_1+1,DYNC1H1,K562,217,2.1796995127250845e-05,0.0046687252143653565,0.02127419081777006,0.009118411539566718,0.007951215403056605,0.009863403025815133,4,3,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
POLR3B+ctrl,K562_POLR3B+ctrl_1+1,POLR3B,K562,109,0.00023713606848996176,0.015399222983318405,0.02365062540290002,0.016455137885656154,0.0243376360112129,0.03295603515455429,7,5,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
DNAJC8+ctrl,K562_DNAJC8+ctrl_1+1,DNAJC8,K562,260,5.5177810081114734e-05,0.00742817676695397,0.01850868756754478,0.011267687247759048,0.011783968923434161,0.015793039112183563,5,11,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
QARS+ctrl,K562_QARS+ctrl_1+1,QARS,K562,376,0.00010408197736941665,0.010202057506670734,0.03510922731019044,0.02397536771840633,0.017192257868102797,0.021599584641729435,0,8,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
WBP11+ctrl,K562_WBP11+ctrl_1+1,WBP11,K562,205,5.4587456157813214e-05,0.007388332434170326,0.015395519599419118,0.013060395311510879,0.012751528735490425,0.014061137806959502,6,9,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
MCM10+ctrl,K562_MCM10+ctrl_1+1,MCM10,K562,190,3.3875462498366926e-05,0.005820263095287611,0.023866927909981222,0.01879520342367779,0.009616831314963796,0.012100317981109311,12,5,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
PSMD1+ctrl,K562_PSMD1+ctrl_1+1,PSMD1,K562,87,2.6061001833663233e-05,0.005104997731014504,0.06337216422342412,0.05259923180314959,0.00856264885974171,0.010423730765195049,13,10,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
MED20+ctrl,K562_MED20+ctrl_1+1,MED20,K562,78,7.533031901576556e-05,0.0086793040628708,0.05419845702456886,0.03917506572881128,0.013392597121883504,0.01867120849872841,10,13,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
DERL2+ctrl,K562_DERL2+ctrl_1+1,DERL2,K562,122,4.2777388910385484e-05,0.006540442562272486,0.028480441581422513,0.01748076822282707,0.011171404193119579,0.013773460077131578,2,0,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
VPS54+ctrl,K562_VPS54+ctrl_1+1,VPS54,K562,306,1.3560292724387024e-05,0.0036824302742057484,0.01686690418418228,0.01267604348527837,0.006108064246474212,0.00818026182609324,2,0,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
WDR12+ctrl,K562_WDR12+ctrl_1+1,WDR12,K562,174,1.7262565210843703e-05,0.004154824329721259,0.03513030085171122,0.02817800741910941,0.007113749481894236,0.008570492124969211,26,12,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
OXA1L+ctrl,K562_OXA1L+ctrl_1+1,OXA1L,K562,305,2.9911380419773406e-05,0.005469129768050252,0.020790317734878477,0.019038061345482065,0.008874646475250771,0.01235052406856142,5,1,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
SART3+ctrl,K562_SART3+ctrl_1+1,SART3,K562,142,4.765101300547488e-05,0.006902971317155742,0.01206474958131382,0.01685193918679555,0.011739447873811358,0.014901201773971756,10,8,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
TEX10+ctrl,K562_TEX10+ctrl_1+1,TEX10,K562,153,0.00014429350479910525,0.012012223141413302,0.022403519158577287,0.017495888388407863,0.020541944001060807,0.025098594488487343,13,14,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
GTF2E1+ctrl,K562_GTF2E1+ctrl_1+1,GTF2E1,K562,176,9.962791230169931e-05,0.00998137827665595,0.03313168895257837,0.02611563393491658,0.016332262103218604,0.02293324921274918,14,14,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
DDX54+ctrl,K562_DDX54+ctrl_1+1,DDX54,K562,68,3.979550512986721e-05,0.006308367865769022,0.02864001548313971,0.023637817520800956,0.010516811129585994,0.012870036255080732,10,12,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
E4F1+ctrl,K562_E4F1+ctrl_1+1,E4F1,K562,130,2.901882626249857e-05,0.0053869124981290135,0.01590337941073475,0.010889045113103232,0.009272997829939364,0.010491288272672518,3,0,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
RIOK1+ctrl,K562_RIOK1+ctrl_1+1,RIOK1,K562,290,4.317677718625016e-05,0.006570903833282767,0.036696468746012456,0.03220622966455977,0.011274264579132892,0.012839765967553474,15,2,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
EBNA1BP2+ctrl,K562_EBNA1BP2+ctrl_1+1,EBNA1BP2,K562,68,7.373410276549776e-06,0.0027154024152139544,0.03848649255329356,0.03072068017494935,0.0046263341090729635,0.005820548831375048,22,11,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
EIF5A+ctrl,K562_EIF5A+ctrl_1+1,EIF5A,K562,100,0.0004422307892074078,0.021029284086896725,0.021167024611972226,0.013898178557113833,0.03227905692092242,0.044794584507167695,11,0,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
SF3B2+ctrl,K562_SF3B2+ctrl_1+1,SF3B2,K562,197,5.673886025446312e-05,0.007532520179492593,0.038854605477259226,0.029913051730271173,0.012782142748493782,0.015057838996993242,24,32,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
ACTR8+ctrl,K562_ACTR8+ctrl_1+1,ACTR8,K562,242,7.34299828254481e-05,0.008569129642236025,0.011646019765151037,0.016487725029825744,0.013702244806331322,0.01873916539832609,6,5,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
EXOSC2+ctrl,K562_EXOSC2+ctrl_1+1,EXOSC2,K562,209,8.170636501030808e-05,0.009039157317488621,0.04299380250569242,0.03681851398387527,0.015324664524466321,0.017975126690713175,13,9,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
ALG13+ctrl,K562_ALG13+ctrl_1+1,ALG13,K562,167,0.0001304675129228692,0.011422237649553139,0.015797217767728855,0.01640287594779162,0.018048620055153983,0.025038577984862725,2,0,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
CPSF3+ctrl,K562_CPSF3+ctrl_1+1,CPSF3,K562,575,6.518881896796411e-05,0.008073959311760501,0.02770030502300427,0.014927608694703786,0.013799419803790324,0.016916555888505845,14,6,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
RBM42+ctrl,K562_RBM42+ctrl_1+1,RBM42,K562,68,0.00016729919779803472,0.012934419113282,0.02917751242768128,0.019610539231155123,0.02056747026955091,0.02928350816772274,6,5,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
CDC40+ctrl,K562_CDC40+ctrl_1+1,CDC40,K562,84,2.5924767761744593e-05,0.005091637041438106,0.03290729369530385,0.025335385020196697,0.008424219269507347,0.010692647819795441,24,19,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
PPP1R11+ctrl,K562_PPP1R11+ctrl_1+1,PPP1R11,K562,69,7.767627216940834e-06,0.002787046324864521,0.012499093818064064,0.01850608925644476,0.004742064250028055,0.005619813588641426,4,0,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
SF3B3+ctrl,K562_SF3B3+ctrl_1+1,SF3B3,K562,215,0.00011889558296148547,0.010903925117199103,0.045899062769538486,0.03371242725123819,0.017908588659425715,0.026123914982067564,23,5,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
MRPL54+ctrl,K562_MRPL54+ctrl_1+1,MRPL54,K562,112,1.078982980389285e-05,0.003284787634519597,0.01703379347531724,0.022242181371185835,0.00562328987953636,0.006762864753582622,9,17,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
WDHD1+ctrl,K562_WDHD1+ctrl_1+1,WDHD1,K562,175,8.266626324955374e-06,0.0028751741381967412,0.031031540926636753,0.023684089916815,0.004887201305688842,0.006195266247551494,11,6,False,0,NOT_APPLICABLE_SINGLE_CONTEXT
