panel,score,target,target_kind,coverage,n_retained,n_rejected,retained_mean,full_set_mean,raw_change_vs_full,favorable_change_vs_full
Norman_P2,aleatoric_confidence,pearson_effect_accuracy,accuracy,0.7,16,8,0.5912589326397975,0.6027864520364073,-0.011527519396609898,-0.011527519396609898
Norman_P2,aleatoric_confidence,pearson_effect_accuracy,accuracy,0.75,18,6,0.5546648404057806,0.6027864520364073,-0.04812161163062678,-0.04812161163062678
Norman_P2,aleatoric_confidence,pearson_effect_accuracy,accuracy,0.8,19,5,0.5546372471159418,0.6027864520364073,-0.048149204920465594,-0.048149204920465594
Norman_P2,aleatoric_confidence,pearson_effect_accuracy,accuracy,0.85,20,4,0.5657760652573369,0.6027864520364073,-0.037010386779070426,-0.037010386779070426
Norman_P2,aleatoric_confidence,pearson_effect_accuracy,accuracy,0.9,21,3,0.5702941975775475,0.6027864520364073,-0.03249225445885984,-0.03249225445885984
Norman_P2,aleatoric_confidence,pearson_effect_accuracy,accuracy,0.95,22,2,0.5832152120578314,0.6027864520364073,-0.019571239978575905,-0.019571239978575905
Norman_P2,aleatoric_confidence,pearson_effect_accuracy,accuracy,1.0,24,0,0.6027864520364073,0.6027864520364073,0.0,0.0
Norman_P2,aleatoric_confidence,cosine_effect_accuracy,accuracy,0.5,12,12,0.5480307792201913,0.6124827729094017,-0.0644519936892104,-0.0644519936892104
Norman_P2,aleatoric_confidence,cosine_effect_accuracy,accuracy,0.55,13,11,0.5567627852808599,0.6124827729094017,-0.0557199876285418,-0.0557199876285418
Norman_P2,aleatoric_confidence,cosine_effect_accuracy,accuracy,0.6,14,10,0.5701558304455552,0.6124827729094017,-0.042326942463846495,-0.042326942463846495
Norman_P2,aleatoric_confidence,cosine_effect_accuracy,accuracy,0.65,15,9,0.5949930415413748,0.6124827729094017,-0.017489731368026895,-0.017489731368026895
Norman_P2,aleatoric_confidence,cosine_effect_accuracy,accuracy,0.7,16,8,0.6011876735411796,0.6124827729094017,-0.011295099368222039,-0.011295099368222039
Norman_P2,aleatoric_confidence,cosine_effect_accuracy,accuracy,0.75,18,6,0.5611180756870026,0.6124827729094017,-0.051364697222399114,-0.051364697222399114
Norman_P2,aleatoric_confidence,cosine_effect_accuracy,accuracy,0.8,19,5,0.5613520245522955,0.6124827729094017,-0.05113074835710618,-0.05113074835710618
Norman_P2,aleatoric_confidence,cosine_effect_accuracy,accuracy,0.85,20,4,0.5732520275147923,0.6124827729094017,-0.039230745394609357,-0.039230745394609357
Norman_P2,aleatoric_confidence,cosine_effect_accuracy,accuracy,0.9,21,3,0.5793900794881566,0.6124827729094017,-0.0330926934212451,-0.0330926934212451
Norman_P2,aleatoric_confidence,cosine_effect_accuracy,accuracy,0.95,22,2,0.5926010646841268,0.6124827729094017,-0.019881708225274908,-0.019881708225274908
Norman_P2,aleatoric_confidence,cosine_effect_accuracy,accuracy,1.0,24,0,0.6124827729094017,0.6124827729094017,0.0,0.0
Norman_P2,aleatoric_confidence,rmse_effect_error,error,0.5,12,12,0.07586348304655538,0.06304870772351873,0.012814775323036653,-0.012814775323036653
Norman_P2,aleatoric_confidence,rmse_effect_error,error,0.55,13,11,0.07323947686046345,0.06304870772351873,0.010190769136944722,-0.010190769136944722
Norman_P2,aleatoric_confidence,rmse_effect_error,error,0.6,14,10,0.074777753902232,0.06304870772351873,0.011729046178713273,-0.011729046178713273
Norman_P2,aleatoric_confidence,rmse_effect_error,error,0.65,15,9,0.07668559861225575,0.06304870772351873,0.013636890888737027,-0.013636890888737027
Norman_P2,aleatoric_confidence,rmse_effect_error,error,0.7,16,8,0.07494736936721612,0.06304870772351873,0.011898661643697392,-0.011898661643697392
Norman_P2,aleatoric_confidence,rmse_effect_error,error,0.75,18,6,0.07103298476567058,0.06304870772351873,0.00798427704215185,-0.00798427704215185
Norman_P2,aleatoric_confidence,rmse_effect_error,error,0.8,19,5,0.06962763560056297,0.06304870772351873,0.006578927877044241,-0.006578927877044241
Norman_P2,aleatoric_confidence,rmse_effect_error,error,0.85,20,4,0.06740007499280296,0.06304870772351873,0.004351367269284229,-0.004351367269284229
Norman_P2,aleatoric_confidence,rmse_effect_error,error,0.9,21,3,0.06663471685143926,0.06304870772351873,0.0035860091279205364,-0.0035860091279205364
Norman_P2,aleatoric_confidence,rmse_effect_error,error,0.95,22,2,0.06609980470685121,0.06304870772351873,0.003051096983332488,-0.003051096983332488
Norman_P2,aleatoric_confidence,rmse_effect_error,error,1.0,24,0,0.06304870772351873,0.06304870772351873,0.0,-0.0
Norman_P2,combined_confidence,pearson_effect_accuracy,accuracy,0.5,12,12,0.7243560507659247,0.6027864520364073,0.12156959872951734,0.12156959872951734
Norman_P2,combined_confidence,pearson_effect_accuracy,accuracy,0.55,13,11,0.7194561117825273,0.6027864520364073,0.11666965974611998,0.11666965974611998
Norman_P2,combined_confidence,pearson_effect_accuracy,accuracy,0.6,14,10,0.7076478586479784,0.6027864520364073,0.10486140661157106,0.10486140661157106
Norman_P2,combined_confidence,pearson_effect_accuracy,accuracy,0.65,15,9,0.713954738450893,0.6027864520364073,0.11116828641448562,0.11116828641448562
Norman_P2,combined_confidence,pearson_effect_accuracy,accuracy,0.7,16,8,0.6466446613666286,0.6027864520364073,0.04385820933022122,0.04385820933022122
Norman_P2,combined_confidence,pearson_effect_accuracy,accuracy,0.75,18,6,0.6672532717652516,0.6027864520364073,0.06446681972884427,0.06446681972884427
Norman_P2,combined_confidence,pearson_effect_accuracy,accuracy,0.8,19,5,0.6655262181513473,0.6027864520364073,0.06273976611493992,0.06273976611493992
Norman_P2,combined_confidence,pearson_effect_accuracy,accuracy,0.85,20,4,0.6522021464495013,0.6027864520364073,0.0494156944130939,0.0494156944130939
Norman_P2,combined_confidence,pearson_effect_accuracy,accuracy,0.9,21,3,0.6500435296680883,0.6027864520364073,0.047257077631680966,0.047257077631680966
