scope,score,baseline,target,coverage,n_retained,raw_delta_retained_mean,favorable_delta_retained_mean,raw_bootstrap_ci95_low,raw_bootstrap_ci95_high,favorable_bootstrap_ci95_low,favorable_bootstrap_ci95_high,bootstrap_valid
Norman_P2,aleatoric_confidence,predicted_magnitude,rmse_effect_error,0.9,21,0.003319573979258042,-0.003319573979258042,-0.00011370381950567832,0.008943653140097901,-0.008943653140097901,0.00011370381950567832,10000
two_panel_macro,aleatoric_confidence,predicted_magnitude,rmse_effect_error,0.9,42,0.001659786989629021,-0.001659786989629021,-0.0004972994451192707,0.0044073755080660075,-0.0044073755080660075,0.0004972994451192707,10000
Norman_P1,combined_confidence,predicted_magnitude,pearson_effect_accuracy,0.95,22,0.0,0.0,-0.004157246592350172,1.1102230246251565e-16,-0.004157246592350172,1.1102230246251565e-16,10000
Norman_P2,combined_confidence,predicted_magnitude,pearson_effect_accuracy,0.95,22,0.0,0.0,-1.1102230246251565e-16,1.1102230246251565e-16,-1.1102230246251565e-16,1.1102230246251565e-16,10000
two_panel_macro,combined_confidence,predicted_magnitude,pearson_effect_accuracy,0.95,44,0.0,0.0,-0.002078623296175086,1.1102230246251565e-16,-0.002078623296175086,1.1102230246251565e-16,10000
Norman_P1,combined_confidence,predicted_magnitude,pearson_effect_accuracy,0.9,21,0.0,0.0,-0.004355210715795477,1.1102230246251565e-16,-0.004355210715795477,1.1102230246251565e-16,10000
Norman_P2,combined_confidence,predicted_magnitude,pearson_effect_accuracy,0.9,21,0.0,0.0,-1.1102230246251565e-16,1.1102230246251565e-16,-1.1102230246251565e-16,1.1102230246251565e-16,10000
two_panel_macro,combined_confidence,predicted_magnitude,pearson_effect_accuracy,0.9,42,0.0,0.0,-0.0021776053578977383,5.551115123125783e-17,-0.0021776053578977383,5.551115123125783e-17,10000
Norman_P1,combined_confidence,predicted_magnitude,cosine_effect_accuracy,0.95,22,0.0,0.0,-0.0037456307935330724,2.220446049250313e-16,-0.0037456307935330724,2.220446049250313e-16,10000
Norman_P2,combined_confidence,predicted_magnitude,cosine_effect_accuracy,0.95,22,0.0,0.0,-1.1102230246251565e-16,1.1102230246251565e-16,-1.1102230246251565e-16,1.1102230246251565e-16,10000
two_panel_macro,combined_confidence,predicted_magnitude,cosine_effect_accuracy,0.95,44,0.0,0.0,-0.0018728153967665362,1.1102230246251565e-16,-0.0018728153967665362,1.1102230246251565e-16,10000
Norman_P1,combined_confidence,predicted_magnitude,cosine_effect_accuracy,0.9,21,0.0,0.0,-0.003923994164653832,2.220446049250313e-16,-0.003923994164653832,2.220446049250313e-16,10000
Norman_P2,combined_confidence,predicted_magnitude,cosine_effect_accuracy,0.9,21,0.0,0.0,-1.1102230246251565e-16,1.1102230246251565e-16,-1.1102230246251565e-16,1.1102230246251565e-16,10000
two_panel_macro,combined_confidence,predicted_magnitude,cosine_effect_accuracy,0.9,42,0.0,0.0,-0.001961997082326916,1.1102230246251565e-16,-0.001961997082326916,1.1102230246251565e-16,10000
Norman_P1,combined_confidence,predicted_magnitude,rmse_effect_error,0.95,22,0.0,-0.0,-1.3877787807814457e-17,0.004125551352051837,-0.004125551352051837,1.3877787807814457e-17,10000
Norman_P2,combined_confidence,predicted_magnitude,rmse_effect_error,0.95,22,0.0,-0.0,-1.3877787807814457e-17,1.3877787807814457e-17,-1.3877787807814457e-17,1.3877787807814457e-17,10000
two_panel_macro,combined_confidence,predicted_magnitude,rmse_effect_error,0.95,44,0.0,-0.0,-6.938893903907228e-18,0.0020627756760259186,-0.0020627756760259186,6.938893903907228e-18,10000
Norman_P1,combined_confidence,predicted_magnitude,rmse_effect_error,0.9,21,0.0,-0.0,-1.3877787807814457e-17,0.00432200617834002,-0.00432200617834002,1.3877787807814457e-17,10000
Norman_P2,combined_confidence,predicted_magnitude,rmse_effect_error,0.9,21,0.0,-0.0,-1.3877787807814457e-17,1.3877787807814457e-17,-1.3877787807814457e-17,1.3877787807814457e-17,10000
two_panel_macro,combined_confidence,predicted_magnitude,rmse_effect_error,0.9,42,0.0,-0.0,-6.938893903907228e-18,0.00216100308917001,-0.00216100308917001,6.938893903907228e-18,10000
