panel,task_id,n_cells,n_genes,gene_order_hash,pearson_effect_accuracy,cosine_effect_accuracy,rmse_effect_error,predicted_magnitude_rms,true_magnitude_rms_diagnostic_only,epistemic_confidence,aleatoric_confidence,combined_confidence
Norman_P1,TSC22D1+ctrl,441,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.7434840284867467,0.7496037816384771,0.023164975463200906,0.015428092038040417,0.032357701857791854,11.06407356262207,-17.507844924926758,4.620302200317383
Norman_P2,ARRDC3+ctrl,495,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.8868306999646266,0.8952955070004133,0.02107091259403701,0.02604808042121511,0.04090871623680519,12.693284034729004,-18.445087432861328,6.94148063659668
Norman_P2,ATL1+ctrl,379,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.6068711940398289,0.6192685693946491,0.10932522049736408,0.016706851249506244,0.11888139192879277,11.172836303710938,-17.972856521606445,4.37281608581543
Norman_P2,BPGM+ctrl,464,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.6762332363630773,0.7024130361311905,0.054839496037899456,0.07390414187518886,0.06741362660368974,18.517026901245117,-17.929685592651367,19.104368209838867
Norman_P2,CBFA2T3+ctrl,658,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.6595112194022645,0.6941071535382541,0.0488739306916217,0.06455565154351146,0.059942414472451216,17.605403900146484,-18.41022491455078,16.800582885742188
Norman_P2,CDKN1C+ctrl,230,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.8545565161437957,0.8700317537995,0.054866649670502074,0.05888477371737553,0.09778924166375753,16.88332748413086,-18.573637008666992,15.193017959594727
Norman_P2,CEBPA+ctrl,460,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.6767675818275743,0.6903946478768702,0.20417999453909513,0.08355872856587548,0.2527150919556034,19.71884536743164,-17.59295654296875,21.84473419189453
Norman_P2,CEBPB+ctrl,488,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.7295633261535558,0.7442654175865943,0.09477535544522322,0.06977194867587065,0.13445671342372342,17.972627639770508,-18.372467041015625,17.57278823852539
Norman_P2,CELF2+ctrl,475,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.5541405678988434,0.565563104127568,0.0443313506286261,0.047357646320884836,0.047757305959029564,15.507811546325684,-18.484893798828125,12.530729293823242
Norman_P2,COL1A1+ctrl,328,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.3281875311038433,0.32968647067082635,0.09015705001943475,0.013992882755824235,0.09379720386341824,10.442489624023438,-17.700576782226562,3.1844024658203125
Norman_P2,COL2A1+ctrl,598,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.399044784114426,0.39393772339954036,0.06753217820013975,0.020341348757039173,0.07290572335477812,11.799964904785156,-18.157468795776367,5.442461013793945
Norman_P2,CSRNP1+ctrl,478,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,-0.040948118645616476,-0.06276354053712827,0.038866281362349674,0.01628364305057825,0.03428343826309502,11.086640357971191,-18.041410446166992,4.131870269775391
Norman_P2,DLX2+ctrl,732,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.6606568439817584,0.702151118955441,0.05132755402416559,0.0565842474846417,0.07153114362768684,16.53831672668457,-18.532007217407227,14.544626235961914
Norman_P2,HK2+ctrl,303,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.8338891279097868,0.8523393300535387,0.030519488907212153,0.05729326053697358,0.04303566004312686,16.699050903320312,-18.613771438598633,14.784330368041992
Norman_P2,HOXA13+ctrl,274,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.9355754692709485,0.9427139968828483,0.10339542455258831,0.05550685043377366,0.15405086365851745,16.48242950439453,-18.380760192871094,14.584098815917969
Norman_P2,NCL+ctrl,237,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.7774136099438466,0.7993520838022316,0.02507642344536263,0.041047261759514515,0.02828075137918161,14.639114379882812,-18.498859405517578,10.779369354248047
Norman_P2,RREB1+ctrl,331,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.5287213133856937,0.5223497145229933,0.05452765366685938,0.014384196842429673,0.06064374012752552,10.593194007873535,-17.814695358276367,3.371692657470703
Norman_P2,SAMD1+ctrl,498,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.9638739478651348,0.9660691547022534,0.022585779740363895,0.07704375807845876,0.08511331866532322,19.145877838134766,-17.91457748413086,20.377178192138672
Norman_P2,SGK1+ctrl,483,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.9525474159085004,0.9571402090067319,0.027369514831733627,0.07116582331914492,0.0861229076068723,18.829179763793945,-17.902328491210938,19.756031036376953
Norman_P2,SLC38A2+ctrl,332,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,-0.3630064948973366,-0.41417292129324085,0.05836490331257548,0.04144621688244203,0.027368818232722688,14.717352867126465,-18.417680740356445,11.017024993896484
Norman_P2,SLC4A1+ctrl,1000,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.6344392531010697,0.6615468580088832,0.041751402627360185,0.023189193568627094,0.053298335142586764,12.261595726013184,-18.30447006225586,6.218721389770508
Norman_P2,SLC6A9+ctrl,558,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.8022510556916957,0.8100237967213134,0.02845379290651066,0.04830668217143196,0.04181385315200822,15.47708797454834,-18.764284133911133,12.189891815185547
Norman_P2,TBX3+ctrl,691,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.811765694182309,0.8308199792086782,0.04182919175157993,0.07380227770792784,0.05340395876725786,18.769445419311523,-18.209745407104492,19.329145431518555
Norman_P2,TP73+ctrl,248,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,0.9634643767854224,0.9665520023329939,0.12084696151623495,0.07396772976013893,0.19084233177484153,18.928556442260742,-17.629838943481445,20.22727394104004
Norman_P2,ZC3HAV1+ctrl,516,2037,sha256:737bde87b28b79317ae85d24e135103745af5de4338e4e62a468d48325af8995,-0.3654753026212737,-0.33949861606730375,0.0783024743956098,0.06444783363537611,0.027683004210161097,17.707595825195312,-18.25814437866211,17.157047271728516
