dataset_name,predictor_name,validation_mode,feature_set,score_name,top_fraction,enrichment,enrichment_ci_low,enrichment_ci_high,n,n_task_clusters
Frangieh,PertMeanPredictor,baseline,none,predicted_magnitude,0.1,8.190673828125,7.10888671875,8.808837890625,633,633
Frangieh,PertMeanPredictor,baseline,none,predicted_magnitude,0.2,4.1993303986607975,3.9246078492156986,4.434806869613739,633,633
Frangieh,PertMeanPredictor,baseline,none,random,0.05,1.8544921875,0.0,3.708984375,633,633
Frangieh,PertMeanPredictor,baseline,none,random,0.1,1.081787109375,0.30908203125,1.8544921875,633,633
Frangieh,PertMeanPredictor,baseline,none,random,0.2,0.9419058838117677,0.6279372558745118,1.2951205902411804,633,633
Frangieh,PertMeanPredictor,lodo_lopo,full,lodo_lopo_full,0.05,7.41796875,4.9453125,11.126953125,633,633
Frangieh,PertMeanPredictor,lodo_lopo,full,lodo_lopo_full,0.1,6.027099609375,4.9453125,7.263427734375,633,633
Frangieh,PertMeanPredictor,lodo_lopo,full,lodo_lopo_full,0.2,4.120838241676483,3.8068696137392273,4.356314712629425,633,633
Frangieh,PertMeanPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,0.05,7.41796875,5.5634765625,11.7451171875,633,633
Frangieh,PertMeanPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,0.1,6.181640625,5.099853515625,7.10888671875,633,633
Frangieh,PertMeanPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,0.2,3.8461156922313844,3.5311659123318244,4.120838241676483,633,633
Frangieh,PertMeanPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,0.05,4.3271484375,1.8544921875,8.0361328125,633,633
Frangieh,PertMeanPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,0.1,2.78173828125,1.699951171875,3.863525390625,633,633
Frangieh,PertMeanPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,0.2,1.8053196106392213,1.4128588257176513,2.237026474052948,633,633
Frangieh,PertMeanPredictor,lopo,full,lopo_full,0.05,6.181640625,3.0908203125,11.126953125,633,633
Frangieh,PertMeanPredictor,lopo,full,lopo_full,0.1,6.7998046875,5.5634765625,7.72705078125,633,633
Frangieh,PertMeanPredictor,lopo,full,lopo_full,0.2,4.317068634137268,4.042346084692169,4.513299026598053,633,633
Frangieh,PertMeanPredictor,lopo,no_disagreement,lopo_no_disagreement,0.05,8.654296875,5.5634765625,12.36328125,633,633
Frangieh,PertMeanPredictor,lopo,no_disagreement,lopo_no_disagreement,0.1,6.7998046875,5.87255859375,7.72705078125,633,633
Frangieh,PertMeanPredictor,lopo,no_disagreement,lopo_no_disagreement,0.2,4.238576477152955,3.9638539277078557,4.474052948105896,633,633
Frangieh,PertMeanPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,0.05,4.3271484375,1.8544921875,8.0361328125,633,633
Frangieh,PertMeanPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,0.1,2.78173828125,1.699951171875,4.01806640625,633,633
Frangieh,PertMeanPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,0.2,2.158534317068634,1.8043384586769173,2.511749023498047,633,633
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,baseline,none,frozen_v0_2,0.05,8.941176470588236,4.470588235294118,13.411764705882355,323,323
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,baseline,none,frozen_v0_2,0.1,7.711662075298438,5.932047750229569,8.898071625344352,323,323
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,baseline,none,frozen_v0_2,0.2,3.74603550295858,3.0579881656804737,4.281183431952663,323,323
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,baseline,none,predicted_magnitude,0.05,3.3529411764705888,0.0,7.823529411764706,323,323
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,baseline,none,predicted_magnitude,0.1,2.6694214876033056,1.1864095500459138,3.855831037649219,323,323
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,baseline,none,predicted_magnitude,0.2,2.446390532544379,1.911242603550296,2.90508875739645,323,323
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,baseline,none,random,0.05,1.1176470588235294,0.0,4.470588235294118,323,323
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,baseline,none,random,0.1,0.8898071625344353,0.0,2.076216712580349,323,323
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,baseline,none,random,0.2,1.2996449704142012,0.7644970414201184,1.7583431952662723,323,323
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lodo_lopo,full,lodo_lopo_full,0.05,1.1176470588235294,0.0,3.3529411764705888,323,323
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lodo_lopo,full,lodo_lopo_full,0.1,0.29660238751147844,0.0,1.4830119375573922,323,323
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lodo_lopo,full,lodo_lopo_full,0.2,1.2231952662721894,0.7644970414201184,1.8347928994082843,323,323
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,0.05,1.1176470588235294,0.0,3.3529411764705888,323,323
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,0.1,0.5932047750229569,0.0,1.4830119375573922,323,323
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,0.2,1.1467455621301776,0.6880473372781065,1.8347928994082843,323,323
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,0.05,0.0,0.0,0.0,323,323
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,0.1,0.0,0.0,0.8898071625344353,323,323
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,0.2,0.7644970414201184,0.30579881656804736,1.2996449704142012,323,323
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lopo,full,lopo_full,0.05,3.3529411764705888,0.0,6.7058823529411775,323,323
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lopo,full,lopo_full,0.1,2.9660238751147845,1.4830119375573922,4.745638200183655,323,323
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lopo,full,lopo_full,0.2,2.5992899408284025,2.0641420118343197,3.1344378698224853,323,323
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lopo,no_disagreement,lopo_no_disagreement,0.05,4.470588235294118,1.1176470588235294,7.823529411764706,323,323
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lopo,no_disagreement,lopo_no_disagreement,0.1,4.745638200183655,2.6694214876033056,6.821854912764004,323,323
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lopo,no_disagreement,lopo_no_disagreement,0.2,3.2108875739644973,2.5992899408284025,3.6695857988165685,323,323
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,0.05,0.0,0.0,0.0,323,323
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,0.1,0.29660238751147844,0.0,1.4830119375573922,323,323
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,0.2,1.8347928994082843,1.2996449704142012,2.3699408284023673,323,323
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,baseline,none,frozen_v0_2,0.05,7.823529411764706,3.3529411764705888,11.176470588235295,323,323
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,baseline,none,frozen_v0_2,0.1,7.711662075298438,5.338842975206611,8.898071625344352,323,323
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,baseline,none,frozen_v0_2,0.2,3.822485207100592,3.363786982248521,4.281183431952663,323,323
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,baseline,none,predicted_magnitude,0.05,3.3529411764705888,0.0,7.823529411764706,323,323
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,baseline,none,predicted_magnitude,0.1,0.8898071625344353,0.29660238751147844,2.9660238751147845,323,323
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,baseline,none,predicted_magnitude,0.2,2.0641420118343197,1.2996449704142012,2.8286390532544377,323,323
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,baseline,none,random,0.05,1.1176470588235294,0.0,3.3529411764705888,323,323
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,baseline,none,random,0.1,0.8898071625344353,0.0,2.076216712580349,323,323
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,baseline,none,random,0.2,0.9173964497041421,0.45869822485207107,1.2996449704142012,323,323
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,lodo_lopo,full,lodo_lopo_full,0.05,1.1176470588235294,0.0,3.3529411764705888,323,323
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,lodo_lopo,full,lodo_lopo_full,0.1,0.8898071625344353,0.29660238751147844,2.9660238751147845,323,323
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,lodo_lopo,full,lodo_lopo_full,0.2,2.0641420118343197,1.2231952662721894,2.752189349112426,323,323
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,0.05,0.0,0.0,4.470588235294118,323,323
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,0.1,0.8898071625344353,0.29660238751147844,2.676836547291086,323,323
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,0.2,2.0641420118343197,1.2996449704142012,2.675739644970414,323,323
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,0.05,0.0,0.0,2.235294117647059,323,323
