dataset_name,predictor_name,validation_mode,feature_set,score_name,n,n_task_clusters,aligned_rho,partial_rho_control_magnitude,excess_aurc,aurc_reduction_vs_random_pct,top5_enrichment,top10_enrichment,top20_enrichment
CuiHacohen2023,PertMeanPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,1253,1253,0.7263394643735364,0.5663557878289371,0.02403361480690472,35.53565224074341,4.1040564373897706,4.182980599647266,2.784400247615117
Frangieh,Control1NNPredictor,lodo_lopo,full,lodo_lopo_full,633,633,0.772177831357302,0.5905642663445647,0.0014722887859258058,15.307633929735804,8.0361328125,4.481689453125,3.8461156922313844
Frangieh,Control1NNPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,633,633,0.7592354064331897,0.4189036455111096,0.001666420225143156,14.991040824252552,8.0361328125,5.099853515625,3.6498852997705997
Frangieh,Control1NNPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,633,633,0.3218503386974873,-0.11560989895251444,0.00844641990194303,3.934093214389766,8.0361328125,3.554443359375,2.08004216008432
Frangieh,Control1NNPredictor,lopo,full,lopo_full,633,633,0.8401482082191163,0.7384164855972378,0.0011391716968585514,15.85088737772197,8.0361328125,4.481689453125,4.1993303986607975
Frangieh,Control1NNPredictor,lopo,no_disagreement,lopo_no_disagreement,633,633,0.8410508938249444,0.6555908729998672,0.001238346575751087,15.68915116940303,9.2724609375,5.25439453125,4.042346084692169
Frangieh,Control1NNPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,633,633,0.5986482040207322,0.07368648780837103,0.0036599522026361173,11.739952375214497,8.0361328125,3.708984375,2.3940107880215757
Frangieh,PertMeanPredictor,lodo_lopo,full,lodo_lopo_full,633,633,0.6688136625550959,0.3986055468469707,0.002163296602983901,15.357808822767009,7.41796875,6.027099609375,4.120838241676483
Frangieh,PertMeanPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,633,633,0.5730577505166413,-0.00563742855806147,0.002916071305382968,14.068139695272322,7.41796875,6.181640625,3.8461156922313844
Frangieh,PertMeanPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,633,633,0.12187457859499365,-0.3765584909265419,0.010179843020642926,1.6236963571994187,4.3271484375,2.78173828125,1.8053196106392213
Frangieh,PertMeanPredictor,lopo,full,lopo_full,633,633,0.8299275726028642,0.700259941520894,0.0015115899766917004,16.474326040248105,6.181640625,6.7998046875,4.317068634137268
Frangieh,PertMeanPredictor,lopo,no_disagreement,lopo_no_disagreement,633,633,0.7884743559779284,0.5167752735761368,0.001779514998868574,16.015311372933123,8.654296875,6.7998046875,4.238576477152955
Frangieh,PertMeanPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,633,633,0.5054244577596405,-0.012736402129905122,0.004265902489475094,11.755581103830252,4.3271484375,2.78173828125,2.158534317068634
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lodo_lopo,full,lodo_lopo_full,323,323,0.3091577453236975,0.22930181943651978,0.37066952812124226,38.39903218868804,1.1176470588235294,0.29660238751147844,1.2231952662721894
