dataset_name,predictor_name,validation_mode,feature_set,score_name,magnitude_bin,n,mag_min,mag_max,within_bin_rho_risk_vs_error
Frangieh,Control1NNPredictor,baseline,none,frozen_v0_2,0,159,2.105267286300659,2.5118207931518555,0.5044465560828323
Frangieh,Control1NNPredictor,baseline,none,frozen_v0_2,1,158,2.5121395587921143,2.8305065631866455,0.25324980570039685
Frangieh,Control1NNPredictor,baseline,none,frozen_v0_2,2,158,2.834611177444458,3.2675139904022217,-0.1429457012954224
Frangieh,Control1NNPredictor,baseline,none,frozen_v0_2,3,158,3.270176410675049,8.537299156188965,0.1721134969825807
Frangieh,Control1NNPredictor,baseline,none,predicted_magnitude,0,159,2.105267286300659,2.5118207931518555,0.8904705678305456
Frangieh,Control1NNPredictor,baseline,none,predicted_magnitude,1,158,2.5121395587921143,2.8305065631866455,0.806630926957115
Frangieh,Control1NNPredictor,baseline,none,predicted_magnitude,2,158,2.834611177444458,3.2675139904022217,0.7047832892937503
Frangieh,Control1NNPredictor,baseline,none,predicted_magnitude,3,158,3.270176410675049,8.537299156188965,0.8463295006139685
Frangieh,Control1NNPredictor,baseline,none,random,0,159,2.105267286300659,2.5118207931518555,-0.004497682866748855
Frangieh,Control1NNPredictor,baseline,none,random,1,158,2.5121395587921143,2.8305065631866455,0.03339027941659013
Frangieh,Control1NNPredictor,baseline,none,random,2,158,2.834611177444458,3.2675139904022217,-0.04804561313680827
Frangieh,Control1NNPredictor,baseline,none,random,3,158,3.270176410675049,8.537299156188965,-0.04941130118346977
Frangieh,Control1NNPredictor,lodo_lopo,full,lodo_lopo_full,0,159,2.105267286300659,2.5118207931518555,0.49588954391018386
Frangieh,Control1NNPredictor,lodo_lopo,full,lodo_lopo_full,1,158,2.5121395587921143,2.8305065631866455,0.5754072449667933
Frangieh,Control1NNPredictor,lodo_lopo,full,lodo_lopo_full,2,158,2.834611177444458,3.2675139904022217,0.6685246600706647
Frangieh,Control1NNPredictor,lodo_lopo,full,lodo_lopo_full,3,158,3.270176410675049,8.537299156188965,0.5370535038786048
Frangieh,Control1NNPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,0,159,2.105267286300659,2.5118207931518555,0.339798397481007
Frangieh,Control1NNPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,1,158,2.5121395587921143,2.8305065631866455,0.42133678970455324
Frangieh,Control1NNPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,2,158,2.834611177444458,3.2675139904022217,0.5396495781288343
Frangieh,Control1NNPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,3,158,3.270176410675049,8.537299156188965,0.5361371182989516
Frangieh,Control1NNPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,0,159,2.105267286300659,2.5118207931518555,-0.023160503846767776
Frangieh,Control1NNPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,1,158,2.5121395587921143,2.8305065631866455,0.019321823075622035
Frangieh,Control1NNPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,2,158,2.834611177444458,3.2675139904022217,-0.028717383367769057
Frangieh,Control1NNPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,3,158,3.270176410675049,8.537299156188965,-0.046927615747360096
Frangieh,Control1NNPredictor,lopo,full,lopo_full,0,159,2.105267286300659,2.5118207931518555,0.7273046866382822
Frangieh,Control1NNPredictor,lopo,full,lopo_full,1,158,2.5121395587921143,2.8305065631866455,0.7559696809993951
Frangieh,Control1NNPredictor,lopo,full,lopo_full,2,158,2.834611177444458,3.2675139904022217,0.6961691407698114
Frangieh,Control1NNPredictor,lopo,full,lopo_full,3,158,3.270176410675049,8.537299156188965,0.6027811141333448
Frangieh,Control1NNPredictor,lopo,no_disagreement,lopo_no_disagreement,0,159,2.105267286300659,2.5118207931518555,0.6047653987595624
Frangieh,Control1NNPredictor,lopo,no_disagreement,lopo_no_disagreement,1,158,2.5121395587921143,2.8305065631866455,0.6902537000074267
Frangieh,Control1NNPredictor,lopo,no_disagreement,lopo_no_disagreement,2,158,2.834611177444458,3.2675139904022217,0.6442734833099972
Frangieh,Control1NNPredictor,lopo,no_disagreement,lopo_no_disagreement,3,158,3.270176410675049,8.537299156188965,0.6335456311826411
Frangieh,Control1NNPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,0,159,2.105267286300659,2.5118207931518555,0.40765183830087287
Frangieh,Control1NNPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,1,158,2.5121395587921143,2.8305065631866455,0.21545756968433363
