raw_gene,scgpt_token
Ptprn2,PTPRN2
Dock3,DOCK3
Ntrk2,NTRK2
R3hdm1,R3HDM1
Pde10a,PDE10A
Pcdh7,PCDH7
Csmd3,CSMD3
Prkn,PRKN
Cadm1,CADM1
Grid2,GRID2
Epha6,EPHA6
Cmss1,CMSS1
Ttc3,TTC3
Gabrb3,GABRB3
Ppp3ca,PPP3CA
Gphn,GPHN
Ryr2,RYR2
Ppfia2,PPFIA2
Tanc2,TANC2
Nrcam,NRCAM
Ube2e2,UBE2E2
Afm,AFM
Mycbp2,MYCBP2
Myt1l,MYT1L
Tenm4,TENM4
Sorbs2,SORBS2
Samd12,SAMD12
Dpp6,DPP6
Cacnb4,CACNB4
Hcn1,HCN1
Dgki,DGKI
Slc24a2,SLC24A2
Atxn1,ATXN1
Cacna1a,CACNA1A
Kcnq3,KCNQ3
Map2,MAP2
Akap6,AKAP6
Cnksr2,CNKSR2
Epha5,EPHA5
App,APP
Srrm2,SRRM2
Syne1,SYNE1
Stxbp5l,STXBP5L
Gpr158,GPR158
Prkce,PRKCE
Atrnl1,ATRNL1
Tmem178b,TMEM178B
Cntn1,CNTN1
Gabrb1,GABRB1
Macf1,MACF1
Pbx1,PBX1
Pclo,PCLO
Ntrk3,NTRK3
Ncam2,NCAM2
Robo2,ROBO2
Atp2b1,ATP2B1
Tmeff2,TMEFF2
Sgip1,SGIP1
Nav2,NAV2
Frmd5,FRMD5
Prkcb,PRKCB
Chrm3,CHRM3
Mgat4c,MGAT4C
Rtn3,RTN3
Otud7a,OTUD7A
B3galt1,B3GALT1
Kcnb2,KCNB2
Kcnj3,KCNJ3
Magi1,MAGI1
Strbp,STRBP
Pex5l,PEX5L
Khdrbs3,KHDRBS3
Dip2c,DIP2C
Prickle2,PRICKLE2
Tnik,TNIK
Setbp1,SETBP1
Exoc4,EXOC4
Kcnq1ot1,KCNQ1OT1
Pde1a,PDE1A
Enox1,ENOX1
Ahi1,AHI1
Hecw2,HECW2
Marchf1,MARCHF1
Pcsk2,PCSK2
Erbb4,ERBB4
Dock4,DOCK4
Astn2,ASTN2
Fbxl17,FBXL17
Fam135b,FAM135B
Luc7l2,LUC7L2
Brinp1,BRINP1
Gabrb2,GABRB2
Gpm6a,GPM6A
Cacna1c,CACNA1C
Cttnbp2,CTTNBP2
Rapgef4,RAPGEF4
Akt3,AKT3
Chsy3,CHSY3
Asap1,ASAP1
Mbd5,MBD5
Dok6,DOK6
Dst,DST
Celf4,CELF4
Tnr,TNR
Rasal2,RASAL2
Rsrp1,RSRP1
Spock1,SPOCK1
Rtn1,RTN1
Tspan5,TSPAN5
Rabgap1l,RABGAP1L
Pam,PAM
Slc4a10,SLC4A10
Hecw1,HECW1
Ncam1,NCAM1
Cntn3,CNTN3
Map1b,MAP1B
Prickle1,PRICKLE1
Herc1,HERC1
Camk2a,CAMK2A
Grid1,GRID1
Clstn2,CLSTN2
Fut9,FUT9
Unc80,UNC80
Pcdh15,PCDH15
Cacna2d1,CACNA2D1
Camta1,CAMTA1
Adam22,ADAM22
Lrrtm3,LRRTM3
Mctp1,MCTP1
Mmp16,MMP16
Rgs7bp,RGS7BP
Ext1,EXT1
Atp1b1,ATP1B1
Nptn,NPTN
Rbm39,RBM39
Trio,TRIO
Plekha5,PLEKHA5
Nebl,NEBL
Hs6st3,HS6ST3
Ptprg,PTPRG
Prkca,PRKCA
Sipa1l1,SIPA1L1
Sptbn1,SPTBN1
Plxna4,PLXNA4
Dscam,DSCAM
Dync1i1,DYNC1I1
Ppm1e,PPM1E
Camk1d,CAMK1D
Mast4,MAST4
Trim9,TRIM9
Cacna2d3,CACNA2D3
Slc35f1,SLC35F1
Vps13b,VPS13B
Zcchc7,ZCCHC7
Sox5,SOX5
Slit3,SLIT3
Scn2a,SCN2A
Nol4,NOL4
Atp2b2,ATP2B2
Aak1,AAK1
Syn2,SYN2
Ssbp2,SSBP2
Kcnc2,KCNC2
Csrnp3,CSRNP3
Dennd1a,DENND1A
Unc79,UNC79
Iqsec1,IQSEC1
Cdh11,CDH11
Phf20l1,PHF20L1
Ndrg4,NDRG4
Exoc6b,EXOC6B
Ptk2,PTK2
Khdrbs2,KHDRBS2
Unc5c,UNC5C
Cdh18,CDH18
Rere,RERE
Grm8,GRM8
Scn1a,SCN1A
Apc,APC
Sptan1,SPTAN1
Msra,MSRA
Rbfox2,RBFOX2
Cpeb3,CPEB3
Hivep3,HIVEP3
Tjp1,TJP1
Tmem132d,TMEM132D
Kif1b,KIF1B
Hnrnpu,HNRNPU
Atp1a3,ATP1A3
Chd9,CHD9
Fat3,FAT3
Fus,FUS
Aff3,AFF3
Cacnb2,CACNB2
Cacna1e,CACNA1E
Nos1ap,NOS1AP
Nedd4l,NEDD4L
Gpc6,GPC6
Sh3gl2,SH3GL2
Gabbr2,GABBR2
Itpr1,ITPR1
Tenm1,TENM1
Galnt13,GALNT13
Zeb2,ZEB2
Gpatch8,GPATCH8
Cdk14,CDK14
Ldb2,LDB2
Usp34,USP34
Cacna1d,CACNA1D
Smyd3,SMYD3
Ldlrad4,LDLRAD4
Snap91,SNAP91
Srsf11,SRSF11
Rgs6,RGS6
Vsnl1,VSNL1
Klf12,KLF12
Eml6,EML6
Kirrel3,KIRREL3
Fmn2,FMN2
Peg3,PEG3
Ncald,NCALD
Astn1,ASTN1
Scn8a,SCN8A
Pnisr,PNISR
Edil3,EDIL3
Pde4dip,PDE4DIP
Kcnab1,KCNAB1
Clasp2,CLASP2
Myo9a,MYO9A
Atp8a1,ATP8A1
Kif21a,KIF21A
Pak3,PAK3
Cdc42bpa,CDC42BPA
Amph,AMPH
Ralgapa1,RALGAPA1
Kansl1,KANSL1
Zranb2,ZRANB2
Myo5a,MYO5A
Nlk,NLK
Nell2,NELL2
Ckb,CKB
Chn1,CHN1
Pde4b,PDE4B
Zfpm2,ZFPM2
Tspan7,TSPAN7
Apba1,APBA1
Prkg1,PRKG1
Slc2a13,SLC2A13
Gpm6b,GPM6B
Atp6v0a1,ATP6V0A1
Ssh2,SSH2
Sorbs1,SORBS1
Srgap3,SRGAP3
Ankrd17,ANKRD17
Srpk2,SRPK2
Arl15,ARL15
Ccdc88a,CCDC88A
Dnajc6,DNAJC6
Atp8a2,ATP8A2
Birc6,BIRC6
Sf3b1,SF3B1
Adcy2,ADCY2
Pafah1b1,PAFAH1B1
Osbpl6,OSBPL6
Mical2,MICAL2
Gucy1a2,GUCY1A2
Cdh12,CDH12
Sh3rf3,SH3RF3
Fgfr2,FGFR2
Dnm3,DNM3
Stau2,STAU2
Flrt2,FLRT2
Cdh8,CDH8
Faf1,FAF1
Stag1,STAG1
Tox,TOX
Snrnp70,SNRNP70
Jmjd1c,JMJD1C
Ptprt,PTPRT
Vti1a,VTI1A
Slc35f4,SLC35F4
Dgkb,DGKB
Rbm6,RBM6
Nsf,NSF
Neto1,NETO1
Tlk1,TLK1
Dlg1,DLG1
Ttc14,TTC14
Wwox,WWOX
Eif4g3,EIF4G3
Akap8l,AKAP8L
Csmd2,CSMD2
Trim2,TRIM2
Rbfox3,RBFOX3
Fry,FRY
Aopep,AOPEP
Kif5c,KIF5C
Klhl29,KLHL29
Rock2,ROCK2
Apba2,APBA2
Nalcn,NALCN
Me3,ME3
Cplane1,CPLANE1
Ptprs,PTPRS
Tafa1,TAFA1
Rasgrf1,RASGRF1
Mbnl2,MBNL2
Prkch,PRKCH
Gnaq,GNAQ
Dtna,DTNA
Tmem132b,TMEM132B
Bicd1,BICD1
Srsf5,SRSF5
Dcc,DCC
Zmat4,ZMAT4
Grin1,GRIN1
Rapgef5,RAPGEF5
Epb41l3,EPB41L3
Huwe1,HUWE1
Ogt,OGT
Gls,GLS
Nxph1,NXPH1
Ehbp1,EHBP1
Nfib,NFIB
Shisa9,SHISA9
Mllt3,MLLT3
Mapt,MAPT
Sema6d,SEMA6D
Gnao1,GNAO1
Sobp,SOBP
Kcnt2,KCNT2
Ubr3,UBR3
Ralgapa2,RALGAPA2
Arhgap32,ARHGAP32
Fam189a1,FAM189A1
Cyfip2,CYFIP2
Elavl2,ELAVL2
Sbf2,SBF2
Ablim1,ABLIM1
Tnrc6b,TNRC6B
Fam172a,FAM172A
Ppp1r9a,PPP1R9A
Jazf1,JAZF1
Mrtfb,MRTFB
Gucy1b2,GUCY1B2
Cpe,CPE
Rab3c,RAB3C
Sv2b,SV2B
Garnl3,GARNL3
Jakmip2,JAKMIP2
Nf1,NF1
Srgap2,SRGAP2
Tmcc1,TMCC1
Aig1,AIG1
Dscaml1,DSCAML1
Esrrg,ESRRG
Efna5,EFNA5
Cdh10,CDH10
R3hdm2,R3HDM2
Psd3,PSD3
Homer1,HOMER1
Acap2,ACAP2
Kmt2e,KMT2E
Immp2l,IMMP2L
Tra2a,TRA2A
Eml5,EML5
Luzp2,LUZP2
Cdh13,CDH13
Ica1,ICA1
Syt16,SYT16
Ecpas,ECPAS
Mllt10,MLLT10
Unc5d,UNC5D
Sgcd,SGCD
Cap2,CAP2
Cers6,CERS6
Rbms3,RBMS3
Dmxl1,DMXL1
Ano3,ANO3
Rimbp2,RIMBP2
Trip12,TRIP12
Ppp1r12a,PPP1R12A
Efr3a,EFR3A
Atrx,ATRX
