fold_id,task_id,split,setting,context,perturbation,risk_model_disagreement,baseline_predicted_magnitude,context_novelty_scaled,training_support_count,perturbation_novelty,risk_disagreement_z,predicted_magnitude_z,safeconf_frozen_pair_risk,safeconf_calibrated_pair_risk,test_truth_used_for_score_or_threshold,dataset,error_scgpt_rmse,error_gears_rmse,error_two_predictor_mean_rmse,error_two_predictor_max_rmse
Santinha_context_holdout_3_Neurons_L_2_3,Neurons_L_2_3::Arvcf,test,context_unseen_row,Neurons_L_2_3,Arvcf,0.03582868234800425,0.015476642176508904,0.28195136321706105,2,0.3333333333333333,2.900034243203347,2.4760821868423872,3.5153189397537417,0.06107759603641222,False,Santinha,0.03883702040329879,0.044682460435159034,0.04175974041922891,0.044682460435159034
Santinha_context_holdout_3_Neurons_L_2_3,Neurons_L_2_3::Ccdc74a,test,context_unseen_row,Neurons_L_2_3,Ccdc74a,0.031202635585716395,0.014000634662806988,0.28195136321706105,4,0.2,0.5538465349919126,0.5483871434265785,1.0357978982089737,0.05574826518995699,False,Santinha,0.03248745927148993,0.03740915622981814,0.03494830775065404,0.03740915622981814
Santinha_context_holdout_3_Neurons_L_2_3,Neurons_L_2_3::Crkl,test,context_unseen_row,Neurons_L_2_3,Crkl,0.02947577614636188,0.013497969135642052,0.28195136321706105,2,0.3333333333333333,-0.32196311385364434,-0.10810398972596702,0.29332158269675,0.05383738699924082,False,Santinha,0.0347395397856872,0.036764908071965426,0.035752223928826314,0.036764908071965426
Santinha_context_holdout_3_Neurons_L_2_3,Neurons_L_2_3::Dgcr14,test,context_unseen_row,Neurons_L_2_3,Dgcr14,0.04424034307850955,0.02121780253946781,0.28195136321706105,4,0.2,5.0,5.0,5.481951363217061,0.06684119540641295,False,Santinha,0.05860301189828296,0.05171700352436584,0.0551600077113244,0.05860301189828296
Santinha_context_holdout_3_Neurons_L_2_3,Neurons_L_2_3::Dgcr6,test,context_unseen_row,Neurons_L_2_3,Dgcr6,0.030403713064635608,0.013639861717820168,0.28195136321706105,4,0.2,0.14865776473269915,0.07721053260746305,0.6306091279497602,0.054655853806068286,False,Santinha,0.04427958693440333,0.04870603572408618,0.04649281132924475,0.04870603572408618
Santinha_context_holdout_3_Neurons_L_2_3,Neurons_L_2_3::Dgcr8,test,context_unseen_row,Neurons_L_2_3,Dgcr8,0.028982077729980654,0.014838163740932941,0.28195136321706105,3,0.25,-0.5723516671038559,1.6422167056967243,-0.04040030388679483,0.055702425983144996,False,Santinha,0.04073420859524403,0.03776988640046635,0.039252047497855186,0.04073420859524403
Santinha_context_holdout_3_Neurons_L_2_3,Neurons_L_2_3::Hic2,test,context_unseen_row,Neurons_L_2_3,Hic2,0.02951158482604229,0.013336929492652416,0.28195136321706105,3,0.25,-0.3038020600574845,-0.31842495266333126,0.22814930315957654,0.0535983836090937,False,Santinha,0.03441810979135496,0.034919421776765526,0.034668765784060245,0.034919421776765526
Santinha_context_holdout_3_Neurons_L_2_3,Neurons_L_2_3::Lztr1,test,context_unseen_row,Neurons_L_2_3,Lztr1,0.029541308289521395,0.01333443820476532,0.28195136321706105,2,0.3333333333333333,-0.28872723953715373,-0.3216786239807846,0.3265574570132406,0.05361316644948379,False,Santinha,0.03687220243915448,0.03697825472496648,0.03692522858206048,0.03697825472496648
Santinha_context_holdout_3_Neurons_L_2_3,Neurons_L_2_3::Med15,test,context_unseen_row,Neurons_L_2_3,Med15,0.029960005274239015,0.01348866242915392,0.28195136321706105,2,0.3333333333333333,-0.07637709058970915,-0.12025873270739189,0.5389076059606852,0.054129045140569036,False,Santinha,0.03208829419268943,0.03269193825510023,0.03239011622389483,0.03269193825510023
Santinha_context_holdout_3_Neurons_L_2_3,Neurons_L_2_3::Mrpl40,test,context_unseen_row,Neurons_L_2_3,Mrpl40,0.03147416006218445,0.015271284617483616,0.28195136321706105,4,0.2,0.6915553438092374,2.2078811479004115,1.1735067070262986,0.05798509805185885,False,Santinha,0.044041042036687454,0.05170110844215461,0.04787107523942103,0.05170110844215461
