dataset_name,predictor_name,score_name,score_type,coverage,n_kept,mean_rmse,median_rmse,full_mean_rmse,rmse_delta_vs_full
sciplex3_official_3cell,V0StrongBaseline,context_similarity_score,confidence,0.8,1784,0.06515144792374906,0.054131342359143776,0.0652525265217671,0.00010107859801804231
sciplex3_official_3cell,V0StrongBaseline,context_similarity_score,confidence,0.7,1561,0.06493934128596764,0.054136652356196135,0.0652525265217671,0.0003131852357994708
sciplex3_official_3cell,V0StrongBaseline,context_similarity_score,confidence,0.6,1338,0.06468990083866442,0.05341349083517332,0.0652525265217671,0.0005626256831026827
sciplex3_official_3cell,V0StrongBaseline,context_similarity_score,confidence,0.5,1115,0.06601946287432263,0.05479434951703928,0.0652525265217671,-0.0007669363525555223
sciplex3_official_3cell,V0StrongBaseline,historical_residual_risk,risk,1.0,2229,0.0652525265217671,0.05389993807312226,0.0652525265217671,0.0
sciplex3_official_3cell,V0StrongBaseline,historical_residual_risk,risk,0.9,2007,0.060981262028515504,0.052367191050831034,0.0652525265217671,0.004271264493251603
sciplex3_official_3cell,V0StrongBaseline,historical_residual_risk,risk,0.8,1784,0.062108147202044536,0.05288858541839235,0.0652525265217671,0.0031443793197225706
sciplex3_official_3cell,V0StrongBaseline,historical_residual_risk,risk,0.7,1561,0.06385593045470896,0.05397019120632225,0.0652525265217671,0.0013965960670581506
sciplex3_official_3cell,V0StrongBaseline,historical_residual_risk,risk,0.6,1338,0.0636543678715183,0.05396225069839877,0.0652525265217671,0.0015981586502488015
sciplex3_official_3cell,V0StrongBaseline,historical_residual_risk,risk,0.5,1115,0.06302721601106938,0.053208315064463434,0.0652525265217671,0.0022253105106977283
sciplex3_official_3cell,V0StrongBaseline,learned_risk_score,risk,1.0,2229,0.0652525265217671,0.05389993807312226,0.0652525265217671,0.0
sciplex3_official_3cell,V0StrongBaseline,learned_risk_score,risk,0.9,2007,0.05698692489261916,0.05220472999304767,0.0652525265217671,0.008265601629147946
sciplex3_official_3cell,V0StrongBaseline,learned_risk_score,risk,0.8,1784,0.052962326243418574,0.050317370232431505,0.0652525265217671,0.012290200278348533
sciplex3_official_3cell,V0StrongBaseline,learned_risk_score,risk,0.7,1561,0.050415872254828784,0.04879387917332083,0.0652525265217671,0.014836654266938323
sciplex3_official_3cell,V0StrongBaseline,learned_risk_score,risk,0.6,1338,0.04864270213636246,0.0472123725238171,0.0652525265217671,0.016609824385404648
sciplex3_official_3cell,V0StrongBaseline,learned_risk_score,risk,0.5,1115,0.04693298253050779,0.045891666575130746,0.0652525265217671,0.01831954399125932
sciplex3_official_3cell,V0StrongBaseline,model_disagreement_risk,risk,1.0,2229,0.0652525265217671,0.05389993807312226,0.0652525265217671,0.0
sciplex3_official_3cell,V0StrongBaseline,model_disagreement_risk,risk,0.9,2007,0.056805174342225144,0.05220472999304767,0.0652525265217671,0.008447352179541963
sciplex3_official_3cell,V0StrongBaseline,model_disagreement_risk,risk,0.8,1784,0.05327479177595134,0.05028697811012131,0.0652525265217671,0.011977734745815767
sciplex3_official_3cell,V0StrongBaseline,model_disagreement_risk,risk,0.7,1561,0.051625974530172265,0.048741461563009576,0.0652525265217671,0.013626551991594842
sciplex3_official_3cell,V0StrongBaseline,model_disagreement_risk,risk,0.6,1338,0.050065621002313515,0.04747926651539897,0.0652525265217671,0.015186905519453592
sciplex3_official_3cell,V0StrongBaseline,model_disagreement_risk,risk,0.5,1115,0.048744910256673366,0.04692959711840667,0.0652525265217671,0.01650761626509374
sciplex3_official_3cell,V0StrongBaseline,ood_distance_risk,risk,1.0,2229,0.06525252652176712,0.05389993807312226,0.06525252652176712,0.0
sciplex3_official_3cell,V0StrongBaseline,ood_distance_risk,risk,0.9,2007,0.06656470179240777,0.05439351560594294,0.06525252652176712,-0.0013121752706406475
sciplex3_official_3cell,V0StrongBaseline,ood_distance_risk,risk,0.8,1784,0.06783257430820734,0.05506403249894093,0.06525252652176712,-0.0025800477864402205
sciplex3_official_3cell,V0StrongBaseline,ood_distance_risk,risk,0.7,1561,0.06956869373737097,0.055944865468931584,0.06525252652176712,-0.00431616721560385
sciplex3_official_3cell,V0StrongBaseline,ood_distance_risk,risk,0.6,1338,0.07040070259519476,0.056886359770220746,0.06525252652176712,-0.005148176073427643
sciplex3_official_3cell,V0StrongBaseline,ood_distance_risk,risk,0.5,1115,0.06847041242733028,0.05565924278081662,0.06525252652176712,-0.003217885905563156
sciplex3_official_3cell,V0StrongBaseline,perturbation_stability_score,confidence,1.0,1008,0.061234475227572284,0.049640626022898725,0.061234475227572284,0.0
sciplex3_official_3cell,V0StrongBaseline,perturbation_stability_score,confidence,0.9,908,0.06252615732570989,0.05030016042562513,0.061234475227572284,-0.0012916820981376045
sciplex3_official_3cell,V0StrongBaseline,perturbation_stability_score,confidence,0.8,807,0.06435147417693214,0.05161253573699746,0.061234475227572284,-0.0031169989493598574
sciplex3_official_3cell,V0StrongBaseline,perturbation_stability_score,confidence,0.7,706,0.0664676145919927,0.05262643518020521,0.061234475227572284,-0.005233139364420415
sciplex3_official_3cell,V0StrongBaseline,perturbation_stability_score,confidence,0.6,605,0.0693427859950451,0.05425787676641412,0.061234475227572284,-0.008108310767472822
sciplex3_official_3cell,V0StrongBaseline,perturbation_stability_score,confidence,0.5,504,0.07405991469253423,0.05812591021302865,0.061234475227572284,-0.012825439464961945
sciplex3_official_3cell,V0StrongBaseline,prediction_magnitude_risk,risk,1.0,2229,0.0652525265217671,0.05389993807312226,0.0652525265217671,0.0
sciplex3_official_3cell,V0StrongBaseline,prediction_magnitude_risk,risk,0.9,2007,0.05964957258274633,0.052967530785915776,0.0652525265217671,0.005602953939020779
sciplex3_official_3cell,V0StrongBaseline,prediction_magnitude_risk,risk,0.8,1784,0.06001565481402334,0.05344786801857612,0.0652525265217671,0.0052368717077437635
sciplex3_official_3cell,V0StrongBaseline,prediction_magnitude_risk,risk,0.7,1561,0.0600669889718929,0.05455858325512968,0.0652525265217671,0.005185537549874206
sciplex3_official_3cell,V0StrongBaseline,prediction_magnitude_risk,risk,0.6,1338,0.06152163603080322,0.055870069649145024,0.0652525265217671,0.003730890490963888
sciplex3_official_3cell,V0StrongBaseline,prediction_magnitude_risk,risk,0.5,1115,0.0628155388891279,0.057216550410521275,0.0652525265217671,0.0024369876326392065
sciplex3_official_3cell,V0StrongBaseline,random_score,confidence,1.0,2229,0.0652525265217671,0.05389993807312226,0.0652525265217671,0.0
sciplex3_official_3cell,V0StrongBaseline,random_score,confidence,0.9,2007,0.06522164942108669,0.05397983108593307,0.0652525265217671,3.087710068042093e-05
sciplex3_official_3cell,V0StrongBaseline,random_score,confidence,0.8,1784,0.06505793552867367,0.05389198294109517,0.0652525265217671,0.0001945909930934353
sciplex3_official_3cell,V0StrongBaseline,random_score,confidence,0.7,1561,0.06509255882874428,0.05389993807312226,0.0652525265217671,0.00015996769302283054
sciplex3_official_3cell,V0StrongBaseline,random_score,confidence,0.6,1338,0.06498306103185736,0.05378914451303393,0.0652525265217671,0.00026946548990974817
sciplex3_official_3cell,V0StrongBaseline,random_score,confidence,0.5,1115,0.06540089973270771,0.05363106096017448,0.0652525265217671,-0.00014837321094060552
sciplex3_official_3cell,V0StrongBaseline,simple_combined_confidence,confidence,1.0,2229,0.0652525265217671,0.05389993807312226,0.0652525265217671,0.0
sciplex3_official_3cell,V0StrongBaseline,simple_combined_confidence,confidence,0.9,2007,0.05687137202552857,0.05220472999304767,0.0652525265217671,0.008381154496238538
sciplex3_official_3cell,V0StrongBaseline,simple_combined_confidence,confidence,0.8,1784,0.0535757209895122,0.0503343226815433,0.0652525265217671,0.011676805532254905
sciplex3_official_3cell,V0StrongBaseline,simple_combined_confidence,confidence,0.7,1561,0.051900213493364405,0.04903847694777465,0.0652525265217671,0.013352313028402701
sciplex3_official_3cell,V0StrongBaseline,simple_combined_confidence,confidence,0.6,1338,0.05091412909945019,0.048303396481787844,0.0652525265217671,0.01433839742231692
sciplex3_official_3cell,V0StrongBaseline,simple_combined_confidence,confidence,0.5,1115,0.049936581130531885,0.047460607957397996,0.0652525265217671,0.015315945391235222
sciplex3_official_3cell,V0StrongBaseline,support_count_score,confidence,1.0,2229,0.0652525265217671,0.05389993807312226,0.0652525265217671,0.0
sciplex3_official_3cell,V0StrongBaseline,support_count_score,confidence,0.9,2007,0.06487210290857748,0.05361128424072223,0.0652525265217671,0.0003804236131896288
sciplex3_official_3cell,V0StrongBaseline,support_count_score,confidence,0.8,1784,0.06494818690771849,0.053095934000713566,0.0652525265217671,0.0003043396140486182
sciplex3_official_3cell,V0StrongBaseline,support_count_score,confidence,0.7,1561,0.06479679598281228,0.05255055521673644,0.0652525265217671,0.0004557305389548266
sciplex3_official_3cell,V0StrongBaseline,support_count_score,confidence,0.6,1338,0.06409498150734079,0.05160419111639929,0.0652525265217671,0.0011575450144263172
sciplex3_official_3cell,V0StrongBaseline,support_count_score,confidence,0.5,1115,0.06293923018038201,0.05108878173144292,0.0652525265217671,0.002313296341385093
