manifest_id,evidence_role,reference_set,score_name,n_tasks,n_finite,n_nan,n_infinite,n_unique_rounded_12dp,minimum,maximum,standard_deviation,estimability
E81_r2_p25,formal_manifest,official_gt30_train_conditions,cpa_ridge_disagreement_rmse,92,92,0,0,92,0.2352413684129715,0.4631548523902893,0.07305643620535868,ESTIMABLE
E81_r2_p25,formal_manifest,perturbed_train_only,native_cosine_distance,92,92,0,0,92,0.001299821737717144,0.9199530581068275,0.4053782441819652,ESTIMABLE
E81_r2_p25,formal_manifest,perturbed_train_only,native_euclidean_distance,92,92,0,0,80,0.31545063926823713,8.161791016594718,3.0864269374740276,ESTIMABLE
E81_r2_p25,formal_manifest,perturbed_train_only,predicted_magnitude_cpa,92,92,0,0,92,0.236754834651947,0.3838720917701721,0.04746662871870384,ESTIMABLE
E81_r2_p25,formal_manifest,perturbed_train_only,cpa_ridge_disagreement_rmse,92,92,0,0,92,0.2352413684129715,0.4631548523902893,0.07305643620535868,ESTIMABLE
E81_r2_p50,formal_manifest,all_explicit_train_conditions,native_cosine_distance,78,78,0,0,78,0.0007506012622203739,0.11394809631776925,0.02584251651203174,ESTIMABLE
E81_r2_p50,formal_manifest,all_explicit_train_conditions,native_euclidean_distance,78,78,0,0,61,0.2283584923423797,2.8702432794198467,0.6378988683774723,ESTIMABLE
E81_r2_p50,formal_manifest,all_explicit_train_conditions,predicted_magnitude_cpa,78,78,0,0,78,0.2092675864696502,0.3645381331443786,0.05845759412415666,ESTIMABLE
E81_r2_p50,formal_manifest,all_explicit_train_conditions,cpa_ridge_disagreement_rmse,78,78,0,0,78,0.2081049531698227,0.5781100392341614,0.09933239086726929,ESTIMABLE
E81_r2_p50,formal_manifest,official_gt30_train_conditions,native_cosine_distance,78,78,0,0,78,0.0007506012622203739,0.11394809631776925,0.02584251651203174,ESTIMABLE
E81_r2_p50,formal_manifest,official_gt30_train_conditions,native_euclidean_distance,78,78,0,0,61,0.2283584923423797,2.8702432794198467,0.6378988683774723,ESTIMABLE
E81_r2_p50,formal_manifest,official_gt30_train_conditions,predicted_magnitude_cpa,78,78,0,0,78,0.2092675864696502,0.3645381331443786,0.05845759412415666,ESTIMABLE
E81_r2_p50,formal_manifest,official_gt30_train_conditions,cpa_ridge_disagreement_rmse,78,78,0,0,78,0.2081049531698227,0.5781100392341614,0.09933239086726929,ESTIMABLE
E81_r2_p50,formal_manifest,perturbed_train_only,native_cosine_distance,78,78,0,0,78,0.0007506012622203739,0.9790871921540005,0.4438220761517972,ESTIMABLE
E81_r2_p50,formal_manifest,perturbed_train_only,native_euclidean_distance,78,78,0,0,65,0.2283584923423797,8.048963028447702,3.4049557974701163,ESTIMABLE
E81_r2_p50,formal_manifest,perturbed_train_only,predicted_magnitude_cpa,78,78,0,0,78,0.2092675864696502,0.3645381331443786,0.05845759412415666,ESTIMABLE
E81_r2_p50,formal_manifest,perturbed_train_only,cpa_ridge_disagreement_rmse,78,78,0,0,78,0.2081049531698227,0.5781100392341614,0.09933239086726929,ESTIMABLE
E81_r2_p75,formal_manifest,all_explicit_train_conditions,native_cosine_distance,61,61,0,0,61,0.002377334192692926,0.09777801140295206,0.024838228159057917,ESTIMABLE
E81_r2_p75,formal_manifest,all_explicit_train_conditions,native_euclidean_distance,61,61,0,0,46,0.4294834766649413,2.7154731907232783,0.6302946513500075,ESTIMABLE
E81_r2_p75,formal_manifest,all_explicit_train_conditions,predicted_magnitude_cpa,61,61,0,0,61,0.1474837511777877,0.310556024312973,0.057259000999183275,ESTIMABLE
E81_r2_p75,formal_manifest,all_explicit_train_conditions,cpa_ridge_disagreement_rmse,61,61,0,0,61,0.1306487768888473,0.6090368628501892,0.10481364452477351,ESTIMABLE
E81_r2_p75,formal_manifest,official_gt30_train_conditions,native_cosine_distance,61,61,0,0,61,0.002377334192692926,0.09777801140295206,0.024838228159057917,ESTIMABLE
E81_r2_p75,formal_manifest,official_gt30_train_conditions,native_euclidean_distance,61,61,0,0,46,0.4294834766649413,2.7154731907232783,0.6302946513500075,ESTIMABLE
E81_r2_p75,formal_manifest,official_gt30_train_conditions,predicted_magnitude_cpa,61,61,0,0,61,0.1474837511777877,0.310556024312973,0.057259000999183275,ESTIMABLE
E81_r2_p75,formal_manifest,official_gt30_train_conditions,cpa_ridge_disagreement_rmse,61,61,0,0,61,0.1306487768888473,0.6090368628501892,0.10481364452477351,ESTIMABLE
E81_r2_p75,formal_manifest,perturbed_train_only,native_cosine_distance,61,61,0,0,61,0.0042138178134292215,0.9888314237148199,0.45478238952239236,ESTIMABLE
E81_r2_p75,formal_manifest,perturbed_train_only,native_euclidean_distance,61,61,0,0,58,0.49418284629790665,8.28311234645771,3.445955015491524,ESTIMABLE
E81_r2_p75,formal_manifest,perturbed_train_only,predicted_magnitude_cpa,61,61,0,0,61,0.1474837511777877,0.310556024312973,0.057259000999183275,ESTIMABLE
E81_r2_p75,formal_manifest,perturbed_train_only,cpa_ridge_disagreement_rmse,61,61,0,0,61,0.1306487768888473,0.6090368628501892,0.10481364452477351,ESTIMABLE
E81_r3_p25,formal_manifest,all_explicit_train_conditions,native_cosine_distance,91,91,0,0,91,0.0013809962099220474,0.09764257894762318,0.02104215242656967,ESTIMABLE
E81_r3_p25,formal_manifest,all_explicit_train_conditions,native_euclidean_distance,91,91,0,0,52,0.5035255393150126,2.8746719478396714,0.6679098762823668,ESTIMABLE
E81_r3_p25,formal_manifest,all_explicit_train_conditions,predicted_magnitude_cpa,91,91,0,0,91,0.2702337801456451,0.3788429796695709,0.03122675227649797,ESTIMABLE
E81_r3_p25,formal_manifest,all_explicit_train_conditions,cpa_ridge_disagreement_rmse,91,91,0,0,91,0.2749041020870209,0.5567538738250732,0.06714739194572417,ESTIMABLE
E81_r3_p25,formal_manifest,official_gt30_train_conditions,native_cosine_distance,91,91,0,0,91,0.0013809962099220474,0.09764257894762318,0.02104215242656967,ESTIMABLE
E81_r3_p25,formal_manifest,official_gt30_train_conditions,native_euclidean_distance,91,91,0,0,52,0.5035255393150126,2.8746719478396714,0.6679098762823668,ESTIMABLE
E81_r3_p25,formal_manifest,official_gt30_train_conditions,predicted_magnitude_cpa,91,91,0,0,91,0.2702337801456451,0.3788429796695709,0.03122675227649797,ESTIMABLE
E81_r3_p25,formal_manifest,official_gt30_train_conditions,cpa_ridge_disagreement_rmse,91,91,0,0,91,0.2749041020870209,0.5567538738250732,0.06714739194572417,ESTIMABLE
E81_r3_p25,formal_manifest,perturbed_train_only,native_cosine_distance,91,91,0,0,91,0.0013809962099220474,0.7662683200869631,0.3285301037866566,ESTIMABLE
E81_r3_p25,formal_manifest,perturbed_train_only,native_euclidean_distance,91,91,0,0,74,0.5151038737931585,7.720021320655771,2.7661307883534474,ESTIMABLE
E81_r3_p25,formal_manifest,perturbed_train_only,predicted_magnitude_cpa,91,91,0,0,91,0.2702337801456451,0.3788429796695709,0.03122675227649797,ESTIMABLE
E81_r3_p25,formal_manifest,perturbed_train_only,cpa_ridge_disagreement_rmse,91,91,0,0,91,0.2749041020870209,0.5567538738250732,0.06714739194572417,ESTIMABLE
E81_r3_p50,formal_manifest,all_explicit_train_conditions,native_cosine_distance,79,79,0,0,79,0.0015706758348242866,0.116829375182955,0.022684633478198248,ESTIMABLE
E81_r3_p50,formal_manifest,all_explicit_train_conditions,native_euclidean_distance,79,79,0,0,56,0.4100501920105014,2.6986353360466584,0.615249975824634,ESTIMABLE
E81_r3_p50,formal_manifest,all_explicit_train_conditions,predicted_magnitude_cpa,79,79,0,0,79,0.2202067971229553,0.2669598162174225,0.009159105292698139,ESTIMABLE
E81_r3_p50,formal_manifest,all_explicit_train_conditions,cpa_ridge_disagreement_rmse,79,79,0,0,79,0.2045323550701141,0.3975772857666015,0.03995921674633046,ESTIMABLE
E81_r3_p50,formal_manifest,official_gt30_train_conditions,native_cosine_distance,79,79,0,0,79,0.0015706758348242866,0.116829375182955,0.022684633478198248,ESTIMABLE
E81_r3_p50,formal_manifest,official_gt30_train_conditions,native_euclidean_distance,79,79,0,0,56,0.4100501920105014,2.6986353360466584,0.615249975824634,ESTIMABLE
E81_r3_p50,formal_manifest,official_gt30_train_conditions,predicted_magnitude_cpa,79,79,0,0,79,0.2202067971229553,0.2669598162174225,0.009159105292698139,ESTIMABLE
E81_r3_p50,formal_manifest,official_gt30_train_conditions,cpa_ridge_disagreement_rmse,79,79,0,0,79,0.2045323550701141,0.3975772857666015,0.03995921674633046,ESTIMABLE
E81_r3_p50,formal_manifest,perturbed_train_only,native_cosine_distance,79,79,0,0,79,0.0015706758348242866,0.5709578200463867,0.24652206819661512,ESTIMABLE
E81_r3_p50,formal_manifest,perturbed_train_only,native_euclidean_distance,79,79,0,0,75,0.4653641952752988,6.7144511102031075,2.477255710139046,ESTIMABLE
E81_r3_p50,formal_manifest,perturbed_train_only,predicted_magnitude_cpa,79,79,0,0,79,0.2202067971229553,0.2669598162174225,0.009159105292698139,ESTIMABLE
E81_r3_p50,formal_manifest,perturbed_train_only,cpa_ridge_disagreement_rmse,79,79,0,0,79,0.2045323550701141,0.3975772857666015,0.03995921674633046,ESTIMABLE
E81_r3_p75,formal_manifest,all_explicit_train_conditions,native_cosine_distance,60,60,0,0,60,0.0020282539298290825,0.0829704426767115,0.02153515273233976,ESTIMABLE
E81_r3_p75,formal_manifest,all_explicit_train_conditions,native_euclidean_distance,60,60,0,0,46,0.47174230525408906,2.5190896999491508,0.6072137575394434,ESTIMABLE
E81_r3_p75,formal_manifest,all_explicit_train_conditions,predicted_magnitude_cpa,60,60,0,0,60,0.1443556249141693,0.2324169725179672,0.026338969283281215,ESTIMABLE
E81_r3_p75,formal_manifest,all_explicit_train_conditions,cpa_ridge_disagreement_rmse,60,60,0,0,60,0.1648009568452835,0.3662787973880768,0.044000211199538376,ESTIMABLE
E81_r3_p75,formal_manifest,official_gt30_train_conditions,native_cosine_distance,60,60,0,0,60,0.0020282539298290825,0.0829704426767115,0.02153515273233976,ESTIMABLE
E81_r3_p75,formal_manifest,official_gt30_train_conditions,native_euclidean_distance,60,60,0,0,46,0.47174230525408906,2.5190896999491508,0.6072137575394434,ESTIMABLE
E81_r3_p75,formal_manifest,official_gt30_train_conditions,predicted_magnitude_cpa,60,60,0,0,60,0.1443556249141693,0.2324169725179672,0.026338969283281215,ESTIMABLE
E81_r3_p75,formal_manifest,official_gt30_train_conditions,cpa_ridge_disagreement_rmse,60,60,0,0,60,0.1648009568452835,0.3662787973880768,0.044000211199538376,ESTIMABLE
E81_r3_p75,formal_manifest,perturbed_train_only,native_cosine_distance,60,60,0,0,60,0.0020282539298290825,0.8608401189874759,0.3871502377716089,ESTIMABLE
E81_r3_p75,formal_manifest,perturbed_train_only,native_euclidean_distance,60,60,0,0,57,0.47174230525408906,8.100092360072223,3.224442414685825,ESTIMABLE
E81_r3_p75,formal_manifest,perturbed_train_only,predicted_magnitude_cpa,60,60,0,0,60,0.1443556249141693,0.2324169725179672,0.026338969283281215,ESTIMABLE
E81_r3_p75,formal_manifest,perturbed_train_only,cpa_ridge_disagreement_rmse,60,60,0,0,60,0.1648009568452835,0.3662787973880768,0.044000211199538376,ESTIMABLE
