dataset_name,dataset_family,score_name,variant_kind,variant_description,n,aligned_rho,normalized_rmse_rho,magnitude_only_rho,partial_rho_control_magnitude,risk_coverage80_improve_pct,mean_rmse,aligned_rho_ci_low,aligned_rho_ci_high,partial_rho_ci_low,partial_rho_ci_high,n_bootstrap,interpretation_note
SantinhaPlatt2023,chem_robust,loo_no_support_confidence,leave_one_out,remove support_count,566,0.17571309159270262,0.14065830910520924,0.824004132237498,0.22536307442068518,3.9146864579898084,0.37820565229836806,0.09512240366761263,0.2516974389010992,0.14098999594584613,0.3055113856066349,1000,
SantinhaPlatt2023,chem_robust,single_context_similarity_confidence,single_feature,context_similarity only,566,0.1535121774000614,-0.079518715002053,0.824004132237498,0.017519342835844783,-8.094506654632767,0.37820565229836806,0.07641904053965258,0.2377834116316943,-0.06829750762795041,0.10165795587069214,1000,
SantinhaPlatt2023,chem_robust,single_negative_disagreement_confidence,single_feature,negative model_disagreement only,566,0.17571309159270262,0.14065830910520924,0.824004132237498,0.22536307442068518,3.9146864579898084,0.37820565229836806,0.09375959530226975,0.25973972485644986,0.136197959538717,0.30642829248161063,1000,
SantinhaPlatt2023,chem_robust,single_support_count_confidence,single_feature,support_count only,566,0.11755022707602249,0.0882382789916241,0.824004132237498,0.10333856262267749,0.6523118900193955,0.37820565229836806,0.041494256151959175,0.19811932020950773,0.023935159929318692,0.18743681860318587,1000,
SrivatsanTrapnell2020_sciplex3,chem_robust,protocol_full_confidence,full,full frozen v0.2 formula,1128,0.4277813904102051,0.38976400603014316,0.7403023289344336,0.628799252798449,15.096598555089129,0.05814300430013102,0.3744606468375423,0.47339319227301163,0.5936968719608798,0.6600097674038674,1000,
SrivatsanTrapnell2020_sciplex3,chem_robust,loo_no_context_confidence,leave_one_out,remove context_similarity,1128,0.4277813904102051,0.38976400603014316,0.7403023289344336,0.628799252798449,15.096598555089129,0.05814300430013102,0.3771478815860079,0.47350723993706884,0.5952124812296278,0.6623880223841051,1000,not_applicable_same_as_full_for_chem_robust
SrivatsanTrapnell2020_sciplex3,chem_robust,loo_no_disagreement_confidence,leave_one_out,remove model_disagreement,1128,0.17651460700405305,0.1463681216108312,0.7403023289344336,0.2856894700899823,0.8604710600784831,0.05814300430013102,0.12058681021849149,0.23573084145166873,0.23247232608247026,0.33100350533894807,1000,
SrivatsanTrapnell2020_sciplex3,chem_robust,loo_no_support_confidence,leave_one_out,remove support_count,1128,0.47220413200475597,0.48648061620720123,0.7403023289344336,0.6891838127132267,16.463771125515983,0.05814300430013102,0.4122975320737641,0.5193672735870907,0.6569020493717287,0.7186230637366322,1000,
SrivatsanTrapnell2020_sciplex3,chem_robust,single_context_similarity_confidence,single_feature,context_similarity only,1128,0.12389586025994964,-0.309946095715533,0.7403023289344336,-0.15545080602526787,2.708877124413857,0.05814300430013102,0.07055095378750306,0.1808473795051748,-0.20320315085274324,-0.10815985092520929,1000,
SrivatsanTrapnell2020_sciplex3,chem_robust,single_negative_disagreement_confidence,single_feature,negative model_disagreement only,1128,0.47220413200475597,0.48648061620720123,0.7403023289344336,0.6891838127132267,16.463771125515983,0.05814300430013102,0.41923872273969776,0.5213084457909176,0.6602484960817309,0.7167078114414197,1000,
SrivatsanTrapnell2020_sciplex3,chem_robust,single_support_count_confidence,single_feature,support_count only,1128,0.17651460700405305,0.1463681216108312,0.7403023289344336,0.2856894700899823,0.8604710600784831,0.05814300430013102,0.11813610173424066,0.23185590182067436,0.2328963345622863,0.33733348048237555,1000,
