dataset,predictor,method,n_buckets,utility20_mean,delta_utility20_vs_M,positive_utility_buckets_vs_M,spearman_mean,delta_spearman_vs_M,positive_spearman_buckets_vs_M
CuiHacohen2023,V0StrongBaseline,P_plus_Bsafe,5,0.7075174529863864,0.3900462545694808,5,0.5857816029505376,0.1267753168238716,5
CuiHacohen2023,V0StrongBaseline,P_plus_Bsafe_plus_E,5,0.7500707389271901,0.4325995405102846,5,0.7026633706712174,0.24365708454455143,5
CuiHacohen2023,V0StrongBaseline,P_plus_Bsafe_plus_E_dynamic,5,0.7716459297746401,0.4541747313577346,5,0.7215466977864393,0.26254041165977327,5
CuiHacohen2023,V0StrongBaseline,P_plus_E,5,0.7485449330003374,0.4310737345834318,5,0.7037626107197759,0.24475632459310984,5
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,P,5,0.1968334742714682,0.1737809285965035,5,0.16464245102252067,-0.0019169875968384966,3
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,P_plus_B,5,0.9552501056738052,0.9321975599988404,5,0.6392425968684514,0.4726831582490923,5
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,P_plus_B_plus_E,5,0.9200908449043416,0.8970382992293768,5,0.6666665070669279,0.5001070684475687,5
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,P_plus_B_plus_E_dynamic,5,0.9670834668330114,0.9440309211580467,5,0.6679501815905726,0.5013907429712134,5
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,P_plus_Bsafe,5,0.9302642290828229,0.9072116834078582,5,0.5944925362099814,0.42793309759062226,5
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,P_plus_Bsafe_plus_E,5,0.8899365050489327,0.866883959373968,5,0.6231167271192212,0.45655728849986205,5
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,P_plus_Bsafe_plus_E_dynamic,5,0.9641331007442779,0.9410805550693132,5,0.631083427372377,0.4645239887530178,5
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,P_plus_E,5,0.6051442165885174,0.5820916709135526,4,0.5576711137990823,0.3911116751797231,5
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,P,5,0.15010903550819787,0.004080794914094252,2,0.6023354007460767,0.13382426743769624,5
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,P_plus_B,5,0.26527119971495955,0.11924295912085592,3,0.7581773377082419,0.28966620439986135,5
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,P_plus_B_plus_E,5,0.7580434430063192,0.6120152024122156,5,0.8813583781832632,0.41284724487488267,5
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,P_plus_B_plus_E_dynamic,5,0.947425104396617,0.8013968638025135,5,0.9394945821531033,0.4709834488447228,5
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,P_plus_Bsafe,5,0.22555941123216905,0.07953117063806542,2,0.7575534327087345,0.2890422994003539,5
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,P_plus_Bsafe_plus_E,5,0.7502916955617078,0.6042634549676043,5,0.8790381389765578,0.4105270056681773,5
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,P_plus_Bsafe_plus_E_dynamic,5,0.9439438547196671,0.7979156141255634,5,0.9346108621531377,0.46609972884475714,5
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,P_plus_E,5,0.10594907102679929,-0.040079169567304326,1,0.719087790139391,0.2505766568310103,5
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,P,5,0.0949297715930085,0.003182126965557891,2,0.5700759387563109,0.04903946227911164,5
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,P_plus_B,5,0.21963166518630944,0.1278840205588589,3,0.7479192976524824,0.2268828211752833,5
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,P_plus_B_plus_E,5,0.7571445147289035,0.665396870101453,5,0.8606910365990579,0.33965456012185874,5
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,P_plus_B_plus_E_dynamic,5,0.9485738251765081,0.8568261805490576,5,0.9086306477498507,0.3875941712726514,5
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,P_plus_Bsafe,5,0.25103117625581534,0.15928353162836467,3,0.7438621565062502,0.22282568002905095,5
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,P_plus_Bsafe_plus_E,5,0.7694201402617764,0.677672495634326,5,0.8568105136771826,0.3357740371999835,5
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,P_plus_Bsafe_plus_E_dynamic,5,0.9474893654703953,0.8557417208429449,5,0.9104624073487733,0.389425930871574,5
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,P_plus_E,5,0.07089952589969198,-0.020848118727758623,1,0.6934028802633184,0.1723664037861192,5
SantinhaPlatt2023,ContextSimBaseline,P,5,0.2072487255647799,-0.03638655658122557,1,0.2716297742777328,-0.03758011188008594,0
SantinhaPlatt2023,ContextSimBaseline,P_plus_B,5,0.568469543353556,0.32483426120755066,4,0.6940677313019166,0.38485784514409777,5
SantinhaPlatt2023,ContextSimBaseline,P_plus_B_plus_E,5,0.7313560792713821,0.48772079712537675,5,0.745242265455169,0.4360323792973501,5
SantinhaPlatt2023,ContextSimBaseline,P_plus_B_plus_E_dynamic,5,0.6912217915999335,0.4475865094539279,5,0.8076651006032677,0.4984552144454488,5
SantinhaPlatt2023,ContextSimBaseline,P_plus_Bsafe,5,0.6006596984700627,0.35702441632405735,5,0.6984476604224611,0.3892377742646422,5
SantinhaPlatt2023,ContextSimBaseline,P_plus_Bsafe_plus_E,5,0.7327136167266358,0.48907833458063044,5,0.7512764098009372,0.4420665236431184,5
SantinhaPlatt2023,ContextSimBaseline,P_plus_Bsafe_plus_E_dynamic,5,0.7139855163828024,0.4703502342367969,5,0.8078025242261047,0.49859263806828585,5
SantinhaPlatt2023,ContextSimBaseline,P_plus_E,5,0.6549266829479847,0.4112914008019793,5,0.756589794195784,0.4473799080379651,5
SantinhaPlatt2023,PertMeanPredictor,P,5,0.1213803146307221,-0.01903989061074845,1,0.2767241307449243,-0.027037347451457465,2
SantinhaPlatt2023,PertMeanPredictor,P_plus_B,5,0.6155922884142406,0.47517208317277,5,0.6556103596410996,0.3518488814447179,5
SantinhaPlatt2023,PertMeanPredictor,P_plus_B_plus_E,5,0.7594636929512365,0.6190434877097659,5,0.7431506722478648,0.43938919405148297,5
SantinhaPlatt2023,PertMeanPredictor,P_plus_B_plus_E_dynamic,5,0.7698765887090808,0.6294563834676103,5,0.7606085617633134,0.4568470835669317,5
SantinhaPlatt2023,PertMeanPredictor,P_plus_Bsafe,5,0.598945182150255,0.4585249769087844,5,0.6663419051008678,0.36258042690448594,5
SantinhaPlatt2023,PertMeanPredictor,P_plus_Bsafe_plus_E,5,0.7571708379364102,0.6167506326949396,5,0.7420531113018893,0.43829163310550767,5
SantinhaPlatt2023,PertMeanPredictor,P_plus_Bsafe_plus_E_dynamic,5,0.7465303264583076,0.6061101212168372,5,0.7581430077087059,0.45438152951232424,5
SantinhaPlatt2023,PertMeanPredictor,P_plus_E,5,0.7457243469820953,0.6053041417406249,5,0.7564247235215942,0.4526632453252124,5
SantinhaPlatt2023,V0StrongBaseline,P,5,0.19636051571645813,-0.02449955582376212,2,0.3375625895794696,0.02812866687026347,4
SantinhaPlatt2023,V0StrongBaseline,P_plus_B,5,0.5529708626477439,0.3321107911075236,4,0.6453714197313067,0.33593749702210046,5
SantinhaPlatt2023,V0StrongBaseline,P_plus_B_plus_E,5,0.7607188345142263,0.539858762974006,5,0.7288508722616417,0.41941694955243547,5
SantinhaPlatt2023,V0StrongBaseline,P_plus_B_plus_E_dynamic,5,0.7467073725430701,0.5258473010028497,5,0.7437960686076819,0.43436214589847577,5
SantinhaPlatt2023,V0StrongBaseline,P_plus_Bsafe,5,0.5504849217502,0.3296248502099798,4,0.6480980722800078,0.3386641495708017,5
SantinhaPlatt2023,V0StrongBaseline,P_plus_Bsafe_plus_E,5,0.7606132238045595,0.5397531522643393,5,0.7207965029399019,0.4113625802306958,5
SantinhaPlatt2023,V0StrongBaseline,P_plus_Bsafe_plus_E_dynamic,5,0.7690476844127927,0.5481876128725724,5,0.7447732071031548,0.4353392843939486,5
SantinhaPlatt2023,V0StrongBaseline,P_plus_E,5,0.7382103786515777,0.5173503071113574,5,0.7336127178472689,0.4241787951380628,5
