experiment,stratum,outcome,predictor,budget,n_tasks,n_selected,high_error_capture,random_expected_capture,selected_mean_error,overall_mean_error,error_lift,oracle_mean_error,oracle_normalized_utility,selected_mean_bound_to_error_ratio
E189,support_1::unseen_perturbation_column,family_rms_error,diversity_lower_bound,0.3,960,288,0.3854166666666667,0.3,0.1374390656309185,0.12120570710039015,1.1339322950946764,0.1906174167838523,0.23387060489587794,0.3047832416801984
E189,support_1::unseen_perturbation_column,family_rms_error,predicted_magnitude,0.3,960,288,0.2569444444444444,0.3,0.11288737292386856,0.12120570710039015,0.9313701113955647,0.1906174167838523,-0.11984050262492656,
E189,support_1::unseen_perturbation_column,family_worst_error,diameter_half_lower_bound,0.1,960,96,0.16666666666666666,0.1,0.14772814077334354,0.13024938098235492,1.134194570900544,0.2780640509441891,0.11824780176082414,0.32462859441329167
E189,support_1::unseen_perturbation_column,family_worst_error,predicted_magnitude,0.1,960,96,0.052083333333333336,0.1,0.11638879016925315,0.13024938098235492,0.8935842097016992,0.2780640509441891,-0.09377006231303416,
E189,support_1::unseen_perturbation_column,family_worst_error,diameter_half_lower_bound,0.2,960,192,0.3229166666666667,0.2,0.1452226103331882,0.13024938098235492,1.114958161320258,0.2262545487267463,0.15596274349208686,0.3187046706281327
E189,support_1::unseen_perturbation_column,family_worst_error,predicted_magnitude,0.2,960,192,0.11979166666666667,0.2,0.11681592553778457,0.13024938098235492,0.8968635755252441,0.2262545487267463,-0.13992429532893694,
E189,support_1::unseen_perturbation_column,family_worst_error,diameter_half_lower_bound,0.3,960,288,0.3645833333333333,0.3,0.14257307951807965,0.13024938098235492,1.0946161773881615,0.1990483242425019,0.17912627653488186,0.3179520628938948
E189,support_1::unseen_perturbation_column,family_worst_error,predicted_magnitude,0.3,960,288,0.25,0.3,0.12124658656231231,0.13024938098235492,0.9308803285501815,0.1990483242425019,-0.13085657996229189,
E189,support_2::double_unseen,family_rms_error,diversity_lower_bound,0.1,480,48,0.2708333333333333,0.1,0.14713119455051496,0.11611859775255715,1.267076914449519,0.2644890081656891,0.2090214397304987,0.2783243782444585
E189,support_2::double_unseen,family_rms_error,predicted_magnitude,0.1,480,48,0.125,0.1,0.11413837281707874,0.11611859775255715,0.98294653075558,0.2644890081656891,-0.013346494964626317,
E189,support_2::double_unseen,family_rms_error,diversity_lower_bound,0.2,480,96,0.2916666666666667,0.2,0.12484606127186915,0.11611859775255715,1.0751599114029071,0.21293302230688074,0.09014631403830664,0.3029897333747431
E189,support_2::double_unseen,family_rms_error,predicted_magnitude,0.2,480,96,0.10416666666666667,0.2,0.1009112416310806,0.11611859775255715,0.8690359992644533,0.21293302230688074,-0.15707737965166063,
E189,support_2::double_unseen,family_rms_error,diversity_lower_bound,0.3,480,144,0.2847222222222222,0.3,0.1141006593225841,0.11611859775255715,0.9826217464813589,0.1849927240723888,-0.029298933254010576,0.3143359893478841
E189,support_2::double_unseen,family_rms_error,predicted_magnitude,0.3,480,144,0.1597222222222222,0.3,0.09712465470449454,0.11611859775255715,0.8364263484430139,0.1849927240723888,-0.27577762598192823,
E189,support_2::double_unseen,family_worst_error,diameter_half_lower_bound,0.1,480,48,0.2708333333333333,0.1,0.17073057154882096,0.12315269372868563,1.3863324169339963,0.2697693296408766,0.32450531635871005,0.2447034609449745
E189,support_2::double_unseen,family_worst_error,predicted_magnitude,0.1,480,48,0.125,0.1,0.12287071761937217,0.12315269372868563,0.9977103537017658,0.2697693296408766,-0.0019232204282898734,
E189,support_2::double_unseen,family_worst_error,diameter_half_lower_bound,0.2,480,96,0.3125,0.2,0.14191313872893077,0.12315269372868563,1.1523348327367955,0.21933239757090284,0.19505617350435644,0.2706901059240092
E189,support_2::double_unseen,family_worst_error,predicted_magnitude,0.2,480,96,0.10416666666666667,0.2,0.10963858830667743,0.12315269372868563,0.8902654500454471,0.21933239757090284,-0.14050891073836216,
E189,support_2::double_unseen,family_worst_error,diameter_half_lower_bound,0.3,480,144,0.3541666666666667,0.3,0.12922992119607582,0.12315269372868563,1.049347093298493,0.19124685539493458,0.08924740856898428,0.2765087852409277
E189,support_2::double_unseen,family_worst_error,predicted_magnitude,0.3,480,144,0.16666666666666666,0.3,0.10580416659851927,0.12315269372868563,0.8591299418233884,0.19124685539493458,-0.2547726076017646,
E189,support_2::random_missing_pair,family_rms_error,diversity_lower_bound,0.1,480,48,0.22916666666666666,0.1,0.15885196635835316,0.11635066519370137,1.3652862757071078,0.2688376953451023,0.2787207615129838,0.28458332676954823
