coverage_target,seed,split_id,dataset_name,setting,status,n_train,n_test,heldout
,,sciplex3::E35_column_holdout::Givinostat_10.0,sciplex3,E35_column_holdout,ok,102,3,Givinostat_10.0
,,sciplex3::E35_column_holdout::Givinostat_100.0,sciplex3,E35_column_holdout,ok,102,3,Givinostat_100.0
,,sciplex3::E35_column_holdout::Givinostat_1000.0,sciplex3,E35_column_holdout,ok,102,3,Givinostat_1000.0
,,sciplex3::E35_column_holdout::Givinostat_10000.0,sciplex3,E35_column_holdout,ok,102,3,Givinostat_10000.0
,,sciplex3::E35_column_holdout::Hesperadin_10.0,sciplex3,E35_column_holdout,ok,102,3,Hesperadin_10.0
,,sciplex3::E35_column_holdout::Hesperadin_100.0,sciplex3,E35_column_holdout,ok,102,3,Hesperadin_100.0
,,sciplex3::E35_column_holdout::Hesperadin_1000.0,sciplex3,E35_column_holdout,ok,102,3,Hesperadin_1000.0
,,sciplex3::E35_column_holdout::Hesperadin_10000.0,sciplex3,E35_column_holdout,ok,102,3,Hesperadin_10000.0
,,sciplex3::E35_column_holdout::Quisinostat_10.0,sciplex3,E35_column_holdout,ok,102,3,Quisinostat_10.0
,,sciplex3::E35_column_holdout::Quisinostat_100.0,sciplex3,E35_column_holdout,ok,102,3,Quisinostat_100.0
,,sciplex3::E35_column_holdout::Quisinostat_1000.0,sciplex3,E35_column_holdout,ok,102,3,Quisinostat_1000.0
,,sciplex3::E35_column_holdout::Quisinostat_10000.0,sciplex3,E35_column_holdout,ok,102,3,Quisinostat_10000.0
,,sciplex3::E35_column_holdout::TAK901_10.0,sciplex3,E35_column_holdout,ok,102,3,TAK901_10.0
,,sciplex3::E35_column_holdout::TAK901_100.0,sciplex3,E35_column_holdout,ok,102,3,TAK901_100.0
,,sciplex3::E35_column_holdout::TAK901_1000.0,sciplex3,E35_column_holdout,ok,102,3,TAK901_1000.0
,,sciplex3::E35_column_holdout::TAK901_10000.0,sciplex3,E35_column_holdout,ok,102,3,TAK901_10000.0
,,sciplex3::E35_column_holdout::Tanespimycin_10.0,sciplex3,E35_column_holdout,ok,102,3,Tanespimycin_10.0
,,sciplex3::E35_column_holdout::Tanespimycin_100.0,sciplex3,E35_column_holdout,ok,102,3,Tanespimycin_100.0
,,sciplex3::E35_column_holdout::Tanespimycin_1000.0,sciplex3,E35_column_holdout,ok,102,3,Tanespimycin_1000.0
,,sciplex3::E35_column_holdout::Tanespimycin_10000.0,sciplex3,E35_column_holdout,ok,102,3,Tanespimycin_10000.0
,,sciplex3::E35_row_holdout::A549,sciplex3,E35_row_holdout,ok,69,36,A549
,,sciplex3::E35_row_holdout::K562,sciplex3,E35_row_holdout,ok,69,36,K562
,,sciplex3::E35_row_holdout::MCF7,sciplex3,E35_row_holdout,ok,72,33,MCF7
