target,scenario,scope,method,budget,n_tasks,spearman,utility,capture,remaining_relative_error
RPE1,corrupt_050_seed211,primary,e230,0.3,416,0.5686045452870212,0.5415518267248725,0.36471608118886195,0.9081722000874001
RPE1,corrupt_050_seed211,primary,magnitude,0.1,416,0.5825322874230736,0.6233177742721215,0.1378322744930165,0.958988700029158
RPE1,corrupt_050_seed211,primary,magnitude,0.2,416,0.5825322874230736,0.6084496005895047,0.25940156888730204,0.9279787570568746
RPE1,corrupt_050_seed211,primary,magnitude,0.3,416,0.5825322874230736,0.5381650628592927,0.3643143655585232,0.9087464739781936
RPE1,corrupt_050_seed211,all,candidate,0.1,467,0.5848543781749072,0.66281088521624,0.14229802883128667,0.9536829060375931
RPE1,corrupt_050_seed211,all,candidate,0.2,467,0.5848543781749072,0.6325508769990279,0.2622434196735885,0.9236791501673839
RPE1,corrupt_050_seed211,all,candidate,0.3,467,0.5848543781749072,0.5671370606468126,0.370154090131314,0.9022639261002341
RPE1,corrupt_050_seed211,all,e230,0.1,467,0.5805355832805764,0.6323174306201588,0.14038160876787623,0.955813782631909
RPE1,corrupt_050_seed211,all,e230,0.2,467,0.5805355832805764,0.6489248592197073,0.26382137244723286,0.9217035363730355
RPE1,corrupt_050_seed211,all,e230,0.3,467,0.5805355832805764,0.5777845795826716,0.3714349924206108,0.9004290139250759
RPE1,corrupt_050_seed211,all,magnitude,0.1,467,0.589483906345253,0.5416596235342879,0.13468404374267626,0.9621489323146907
RPE1,corrupt_050_seed211,all,magnitude,0.2,467,0.589483906345253,0.6188014093598604,0.2609183901050357,0.9253381013966443
RPE1,corrupt_050_seed211,all,magnitude,0.3,467,0.589483906345253,0.5956999040385799,0.37359021564653827,0.8973416235983639
RPE1,corrupt_050_seed307,primary,candidate,0.1,416,0.5682624799141222,0.6213646155619692,0.13771674048740645,0.9591172084418154
RPE1,corrupt_050_seed307,primary,candidate,0.2,416,0.5682624799141222,0.6097438530727272,0.2595238332143465,0.9278255583820236
RPE1,corrupt_050_seed307,primary,candidate,0.3,416,0.5682624799141222,0.5540189659659456,0.3661948511585221,0.9060582196496727
RPE1,corrupt_050_seed307,primary,e230,0.1,416,0.5682952777713922,0.6234413605953902,0.1378395849194,0.9589805686458011
RPE1,corrupt_050_seed307,primary,e230,0.2,416,0.5682952777713922,0.6071674430494846,0.2592804471349177,0.9281305240719104
RPE1,corrupt_050_seed307,primary,e230,0.3,416,0.5682952777713922,0.5396076923331629,0.36448548076803955,0.9085018556718061
RPE1,corrupt_050_seed307,primary,magnitude,0.1,416,0.5825322874230736,0.6233177742721215,0.1378322744930165,0.958988700029158
RPE1,corrupt_050_seed307,primary,magnitude,0.2,416,0.5825322874230736,0.6084496005895047,0.25940156888730204,0.9279787570568746
RPE1,corrupt_050_seed307,primary,magnitude,0.3,416,0.5825322874230736,0.5381650628592927,0.3643143655585232,0.9087464739781936
RPE1,corrupt_050_seed307,all,candidate,0.1,467,0.5758386277405501,0.5880023099731878,0.13759653939986755,0.9589105145244329
RPE1,corrupt_050_seed307,all,candidate,0.2,467,0.5758386277405501,0.6388325816000785,0.2628487845179404,0.9229212268904069
RPE1,corrupt_050_seed307,all,candidate,0.3,467,0.5758386277405501,0.5622973254780228,0.369571867371755,0.9030979691330995
RPE1,corrupt_050_seed307,all,e230,0.1,467,0.576878890726844,0.5723782639219407,0.13661461604218716,0.9600023197816633
RPE1,corrupt_050_seed307,all,e230,0.2,467,0.576878890726844,0.6393335657990148,0.262897064123696,0.9228607803062573
RPE1,corrupt_050_seed307,all,e230,0.3,467,0.576878890726844,0.5901189212123316,0.372918820392702,0.8983034075969575
RPE1,corrupt_050_seed307,all,magnitude,0.1,467,0.589483906345253,0.5416596235342879,0.13468404374267626,0.9621489323146907
RPE1,corrupt_050_seed307,all,magnitude,0.2,467,0.589483906345253,0.6188014093598604,0.2609183901050357,0.9253381013966443
RPE1,corrupt_050_seed307,all,magnitude,0.3,467,0.589483906345253,0.5956999040385799,0.37359021564653827,0.8973416235983639
RPE1,corrupt_100_seed101,primary,candidate,0.1,416,0.5635763863422698,0.6243158065972172,0.13789131049026918,0.9589230343209841
RPE1,corrupt_100_seed101,primary,candidate,0.2,416,0.5635763863422698,0.6007771831441562,0.25867677757500374,0.9288869293036097
RPE1,corrupt_100_seed101,primary,candidate,0.3,416,0.5635763863422698,0.5294794514861578,0.36328413552592553,0.9102192426845876
RPE1,corrupt_100_seed101,primary,e230,0.1,416,0.5661458582070242,0.5967272696731782,0.13625938259665382,0.9607382268443635
RPE1,corrupt_100_seed101,primary,e230,0.2,416,0.5661458582070242,0.574119486553739,0.2561585012908669,0.9320423598283113
RPE1,corrupt_100_seed101,primary,e230,0.3,416,0.5661458582070242,0.5438591992340485,0.3649897665235174,0.907780952323769
RPE1,corrupt_100_seed101,primary,magnitude,0.1,416,0.5825322874230736,0.6233177742721215,0.1378322744930165,0.958988700029158
RPE1,corrupt_100_seed101,primary,magnitude,0.2,416,0.5825322874230736,0.6084496005895047,0.25940156888730204,0.9279787570568746
RPE1,corrupt_100_seed101,primary,magnitude,0.3,416,0.5825322874230736,0.5381650628592927,0.3643143655585232,0.9087464739781936
RPE1,corrupt_100_seed101,all,candidate,0.1,467,0.5714084572426104,0.5760492507322628,0.13684532630014268,0.9597457919472222
RPE1,corrupt_100_seed101,all,candidate,0.2,467,0.5714084572426104,0.6241606551585209,0.261434858039266,0.9246914780044578
RPE1,corrupt_100_seed101,all,candidate,0.3,467,0.5714084572426104,0.5696283297777213,0.3704537911557741,0.9018345997860535
