e176_global_target_rank,panel_id,panel_target_rank,ensembl_core,perturbed_gene_name,n_identity_complete_guides,eligible_guide_ids,expression_axis_id_unique,expression_axis_gene_name,target_name_matches_expression_axis,expression_axis_name_unique,scgpt_token,in_scgpt_vocabulary,eligible_target,target_selection_sha256,column_unseen_sha256,e176_selection_sha256,e176_column_unseen_sha256,target_stratum,e176_calibration_sha256,heldout_donor_partition,perturbation_support_contexts_pretruth,excluded_all_e168_e170_e172_e174_targets,selection_used_expression_effect_error_or_prior_outcome
611,H04,11,ENSG00000169752,NRG4,2,NRG4-1+NRG4-2,True,NRG4,True,True,NRG4,True,True,32db162be8964da0e79221b5d33f407a221ca85435928c47f9337cc975ddd640,f0600f4ad5ab3d98120a3c42f729c5865d38944aa9aafd31dd546bc362ea39f4,34bc15b1e7396788ffc5a5eacb14527cbc3157a59e9a39997fa7a7f0dab9001c,9f45f0948735db085ac4b9920d5d6bd5df4440a263f5a82a143f299e328894d2,DONOR_UNSEEN_ONLY,ae2372c3d6d8024b4a7e77668b4987311da57afdfcfd9f864fee2b4fe6e586d7,EVALUATION_80PCT,6,True,False
612,H04,12,ENSG00000173349,SFT2D3,2,SFT2D3-1+SFT2D3-2,True,SFT2D3,True,True,SFT2D3,True,True,a892b987010caf1bc0d5baaee786a10d876ac3835ea3d4aa0b29c6777b790535,a6882d858af2d409f6e5d040c86bb64251183f2b2dbcfa270f9c7db670adacde,34ed548df00b235d550c5f9514e4c10263eda3c602958086ae09e4d804ef82ed,1ca358f3bc2c7a10e4cf2895ed28e3f04638d97f2a4d9255a0ec6425832d90df,COLUMN_UNSEEN,2a32267e64fe178826fac775c2dcda1a22e87d89fd3be0ae5570f1561502b071,CALIBRATION_20PCT,0,True,False
613,H04,13,ENSG00000213859,KCTD11,2,KCTD11-1+KCTD11-2,True,KCTD11,True,True,KCTD11,True,True,475d4178fa4c6115d126afb8a3cab89886a71cc841e210b635424f687525d8ba,d6b953c004a424e3de522a32f9348311392d882c40d52042ee940d2caf27a66f,350074de038833d244730dd67dc10a433d519324fab7686cca7a069cb1af37a7,ca0c9749cb11a2b15f2925b6d92065d663d5dc26d37e3434e822c1997817133f,DONOR_UNSEEN_ONLY,484df726a69b2f2609c7629e03cad10d2e3abb5f0d34ceee08bd05ad515ca3cd,EVALUATION_80PCT,6,True,False
614,H04,14,ENSG00000173575,CHD2,2,CHD2-1+CHD2-2,True,CHD2,True,True,CHD2,True,True,36b1afea2775cb8df588649344531cbbe9d0aeef42fad6b0cb7096cc38afd33d,436724d3872bc8b641951bd1c53658c11efaeb1c360e5f1f1400c1f1f68f1e94,351bff2f6d3278decc25789596f4bd03da83f9335b11898443d89629440b551d,10af7d199fb0970562425b2a4d3bb96e24a1327c6abb09d8bb34c77dccc9cd29,COLUMN_UNSEEN,c52b8addd58737e4016f35ff5d9ed847b00d335b81e8f55c2735e12a579e4b5b,EVALUATION_80PCT,0,True,False
615,H04,15,ENSG00000180626,ZNF594,2,ZNF594-1+ZNF594-2,True,ZNF594,True,True,ZNF594,True,True,7d333e0f71b027ec42f033aded0444a20cef91238c2b0bce4f33942ebfa8ce30,877144433996ce38f42a1fa2461af508f2db17f286d0670920af716cac256c5b,3540691f95b468bd28fa92dcdd0de75334388b4208fdacddee8d83502359db39,9a21d206779822f6e608743b1821ed1e0d6506ce7caf8916be3dec99c8b2ec09,DONOR_UNSEEN_ONLY,a83ba21854821820d975370a17f06d15ca5802a847e2fe735e0adb9d57678674,EVALUATION_80PCT,6,True,False
616,H04,16,ENSG00000100664,EIF5,2,EIF5-1+EIF5-2,True,EIF5,True,True,EIF5,True,True,c36be4d8ed23c257594a4e7d635b0549e2d1e1dbab4d263b5d5bda7c9896147f,b2fe2e99c824fa1990e46e7994643691cc7f86344c7c89c6ab6d83caf8e0c0f5,3541a2144a3b66fca9ae49c4e6b058f4a9adc50c2a512ed5aca1e7019d37c531,28494cbfac91fa1dce0c29805524616509253c8a6a98ffd99d6289295ef0c884,COLUMN_UNSEEN,a3abd984926f134889d46ba026dfc9c0b2f447e3081b8257b7f4e944274186d3,EVALUATION_80PCT,0,True,False
617,H04,17,ENSG00000148334,PTGES2,2,PTGES2-1+PTGES2-2,True,PTGES2,True,True,PTGES2,True,True,d2835a1d40eef240009f81cace1e3c95d4a5608d16183516cde44267355979e1,d7f5deea5054dd77b1403c2a3980d6e363c67ff0efe9e4828e676a9ec6958fe3,3550bdcd72821e632e327bc297eb975ff851acacd395eb913411a7b2b5204f14,ec56b211ac72451cf38610f6fddf96ac207526bee4ab9afb4efe7c0991b28f09,DONOR_UNSEEN_ONLY,c20c65b041c661abdf0f843e8b3d262a62011daccb6c3e5b5f6a5129c0ff8f36,EVALUATION_80PCT,6,True,False
618,H04,18,ENSG00000213398,LCAT,2,LCAT-1+LCAT-2,True,LCAT,True,True,LCAT,True,True,a2e9b452fbb0b119a8e517e05327ae854bb427450b644559aaeb07a3ab6d1fa8,d902b5713f487dfd4d272a7859d53478bd8e5012bc6057be97e71585cd62dd65,355272a1ed4020007defc2e09642bb0bb0db5d1ce0188f975e47a4b2b16509fa,451a692c7e02c4b861cb5ff0b1094f026914cd625f86d8836e5f2c22f5c17fa3,DONOR_UNSEEN_ONLY,650753802ba7b2d3ecaa3bc06fb58c72b8f1aeb8b27d72d33372fb26c39c599d,EVALUATION_80PCT,6,True,False
619,H04,19,ENSG00000165588,OTX2,2,OTX2-1+OTX2-2,True,OTX2,True,True,OTX2,True,True,88e9673ea0a7b429a7f476ca2448f33461c0340d91d79287bd439ecd5190d560,a90a17e22447d4f3ca9a268d940ade250a40c68ebd1f745e888e5ef1dc81d338,35602e1ea56a560e47d9232ba8313c8dead7dd8436544ac687ac18c74e884c4c,42b311729d248eef3e0eae7a92c371481161cc1faec3da623a03f64534041f38,DONOR_UNSEEN_ONLY,c5cb42870b90866b988ef98de7546463b01919480182e2c4e17bbe6f6f624c1e,EVALUATION_80PCT,6,True,False
620,H04,20,ENSG00000133597,ADCK2,2,ADCK2-1+ADCK2-2,True,ADCK2,True,True,ADCK2,True,True,c2a7a80e702605e90c1870320caf5af985dde2b5fe41f34e81b1372b04924733,d2a31dc5d64a9b5fd43509a53d7eb9ca35469fa9ea083d4cfcd475a8105e7d61,3568bafc5f4f1914edeaf6381dc18358a5fd57d057c7c9cdbc2c65a372418488,6ae467ff9c7c13310b0c27552c17995c378de20347df281f2d071e5d171263f8,DONOR_UNSEEN_ONLY,bca32c0f020922ce37c51080cc292e34d7c6e4389ead3af1105333c9fe069ae9,EVALUATION_80PCT,6,True,False
621,H04,21,ENSG00000117143,UAP1,2,UAP1-1+UAP1-2,True,UAP1,True,True,UAP1,True,True,c449ff30df3c3b588d10f08864c2c883147d02a731eff9e2885d597161168aa4,589a2a16f76bf56f66dc8193d625ce2fafe15b4336335252afa19b73ba6e0182,357a805a02131d33319eb02d75792f7798414e1b4f739783bd2c5140e56a1856,1d35e697c1a560fb7a88a0b305fac7e7430cb2d0350607d10d8be1255915e2d0,COLUMN_UNSEEN,eb64d4aec158bc0f0c1404d98193a36486f816dce22e2d8841b818861aa8ca7d,EVALUATION_80PCT,0,True,False
622,H04,22,ENSG00000188352,FOCAD,2,FOCAD-1+FOCAD-2,True,FOCAD,True,True,FOCAD,True,True,258d1fa8e8d7773d5e6dd31adf59ed974cae57244676779ddd4e5ff64e4b2b09,bc579d6306d01c46997748a099b69241746b1eed7965af225a2ee6e7e0482e75,359fbbfdb9b259f6c16f4cc03c5d2881ce390268a69b53e8c7a534503638637d,1158ba5f8265fc86d874c3452dddf549a4fc76023b338cc5ea845ba2f744f6de,COLUMN_UNSEEN,611b217b6f61b0f15774447d1ad0668555f57901847769787905087cd1fa945a,EVALUATION_80PCT,0,True,False
623,H04,23,ENSG00000090554,FLT3LG,2,FLT3LG-1+FLT3LG-2,True,FLT3LG,True,True,FLT3LG,True,True,19e3da14f6888d9094f8db9af34d8164469114e955a05b4b108ee5d07e092d84,3a5bb262f58bcf739fa8aa0c3b0f8e3fc992d0a52af6c48e774e6da54b62476c,35b516816baf81e63489b3ba7dc691d7499e8d17bfba5d54765682224fb53f71,4dbb5a2143b3284c95224df0e19a98070f8b610d1ecb15c288fa54c435098670,DONOR_UNSEEN_ONLY,f31b400a9dbd17345287973d2d9660c6b09ef10f60c68d6ed8ab521781da482c,EVALUATION_80PCT,6,True,False
624,H04,24,ENSG00000135245,HILPDA,2,HILPDA-1+HILPDA-2,True,HILPDA,True,True,HILPDA,True,True,5a67652505cc7deb856ce1a1fd818da16b5f99d42c473f02aeea53a924bbf725,c0206215cee965e4e8c3ffb31b18da864ea404bcfa4af1993dfff69d98bb32a3,35cf1751cb60a69f8ee734a2145349fae01f3f581381424e7ee71192678d8152,eb1adfe145b2b4d80061a4df548a50427ccfc383593d64bc9ced43cb78352743,DONOR_UNSEEN_ONLY,2954a8267b7fb5d5ad50f52dac9aa0fb5498a58d69f95beffdffc8a5f73c9ee1,CALIBRATION_20PCT,6,True,False
625,H04,25,ENSG00000105676,ARMC6,2,ARMC6-1+ARMC6-2,True,ARMC6,True,True,ARMC6,True,True,d5e1cfd2c32a7a0f2ad9160274e380067e996d8f9e000094d99d7e4e42b656ef,b840ab4a0c63b28be24cec0f8ef2462b27bb4a18adc88850557cc2fa4728aa8f,35e404a58a861ae6e97ae344e5043ed3aa6dcfef28437edd114da741eebe582a,4a25c95e2d7f1061a52ae8d75d893772e1fe1473b0ce0bec99e5aa6e753ee468,DONOR_UNSEEN_ONLY,a10067c663ba23aef23acc5e6291c57037238899c77ca59a49f60aa2ba726ea1,EVALUATION_80PCT,6,True,False
626,H04,26,ENSG00000141376,BCAS3,2,BCAS3-1+BCAS3-2,True,BCAS3,True,True,BCAS3,True,True,c237353f72b78ff4ab3f7b89eb1ed533cde1b32ac166214322635d90bd6cbf6d,a852a223a6ae6440c88a14a6937c9ec49dd55176df18d26b355347f66ea17525,36014c968d6557a288b9cd76cf10d419eee133b12470eb4fd8e5b850f9d78495,e6fde233fa94fda0a4bdc92ceeb7059145f836f67e0b8b66cd55013553c0bc2d,DONOR_UNSEEN_ONLY,8b2a65345346f463e784a8b7867f0303f4aee0a844c96919c2783f695788afc6,EVALUATION_80PCT,6,True,False
627,H04,27,ENSG00000111642,CHD4,2,CHD4-1+CHD4-2,True,CHD4,True,True,CHD4,True,True,853da303d62bbae9e85aa1ff2a36f658f9efd4efc3da865a30cda57f59410a96,02ded41c9af73e9e4f744ecce9c3ae946ccf0c505a77b7242fd23e1be92898cd,360fbd7c1206f2571d65799d25f3ca0566a609d8e88a65a58e933f94cb268809,ce0622420cf236ef22393be6b9603ee9652f06b787f75944c061a2cf0e82517d,DONOR_UNSEEN_ONLY,9a543e8d30e2399bf839ef0e157156cb4fa33b75857a2bcff577432af562c080,EVALUATION_80PCT,6,True,False
628,H04,28,ENSG00000177721,ANXA2R,2,ANXA2R-1+ANXA2R-2,True,ANXA2R,True,True,ANXA2R,True,True,869faeba7e4d801e477ece4d6ab9fcd0d33e36857a6112e6dc9b57f222e675c7,74c4240448f1b54fb09b284af3883be688be63800943c2313f8fb372b95a83fc,3617c009917c2e770617d395dbed3fdcf1b8c8d9f8aee2f9d6186d445141a8b1,74de9bfd5832cbd89deebf123b59451f729f64edb83a7caa12b4b8c4b7e4e73e,DONOR_UNSEEN_ONLY,6225401d334458d703b4b90eb8c0f06ff313de36d488acab559b709b0565af73,EVALUATION_80PCT,6,True,False
629,H04,29,ENSG00000115756,HPCAL1,2,HPCAL1-1+HPCAL1-2,True,HPCAL1,True,True,HPCAL1,True,True,e8a23bcc53679a78554440e44d2309337a652145894c6c822b92e9f5682cb6f3,3acd945512c3fa9e8c75c75cf5253fe4ccea79c6a3eb1e546721e11911412948,363b9c78167d9cc4122012a6b445ba7480c7063a232fb305a404218f8f042314,53d9f0ac9f8544e9d6ae82b25ec38d5470f4b4478c4de25f5f97edaa022bc903,DONOR_UNSEEN_ONLY,21c48516db2d7248fda0e7cff18d7a2ab6a6b275c9bf0faf2fc167338069c5ad,CALIBRATION_20PCT,6,True,False
630,H04,30,ENSG00000010361,FUZ,2,FUZ-1+FUZ-2,True,FUZ,True,True,FUZ,True,True,c0d5838b37a4dfac4b076a3ed03899aaa3ec8ec7ab1beaf3824321640b818f26,5b87cbfbb9bc00fc3690262de4b1f582d5fac55e882f01fe920dec50123f7b4b,36541634b162357b2e6c28254ac76c01cd6440c5d00c9593aceb17b324fa9c4e,d33cf11013fd8c8164035c6c6890b51218068c9cffd2ab770418ea8b15fcbbeb,DONOR_UNSEEN_ONLY,4f747889a89bad6b096db255a74ff9c34cf8f20ca24a56780c28a70f71800219,EVALUATION_80PCT,6,True,False
631,H04,31,ENSG00000148840,PPRC1,2,PPRC1-1+PPRC1-2,True,PPRC1,True,True,PPRC1,True,True,f7af59fe74d8cbacfad037d0af20f5626b3feb61ac08640801472e800db89573,be846bf692ab3acb60fdee0f2df6998ce9f704ab59cfb5f7d8a3dfb8da2cc271,3657b7b252ed5b187d21416aa5bd8ef79467c59d59e321881d9745fafc73c93b,86b15df57d9f2e81a665c6215bdee7da2094b84599b9548a1be5828882481455,DONOR_UNSEEN_ONLY,f0be40a58b73c2bec15324e4cdd66655fe4314b2572e0357a5bcfb28e77e2a32,EVALUATION_80PCT,6,True,False
632,H04,32,ENSG00000103184,SEC14L5,2,SEC14L5-1+SEC14L5-2,True,SEC14L5,True,True,SEC14L5,True,True,994a43f1ca54241524e3827d42c2cbf3d86fd79e0bc6d16da4978316fb9b5322,4266eedb519f78b60ebdd0c2fac638e7e75e419ed1a7ccb9ee5c18d35089e0fc,3658e87f38b482c426232677b06689252760a395bd757b2d6a886b4a43ea8be4,d01c8c6b35c6ff007f4bd5693f5b416ab4aded3e5f7c7cac418b02aa3ada5a59,DONOR_UNSEEN_ONLY,87e9e44c78084679a75088ca63d7b0e0f2597c0279ef935daaf0bdceedd37ed7,EVALUATION_80PCT,6,True,False
633,H04,33,ENSG00000106538,RARRES2,2,RARRES2-1+RARRES2-2,True,RARRES2,True,True,RARRES2,True,True,f28d9d82cad8ee2971e4ce20712217fa143e95dce801aba7f4a3f91121a92e0c,9b31b9e2cf5c46be3760e01c31c671c85f10b55293708ea3562c851a69ec7f7a,36808d55a84accf0a34658ef1685cac6a469c650017f1e537f9424f3ea873f8e,bf0be785a32a96f2264a5a32d2ac7bc4c93b951508622d1090339601a393908d,DONOR_UNSEEN_ONLY,ebaf1c3e6c7863f4d39ea57fb0c058ab8cb8210892af8a5e3877135eb9d6528f,EVALUATION_80PCT,6,True,False
634,H04,34,ENSG00000017260,ATP2C1,2,ATP2C1-1+ATP2C1-2,True,ATP2C1,True,True,ATP2C1,True,True,13eaf3b7d3286662ffb6d1f71766003994d1f24bb5d6e30eda3c8a276c6408a6,b98afc8a99c70c9f79c7da2cad5507f7629ba8d370691f351c0aa2aa87dc768e,369104ab3a03b0116950607cba782a8a79f3bb6071191f9c3b834eb81b0f8559,fc4612ed31bf37c8d43136dcc48f7ed8d698fae5196a033ec65db11226fbef98,DONOR_UNSEEN_ONLY,5979b122f412cb5a099fa5c0205505184c6253afb99f6ed6b62048369686cced,EVALUATION_80PCT,6,True,False
635,H04,35,ENSG00000181381,DDX60L,2,DDX60L-1+DDX60L-2,True,DDX60L,True,True,DDX60L,True,True,b3e9480278a2fdde99e73ec9eb4851373e65e84b5c2503fdb4de70f1b7f934fd,ffb237b9af4e17ea74aa9fb39809c9bbe2d6d094bd26c154553b65a15369836a,36b297985478ba8cb74238ba43ad4cde7ffd3d2f0b1c1fb6896de615889e95e4,4ebe67b421b121d3ff70fd98a1fb01f2f6c55ee6738ef8b428e4f7106bc07d1d,DONOR_UNSEEN_ONLY,7273d5c94307777ba15ce35d1d07932c4ff0d74780d2c5566f3556f210bbb3cc,EVALUATION_80PCT,6,True,False
636,H04,36,ENSG00000173404,INSM1,2,INSM1-1+INSM1-2,True,INSM1,True,True,INSM1,True,True,6fda541ead54a2a57a320f5dfb7eb65821aebcf38248d3962697a9ceaf485b16,b331dd5ef783a889b44300fcbffd2ad6433e528959b3473e16d374be276f1268,36be8f97da525411c7872155c84b73578f9690c1f5fceda7c10e0df59122b0a8,4250f61d94ab23ae4a49515272470cfa49841ac74a67bf59d431dc2866245af1,DONOR_UNSEEN_ONLY,37fa7fc57d084b709209d1faa1e12620bf486bfad5286f71e3cbc00fb58357c4,CALIBRATION_20PCT,6,True,False
637,H04,37,ENSG00000100097,LGALS1,2,LGALS1-1+LGALS1-2,True,LGALS1,True,True,LGALS1,True,True,4f37166e934dd8894562cc4cfacb36f450b70c399b7336b839f8338ac16138d1,2ff131e1cb232d38c13e4971182216804897035cc5579ceb986d2af6dd11ad48,36d30d1b863b83ecde4b67e6f9672e67db5f980b959c2a2a6dfe59720fc96c58,ffbeb2deab7d4754fccd174c7539d4c4fa04b04b1d6ed13c9f77948f0acda098,DONOR_UNSEEN_ONLY,9e5152c008b84fd8dec4bbe87e3b9a66c282eee038de9607a26ee8e908980317,EVALUATION_80PCT,6,True,False
638,H04,38,ENSG00000091409,ITGA6,2,ITGA6-1+ITGA6-2,True,ITGA6,True,True,ITGA6,True,True,8b441187af4c1091dddc1a93c04db8e725b64a7d388c90afe2ee28ca86482a47,4afc25d3ea97f1d1b4e1cf66376819a549f7d40208f637aa8b29ed706ffcfba4,370ac49d2fe8858f1791de9ac52d025f44818feb099f92eccee46b25a2a617a5,cea7bf93283d8e0a27083c0e07501ffa067b22611fa3fff940d999d8bc904010,DONOR_UNSEEN_ONLY,386e79b9c06ff43f434a6b4a43a26249db2ee34ecf182d0f203c196d63f588e6,CALIBRATION_20PCT,6,True,False
639,H04,39,ENSG00000181036,FCRL6,2,FCRL6-1+FCRL6-2,True,FCRL6,True,True,FCRL6,True,True,ba048d5bdbef1a3176dfa357152cdfd0d2f3891f4a6f591b114a0bc7f0650e98,414da59b34f0152eee6ae67139c2889b50a3825a7c6d136df339f23d0cc5dd7a,374d57cafa633b21dc8e0b3b236e1fccc64d9950bb8e6c44165d8bb8eb66f3d7,f4f1650af9b8d21dde24640ae7fad07a630c0b71b50f16d39ea5c11ec4c454fd,DONOR_UNSEEN_ONLY,67aed42f3c3338eb6fcac632f073c292bb193bc280a820299471911f7ed8699f,EVALUATION_80PCT,6,True,False
640,H04,40,ENSG00000121879,PIK3CA,2,PIK3CA-1+PIK3CA-2,True,PIK3CA,True,True,PIK3CA,True,True,0a864b3442c10308ecac528254f66636b36506b83a5f640972165f7f328ed17e,32a400bc49af0556a12a2bf262d73e32ebacdaf60573f6fba9bd1997ba3b56d0,3767acd7d7bbe25591e5d95a43641181f6566c3e765952e7cf00985c9c92bfd7,9992503b5abdac1023d27d8284f1a7eb406875a3d3069b5e6d180d4f05d738a4,DONOR_UNSEEN_ONLY,f792cc7c25c70f9a27fc84a4d9b26c9e0d115ad9667e9c23e91e1187a98e5fab,EVALUATION_80PCT,6,True,False
641,H04,41,ENSG00000182704,TSKU,2,TSKU-1+TSKU-2,True,TSKU,True,True,TSKU,True,True,53d08fe463d544ecdd2abe28cdd1040a7096d63fb86024a251f996f16e2a7d4b,5cc1c73ca5034746362b0be425fe1ed1fd67837c65967273294eb41df037b790,376928adb509501d9292641fb2171ccd28163458a40f3dfc8efddfb3cd3236ba,91e2915bcf0cfe70fc56c18036dff861f6ef35c6c739fa5e442569e7a4465d4f,DONOR_UNSEEN_ONLY,688280dc647d393451e8e48e58ce48f5906fbeb17efb84d50e5215ad435c32fa,EVALUATION_80PCT,6,True,False
642,H04,42,ENSG00000198924,DCLRE1A,2,DCLRE1A-1+DCLRE1A-2,True,DCLRE1A,True,True,DCLRE1A,True,True,5c3a09ea42c05c700b487c1a798e271689f3cb122bd64df6d7e78344aaf87193,e60bbc3a5da6c56cd9162d689608f4e4afb5a1f1e18e6638fd1107bfe8b1de06,37efa3f2c29988185533ed5e0b8806af6049f98c50a932c9f970a345dfaa3d1d,aef5b717de3af3d4e087523384e0466b763e6d1855012d2dc1291af7bd40b337,DONOR_UNSEEN_ONLY,6d09b0a211fbafc0b50ae2a399448d37e784a21cb43d3fa2d099e2698d73db71,EVALUATION_80PCT,6,True,False
643,H04,43,ENSG00000103091,WDR59,2,WDR59-1+WDR59-2,True,WDR59,True,True,WDR59,True,True,869da036c08ae0aaeab7c2d1bbe4791b7e5486a7104df602bc382b0ae4760556,7bffc90f39b73da1fb5cbadb3222b5589d99072c8fa0e3e3bf9383be6bba9eb7,37fba79ea6195bd4de2f34a3eaafb18167591b5debc15872278b343eb1fa1f58,3d78235ad9e660edcbdbd5544ba4e52a1d67bf8a4f81f432672b4e1f55219376,DONOR_UNSEEN_ONLY,dfe0a0394f856331375c701a3ebe83b2dfe05d465b0a23ca71e2f3d83b6264e1,EVALUATION_80PCT,6,True,False
