dataset_group,dataset_name,predictor_name,score_name,n,n_bootstrap,status,raw_spearman_ci_low,raw_spearman_ci_high,partial_rho_ci_low,partial_rho_ci_high
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,V0StrongBaseline,protocol_v0_2_family_confidence,390,200,ok,0.37903852160474494,0.5494784799396252,0.34333232086380083,0.5178376499620659
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,V0StrongBaseline,safeconf_linear_ranker_risk,390,200,ok,0.6232275422030427,0.7625112943403715,0.5887637224180409,0.7253359915983908
mcfarland_drug_group,McFarlandTsherniak2020,ContextSimBaseline,lodo_error_ranker_risk,1163,200,ok,0.23475197585567337,0.3374812682113388,0.03188032473294643,0.13722780360908432
mcfarland_drug_group,McFarlandTsherniak2020,ContextSimBaseline,model_disagreement_risk,1163,200,ok,0.11449928152695314,0.21838505117143886,0.04836654769501249,0.16023569177951674
mcfarland_drug_group,McFarlandTsherniak2020,ContextSimBaseline,protocol_v0_2_family_confidence,1163,200,ok,-0.14643511284506705,-0.01389640718084109,-0.10420617415236914,0.007027135671722267
mcfarland_drug_group,McFarlandTsherniak2020,ContextSimBaseline,safeconf_linear_ranker_risk,1163,200,ok,-0.04907020855581382,0.07198971421018711,0.09596492942613068,0.19559271182918644
mcfarland_drug_group,McFarlandTsherniak2020,V0StrongBaseline,lodo_error_ranker_risk,1163,200,ok,0.35007494689063284,0.4498669686341411,0.08457907784066702,0.19924263755721308
mcfarland_drug_group,McFarlandTsherniak2020,V0StrongBaseline,model_disagreement_risk,1163,200,ok,0.08058711238824817,0.19284203436171507,-0.005456870441652825,0.11278879314171587
mcfarland_drug_group,McFarlandTsherniak2020,V0StrongBaseline,protocol_v0_2_family_confidence,1163,200,ok,-0.15744715359867403,-0.028626068314161795,-0.1416253033700583,-0.02063012431727109
mcfarland_drug_group,McFarlandTsherniak2020,V0StrongBaseline,safeconf_linear_ranker_risk,1163,200,ok,0.14323283718201296,0.2515417925935656,0.12422819190335185,0.23019659736627832
santinha_chemical_group,SantinhaPlatt2023,ContextSimBaseline,lodo_error_ranker_risk,283,200,ok,0.06715099628193807,0.25320391533113,0.10245827214331336,0.31105420244749793
santinha_chemical_group,SantinhaPlatt2023,ContextSimBaseline,model_disagreement_risk,283,200,ok,0.13593587783916564,0.3558469085756068,0.2091058181754741,0.4225085238066016
santinha_chemical_group,SantinhaPlatt2023,ContextSimBaseline,protocol_v0_2_family_confidence,283,200,ok,0.15640485200675214,0.3822022329263876,0.1737879361284471,0.4133783652273698
santinha_chemical_group,SantinhaPlatt2023,ContextSimBaseline,safeconf_linear_ranker_risk,283,200,ok,0.003707936752886206,0.20689185483576775,-0.10392360282532044,0.13495748600986296
santinha_chemical_group,SantinhaPlatt2023,V0StrongBaseline,lodo_error_ranker_risk,283,200,ok,0.020048089750611994,0.2709100997974517,0.014205787803182691,0.2729348557292128
santinha_chemical_group,SantinhaPlatt2023,V0StrongBaseline,model_disagreement_risk,283,200,ok,0.0060777765847102976,0.22862495903472363,0.01597268299859233,0.23970266216306715
santinha_chemical_group,SantinhaPlatt2023,V0StrongBaseline,protocol_v0_2_family_confidence,283,200,ok,0.04407471491510307,0.25207795944242123,0.03061324632906498,0.25529989885681525
santinha_chemical_group,SantinhaPlatt2023,V0StrongBaseline,safeconf_linear_ranker_risk,283,200,ok,-0.28131076999939225,-0.03854832521512771,-0.3768114047536669,-0.12173851948146024
srivatsan_sciplex_group,SrivatsanTrapnell2020_sciplex3,ContextSimBaseline,lodo_error_ranker_risk,564,200,ok,-0.1448639589862689,0.029778848330443124,-0.4010422037078341,-0.22763919363369994
srivatsan_sciplex_group,SrivatsanTrapnell2020_sciplex3,ContextSimBaseline,model_disagreement_risk,564,200,ok,0.4665803052198108,0.5897960226477722,0.7022294228929411,0.7699087938896507
srivatsan_sciplex_group,SrivatsanTrapnell2020_sciplex3,ContextSimBaseline,protocol_v0_2_family_confidence,564,200,ok,0.3936783718837194,0.5362625437931253,0.6054368289097026,0.7081998535082202
srivatsan_sciplex_group,SrivatsanTrapnell2020_sciplex3,ContextSimBaseline,safeconf_linear_ranker_risk,564,200,ok,0.17302032681748541,0.3370572680814324,-0.11009944552604793,0.0792090905851303
srivatsan_sciplex_group,SrivatsanTrapnell2020_sciplex3,V0StrongBaseline,lodo_error_ranker_risk,564,200,ok,-0.14818761741544365,0.0029088231083315816,-0.49766015035026545,-0.3760572736062363
srivatsan_sciplex_group,SrivatsanTrapnell2020_sciplex3,V0StrongBaseline,model_disagreement_risk,564,200,ok,0.3578572082787507,0.5027260734663948,0.631097753816648,0.7176378995015391
srivatsan_sciplex_group,SrivatsanTrapnell2020_sciplex3,V0StrongBaseline,protocol_v0_2_family_confidence,564,200,ok,0.31213840634836043,0.4561003571811809,0.5804736216099528,0.6686624240399339
srivatsan_sciplex_group,SrivatsanTrapnell2020_sciplex3,V0StrongBaseline,safeconf_linear_ranker_risk,564,200,ok,0.05545378596742378,0.21276737880745208,-0.23043012116451678,-0.05808666180696596
