dataset_group,dataset_name,predictor_name,score_name,score_type,coverage,n_total,n_kept,mean_rmse,median_rmse
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,lodo_error_ranker_risk,risk,0.7,331,232,1.2921587762870492,0.3938096733096845
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,lodo_error_ranker_risk,risk,0.6,331,199,1.4538893698043849,0.4553719457983037
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,lodo_error_ranker_risk,risk,0.5,331,166,1.5869929367553222,0.46841433533281407
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,model_disagreement_risk,risk,1.0,331,331,1.0263562357650997,0.3741852106023802
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,model_disagreement_risk,risk,0.9,331,298,1.07322937695806,0.3601088195774931
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,model_disagreement_risk,risk,0.8,331,265,1.1643827780309253,0.3695630174775468
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,model_disagreement_risk,risk,0.7,331,232,1.2800569303882956,0.37681033454382507
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,model_disagreement_risk,risk,0.6,331,199,1.4378010755652801,0.4073840232566684
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,model_disagreement_risk,risk,0.5,331,166,1.650556425301847,0.4395462433121612
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,protocol_v0_2_family_confidence,confidence,1.0,331,331,1.0263562357650997,0.3741852106023802
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,protocol_v0_2_family_confidence,confidence,0.9,331,298,0.5365090399543899,0.3391907908981294
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,protocol_v0_2_family_confidence,confidence,0.8,331,265,0.35743882923391423,0.3064440835966554
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,protocol_v0_2_family_confidence,confidence,0.7,331,232,0.33342981954688705,0.28559509754196033
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,protocol_v0_2_family_confidence,confidence,0.6,331,199,0.32174260204284716,0.2699731195921375
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,protocol_v0_2_family_confidence,confidence,0.5,331,166,0.3156937435687551,0.26595360012354197
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,safeconf_linear_ranker_risk,risk,1.0,331,331,1.0263562357650997,0.3741852106023802
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,safeconf_linear_ranker_risk,risk,0.9,331,298,1.0732293769580599,0.3601088195774931
lara_astiaso_group,LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,safeconf_linear_ranker_risk,risk,0.8,331,265,1.1642516298893797,0.3695630174775468
