heldout_dataset_group,predictor_name,score_name,model_type,feature_set,n_train_pool,n_test,feature_name,coefficient,abs_coefficient,intercept,alpha,l1_ratio
mcfarland_drug_group,V0StrongBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,13821,1163,perturbation_support_count,0.03854205823892587,0.03854205823892587,0.7877770184960171,9.999999999999999e-05,1.0
mcfarland_drug_group,V0StrongBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,13821,1163,perturbation_effect_stability,0.2680545623329275,0.2680545623329275,0.7877770184960171,9.999999999999999e-05,1.0
mcfarland_drug_group,V0StrongBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,13821,1163,prediction_magnitude_deviation,0.24453041977568457,0.24453041977568457,0.7877770184960171,9.999999999999999e-05,1.0
mcfarland_drug_group,V0StrongBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,13821,1163,model_disagreement_rmse,1.7052571027411867,1.7052571027411867,0.7877770184960171,9.999999999999999e-05,1.0
mcfarland_drug_group,V0StrongBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,13821,1163,ood_nearest_distance,0.01053877012469422,0.01053877012469422,0.7877770184960171,9.999999999999999e-05,1.0
santinha_chemical_group,ContextSimBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,17341,283,context_similarity_max,-0.13935487585381956,0.13935487585381956,0.9404850818888043,0.008376776400682915,0.8
santinha_chemical_group,ContextSimBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,17341,283,perturbation_support_count,0.48937262532492365,0.48937262532492365,0.9404850818888043,0.008376776400682915,0.8
santinha_chemical_group,ContextSimBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,17341,283,perturbation_effect_stability,0.273988379245186,0.273988379245186,0.9404850818888043,0.008376776400682915,0.8
santinha_chemical_group,ContextSimBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,17341,283,prediction_magnitude_deviation,0.331261639361525,0.331261639361525,0.9404850818888043,0.008376776400682915,0.8
santinha_chemical_group,ContextSimBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,17341,283,model_disagreement_rmse,1.2638649148211705,1.2638649148211705,0.9404850818888043,0.008376776400682915,0.8
santinha_chemical_group,ContextSimBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,17341,283,ood_nearest_distance,-0.01787616463327178,0.01787616463327178,0.9404850818888043,0.008376776400682915,0.8
santinha_chemical_group,V0StrongBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,17341,283,context_similarity_max,-0.0,0.0,1.0054040822939267,0.006235507341273911,1.0
santinha_chemical_group,V0StrongBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,17341,283,perturbation_support_count,0.43733828132687086,0.43733828132687086,1.0054040822939267,0.006235507341273911,1.0
santinha_chemical_group,V0StrongBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,17341,283,perturbation_effect_stability,0.2447930716155079,0.2447930716155079,1.0054040822939267,0.006235507341273911,1.0
santinha_chemical_group,V0StrongBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,17341,283,prediction_magnitude_deviation,0.19517092995206498,0.19517092995206498,1.0054040822939267,0.006235507341273911,1.0
santinha_chemical_group,V0StrongBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,17341,283,model_disagreement_rmse,1.5502713303768785,1.5502713303768785,1.0054040822939267,0.006235507341273911,1.0
santinha_chemical_group,V0StrongBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,17341,283,ood_nearest_distance,0.07564192199347278,0.07564192199347278,1.0054040822939267,0.006235507341273911,1.0
srivatsan_sciplex_group,ContextSimBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,16217,564,context_similarity_max,-0.2674911872326941,0.2674911872326941,1.0266595516155141,0.008376776400682915,0.5
srivatsan_sciplex_group,ContextSimBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,16217,564,perturbation_support_count,0.4590371631233102,0.4590371631233102,1.0266595516155141,0.008376776400682915,0.5
srivatsan_sciplex_group,ContextSimBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,16217,564,perturbation_effect_stability,0.2741482726667237,0.2741482726667237,1.0266595516155141,0.008376776400682915,0.5
srivatsan_sciplex_group,ContextSimBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,16217,564,prediction_magnitude_deviation,0.36011410211756195,0.36011410211756195,1.0266595516155141,0.008376776400682915,0.5
srivatsan_sciplex_group,ContextSimBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,16217,564,model_disagreement_rmse,1.2817515368238646,1.2817515368238646,1.0266595516155141,0.008376776400682915,0.5
srivatsan_sciplex_group,ContextSimBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,16217,564,ood_nearest_distance,0.04755497497878319,0.04755497497878319,1.0266595516155141,0.008376776400682915,0.5
srivatsan_sciplex_group,V0StrongBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,16217,564,context_similarity_max,-0.1201488935136471,0.1201488935136471,1.0920911286543924,0.004641588833612777,0.5
srivatsan_sciplex_group,V0StrongBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,16217,564,perturbation_support_count,0.4268376547270334,0.4268376547270334,1.0920911286543924,0.004641588833612777,0.5
srivatsan_sciplex_group,V0StrongBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,16217,564,perturbation_effect_stability,0.2609277094191619,0.2609277094191619,1.0920911286543924,0.004641588833612777,0.5
srivatsan_sciplex_group,V0StrongBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,16217,564,prediction_magnitude_deviation,0.1998962367696926,0.1998962367696926,1.0920911286543924,0.004641588833612777,0.5
srivatsan_sciplex_group,V0StrongBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,16217,564,model_disagreement_rmse,1.5925708245110193,1.5925708245110193,1.0920911286543924,0.004641588833612777,0.5
srivatsan_sciplex_group,V0StrongBaseline,safeconf_linear_ranker_risk,elasticnet,deduplicated_linear_features,16217,564,ood_nearest_distance,0.12327437833517277,0.12327437833517277,1.0920911286543924,0.004641588833612777,0.5
