task_id,technical_group,perturbation,n_exact_cells_merged,true_effect_key
E177::G4::EIF3F,4,EIF3F,14,E177::G4::EIF3F
E177::G4::EIF4B,4,EIF4B,22,E177::G4::EIF4B
E177::G4::EIF4H,4,EIF4H,26,E177::G4::EIF4H
E177::G4::EXOC2,4,EXOC2,24,E177::G4::EXOC2
E177::G4::EXOC8,4,EXOC8,69,E177::G4::EXOC8
E177::G4::F2RL1,4,F2RL1,23,E177::G4::F2RL1
E177::G4::HDAC2,4,HDAC2,9,E177::G4::HDAC2
E177::G4::IFITM2,4,IFITM2,20,E177::G4::IFITM2
E177::G4::IFNAR2,4,IFNAR2,21,E177::G4::IFNAR2
E177::G4::ISG15,4,ISG15,4,E177::G4::ISG15
E177::G4::KEAP1,4,KEAP1,17,E177::G4::KEAP1
E177::G4::KPNA2,4,KPNA2,16,E177::G4::KPNA2
E177::G4::LDLR,4,LDLR,68,E177::G4::LDLR
E177::G4::NFKBIA,4,NFKBIA,12,E177::G4::NFKBIA
E177::G4::PPIH,4,PPIH,11,E177::G4::PPIH
E177::G4::PRKCI,4,PRKCI,11,E177::G4::PRKCI
E177::G4::SGTA,4,SGTA,15,E177::G4::SGTA
E177::G4::SPNS1,4,SPNS1,23,E177::G4::SPNS1
E177::G4::STAT1,4,STAT1,21,E177::G4::STAT1
E177::G4::STK16,4,STK16,23,E177::G4::STK16
E177::G4::TLR3,4,TLR3,11,E177::G4::TLR3
E177::G4::TOM1,4,TOM1,50,E177::G4::TOM1
E177::G4::VAC14,4,VAC14,104,E177::G4::VAC14
E177::G4::VPS39,4,VPS39,15,E177::G4::VPS39
E177::G4::ZYG11B,4,ZYG11B,22,E177::G4::ZYG11B
E177::G5::ACE2,5,ACE2,10,E177::G5::ACE2
E177::G5::ATF4,5,ATF4,11,E177::G5::ATF4
E177::G5::CASP7,5,CASP7,12,E177::G5::CASP7
E177::G5::COG5,5,COG5,12,E177::G5::COG5
E177::G5::CTSB,5,CTSB,16,E177::G5::CTSB
E177::G5::EIF3F,5,EIF3F,7,E177::G5::EIF3F
E177::G5::EIF4B,5,EIF4B,15,E177::G5::EIF4B
E177::G5::EIF4H,5,EIF4H,17,E177::G5::EIF4H
E177::G5::EXOC2,5,EXOC2,22,E177::G5::EXOC2
E177::G5::EXOC8,5,EXOC8,74,E177::G5::EXOC8
E177::G5::F2RL1,5,F2RL1,12,E177::G5::F2RL1
E177::G5::HDAC2,5,HDAC2,4,E177::G5::HDAC2
E177::G5::IFITM2,5,IFITM2,28,E177::G5::IFITM2
E177::G5::IFNAR2,5,IFNAR2,20,E177::G5::IFNAR2
E177::G5::ISG15,5,ISG15,8,E177::G5::ISG15
E177::G5::KEAP1,5,KEAP1,18,E177::G5::KEAP1
E177::G5::KPNA2,5,KPNA2,11,E177::G5::KPNA2
E177::G5::LDLR,5,LDLR,85,E177::G5::LDLR
E177::G5::NFKBIA,5,NFKBIA,16,E177::G5::NFKBIA
E177::G5::PPIH,5,PPIH,14,E177::G5::PPIH
E177::G5::PRKCI,5,PRKCI,17,E177::G5::PRKCI
E177::G5::SGTA,5,SGTA,12,E177::G5::SGTA
E177::G5::SPNS1,5,SPNS1,24,E177::G5::SPNS1
E177::G5::STAT1,5,STAT1,22,E177::G5::STAT1
E177::G5::STK16,5,STK16,19,E177::G5::STK16
E177::G5::TLR3,5,TLR3,10,E177::G5::TLR3
E177::G5::TOM1,5,TOM1,43,E177::G5::TOM1
E177::G5::VAC14,5,VAC14,113,E177::G5::VAC14
E177::G5::VPS39,5,VPS39,10,E177::G5::VPS39
E177::G5::ZYG11B,5,ZYG11B,15,E177::G5::ZYG11B
E177::G6::ACE2,6,ACE2,24,E177::G6::ACE2
E177::G6::ATF4,6,ATF4,10,E177::G6::ATF4
E177::G6::CASP7,6,CASP7,16,E177::G6::CASP7
E177::G6::COG5,6,COG5,17,E177::G6::COG5
E177::G6::CTSB,6,CTSB,14,E177::G6::CTSB
E177::G6::EIF3F,6,EIF3F,3,E177::G6::EIF3F
E177::G6::EIF4B,6,EIF4B,13,E177::G6::EIF4B
E177::G6::EIF4H,6,EIF4H,16,E177::G6::EIF4H
E177::G6::EXOC2,6,EXOC2,19,E177::G6::EXOC2
E177::G6::EXOC8,6,EXOC8,91,E177::G6::EXOC8
E177::G6::F2RL1,6,F2RL1,18,E177::G6::F2RL1
E177::G6::HDAC2,6,HDAC2,8,E177::G6::HDAC2
E177::G6::IFITM2,6,IFITM2,13,E177::G6::IFITM2
E177::G6::IFNAR2,6,IFNAR2,12,E177::G6::IFNAR2
E177::G6::ISG15,6,ISG15,5,E177::G6::ISG15
E177::G6::KEAP1,6,KEAP1,15,E177::G6::KEAP1
E177::G6::KPNA2,6,KPNA2,13,E177::G6::KPNA2
E177::G6::LDLR,6,LDLR,90,E177::G6::LDLR
E177::G6::NFKBIA,6,NFKBIA,12,E177::G6::NFKBIA
E177::G6::PPIH,6,PPIH,6,E177::G6::PPIH
E177::G6::PRKCI,6,PRKCI,10,E177::G6::PRKCI
E177::G6::SGTA,6,SGTA,15,E177::G6::SGTA
E177::G6::SPNS1,6,SPNS1,33,E177::G6::SPNS1
E177::G6::STAT1,6,STAT1,11,E177::G6::STAT1
E177::G6::STK16,6,STK16,22,E177::G6::STK16
E177::G6::TLR3,6,TLR3,9,E177::G6::TLR3
E177::G6::TOM1,6,TOM1,56,E177::G6::TOM1
E177::G6::VAC14,6,VAC14,106,E177::G6::VAC14
E177::G6::VPS39,6,VPS39,11,E177::G6::VPS39
E177::G6::ZYG11B,6,ZYG11B,14,E177::G6::ZYG11B
E177::G7::ACE2,7,ACE2,22,E177::G7::ACE2
E177::G7::ATF4,7,ATF4,12,E177::G7::ATF4
E177::G7::CASP7,7,CASP7,9,E177::G7::CASP7
E177::G7::COG5,7,COG5,10,E177::G7::COG5
E177::G7::CTSB,7,CTSB,13,E177::G7::CTSB
E177::G7::EIF3F,7,EIF3F,7,E177::G7::EIF3F
E177::G7::EIF4B,7,EIF4B,7,E177::G7::EIF4B
E177::G7::EIF4H,7,EIF4H,19,E177::G7::EIF4H
E177::G7::EXOC2,7,EXOC2,21,E177::G7::EXOC2
E177::G7::EXOC8,7,EXOC8,91,E177::G7::EXOC8
E177::G7::F2RL1,7,F2RL1,14,E177::G7::F2RL1
E177::G7::HDAC2,7,HDAC2,8,E177::G7::HDAC2
E177::G7::IFITM2,7,IFITM2,14,E177::G7::IFITM2
E177::G7::IFNAR2,7,IFNAR2,15,E177::G7::IFNAR2
E177::G7::ISG15,7,ISG15,14,E177::G7::ISG15
E177::G7::KEAP1,7,KEAP1,20,E177::G7::KEAP1
E177::G7::KPNA2,7,KPNA2,13,E177::G7::KPNA2
E177::G7::LDLR,7,LDLR,84,E177::G7::LDLR
E177::G7::NFKBIA,7,NFKBIA,9,E177::G7::NFKBIA
E177::G7::PPIH,7,PPIH,10,E177::G7::PPIH
E177::G7::PRKCI,7,PRKCI,9,E177::G7::PRKCI
E177::G7::SGTA,7,SGTA,13,E177::G7::SGTA
E177::G7::SPNS1,7,SPNS1,23,E177::G7::SPNS1
E177::G7::STAT1,7,STAT1,19,E177::G7::STAT1
E177::G7::STK16,7,STK16,14,E177::G7::STK16
E177::G7::TLR3,7,TLR3,7,E177::G7::TLR3
E177::G7::TOM1,7,TOM1,53,E177::G7::TOM1
E177::G7::VAC14,7,VAC14,90,E177::G7::VAC14
E177::G7::VPS39,7,VPS39,5,E177::G7::VPS39
E177::G7::ZYG11B,7,ZYG11B,15,E177::G7::ZYG11B
E177::G8::ACE2,8,ACE2,14,E177::G8::ACE2
E177::G8::ATF4,8,ATF4,12,E177::G8::ATF4
E177::G8::CASP7,8,CASP7,10,E177::G8::CASP7
E177::G8::COG5,8,COG5,12,E177::G8::COG5
E177::G8::CTSB,8,CTSB,14,E177::G8::CTSB
E177::G8::EIF3F,8,EIF3F,14,E177::G8::EIF3F
E177::G8::EIF4B,8,EIF4B,17,E177::G8::EIF4B
E177::G8::EIF4H,8,EIF4H,10,E177::G8::EIF4H
E177::G8::EXOC2,8,EXOC2,24,E177::G8::EXOC2
E177::G8::EXOC8,8,EXOC8,91,E177::G8::EXOC8
E177::G8::F2RL1,8,F2RL1,13,E177::G8::F2RL1
E177::G8::HDAC2,8,HDAC2,12,E177::G8::HDAC2
E177::G8::IFITM2,8,IFITM2,16,E177::G8::IFITM2
E177::G8::IFNAR2,8,IFNAR2,26,E177::G8::IFNAR2
E177::G8::ISG15,8,ISG15,7,E177::G8::ISG15
E177::G8::KEAP1,8,KEAP1,9,E177::G8::KEAP1
E177::G8::KPNA2,8,KPNA2,13,E177::G8::KPNA2
E177::G8::LDLR,8,LDLR,95,E177::G8::LDLR
E177::G8::NFKBIA,8,NFKBIA,12,E177::G8::NFKBIA
E177::G8::PPIH,8,PPIH,8,E177::G8::PPIH
E177::G8::PRKCI,8,PRKCI,13,E177::G8::PRKCI
E177::G8::SGTA,8,SGTA,11,E177::G8::SGTA
E177::G8::SPNS1,8,SPNS1,13,E177::G8::SPNS1
E177::G8::STAT1,8,STAT1,22,E177::G8::STAT1
E177::G8::STK16,8,STK16,28,E177::G8::STK16
E177::G8::TLR3,8,TLR3,18,E177::G8::TLR3
E177::G8::TOM1,8,TOM1,59,E177::G8::TOM1
E177::G8::VAC14,8,VAC14,94,E177::G8::VAC14
E177::G8::VPS39,8,VPS39,10,E177::G8::VPS39
E177::G8::ZYG11B,8,ZYG11B,20,E177::G8::ZYG11B
