dataset,fold_id,setting,method,n_tasks,status,spearman,utility_20,capture_20,remaining_relative_error_80
Liang,Liang_context_holdout_2_DM2_2,context_unseen_row,magnitude,13,EVALUATED,0.6978021978021978,1.0,0.268251578610254,0.9512729478066698
Liang,Liang_context_holdout_2_DM2_2,perturbation_unseen_column,magnitude,40,EVALUATED,0.024390243902439025,-0.2692238194251335,0.17537061078185817,1.0307867365226775
Liang,Liang_context_holdout_2_DM2_2,random_missing_pair,magnitude,10,EVALUATED,0.0303030303030303,-0.09690239171159197,0.19470249331487335,1.0066218833564085
Liang,Liang_context_holdout_3_DM2_3,context_and_perturbation_unseen,magnitude,5,EVALUATED,-0.39999999999999997,-0.2944217769472527,0.17591671847617377,1.0301041019047827
Liang,Liang_context_holdout_3_DM2_3,context_unseen_row,magnitude,13,EVALUATED,0.46153846153846156,0.7482877202157502,0.27192439020108883,0.9464982927385844
Liang,Liang_context_holdout_3_DM2_3,perturbation_unseen_column,magnitude,40,EVALUATED,0.10112570356472796,0.06628349037854912,0.20435629470200317,0.994554631622496
Liang,Liang_context_holdout_3_DM2_3,random_missing_pair,magnitude,10,EVALUATED,0.4424242424242424,0.6633368065435724,0.2246162530642163,0.9692296836697296
Liang,Liang_context_holdout_4_DM2_4,context_and_perturbation_unseen,magnitude,5,EVALUATED,0.6,0.014077916317663289,0.2010192169701151,0.9987259787873561
Liang,Liang_context_holdout_4_DM2_4,context_unseen_row,magnitude,13,EVALUATED,0.4340659340659341,0.913533085456269,0.2853037460623772,0.9291051301189098
Liang,Liang_context_holdout_4_DM2_4,perturbation_unseen_column,magnitude,40,EVALUATED,0.42870544090056295,0.6550835015535137,0.22579204231046868,0.967759947111914
Liang,Liang_context_holdout_4_DM2_4,random_missing_pair,magnitude,10,EVALUATED,0.4787878787878787,1.0,0.26015252737104944,0.9248093407861881
Liang,Liang_context_holdout_5_DM2_5,context_and_perturbation_unseen,magnitude,5,EVALUATED,-0.09999999999999999,-0.18034539246246298,0.19008582916220357,1.0123927135472457
Liang,Liang_context_holdout_5_DM2_5,context_unseen_row,magnitude,13,EVALUATED,0.7472527472527472,0.7826407892006594,0.2617955852957124,0.9596657391155738
Liang,Liang_context_holdout_5_DM2_5,perturbation_unseen_column,magnitude,40,EVALUATED,-0.07879924953095685,-0.2264715487470452,0.18053380887899256,1.0243327389012593
Liang,Liang_context_holdout_5_DM2_5,random_missing_pair,magnitude,10,EVALUATED,0.34545454545454546,0.561435608072241,0.21443405245227765,0.981957434434653
Liang,Liang_context_holdout_6_DM2_6,context_and_perturbation_unseen,magnitude,5,EVALUATED,-0.3,0.0774552826804973,0.20464891490371853,0.9941888563703518
Liang,Liang_context_holdout_6_DM2_6,context_unseen_row,magnitude,13,EVALUATED,0.39010989010989006,0.7944597700128144,0.28108307948192796,0.9345919966734937
Liang,Liang_context_holdout_6_DM2_6,perturbation_unseen_column,magnitude,40,EVALUATED,-0.5467166979362101,-0.2580641858503181,0.17811389469600844,1.0273576316299895
Liang,Liang_context_holdout_6_DM2_6,random_missing_pair,magnitude,10,EVALUATED,0.3939393939393939,0.37238759547542294,0.22692976850056135,0.9663377893742983
Liang,Liang_context_holdout_7_EM2_1,context_and_perturbation_unseen,magnitude,5,EVALUATED,-0.3,-0.9577329474803322,0.130056002373014,1.0874299970337324
Liang,Liang_context_holdout_7_EM2_1,context_unseen_row,magnitude,13,EVALUATED,0.7142857142857143,0.36072637112577727,0.25825893397266897,0.9642633858355305
Liang,Liang_context_holdout_7_EM2_1,perturbation_unseen_column,magnitude,40,EVALUATED,-0.19455909943714825,-0.47103261535804447,0.16703688096268346,1.0412038987966457
Liang,Liang_context_holdout_7_EM2_1,random_missing_pair,magnitude,10,EVALUATED,0.17575757575757575,-0.03917501981213854,0.1972981707441935,1.003377286569758
Liang,Liang_context_holdout_8_EM2_2,context_and_perturbation_unseen,magnitude,5,EVALUATED,0.6,0.10187340391635628,0.20775097538715892,0.9903112807660513
Liang,Liang_context_holdout_8_EM2_2,context_unseen_row,magnitude,13,EVALUATED,0.1043956043956044,0.4358854156591401,0.25473744944867943,0.9688413157167167
Liang,Liang_context_holdout_8_EM2_2,perturbation_unseen_column,magnitude,40,EVALUATED,-0.008630393996247657,-0.41627908356895654,0.17005734178056003,1.0374283227743
Liang,Liang_context_holdout_8_EM2_2,random_missing_pair,magnitude,10,EVALUATED,0.05454545454545454,-0.18184207478761008,0.18994760008321138,1.0125654998959859
Liang,Liang_context_holdout_9_EM2_3,context_and_perturbation_unseen,magnitude,5,EVALUATED,-0.49999999999999994,-0.9309387455370537,0.17405425781234596,1.0324321777345677
Liang,Liang_context_holdout_9_EM2_3,context_unseen_row,magnitude,13,EVALUATED,0.2747252747252747,0.42734989571566995,0.25988301623031534,0.9621520789005901
Liang,Liang_context_holdout_9_EM2_3,perturbation_unseen_column,magnitude,40,EVALUATED,-0.0953095684803002,0.13520355663186018,0.20619946002273803,0.9922506749715775
Liang,Liang_context_holdout_9_EM2_3,random_missing_pair,magnitude,10,EVALUATED,0.4545454545454545,0.4261741210305301,0.22879068223688084,0.9640116472038989
Liang,Liang_context_holdout_1_DM2_1,context_and_perturbation_unseen,fixed_80m_20s,5,EVALUATED,-0.49999999999999994,-1.9883669485446323,0.17886952159629294,1.0264130980046338
Liang,Liang_context_holdout_1_DM2_1,context_unseen_row,fixed_80m_20s,13,EVALUATED,0.47802197802197804,0.623343633286795,0.26742542258626073,0.9523469506378611
Liang,Liang_context_holdout_1_DM2_1,perturbation_unseen_column,fixed_80m_20s,40,EVALUATED,0.2764670015706202,-0.11762814322630719,0.1943223024166392,1.0070971219792009
Liang,Liang_context_holdout_1_DM2_1,random_missing_pair,fixed_80m_20s,10,EVALUATED,0.4787878787878787,0.8556969353021112,0.2817773611323378,0.8977782985845778
Liang,Liang_context_holdout_2_DM2_2,context_and_perturbation_unseen,fixed_80m_20s,5,EVALUATED,-0.09999999999999999,-0.3628256631648567,0.16378892613640028,1.0452638423294995
Liang,Liang_context_holdout_2_DM2_2,context_unseen_row,fixed_80m_20s,13,EVALUATED,0.6978021978021978,1.0,0.268251578610254,0.9512729478066698
Liang,Liang_context_holdout_2_DM2_2,perturbation_unseen_column,fixed_80m_20s,40,EVALUATED,0.02739212007504691,-0.2692238194251335,0.17537061078185817,1.0307867365226775
Liang,Liang_context_holdout_2_DM2_2,random_missing_pair,fixed_80m_20s,10,EVALUATED,0.0303030303030303,-0.09690239171159197,0.19470249331487335,1.0066218833564085
Liang,Liang_context_holdout_3_DM2_3,context_and_perturbation_unseen,fixed_80m_20s,5,EVALUATED,-0.39999999999999997,-0.2944217769472527,0.17591671847617377,1.0301041019047827
Liang,Liang_context_holdout_3_DM2_3,context_unseen_row,fixed_80m_20s,13,EVALUATED,0.46153846153846156,0.7482877202157502,0.27192439020108883,0.9464982927385844
Liang,Liang_context_holdout_3_DM2_3,perturbation_unseen_column,fixed_80m_20s,40,EVALUATED,0.09737335834896811,0.17808276976814236,0.21170398574408913,0.9853700178198885
Liang,Liang_context_holdout_3_DM2_3,random_missing_pair,fixed_80m_20s,10,EVALUATED,0.4424242424242424,0.6633368065435724,0.2246162530642163,0.9692296836697296
Liang,Liang_context_holdout_4_DM2_4,context_and_perturbation_unseen,fixed_80m_20s,5,EVALUATED,0.6,0.014077916317663289,0.2010192169701151,0.9987259787873561
Liang,Liang_context_holdout_4_DM2_4,context_unseen_row,fixed_80m_20s,13,EVALUATED,0.4505494505494505,0.913533085456269,0.2853037460623772,0.9291051301189098
Liang,Liang_context_holdout_4_DM2_4,perturbation_unseen_column,fixed_80m_20s,40,EVALUATED,0.42870544090056295,0.6550835015535137,0.22579204231046868,0.967759947111914
Liang,Liang_context_holdout_4_DM2_4,random_missing_pair,fixed_80m_20s,10,EVALUATED,0.4787878787878787,1.0,0.26015252737104944,0.9248093407861881
Liang,Liang_context_holdout_5_DM2_5,context_and_perturbation_unseen,fixed_80m_20s,5,EVALUATED,-0.09999999999999999,-0.18034539246246298,0.19008582916220357,1.0123927135472457
Liang,Liang_context_holdout_5_DM2_5,context_unseen_row,fixed_80m_20s,13,EVALUATED,0.7472527472527472,0.7826407892006594,0.2617955852957124,0.9596657391155738
Liang,Liang_context_holdout_5_DM2_5,perturbation_unseen_column,fixed_80m_20s,40,EVALUATED,-0.07617618095532529,-0.2264715487470452,0.18053380887899256,1.0243327389012593
Liang,Liang_context_holdout_5_DM2_5,random_missing_pair,fixed_80m_20s,10,EVALUATED,0.34545454545454546,0.561435608072241,0.21443405245227765,0.981957434434653
Liang,Liang_context_holdout_6_DM2_6,context_and_perturbation_unseen,fixed_80m_20s,5,EVALUATED,-0.3,0.0774552826804973,0.20464891490371853,0.9941888563703518
Liang,Liang_context_holdout_6_DM2_6,context_unseen_row,fixed_80m_20s,13,EVALUATED,0.4236592728681617,0.7944597700128144,0.28108307948192796,0.9345919966734937
Liang,Liang_context_holdout_6_DM2_6,perturbation_unseen_column,fixed_80m_20s,40,EVALUATED,-0.5467166979362101,-0.2580641858503181,0.17811389469600844,1.0273576316299895
Liang,Liang_context_holdout_6_DM2_6,random_missing_pair,fixed_80m_20s,10,EVALUATED,0.3939393939393939,0.37238759547542294,0.22692976850056135,0.9663377893742983
Liang,Liang_context_holdout_7_EM2_1,context_and_perturbation_unseen,fixed_80m_20s,5,EVALUATED,-0.3,-0.9577329474803322,0.130056002373014,1.0874299970337324
Liang,Liang_context_holdout_7_EM2_1,context_unseen_row,fixed_80m_20s,13,EVALUATED,0.7142857142857143,0.36072637112577727,0.25825893397266897,0.9642633858355305
Liang,Liang_context_holdout_7_EM2_1,perturbation_unseen_column,fixed_80m_20s,40,EVALUATED,-0.1981238273921201,-0.4686103558527588,0.16720639200248974,1.040992009996888
Liang,Liang_context_holdout_7_EM2_1,random_missing_pair,fixed_80m_20s,10,EVALUATED,0.17575757575757575,-0.03917501981213854,0.1972981707441935,1.003377286569758
Liang,Liang_context_holdout_8_EM2_2,context_and_perturbation_unseen,fixed_80m_20s,5,EVALUATED,0.6,0.10187340391635628,0.20775097538715892,0.9903112807660513
Liang,Liang_context_holdout_8_EM2_2,context_unseen_row,fixed_80m_20s,13,EVALUATED,0.1043956043956044,0.4358854156591401,0.25473744944867943,0.9688413157167167
Liang,Liang_context_holdout_8_EM2_2,perturbation_unseen_column,fixed_80m_20s,40,EVALUATED,-0.012195121951219513,-0.41627908356895654,0.17005734178056003,1.0374283227743
Liang,Liang_context_holdout_8_EM2_2,random_missing_pair,fixed_80m_20s,10,EVALUATED,0.05454545454545454,-0.18184207478761008,0.18994760008321138,1.0125654998959859
Liang,Liang_context_holdout_9_EM2_3,context_and_perturbation_unseen,fixed_80m_20s,5,EVALUATED,-0.49999999999999994,-0.9309387455370537,0.17405425781234596,1.0324321777345677
Liang,Liang_context_holdout_9_EM2_3,context_unseen_row,fixed_80m_20s,13,EVALUATED,0.2747252747252747,0.42734989571566995,0.25988301623031534,0.9621520789005901
Liang,Liang_context_holdout_9_EM2_3,perturbation_unseen_column,fixed_80m_20s,40,EVALUATED,-0.08921619222723443,0.13520355663186018,0.20619946002273803,0.9922506749715775
Liang,Liang_context_holdout_9_EM2_3,random_missing_pair,fixed_80m_20s,10,EVALUATED,0.4545454545454545,0.4261741210305301,0.22879068223688084,0.9640116472038989
Liang,Liang_context_holdout_1_DM2_1,context_and_perturbation_unseen,learned_magnitude,5,EVALUATED,-0.3,-1.9883669485446323,0.17886952159629294,1.0264130980046338
Liang,Liang_context_holdout_1_DM2_1,context_unseen_row,learned_magnitude,13,EVALUATED,0.47802197802197804,0.623343633286795,0.26742542258626073,0.9523469506378611
Liang,Liang_context_holdout_1_DM2_1,perturbation_unseen_column,learned_magnitude,40,EVALUATED,-0.18217636022514072,-0.41510907141826553,0.1799634364108918,1.0250457044863852
Liang,Liang_context_holdout_1_DM2_1,random_missing_pair,learned_magnitude,10,EVALUATED,0.4787878787878787,0.8556969353021112,0.2817773611323378,0.8977782985845778
Liang,Liang_context_holdout_2_DM2_2,context_and_perturbation_unseen,learned_magnitude,5,EVALUATED,-0.3,-0.3628256631648567,0.16378892613640028,1.0452638423294995
Liang,Liang_context_holdout_2_DM2_2,context_unseen_row,learned_magnitude,13,EVALUATED,0.6978021978021978,1.0,0.268251578610254,0.9512729478066698
Liang,Liang_context_holdout_2_DM2_2,perturbation_unseen_column,learned_magnitude,40,EVALUATED,0.276547842401501,-0.2692238194251335,0.17537061078185817,1.0307867365226775
Liang,Liang_context_holdout_2_DM2_2,random_missing_pair,learned_magnitude,10,EVALUATED,0.0303030303030303,-0.09690239171159197,0.19470249331487335,1.0066218833564085
Liang,Liang_context_holdout_3_DM2_3,context_and_perturbation_unseen,learned_magnitude,5,EVALUATED,0.3,-0.2944217769472527,0.17591671847617377,1.0301041019047827
Liang,Liang_context_holdout_3_DM2_3,context_unseen_row,learned_magnitude,13,EVALUATED,0.4505494505494505,0.7482877202157502,0.27192439020108883,0.9464982927385844
Liang,Liang_context_holdout_3_DM2_3,perturbation_unseen_column,learned_magnitude,40,EVALUATED,0.4196998123827393,0.06628349037854912,0.20435629470200317,0.994554631622496
Liang,Liang_context_holdout_3_DM2_3,random_missing_pair,learned_magnitude,10,EVALUATED,0.5393939393939393,0.6633368065435724,0.2246162530642163,0.9692296836697296
Liang,Liang_context_holdout_4_DM2_4,context_and_perturbation_unseen,learned_magnitude,5,EVALUATED,0.7999999999999999,0.014077916317663289,0.2010192169701151,0.9987259787873561
Liang,Liang_context_holdout_4_DM2_4,context_unseen_row,learned_magnitude,13,EVALUATED,0.2747252747252747,0.6932384772572147,0.27215298023781076,0.9462011256908461
Liang,Liang_context_holdout_4_DM2_4,perturbation_unseen_column,learned_magnitude,40,EVALUATED,0.5969981238273923,0.6550835015535137,0.22579204231046868,0.967759947111914
Liang,Liang_context_holdout_4_DM2_4,random_missing_pair,learned_magnitude,10,EVALUATED,0.4424242424242424,1.0,0.26015252737104944,0.9248093407861881
Liang,Liang_context_holdout_5_DM2_5,context_and_perturbation_unseen,learned_magnitude,5,EVALUATED,-0.6,-0.18034539246246298,0.19008582916220357,1.0123927135472457
Liang,Liang_context_holdout_5_DM2_5,context_unseen_row,learned_magnitude,13,EVALUATED,0.7637362637362637,0.7826407892006594,0.2617955852957124,0.9596657391155738
Liang,Liang_context_holdout_5_DM2_5,perturbation_unseen_column,learned_magnitude,40,EVALUATED,-0.46247654784240155,-0.2264715487470452,0.18053380887899256,1.0243327389012593
Liang,Liang_context_holdout_5_DM2_5,random_missing_pair,learned_magnitude,10,EVALUATED,0.34545454545454546,0.561435608072241,0.21443405245227765,0.981957434434653
Liang,Liang_context_holdout_6_DM2_6,context_and_perturbation_unseen,learned_magnitude,5,EVALUATED,0.3,0.0774552826804973,0.20464891490371853,0.9941888563703518
Liang,Liang_context_holdout_6_DM2_6,context_unseen_row,learned_magnitude,13,EVALUATED,0.39560439560439564,0.7944597700128144,0.28108307948192796,0.9345919966734937
Liang,Liang_context_holdout_6_DM2_6,perturbation_unseen_column,learned_magnitude,40,EVALUATED,-0.09080675422138838,-0.2580641858503181,0.17811389469600844,1.0273576316299895
Liang,Liang_context_holdout_6_DM2_6,random_missing_pair,learned_magnitude,10,EVALUATED,0.3939393939393939,0.37238759547542294,0.22692976850056135,0.9663377893742983
