method,dataset,fold_id,n_tasks,spearman,utility_20,capture_20,remaining_relative_error_80
learned_magnitude,Liang,Liang_context_holdout_3_DM2_3,68,0.3340840554261938,0.11491509879825001,0.2129535821753045,0.9910954891125795
learned_magnitude,Liang,Liang_context_holdout_4_DM2_4,68,0.49624002748406304,0.6850623978578061,0.24216899750127002,0.9543057068502526
learned_magnitude,Liang,Liang_context_holdout_5_DM2_5,68,-0.19513684773065618,-0.09971447388026516,0.19886932906446925,1.00883121525215
learned_magnitude,Liang,Liang_context_holdout_6_DM2_6,68,0.0498530366072451,-0.12644655232990856,0.1954250607803378,1.0131684419803155
learned_magnitude,Liang,Liang_context_holdout_7_EM2_1,68,-0.14463488185670112,-0.11147209147879669,0.19720970445432756,1.0109211129093651
learned_magnitude,Liang,Liang_context_holdout_8_EM2_2,68,-0.06798488376531664,-0.10044883042560697,0.19824766572750854,1.0096140505653597
learned_magnitude,Liang,Liang_context_holdout_9_EM2_3,68,-0.0640531358552506,0.1663608460803235,0.21474599933741906,0.9888383712047315
learned_full,Liang,Liang_context_holdout_1_DM2_1,68,0.388365079970989,0.24068678488423112,0.22032090419905473,0.9818181206382274
learned_full,Liang,Liang_context_holdout_2_DM2_2,68,0.19910676795052867,-0.13897607712928522,0.19501946315193278,1.013679194549418
learned_full,Liang,Liang_context_holdout_3_DM2_3,68,0.4532961789517883,0.4746142732495241,0.23508744747647856,0.963223214288879
learned_full,Liang,Liang_context_holdout_4_DM2_4,68,0.24418826583196546,0.42880018024749506,0.22859520329845812,0.971398632883423
learned_full,Liang,Liang_context_holdout_5_DM2_5,68,0.014543650036263693,-0.04743888811617036,0.2025459260204204,1.0042014264928039
learned_full,Liang,Liang_context_holdout_6_DM2_6,68,-0.06309882811008895,-0.06007198775860533,0.20091432245636687,1.0062560383882788
learned_full,Liang,Liang_context_holdout_7_EM2_1,68,0.09707218383784404,-0.19702139224467669,0.19055387693736273,1.0193025253381358
learned_full,Liang,Liang_context_holdout_8_EM2_2,68,0.25140283238538763,0.29995808705128163,0.2286808878981639,0.9712907337578677
learned_full,Liang,Liang_context_holdout_9_EM2_3,68,-0.060350421804023356,0.211619740664542,0.21715737705838617,0.9858018214820321
guarded_full,Liang,Liang_context_holdout_1_DM2_1,68,-0.0873382448371951,-0.028885836972603548,0.20414952146080975,1.0021820840863878
guarded_full,Liang,Liang_context_holdout_2_DM2_2,68,0.15036072832767108,-0.12917697801271602,0.19578539737554845,1.0127146847863464
guarded_full,Liang,Liang_context_holdout_3_DM2_3,68,0.14688704813528267,0.11491509879825001,0.2129535821753045,0.9910954891125795
guarded_full,Liang,Liang_context_holdout_4_DM2_4,68,0.4815818605183799,0.6850623978578061,0.24216899750127002,0.9543057068502526
guarded_full,Liang,Liang_context_holdout_5_DM2_5,68,0.04805893804634118,-0.09971447388026516,0.19886932906446925,1.00883121525215
guarded_full,Liang,Liang_context_holdout_6_DM2_6,68,-0.28705576974462726,-0.12644655232990856,0.1954250607803378,1.0131684419803155
guarded_full,Liang,Liang_context_holdout_7_EM2_1,68,0.03889758369278925,-0.11147209147879669,0.19720970445432756,1.0109211129093651
guarded_full,Liang,Liang_context_holdout_8_EM2_2,68,0.057754704737183644,-0.10044883042560697,0.19824766572750854,1.0096140505653597
guarded_full,Liang,Liang_context_holdout_9_EM2_3,68,0.11863953887849753,0.1663608460803235,0.21474599933741906,0.9888383712047315
magnitude,Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,128,0.40204403955319534,0.1496915964045842,0.22269787580472586,0.9754379597744616
magnitude,Nadig_two_cellline,Nadig_cellline_holdout_2_Jurkat,128,0.4031141274491851,0.3261654959917485,0.24213759080732472,0.951043023300612
fixed_80m_20s,Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,128,0.4113304721299436,0.22549324603082305,0.23260929574788494,0.9630000994536346
fixed_80m_20s,Nadig_two_cellline,Nadig_cellline_holdout_2_Jurkat,128,0.4134391027283948,0.3852274302111627,0.24920197713974482,0.9421779110403203
learned_magnitude,Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,128,0.35546374290423,0.1496915964045842,0.22269787580472586,0.9754379597744616
learned_magnitude,Nadig_two_cellline,Nadig_cellline_holdout_2_Jurkat,128,0.33595037538912287,0.3261654959917485,0.24213759080732472,0.951043023300612
learned_full,Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,128,0.1462873100164805,0.2618749271044484,0.2373663705758972,0.9570304369243644
learned_full,Nadig_two_cellline,Nadig_cellline_holdout_2_Jurkat,128,0.3014099981688335,0.3085915113773711,0.24003556996502115,0.9536808533772284
guarded_full,Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,128,0.40204403955319534,0.1496915964045842,0.22269787580472586,0.9754379597744616
guarded_full,Nadig_two_cellline,Nadig_cellline_holdout_2_Jurkat,128,0.4031141274491851,0.3261654959917485,0.24213759080732472,0.951043023300612
magnitude,Replogle_two_cellline,Replogle_cellline_holdout_1_K562,128,0.18430430596565103,0.10817501012936527,0.2169065636985091,0.982705488692067
magnitude,Replogle_two_cellline,Replogle_cellline_holdout_2_RPE1,128,0.24432910639077093,0.2758014093078389,0.2704818266701636,0.9154737861394026
fixed_80m_20s,Replogle_two_cellline,Replogle_cellline_holdout_1_K562,128,0.18430430596565103,0.10817501012936527,0.2169065636985091,0.982705488692067
fixed_80m_20s,Replogle_two_cellline,Replogle_cellline_holdout_2_RPE1,128,0.2702483855911341,0.21805164329352494,0.2563780518220556,0.9331726408507537
learned_magnitude,Replogle_two_cellline,Replogle_cellline_holdout_1_K562,128,0.11197884999732492,0.10817501012936527,0.2169065636985091,0.982705488692067
learned_magnitude,Replogle_two_cellline,Replogle_cellline_holdout_2_RPE1,128,0.22695019227247756,0.2758014093078389,0.2704818266701636,0.9154737861394026
learned_full,Replogle_two_cellline,Replogle_cellline_holdout_1_K562,128,0.17879976213712245,0.0969949588213918,0.2154822181951514,0.9844929026570649
learned_full,Replogle_two_cellline,Replogle_cellline_holdout_2_RPE1,128,0.22290553321331982,0.31138043330809195,0.27917101414999906,0.9045697077333346
guarded_full,Replogle_two_cellline,Replogle_cellline_holdout_1_K562,128,0.18430430596565103,0.10817501012936527,0.2169065636985091,0.982705488692067
guarded_full,Replogle_two_cellline,Replogle_cellline_holdout_2_RPE1,128,0.24432910639077093,0.2758014093078389,0.2704818266701636,0.9154737861394026
magnitude,Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,51,-0.24832579185520362,-0.025344558674787677,0.21315065907909775,1.0032329096741506
magnitude,Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,51,-0.19719457013574657,-0.04736803915761102,0.21097776998604534,1.006003343267792
magnitude,Santinha,Santinha_context_holdout_3_Neurons_L_2_3,51,0.12199095022624433,-0.09380709812462072,0.20563753657530917,1.0128121408664807
magnitude,Santinha,Santinha_context_holdout_4_Neurons_L_5,51,0.12660633484162895,0.2575936912523917,0.23782996228927392,0.9717667980811758
magnitude,Santinha,Santinha_context_holdout_5_Neurons_L_6,51,-0.2495927601809955,-0.2215282075132381,0.19468518712562433,1.0267763864148287
fixed_80m_20s,Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,51,-0.200457023965874,-0.15227781812634153,0.20045152568856994,1.0194243047470735
fixed_80m_20s,Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,51,-0.19019390500180888,0.01789878114978166,0.21746545924094918,0.9977315394677898
fixed_80m_20s,Santinha,Santinha_context_holdout_3_Neurons_L_2_3,51,0.16068600405609276,0.0005611400302026683,0.21574638455713288,0.9999233596896556
fixed_80m_20s,Santinha,Santinha_context_holdout_4_Neurons_L_5,51,0.14950564496235838,0.22246965672668906,0.23481057291560167,0.9756165195326078
fixed_80m_20s,Santinha,Santinha_context_holdout_5_Neurons_L_6,51,-0.2276923076923077,-0.25832388525320615,0.19119692144491635,1.0312239251577315
learned_magnitude,Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,51,-0.14868778280542985,-0.025344558674787677,0.21315065907909775,1.0032329096741506
learned_magnitude,Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,51,-0.1176470588235294,-0.04736803915761102,0.21097776998604534,1.006003343267792
learned_magnitude,Santinha,Santinha_context_holdout_3_Neurons_L_2_3,51,-0.05004524886877828,-0.09380709812462072,0.20563753657530917,1.0128121408664807
learned_magnitude,Santinha,Santinha_context_holdout_4_Neurons_L_5,51,0.10651583710407238,0.2575936912523917,0.23782996228927392,0.9717667980811758
learned_magnitude,Santinha,Santinha_context_holdout_5_Neurons_L_6,51,-0.34407239819004526,-0.2215282075132381,0.19468518712562433,1.0267763864148287
learned_full,Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,51,-0.04651583710407239,-0.1509125699578187,0.2005881129682014,1.0192501559655434
learned_full,Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,51,-0.04425339366515836,-0.07516598947936522,0.2082145824619495,1.0095264073610142
learned_full,Santinha,Santinha_context_holdout_3_Neurons_L_2_3,51,0.15565610859728504,0.18033336224871557,0.23500381800396775,0.9753701320449413
learned_full,Santinha,Santinha_context_holdout_4_Neurons_L_5,51,0.07013574660633484,-0.02848575778011194,0.21323753547672578,1.0031221422671746
learned_full,Santinha,Santinha_context_holdout_5_Neurons_L_6,51,0.06180995475113122,-0.19533977157834684,0.19716787606938233,1.0236109580115376
guarded_full,Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,51,-0.04651583710407239,-0.1509125699578187,0.2005881129682014,1.0192501559655434
guarded_full,Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,51,-0.04425339366515836,-0.07516598947936522,0.2082145824619495,1.0095264073610142
guarded_full,Santinha,Santinha_context_holdout_3_Neurons_L_2_3,51,0.15565610859728504,0.18033336224871557,0.23500381800396775,0.9753701320449413
guarded_full,Santinha,Santinha_context_holdout_4_Neurons_L_5,51,0.07013574660633484,-0.02848575778011194,0.21323753547672578,1.0031221422671746
guarded_full,Santinha,Santinha_context_holdout_5_Neurons_L_6,51,0.06180995475113122,-0.19533977157834684,0.19716787606938233,1.0236109580115376
magnitude,Shifrut,Shifrut_context_holdout_1_D1_nostim,43,0.009513742071881607,0.10690846702225136,0.21491286457185244,0.9929043183355983
magnitude,Shifrut,Shifrut_context_holdout_2_D1_stim,43,0.573542736333434,0.7315941608315271,0.229820516743774,0.9740505229416977
magnitude,Shifrut,Shifrut_context_holdout_3_D2_nostim,43,0.15448504983388703,0.09887659051179329,0.2141905411409605,0.9938178450276087
magnitude,Shifrut,Shifrut_context_holdout_4_D2_stim,43,0.09725158562367865,0.01613048687069376,0.21031772588756711,0.9987158172598418
fixed_80m_20s,Shifrut,Shifrut_context_holdout_1_D1_nostim,43,0.009062417561358959,0.03676753653188657,0.2112318799285947,0.9975596812667772
fixed_80m_20s,Shifrut,Shifrut_context_holdout_2_D1_stim,43,0.5721297244233096,0.6383198772365621,0.22720455876625248,0.9773589403838572
fixed_80m_20s,Shifrut,Shifrut_context_holdout_3_D2_nostim,43,0.15297493204469947,0.19383205158362685,0.21888490570060476,0.9878808545551176
fixed_80m_20s,Shifrut,Shifrut_context_holdout_4_D2_stim,43,0.07242108525434894,0.01613048687069376,0.21031772588756711,0.9987158172598418
learned_magnitude,Shifrut,Shifrut_context_holdout_1_D1_nostim,43,0.12775596496526728,0.10690846702225136,0.21491286457185244,0.9929043183355983
learned_magnitude,Shifrut,Shifrut_context_holdout_2_D1_stim,43,0.4522802778616732,0.7315941608315271,0.229820516743774,0.9740505229416977
learned_magnitude,Shifrut,Shifrut_context_holdout_3_D2_nostim,43,0.18181818181818182,0.09887659051179329,0.2141905411409605,0.9938178450276087
learned_magnitude,Shifrut,Shifrut_context_holdout_4_D2_stim,43,0.07157958320749018,0.01613048687069376,0.21031772588756711,0.9987158172598418
learned_full,Shifrut,Shifrut_context_holdout_1_D1_nostim,43,0.18785865297493207,-0.029272497843309472,0.20776610964759307,1.001942861328044
learned_full,Shifrut,Shifrut_context_holdout_2_D1_stim,43,0.5439444276653579,0.4987449260713823,0.2232900585107668,0.9823096318834419
learned_full,Shifrut,Shifrut_context_holdout_3_D2_nostim,43,0.16913319238900631,0.24128011121902454,0.22123062112404732,0.9849142144607638
learned_full,Shifrut,Shifrut_context_holdout_4_D2_stim,43,0.04439746300211417,-0.11671198064280223,0.20195540655603555,1.0092916917085433
guarded_full,Shifrut,Shifrut_context_holdout_1_D1_nostim,43,0.18785865297493207,-0.029272497843309472,0.20776610964759307,1.001942861328044
guarded_full,Shifrut,Shifrut_context_holdout_2_D1_stim,43,0.5439444276653579,0.4987449260713823,0.2232900585107668,0.9823096318834419
guarded_full,Shifrut,Shifrut_context_holdout_3_D2_nostim,43,0.16913319238900631,0.24128011121902454,0.22123062112404732,0.9849142144607638
guarded_full,Shifrut,Shifrut_context_holdout_4_D2_stim,43,0.04439746300211417,-0.11671198064280223,0.20195540655603555,1.0092916917085433
magnitude,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_1_B1,183,0.11335403726708078,0.22506685585213942,0.21454231377037675,0.9845120313700072
magnitude,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_2_B2,183,0.06412475621313826,0.12449945551447429,0.21007124527503668,0.990116178867591
magnitude,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_3_B3,183,0.1335756189640723,0.2018080462316447,0.21257464986462069,0.9869783498272221
magnitude,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_4_B4,183,-0.04410094538391047,-0.16166307522808518,0.1882329963321048,1.017488778570033
fixed_80m_20s,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_1_B1,183,0.1303087385525251,0.2401678535868823,0.21537138209887877,0.983472856684282
fixed_80m_20s,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_2_B2,183,0.06997517565944279,0.21511294760817853,0.21581045452177736,0.9829225124829777
fixed_80m_20s,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_3_B3,183,0.24011995571249384,0.3265217268346732,0.21899477375034362,0.9789312082444322
fixed_80m_20s,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_4_B4,183,-0.07403527391553837,-0.12127851473879409,0.19171850181301564,1.0131199600562886
learned_magnitude,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_1_B1,183,0.10757364517164947,0.22506685585213942,0.21454231377037675,0.9845120313700072
learned_magnitude,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_2_B2,183,0.09764398110798683,0.12449945551447429,0.21007124527503668,0.990116178867591
learned_magnitude,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_3_B3,183,0.13361086525733712,0.2018080462316447,0.21257464986462069,0.9869783498272221
learned_magnitude,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_4_B4,183,0.07542119320451467,-0.16166307522808518,0.1882329963321048,1.017488778570033
learned_full,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_1_B1,183,0.1454248513718144,0.3092489895021226,0.21916404420573418,0.9787190404818537
learned_full,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_2_B2,183,0.0630008166248678,0.030275233438742034,0.204103342326933,0.9975964955765155
learned_full,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_3_B3,183,0.33158216628450204,0.2127261421994438,0.21313670150458955,0.9862738604428775
learned_full,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_4_B4,183,-0.16437827991295775,-0.16944533154725946,0.18756132634917833,1.0183306662883587
guarded_full,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_1_B1,183,0.11335403726708078,0.22506685585213942,0.21454231377037675,0.9845120313700072
guarded_full,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_2_B2,183,0.06412475621313826,0.12449945551447429,0.21007124527503668,0.990116178867591
guarded_full,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_3_B3,183,0.1335756189640723,0.2018080462316447,0.21257464986462069,0.9869783498272221
guarded_full,Tian_CRISPRi,Tian_CRISPRi_batch_holdout_4_B4,183,-0.04410094538391047,-0.16166307522808518,0.1882329963321048,1.017488778570033
