study,study_cn,target_cluster,n_tasks,family_upper_simultaneous_covered,worst_upper_simultaneous_covered,mean_family_lower_tightness,mean_worst_lower_tightness
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000169403,3,True,True,0.30892431222133332,0.28220966165366668
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000169442,3,True,True,0.22896232218633331,0.21872399030200004
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000170122,3,True,True,0.34342104577133331,0.29653577813299997
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000170275,3,False,True,0.2516313764376667,0.27110736758766668
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000170345,3,True,True,0.32297876298566669,0.28583291973933334
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000170946,3,True,True,0.22830941148700001,0.20550114732766667
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000171202,3,True,True,0.35226492265000003,0.31651399157600002
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000171488,3,True,True,0.29535482906033333,0.26551343275833333
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000171853,3,True,True,0.26229774267166667,0.240710961044
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000171953,3,True,True,0.21339871584533335,0.20023239067266665
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000172270,3,True,True,0.182070949595,0.18054161265300003
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000176014,3,True,True,0.36012740346833333,0.32522616393433329
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000182400,3,True,True,0.31143193067333336,0.30106650832166665
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000183742,3,True,True,0.40851951502466671,0.36336881534866666
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000184486,3,True,True,0.260122108578,0.25650951649199999
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000184867,3,True,True,0.41662977227799997,0.35030996155733335
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000186174,3,True,True,0.33117386630833329,0.31412092939566666
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000186318,3,True,True,0.26108261488233331,0.25993975987266665
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000186409,3,True,True,0.26870602937933336,0.25545211463966666
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000186787,3,True,True,0.38997233235400003,0.41482797541699995
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000187187,3,True,True,0.29582958858466668,0.34075508557333328
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000188994,3,True,True,0.2931297297906667,0.27837322126033331
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000189171,3,True,True,0.42457236260600001,0.42592359380500006
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000196498,3,True,True,0.30143858405533336,0.27914586023933335
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000196850,3,True,True,0.29047309560000001,0.263802401789
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000197461,3,True,True,0.33345359950200004,0.31697440847333336
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000197608,3,True,True,0.41648107100833331,0.3918368761153333
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000197622,3,True,True,0.34544832038500001,0.34148095743099999
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000197653,3,True,True,0.36083739074900006,0.32988755081266669
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000197948,3,True,True,0.41726376038500002,0.36237166079700001
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000198087,3,True,True,0.27246792863699998,0.25218461517233332
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000198467,3,True,True,0.31984672469833336,0.31795393806933331
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000198492,3,True,True,0.22685090970566665,0.24748240455266668
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000204396,3,True,True,0.34684811852533337,0.31993387556466663
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000204428,3,True,True,0.25255562927333336,0.23356848487333334
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000204920,3,True,True,0.42875206354900003,0.45634566390033332
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000205358,3,True,True,0.42358226514933334,0.39114076100633333
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000205857,3,True,True,0.31651076463599997,0.30407103315166667
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000213889,3,True,True,0.286409772693,0.264039164868
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000213988,3,True,True,0.33768642880033334,0.30954040233966668
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000215041,3,True,True,0.23768512996400001,0.21162084225633335
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000215252,3,True,True,0.34177018063033332,0.32397370946200005
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000235750,3,True,True,0.30567678627633332,0.28110123567366668
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000241399,3,True,True,0.30649554721166666,0.30932555186566668
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000243056,3,True,True,0.35043379606733333,0.34042684637266668
E176_primary_CD4,E176 四供体原代CD4,H01::ENSG00000272602,3,True,True,0.40679734025999997,0.36514478095266667
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000004468,3,True,True,0.35178603393500002,0.31682043962500001
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000011454,3,True,True,0.29273692962100001,0.26568566771899998
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000018280,3,True,True,0.31193655936633335,0.32017254091466668
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000020577,3,True,True,0.25116680795766666,0.25347133014033335
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000047932,3,True,True,0.31443235771533334,0.31562490989266667
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000048991,3,True,True,0.28381695075066665,0.28355567232466666
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000049860,3,True,True,0.24034317810133335,0.22601056963366664
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000055070,3,True,True,0.22986549581133331,0.23416104019233333
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000061656,3,True,True,0.27996838175766664,0.29361326057200005
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000063854,3,True,True,0.16417200002933333,0.17010756896633331
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000067082,3,True,True,0.24241442321466666,0.23645899606266665
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000067182,3,True,True,0.348518176465,0.32516483244599997
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000067221,3,False,True,0.137335353405,0.148994510021
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000071073,3,True,True,0.3947988505483333,0.37062903042599998
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000075151,3,True,True,0.38077090456833335,0.33523578789133329
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000075975,3,True,True,0.3724301521106666,0.37574549140599994
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000079335,3,True,True,0.25075616920233335,0.24374389225466667
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000089916,3,True,True,0.37774273501066663,0.34056755241500003
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000090924,3,True,True,0.19543374805933333,0.19880846657766668
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000091513,3,True,True,0.31373437277266664,0.28202035680166665
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000100311,3,False,False,0.19725630810423334,0.19894342780966667
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000101457,3,True,True,0.35750452983933334,0.38316107239566666
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000102755,3,True,True,0.21348086656166665,0.19913794022533335
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000102879,3,True,True,0.21410328388899999,0.22278645770466665
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000104064,3,True,True,0.33473354622566664,0.35586952266800004
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000105649,3,True,True,0.23248830025433334,0.22300597096133332
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000105738,3,True,True,0.4206065513183333,0.42989460766833337
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000107262,3,True,True,0.30202742131233334,0.27490613530633334
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000107643,3,True,True,0.3109586442766667,0.32706789206966669
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000107798,3,True,True,0.30702405995499998,0.32064163231500004
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000107833,3,True,True,0.374975477424,0.32757001858733337
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000108819,3,False,False,0.20175987571366669,0.20159462347099999
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000109339,3,True,True,0.25432781308666669,0.23488782494766669
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000109775,3,True,True,0.21843374028733331,0.21142384940100001
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000110917,3,True,True,0.26304609568999998,0.26907361081466669
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000112297,3,True,True,0.14541993172566667,0.14361877360866668
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000112312,3,True,True,0.15617315613733332,0.14889981105533331
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000113594,3,True,True,0.39840477604233332,0.38054587156766662
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000115468,3,True,True,0.31859081352933333,0.29535117790933335
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000116016,3,True,True,0.47237448880233335,0.41027678927133332
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000117450,3,True,True,0.20004176629466666,0.20750933353966669
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000117481,3,True,True,0.22836616253233336,0.27591558485200002
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000118922,3,True,True,0.29560036659666666,0.30758882832900003
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000120742,3,True,True,0.24990685185299999,0.24563389254233334
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000120885,3,True,True,0.33852094813966666,0.34047861035133331
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000121039,3,True,True,0.27519789308600001,0.24897817739700001
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000123600,3,True,True,0.25502456382033334,0.22618852802333334
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000123643,3,True,True,0.27051882772999997,0.29069755037433337
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000124243,3,True,True,0.24550768371666667,0.24814042397366665
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000124535,3,True,True,0.28469047035799999,0.25962443359466664
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000125457,3,True,True,0.28820737300366667,0.29098694508366668
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000125726,3,True,True,0.29809597787766667,0.31088477296533329
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000126775,3,False,True,0.1767033000313333,0.19321997369733332
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000128487,3,True,True,0.22746718122233334,0.23134009593399998
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000128891,3,True,True,0.42595257657166669,0.43399869380600004
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000131050,3,False,False,0.11717741124383334,0.11292905243619999
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000131686,3,True,True,0.20912343555233334,0.22743407263833335
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000132185,3,True,True,0.28293991865499996,0.28815480158699996
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000132463,3,True,True,0.22774285720566667,0.24129652655366665
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000132535,3,True,True,0.26788769594333334,0.27105117329700001
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000134321,3,True,True,0.30833854109800002,0.29097330637633334
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000134470,3,False,False,0.10866209182453333,0.11495097177039999
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000135519,3,True,True,0.24935583539166664,0.237684480891
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000136634,3,False,True,0.14081625739766668,0.15105773171766668
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000137747,3,True,True,0.33652030825899998,0.36362986521933333
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000138107,3,True,True,0.213636821846,0.20965020354399999
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000139921,3,False,True,0.3625510229233333,0.38519339809999997
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000141469,3,False,False,0.12280550907063333,0.12608795548560001
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000141551,3,True,True,0.346166495618,0.35083659140933338
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000141646,3,True,True,0.29141144601300001,0.29273332310100003
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000142444,3,False,False,0.17097527904199997,0.18026601468933334
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000143398,3,True,True,0.31768101950833333,0.31424895267733333
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000143674,3,False,True,0.14083542756166667,0.12837839748333332
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000144455,3,True,True,0.36253942402299999,0.32710411271899997
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000144711,3,True,True,0.29550761465100001,0.28465401907633336
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000144791,3,True,True,0.40500403063666668,0.36114993171166665
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000145687,3,False,False,0.10745685486036666,0.11238152675349999
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000146776,3,True,True,0.14956623686699999,0.15112906878133334
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000148143,3,True,True,0.33529740008199999,0.30822616705866662
E176_primary_CD4,E176 四供体原代CD4,H02::ENSG00000148343,3,True,True,0.29119049539666664,0.31200916251833338
