raw_gene,scgpt_token
Gabarap,GABARAP
Cldn7,CLDN7
Ubl5,UBL5
Ywhaq,YWHAQ
Tma7,TMA7
Ywhae,YWHAE
Atp1b1,ATP1B1
Selenow,SELENOW
Akr1a1,AKR1A1
Ndufb9,NDUFB9
Hspe1,HSPE1
Sem1,SEM1
Klf6,KLF6
Myl12a,MYL12A
Hmgb1,HMGB1
Ran,RAN
Prdx5,PRDX5
Uqcr10,UQCR10
Sec61b,SEC61B
Smdt1,SMDT1
Gnai2,GNAI2
Eif3k,EIF3K
Tff3,TFF3
Uqcrb,UQCRB
Ctsd,CTSD
Nop10,NOP10
Calr,CALR
Srrm2,SRRM2
Tpi1,TPI1
Sftpd,SFTPD
Sumo2,SUMO2
Atp6v1f,ATP6V1F
Myl12b,MYL12B
Prdx2,PRDX2
Cox7b,COX7B
Clta,CLTA
Nedd8,NEDD8
Tbca,TBCA
Polr1d,POLR1D
Arf5,ARF5
Prdx6,PRDX6
Ttr,TTR
Psma7,PSMA7
Pgk1,PGK1
Prelid1,PRELID1
Tomm20,TOMM20
Eno1,ENO1
Rbm3,RBM3
Cyb5a,CYB5A
Cd9,CD9
Ppp1ca,PPP1CA
Tsc22d1,TSC22D1
Jun,JUN
Eif2s2,EIF2S2
Cldn3,CLDN3
Tm4sf4,TM4SF4
Psmb1,PSMB1
Gpx1,GPX1
Pdzk1ip1,PDZK1IP1
Ccnd2,CCND2
Bax,BAX
Sub1,SUB1
Gnb2,GNB2
Fkbp1a,FKBP1A
Vamp8,VAMP8
Ctsh,CTSH
Anxa1,ANXA1
Mrpl52,MRPL52
Sdc4,SDC4
Snrpg,SNRPG
Cst3,CST3
Mgst1,MGST1
Park7,PARK7
Muc1,MUC1
Ube2s,UBE2S
Ssr4,SSR4
Cp,CP
Mrfap1,MRFAP1
Rbx1,RBX1
Nme1,NME1
Tuba1b,TUBA1B
Ifitm2,IFITM2
Ndufv3,NDUFV3
Morf4l1,MORF4L1
Hnrnpa1,HNRNPA1
Swi5,SWI5
Set,SET
Cxcl5,CXCL5
Krtcap2,KRTCAP2
Prom1,PROM1
Ppib,PPIB
Ccdc12,CCDC12
Map1lc3b,MAP1LC3B
Selenof,SELENOF
Jpt1,JPT1
Rrbp1,RRBP1
Pgam1,PGAM1
Tmem59,TMEM59
Hspa5,HSPA5
Egr1,EGR1
Ndufb5,NDUFB5
Arf1,ARF1
Ankrd1,ANKRD1
Snrpd2,SNRPD2
mt-Nd5,MT-ND5
Lgals4,LGALS4
Ndufa12,NDUFA12
Nfkbia,NFKBIA
Tpm3,TPM3
Ambp,AMBP
Atp6v1g1,ATP6V1G1
Eif5,EIF5
Cstb,CSTB
Aprt,APRT
Eif3e,EIF3E
Timm13,TIMM13
Ndufb11,NDUFB11
Ube2d3,UBE2D3
Vdac2,VDAC2
Snrpe,SNRPE
Pnrc1,PNRC1
Tinagl1,TINAGL1
Bcam,BCAM
Laptm4a,LAPTM4A
Ucp2,UCP2
Lgals3,LGALS3
Pcbp2,PCBP2
Romo1,ROMO1
Hnrnpk,HNRNPK
Ezr,EZR
Polr2f,POLR2F
Tkt,TKT
Lamp1,LAMP1
Ndufa3,NDUFA3
Selenok,SELENOK
Higd2a,HIGD2A
Ier3,IER3
Rtraf,RTRAF
Btg1,BTG1
Tmed2,TMED2
Tmed10,TMED10
Tmem256,TMEM256
Taf10,TAF10
Spcs1,SPCS1
Gsta3,GSTA3
Ptms,PTMS
Cops9,COPS9
Dynlrb1,DYNLRB1
Tecr,TECR
Snrpb,SNRPB
Aplp2,APLP2
Srp9,SRP9
Fkbp4,FKBP4
Ndufc2,NDUFC2
Stard10,STARD10
Eif4g2,EIF4G2
Tnfrsf12a,TNFRSF12A
Sorbs2,SORBS2
Bri3,BRI3
Hsbp1,HSBP1
Chchd10,CHCHD10
Cox14,COX14
Cryab,CRYAB
Txndc17,TXNDC17
Ap2m1,AP2M1
Cdc42,CDC42
Hnrnpf,HNRNPF
Prr13,PRR13
Mdh2,MDH2
Neat1,NEAT1
Slc6a6,SLC6A6
Mien1,MIEN1
Ndufc1,NDUFC1
Mrps24,MRPS24
Ndufab1,NDUFAB1
Psmb6,PSMB6
Ndufb8,NDUFB8
Mrpl33,MRPL33
Uba52,UBA52
Cnbp,CNBP
Eif3i,EIF3I
Timm8b,TIMM8B
Ranbp1,RANBP1
Esd,ESD
Cox17,COX17
Npc2,NPC2
Cycs,CYCS
Tpm1,TPM1
Arpc3,ARPC3
Hsp90b1,HSP90B1
Ndufs6,NDUFS6
Ndufa8,NDUFA8
Pomp,POMP
Tmed9,TMED9
Mlf2,MLF2
Id1,ID1
Anp32b,ANP32B
Hnrnpa2b1,HNRNPA2B1
Tuba1a,TUBA1A
Srsf5,SRSF5
Lamtor2,LAMTOR2
Uqcrfs1,UQCRFS1
Pfdn1,PFDN1
Calm3,CALM3
Snu13,SNU13
Psmb5,PSMB5
Bnip3l,BNIP3L
Gabarapl2,GABARAPL2
Pdcd6,PDCD6
Taldo1,TALDO1
Arpc5,ARPC5
Gas6,GAS6
Psma2,PSMA2
Tomm7,TOMM7
Emc6,EMC6
Cib1,CIB1
Onecut2,ONECUT2
Phlda1,PHLDA1
Rab2a,RAB2A
Capzb,CAPZB
Trir,TRIR
Trappc6a,TRAPPC6A
Atp6v0b,ATP6V0B
Uqcc2,UQCC2
Ahnak,AHNAK
Tmem147,TMEM147
Srp14,SRP14
Nap1l1,NAP1L1
Ost4,OST4
Dnaja1,DNAJA1
Snrpf,SNRPF
Bicc1,BICC1
Capns1,CAPNS1
Cdk4,CDK4
Eif3c,EIF3C
Nudc,NUDC
Atf4,ATF4
Tceal9,TCEAL9
Rabac1,RABAC1
Phgdh,PHGDH
Ndufs5,NDUFS5
Mdh1,MDH1
P4hb,P4HB
Selenbp1,SELENBP1
Kif5b,KIF5B
App,APP
Ppp2ca,PPP2CA
Ndufb10,NDUFB10
Eif3m,EIF3M
Metap2,METAP2
Arf4,ARF4
Anxa5,ANXA5
Phb2,PHB2
Smim22,SMIM22
Arpp19,ARPP19
Psma3,PSMA3
Tm4sf1,TM4SF1
Sdcbp,SDCBP
Tspo,TSPO
Slc39a4,SLC39A4
Mmp7,MMP7
Rbp1,RBP1
Tmem258,TMEM258
Rhoc,RHOC
Psmd8,PSMD8
Cct2,CCT2
Psmb4,PSMB4
Tstd1,TSTD1
Mrpl14,MRPL14
Rac1,RAC1
Bex3,BEX3
