guide_id,ensembl_core,perturbed_gene_name,observed_ensembl_core,observed_gene_name,design_observed_mapping_match,n_donor_state_pairs_present,minimum_identity_rows_per_donor_state,complete_12_donor_state_identity,used_for_assay_available_universe
SIRPG-1,ENSG00000089012,SIRPG,ENSG00000089012,SIRPG,True,12.0,1.0,True,True
SIRPG-2,ENSG00000089012,SIRPG,ENSG00000089012,SIRPG,True,12.0,1.0,True,True
SLC17A1-1,ENSG00000124568,SLC17A1,ENSG00000124568,SLC17A1,True,12.0,1.0,True,True
SLC17A1-2,ENSG00000124568,SLC17A1,ENSG00000124568,SLC17A1,True,12.0,1.0,True,True
SLC23A3-1,ENSG00000213901,SLC23A3,ENSG00000213901,SLC23A3,True,12.0,1.0,True,True
SLC23A3-2,ENSG00000213901,SLC23A3,ENSG00000213901,SLC23A3,True,12.0,1.0,True,True
SLC27A5-1,ENSG00000083807,SLC27A5,ENSG00000083807,SLC27A5,True,12.0,1.0,True,True
SLC27A5-2,ENSG00000083807,SLC27A5,ENSG00000083807,SLC27A5,True,12.0,1.0,True,True
SLC50A1-1,ENSG00000169241,SLC50A1,ENSG00000169241,SLC50A1,True,12.0,1.0,True,True
SLC50A1-2,ENSG00000169241,SLC50A1,ENSG00000169241,SLC50A1,True,12.0,1.0,True,True
SLC5A5-1,ENSG00000105641,SLC5A5,ENSG00000105641,SLC5A5,True,12.0,1.0,True,True
SLC5A5-2,ENSG00000105641,SLC5A5,ENSG00000105641,SLC5A5,True,12.0,1.0,True,True
SNPH-1,ENSG00000101298,SNPH,ENSG00000101298,SNPH,True,12.0,1.0,True,True
SNPH-2,ENSG00000101298,SNPH,ENSG00000101298,SNPH,True,12.0,1.0,True,True
SNX2-1,ENSG00000205302,SNX2,ENSG00000205302,SNX2,True,12.0,1.0,True,True
SNX2-2,ENSG00000205302,SNX2,ENSG00000205302,SNX2,True,12.0,1.0,True,True
SORL1-1,ENSG00000137642,SORL1,ENSG00000137642,SORL1,True,12.0,1.0,True,True
SORL1-2,ENSG00000137642,SORL1,ENSG00000137642,SORL1,True,12.0,1.0,True,True
SPATC1L-1,ENSG00000160284,SPATC1L,ENSG00000160284,SPATC1L,True,12.0,1.0,True,True
