dataset,fold_id,predictor,similarity,n_draws,n_draws_below_10,minimum_weighted_queries,maximum_weighted_queries,fraction_draws_below_10
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,GEARS,pearson,3000,0,10,38,0.0
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,scGPT,cosine,3000,0,10,38,0.0
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,scGPT,pearson,3000,0,10,38,0.0
Santinha,Santinha_context_holdout_4_Neurons_L_5,GEARS,cosine,3000,1,7,37,0.0003333333333333333
Santinha,Santinha_context_holdout_4_Neurons_L_5,GEARS,pearson,3000,1,7,37,0.0003333333333333333
Santinha,Santinha_context_holdout_4_Neurons_L_5,scGPT,cosine,3000,1,7,37,0.0003333333333333333
Santinha,Santinha_context_holdout_4_Neurons_L_5,scGPT,pearson,3000,1,7,37,0.0003333333333333333
Santinha,Santinha_context_holdout_5_Neurons_L_6,GEARS,cosine,3000,2,9,38,0.0006666666666666666
Santinha,Santinha_context_holdout_5_Neurons_L_6,GEARS,pearson,3000,2,9,38,0.0006666666666666666
Santinha,Santinha_context_holdout_5_Neurons_L_6,scGPT,cosine,3000,2,9,38,0.0006666666666666666
Santinha,Santinha_context_holdout_5_Neurons_L_6,scGPT,pearson,3000,2,9,38,0.0006666666666666666
Shifrut,Shifrut_context_holdout_1_D1_nostim,GEARS,cosine,3000,8,5,33,0.0026666666666666666
Shifrut,Shifrut_context_holdout_1_D1_nostim,GEARS,pearson,3000,8,5,33,0.0026666666666666666
Shifrut,Shifrut_context_holdout_1_D1_nostim,scGPT,cosine,3000,8,5,33,0.0026666666666666666
Shifrut,Shifrut_context_holdout_1_D1_nostim,scGPT,pearson,3000,8,5,33,0.0026666666666666666
Shifrut,Shifrut_context_holdout_2_D1_stim,GEARS,cosine,3000,5,8,35,0.0016666666666666668
Shifrut,Shifrut_context_holdout_2_D1_stim,GEARS,pearson,3000,5,8,35,0.0016666666666666668
Shifrut,Shifrut_context_holdout_2_D1_stim,scGPT,cosine,3000,5,8,35,0.0016666666666666668
Shifrut,Shifrut_context_holdout_2_D1_stim,scGPT,pearson,3000,5,8,35,0.0016666666666666668
Shifrut,Shifrut_context_holdout_3_D2_nostim,GEARS,cosine,3000,2,9,34,0.0006666666666666666
Shifrut,Shifrut_context_holdout_3_D2_nostim,GEARS,pearson,3000,2,9,34,0.0006666666666666666
Shifrut,Shifrut_context_holdout_3_D2_nostim,scGPT,cosine,3000,2,9,34,0.0006666666666666666
Shifrut,Shifrut_context_holdout_3_D2_nostim,scGPT,pearson,3000,2,9,34,0.0006666666666666666
Shifrut,Shifrut_context_holdout_4_D2_stim,GEARS,cosine,3000,6,8,33,0.002
Shifrut,Shifrut_context_holdout_4_D2_stim,GEARS,pearson,3000,6,8,33,0.002
Shifrut,Shifrut_context_holdout_4_D2_stim,scGPT,cosine,3000,6,8,33,0.002
Shifrut,Shifrut_context_holdout_4_D2_stim,scGPT,pearson,3000,6,8,33,0.002
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_1_B1,GEARS,cosine,3000,0,144,218,0.0
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_1_B1,GEARS,pearson,3000,0,144,218,0.0
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_1_B1,scGPT,cosine,3000,0,144,218,0.0
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_1_B1,scGPT,pearson,3000,0,144,218,0.0
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_2_B2,GEARS,cosine,3000,0,147,218,0.0
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_2_B2,GEARS,pearson,3000,0,147,218,0.0
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_2_B2,scGPT,cosine,3000,0,147,218,0.0
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_2_B2,scGPT,pearson,3000,0,147,218,0.0
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_3_B3,GEARS,cosine,3000,0,149,219,0.0
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_3_B3,GEARS,pearson,3000,0,149,219,0.0
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_3_B3,scGPT,cosine,3000,0,149,219,0.0
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_3_B3,scGPT,pearson,3000,0,149,219,0.0
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_4_B4,GEARS,cosine,3000,0,151,219,0.0
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_4_B4,GEARS,pearson,3000,0,151,219,0.0
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_4_B4,scGPT,cosine,3000,0,151,219,0.0
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_4_B4,scGPT,pearson,3000,0,151,219,0.0
