draw,n_fold_endpoint_evaluations,n_fold_endpoint_evaluations_below_10,n_unique_dataset_fold_evaluations,n_unique_dataset_fold_evaluations_below_10,any_fold_endpoint_below_10,any_unique_dataset_fold_below_10
224,128,0,32,0,False,False
225,128,0,32,0,False,False
226,128,0,32,0,False,False
227,128,0,32,0,False,False
228,128,0,32,0,False,False
229,128,0,32,0,False,False
230,128,0,32,0,False,False
231,128,0,32,0,False,False
232,128,0,32,0,False,False
233,128,0,32,0,False,False
234,128,0,32,0,False,False
235,128,0,32,0,False,False
236,128,4,32,1,True,True
237,128,0,32,0,False,False
238,128,0,32,0,False,False
239,128,0,32,0,False,False
240,128,0,32,0,False,False
241,128,0,32,0,False,False
242,128,0,32,0,False,False
243,128,0,32,0,False,False
244,128,0,32,0,False,False
245,128,0,32,0,False,False
246,128,0,32,0,False,False
247,128,0,32,0,False,False
248,128,0,32,0,False,False
249,128,0,32,0,False,False
250,128,0,32,0,False,False
251,128,0,32,0,False,False
252,128,4,32,1,True,True
253,128,0,32,0,False,False
254,128,0,32,0,False,False
255,128,0,32,0,False,False
256,128,0,32,0,False,False
257,128,0,32,0,False,False
258,128,0,32,0,False,False
259,128,0,32,0,False,False
260,128,0,32,0,False,False
261,128,0,32,0,False,False
262,128,0,32,0,False,False
263,128,0,32,0,False,False
264,128,0,32,0,False,False
265,128,0,32,0,False,False
266,128,0,32,0,False,False
267,128,0,32,0,False,False
268,128,0,32,0,False,False
269,128,0,32,0,False,False
270,128,0,32,0,False,False
271,128,0,32,0,False,False
272,128,0,32,0,False,False
273,128,0,32,0,False,False
274,128,4,32,1,True,True
275,128,0,32,0,False,False
276,128,0,32,0,False,False
277,128,0,32,0,False,False
278,128,4,32,1,True,True
279,128,4,32,1,True,True
280,128,0,32,0,False,False
281,128,0,32,0,False,False
282,128,4,32,1,True,True
283,128,4,32,1,True,True
284,128,0,32,0,False,False
285,128,0,32,0,False,False
286,128,0,32,0,False,False
287,128,0,32,0,False,False
288,128,0,32,0,False,False
289,128,4,32,1,True,True
290,128,4,32,1,True,True
291,128,4,32,1,True,True
292,128,0,32,0,False,False
293,128,0,32,0,False,False
294,128,0,32,0,False,False
295,128,0,32,0,False,False
296,128,0,32,0,False,False
297,128,4,32,1,True,True
298,128,0,32,0,False,False
299,128,0,32,0,False,False
300,128,0,32,0,False,False
301,128,0,32,0,False,False
302,128,4,32,1,True,True
303,128,0,32,0,False,False
304,128,0,32,0,False,False
305,128,0,32,0,False,False
306,128,0,32,0,False,False
307,128,0,32,0,False,False
308,128,0,32,0,False,False
309,128,0,32,0,False,False
310,128,0,32,0,False,False
311,128,0,32,0,False,False
312,128,0,32,0,False,False
313,128,0,32,0,False,False
314,128,0,32,0,False,False
315,128,0,32,0,False,False
316,128,0,32,0,False,False
317,128,0,32,0,False,False
318,128,0,32,0,False,False
319,128,0,32,0,False,False
320,128,0,32,0,False,False
321,128,0,32,0,False,False
322,128,0,32,0,False,False
323,128,0,32,0,False,False
324,128,0,32,0,False,False
325,128,4,32,1,True,True
326,128,0,32,0,False,False
327,128,0,32,0,False,False
328,128,0,32,0,False,False
329,128,0,32,0,False,False
330,128,0,32,0,False,False
331,128,0,32,0,False,False
332,128,0,32,0,False,False
333,128,0,32,0,False,False
334,128,0,32,0,False,False
335,128,4,32,1,True,True
336,128,0,32,0,False,False
337,128,0,32,0,False,False
338,128,0,32,0,False,False
339,128,4,32,1,True,True
340,128,0,32,0,False,False
341,128,0,32,0,False,False
342,128,0,32,0,False,False
343,128,0,32,0,False,False
344,128,0,32,0,False,False
345,128,0,32,0,False,False
346,128,0,32,0,False,False
347,128,0,32,0,False,False
348,128,0,32,0,False,False
349,128,0,32,0,False,False
350,128,0,32,0,False,False
351,128,0,32,0,False,False
352,128,4,32,1,True,True
353,128,0,32,0,False,False
354,128,0,32,0,False,False
355,128,0,32,0,False,False
356,128,0,32,0,False,False
357,128,0,32,0,False,False
358,128,0,32,0,False,False
359,128,0,32,0,False,False
360,128,0,32,0,False,False
361,128,0,32,0,False,False
362,128,0,32,0,False,False
363,128,0,32,0,False,False
364,128,0,32,0,False,False
365,128,0,32,0,False,False
366,128,0,32,0,False,False
367,128,0,32,0,False,False
368,128,0,32,0,False,False
369,128,0,32,0,False,False
370,128,0,32,0,False,False
371,128,0,32,0,False,False
372,128,4,32,1,True,True
373,128,0,32,0,False,False
374,128,0,32,0,False,False
375,128,0,32,0,False,False
376,128,4,32,1,True,True
377,128,0,32,0,False,False
378,128,0,32,0,False,False
379,128,4,32,1,True,True
380,128,0,32,0,False,False
381,128,0,32,0,False,False
382,128,0,32,0,False,False
383,128,0,32,0,False,False
384,128,0,32,0,False,False
385,128,4,32,1,True,True
386,128,0,32,0,False,False
387,128,0,32,0,False,False
388,128,0,32,0,False,False
389,128,0,32,0,False,False
390,128,4,32,1,True,True
391,128,0,32,0,False,False
392,128,0,32,0,False,False
393,128,0,32,0,False,False
394,128,0,32,0,False,False
395,128,0,32,0,False,False
396,128,0,32,0,False,False
397,128,0,32,0,False,False
398,128,0,32,0,False,False
399,128,0,32,0,False,False
400,128,0,32,0,False,False
401,128,0,32,0,False,False
402,128,0,32,0,False,False
403,128,4,32,1,True,True
404,128,0,32,0,False,False
405,128,0,32,0,False,False
406,128,0,32,0,False,False
407,128,0,32,0,False,False
408,128,4,32,1,True,True
409,128,0,32,0,False,False
410,128,0,32,0,False,False
411,128,0,32,0,False,False
412,128,0,32,0,False,False
413,128,0,32,0,False,False
414,128,4,32,1,True,True
415,128,0,32,0,False,False
416,128,0,32,0,False,False
417,128,0,32,0,False,False
418,128,0,32,0,False,False
419,128,0,32,0,False,False
420,128,0,32,0,False,False
421,128,0,32,0,False,False
422,128,0,32,0,False,False
423,128,0,32,0,False,False
424,128,0,32,0,False,False
425,128,0,32,0,False,False
426,128,0,32,0,False,False
427,128,0,32,0,False,False
428,128,0,32,0,False,False
429,128,0,32,0,False,False
430,128,0,32,0,False,False
431,128,0,32,0,False,False
432,128,0,32,0,False,False
433,128,0,32,0,False,False
434,128,0,32,0,False,False
435,128,0,32,0,False,False
436,128,4,32,1,True,True
437,128,0,32,0,False,False
438,128,0,32,0,False,False
439,128,0,32,0,False,False
440,128,0,32,0,False,False
441,128,0,32,0,False,False
442,128,0,32,0,False,False
443,128,4,32,1,True,True
444,128,0,32,0,False,False
445,128,0,32,0,False,False
446,128,0,32,0,False,False
447,128,4,32,1,True,True
448,128,0,32,0,False,False
449,128,0,32,0,False,False
450,128,0,32,0,False,False
451,128,0,32,0,False,False
452,128,0,32,0,False,False
453,128,0,32,0,False,False
454,128,0,32,0,False,False
455,128,0,32,0,False,False
456,128,0,32,0,False,False
457,128,0,32,0,False,False
458,128,0,32,0,False,False
459,128,4,32,1,True,True
460,128,0,32,0,False,False
461,128,0,32,0,False,False
462,128,0,32,0,False,False
463,128,0,32,0,False,False
464,128,0,32,0,False,False
465,128,0,32,0,False,False
466,128,0,32,0,False,False
467,128,0,32,0,False,False
468,128,0,32,0,False,False
469,128,0,32,0,False,False
470,128,0,32,0,False,False
471,128,0,32,0,False,False
472,128,0,32,0,False,False
473,128,0,32,0,False,False
474,128,0,32,0,False,False
475,128,0,32,0,False,False
476,128,0,32,0,False,False
477,128,0,32,0,False,False
478,128,0,32,0,False,False
479,128,0,32,0,False,False
480,128,4,32,1,True,True
481,128,0,32,0,False,False
482,128,0,32,0,False,False
483,128,0,32,0,False,False
484,128,0,32,0,False,False
485,128,0,32,0,False,False
486,128,0,32,0,False,False
487,128,0,32,0,False,False
488,128,0,32,0,False,False
489,128,0,32,0,False,False
490,128,0,32,0,False,False
491,128,0,32,0,False,False
492,128,0,32,0,False,False
493,128,0,32,0,False,False
494,128,0,32,0,False,False
495,128,0,32,0,False,False
496,128,0,32,0,False,False
497,128,0,32,0,False,False
498,128,0,32,0,False,False
499,128,0,32,0,False,False
500,128,0,32,0,False,False
501,128,4,32,1,True,True
502,128,0,32,0,False,False
503,128,0,32,0,False,False
504,128,0,32,0,False,False
505,128,0,32,0,False,False
506,128,0,32,0,False,False
507,128,0,32,0,False,False
508,128,0,32,0,False,False
509,128,4,32,1,True,True
510,128,0,32,0,False,False
511,128,0,32,0,False,False
512,128,0,32,0,False,False
513,128,4,32,1,True,True
514,128,0,32,0,False,False
515,128,4,32,1,True,True
516,128,0,32,0,False,False
517,128,0,32,0,False,False
518,128,0,32,0,False,False
519,128,0,32,0,False,False
520,128,0,32,0,False,False
521,128,0,32,0,False,False
522,128,0,32,0,False,False
523,128,0,32,0,False,False
524,128,0,32,0,False,False
525,128,0,32,0,False,False
526,128,0,32,0,False,False
527,128,0,32,0,False,False
528,128,0,32,0,False,False
529,128,0,32,0,False,False
530,128,0,32,0,False,False
531,128,0,32,0,False,False
532,128,4,32,1,True,True
533,128,0,32,0,False,False
534,128,0,32,0,False,False
535,128,0,32,0,False,False
536,128,0,32,0,False,False
537,128,0,32,0,False,False
538,128,0,32,0,False,False
539,128,4,32,1,True,True
540,128,0,32,0,False,False
541,128,0,32,0,False,False
542,128,0,32,0,False,False
543,128,4,32,1,True,True
544,128,0,32,0,False,False
545,128,0,32,0,False,False
546,128,0,32,0,False,False
547,128,0,32,0,False,False
548,128,0,32,0,False,False
549,128,0,32,0,False,False
550,128,0,32,0,False,False
551,128,8,32,2,True,True
552,128,0,32,0,False,False
553,128,0,32,0,False,False
554,128,0,32,0,False,False
555,128,0,32,0,False,False
556,128,0,32,0,False,False
557,128,0,32,0,False,False
558,128,4,32,1,True,True
559,128,0,32,0,False,False
560,128,0,32,0,False,False
561,128,0,32,0,False,False
562,128,0,32,0,False,False
563,128,0,32,0,False,False
564,128,0,32,0,False,False
565,128,0,32,0,False,False
566,128,0,32,0,False,False
567,128,0,32,0,False,False
568,128,4,32,1,True,True
569,128,0,32,0,False,False
570,128,0,32,0,False,False
571,128,0,32,0,False,False
572,128,0,32,0,False,False
573,128,0,32,0,False,False
574,128,0,32,0,False,False
575,128,0,32,0,False,False
576,128,0,32,0,False,False
577,128,0,32,0,False,False
578,128,0,32,0,False,False
579,128,0,32,0,False,False
580,128,0,32,0,False,False
581,128,4,32,1,True,True
582,128,0,32,0,False,False
583,128,4,32,1,True,True
584,128,0,32,0,False,False
585,128,0,32,0,False,False
586,128,0,32,0,False,False
587,128,0,32,0,False,False
588,128,0,32,0,False,False
589,128,0,32,0,False,False
590,128,4,32,1,True,True
591,128,0,32,0,False,False
592,128,0,32,0,False,False
593,128,0,32,0,False,False
594,128,0,32,0,False,False
595,128,0,32,0,False,False
596,128,0,32,0,False,False
597,128,0,32,0,False,False
598,128,0,32,0,False,False
599,128,0,32,0,False,False
600,128,0,32,0,False,False
601,128,0,32,0,False,False
602,128,0,32,0,False,False
603,128,0,32,0,False,False
604,128,0,32,0,False,False
605,128,0,32,0,False,False
606,128,0,32,0,False,False
607,128,0,32,0,False,False
608,128,0,32,0,False,False
609,128,0,32,0,False,False
610,128,0,32,0,False,False
611,128,0,32,0,False,False
612,128,4,32,1,True,True
613,128,0,32,0,False,False
614,128,0,32,0,False,False
615,128,4,32,1,True,True
616,128,0,32,0,False,False
617,128,0,32,0,False,False
618,128,0,32,0,False,False
619,128,0,32,0,False,False
620,128,0,32,0,False,False
621,128,0,32,0,False,False
622,128,0,32,0,False,False
623,128,0,32,0,False,False
624,128,0,32,0,False,False
625,128,0,32,0,False,False
626,128,0,32,0,False,False
627,128,0,32,0,False,False
628,128,0,32,0,False,False
629,128,0,32,0,False,False
630,128,0,32,0,False,False
631,128,0,32,0,False,False
632,128,0,32,0,False,False
633,128,0,32,0,False,False
634,128,0,32,0,False,False
635,128,0,32,0,False,False
636,128,0,32,0,False,False
637,128,0,32,0,False,False
638,128,0,32,0,False,False
639,128,0,32,0,False,False
640,128,0,32,0,False,False
641,128,0,32,0,False,False
642,128,0,32,0,False,False
643,128,0,32,0,False,False
644,128,0,32,0,False,False
645,128,0,32,0,False,False
646,128,0,32,0,False,False
647,128,0,32,0,False,False
648,128,4,32,1,True,True
649,128,0,32,0,False,False
650,128,0,32,0,False,False
651,128,4,32,1,True,True
652,128,0,32,0,False,False
653,128,0,32,0,False,False
654,128,0,32,0,False,False
655,128,4,32,1,True,True
656,128,4,32,1,True,True
657,128,0,32,0,False,False
658,128,0,32,0,False,False
659,128,0,32,0,False,False
660,128,0,32,0,False,False
661,128,0,32,0,False,False
662,128,0,32,0,False,False
663,128,0,32,0,False,False
664,128,0,32,0,False,False
665,128,0,32,0,False,False
666,128,0,32,0,False,False
667,128,4,32,1,True,True
668,128,0,32,0,False,False
669,128,0,32,0,False,False
670,128,0,32,0,False,False
671,128,0,32,0,False,False
672,128,0,32,0,False,False
673,128,0,32,0,False,False
674,128,4,32,1,True,True
675,128,4,32,1,True,True
676,128,0,32,0,False,False
677,128,0,32,0,False,False
678,128,0,32,0,False,False
679,128,0,32,0,False,False
680,128,0,32,0,False,False
681,128,0,32,0,False,False
682,128,0,32,0,False,False
683,128,4,32,1,True,True
684,128,0,32,0,False,False
685,128,0,32,0,False,False
686,128,0,32,0,False,False
687,128,0,32,0,False,False
688,128,0,32,0,False,False
689,128,0,32,0,False,False
690,128,0,32,0,False,False
691,128,0,32,0,False,False
692,128,0,32,0,False,False
693,128,0,32,0,False,False
694,128,4,32,1,True,True
695,128,0,32,0,False,False
696,128,0,32,0,False,False
697,128,4,32,1,True,True
698,128,0,32,0,False,False
699,128,0,32,0,False,False
700,128,0,32,0,False,False
701,128,0,32,0,False,False
702,128,0,32,0,False,False
703,128,0,32,0,False,False
704,128,0,32,0,False,False
705,128,0,32,0,False,False
706,128,0,32,0,False,False
707,128,0,32,0,False,False
708,128,0,32,0,False,False
709,128,0,32,0,False,False
710,128,4,32,1,True,True
711,128,0,32,0,False,False
712,128,0,32,0,False,False
713,128,0,32,0,False,False
714,128,0,32,0,False,False
715,128,0,32,0,False,False
716,128,0,32,0,False,False
717,128,0,32,0,False,False
718,128,0,32,0,False,False
719,128,0,32,0,False,False
720,128,0,32,0,False,False
721,128,0,32,0,False,False
722,128,0,32,0,False,False
723,128,4,32,1,True,True
724,128,0,32,0,False,False
725,128,0,32,0,False,False
726,128,0,32,0,False,False
727,128,0,32,0,False,False
728,128,0,32,0,False,False
729,128,0,32,0,False,False
730,128,0,32,0,False,False
731,128,0,32,0,False,False
732,128,0,32,0,False,False
733,128,4,32,1,True,True
734,128,0,32,0,False,False
735,128,0,32,0,False,False
736,128,0,32,0,False,False
737,128,0,32,0,False,False
738,128,0,32,0,False,False
739,128,0,32,0,False,False
740,128,0,32,0,False,False
741,128,4,32,1,True,True
742,128,0,32,0,False,False
743,128,0,32,0,False,False
744,128,0,32,0,False,False
745,128,0,32,0,False,False
746,128,0,32,0,False,False
747,128,0,32,0,False,False
748,128,0,32,0,False,False
749,128,4,32,1,True,True
750,128,0,32,0,False,False
751,128,0,32,0,False,False
752,128,4,32,1,True,True
753,128,0,32,0,False,False
754,128,0,32,0,False,False
755,128,0,32,0,False,False
756,128,0,32,0,False,False
757,128,0,32,0,False,False
758,128,0,32,0,False,False
759,128,0,32,0,False,False
760,128,0,32,0,False,False
761,128,4,32,1,True,True
762,128,4,32,1,True,True
763,128,0,32,0,False,False
764,128,0,32,0,False,False
765,128,0,32,0,False,False
766,128,4,32,1,True,True
767,128,0,32,0,False,False
768,128,0,32,0,False,False
769,128,0,32,0,False,False
770,128,0,32,0,False,False
771,128,0,32,0,False,False
772,128,0,32,0,False,False
773,128,0,32,0,False,False
774,128,0,32,0,False,False
775,128,0,32,0,False,False
776,128,0,32,0,False,False
777,128,0,32,0,False,False
778,128,0,32,0,False,False
779,128,0,32,0,False,False
780,128,0,32,0,False,False
781,128,0,32,0,False,False
782,128,0,32,0,False,False
783,128,0,32,0,False,False
784,128,0,32,0,False,False
785,128,0,32,0,False,False
786,128,0,32,0,False,False
787,128,4,32,1,True,True
788,128,0,32,0,False,False
789,128,0,32,0,False,False
790,128,0,32,0,False,False
791,128,0,32,0,False,False
792,128,0,32,0,False,False
793,128,0,32,0,False,False
794,128,0,32,0,False,False
795,128,0,32,0,False,False
796,128,0,32,0,False,False
797,128,0,32,0,False,False
798,128,0,32,0,False,False
799,128,0,32,0,False,False
800,128,0,32,0,False,False
801,128,0,32,0,False,False
802,128,4,32,1,True,True
803,128,4,32,1,True,True
804,128,0,32,0,False,False
805,128,0,32,0,False,False
806,128,0,32,0,False,False
807,128,4,32,1,True,True
808,128,0,32,0,False,False
809,128,4,32,1,True,True
810,128,0,32,0,False,False
811,128,0,32,0,False,False
812,128,0,32,0,False,False
813,128,0,32,0,False,False
814,128,0,32,0,False,False
815,128,0,32,0,False,False
816,128,0,32,0,False,False
817,128,0,32,0,False,False
818,128,0,32,0,False,False
819,128,0,32,0,False,False
820,128,4,32,1,True,True
821,128,0,32,0,False,False
822,128,0,32,0,False,False
823,128,0,32,0,False,False
824,128,0,32,0,False,False
825,128,0,32,0,False,False
826,128,0,32,0,False,False
827,128,0,32,0,False,False
828,128,0,32,0,False,False
829,128,0,32,0,False,False
830,128,0,32,0,False,False
831,128,0,32,0,False,False
832,128,0,32,0,False,False
833,128,0,32,0,False,False
834,128,0,32,0,False,False
835,128,0,32,0,False,False
836,128,0,32,0,False,False
837,128,0,32,0,False,False
838,128,0,32,0,False,False
839,128,0,32,0,False,False
840,128,0,32,0,False,False
841,128,0,32,0,False,False
842,128,0,32,0,False,False
843,128,0,32,0,False,False
844,128,0,32,0,False,False
845,128,0,32,0,False,False
846,128,0,32,0,False,False
847,128,0,32,0,False,False
848,128,0,32,0,False,False
849,128,0,32,0,False,False
850,128,0,32,0,False,False
851,128,0,32,0,False,False
852,128,0,32,0,False,False
853,128,0,32,0,False,False
854,128,0,32,0,False,False
855,128,0,32,0,False,False
856,128,0,32,0,False,False
857,128,0,32,0,False,False
858,128,0,32,0,False,False
859,128,4,32,1,True,True
860,128,0,32,0,False,False
861,128,0,32,0,False,False
862,128,0,32,0,False,False
863,128,0,32,0,False,False
864,128,0,32,0,False,False
865,128,0,32,0,False,False
866,128,0,32,0,False,False
867,128,0,32,0,False,False
868,128,0,32,0,False,False
869,128,0,32,0,False,False
870,128,0,32,0,False,False
871,128,0,32,0,False,False
872,128,0,32,0,False,False
873,128,0,32,0,False,False
874,128,0,32,0,False,False
875,128,4,32,1,True,True
876,128,0,32,0,False,False
877,128,0,32,0,False,False
878,128,0,32,0,False,False
879,128,0,32,0,False,False
880,128,4,32,1,True,True
881,128,0,32,0,False,False
882,128,0,32,0,False,False
883,128,4,32,1,True,True
884,128,0,32,0,False,False
885,128,4,32,1,True,True
886,128,0,32,0,False,False
887,128,0,32,0,False,False
888,128,4,32,1,True,True
889,128,0,32,0,False,False
890,128,0,32,0,False,False
891,128,0,32,0,False,False
892,128,0,32,0,False,False
893,128,0,32,0,False,False
894,128,0,32,0,False,False
895,128,4,32,1,True,True
896,128,0,32,0,False,False
897,128,0,32,0,False,False
898,128,0,32,0,False,False
899,128,0,32,0,False,False
900,128,0,32,0,False,False
901,128,0,32,0,False,False
902,128,0,32,0,False,False
903,128,0,32,0,False,False
904,128,0,32,0,False,False
905,128,0,32,0,False,False
906,128,0,32,0,False,False
907,128,0,32,0,False,False
908,128,0,32,0,False,False
909,128,0,32,0,False,False
910,128,0,32,0,False,False
911,128,0,32,0,False,False
912,128,0,32,0,False,False
913,128,0,32,0,False,False
914,128,0,32,0,False,False
915,128,0,32,0,False,False
916,128,0,32,0,False,False
917,128,0,32,0,False,False
918,128,0,32,0,False,False
919,128,0,32,0,False,False
920,128,0,32,0,False,False
921,128,0,32,0,False,False
922,128,0,32,0,False,False
923,128,0,32,0,False,False
924,128,0,32,0,False,False
925,128,0,32,0,False,False
926,128,0,32,0,False,False
927,128,0,32,0,False,False
928,128,0,32,0,False,False
929,128,0,32,0,False,False
930,128,4,32,1,True,True
931,128,0,32,0,False,False
932,128,8,32,2,True,True
933,128,0,32,0,False,False
934,128,0,32,0,False,False
935,128,0,32,0,False,False
936,128,0,32,0,False,False
937,128,0,32,0,False,False
938,128,0,32,0,False,False
939,128,0,32,0,False,False
940,128,4,32,1,True,True
941,128,0,32,0,False,False
942,128,4,32,1,True,True
943,128,0,32,0,False,False
944,128,0,32,0,False,False
945,128,0,32,0,False,False
946,128,0,32,0,False,False
947,128,0,32,0,False,False
948,128,0,32,0,False,False
949,128,0,32,0,False,False
950,128,0,32,0,False,False
951,128,0,32,0,False,False
952,128,0,32,0,False,False
953,128,0,32,0,False,False
954,128,0,32,0,False,False
955,128,0,32,0,False,False
956,128,0,32,0,False,False
957,128,0,32,0,False,False
958,128,0,32,0,False,False
959,128,0,32,0,False,False
960,128,0,32,0,False,False
961,128,0,32,0,False,False
962,128,0,32,0,False,False
963,128,0,32,0,False,False
964,128,0,32,0,False,False
965,128,0,32,0,False,False
966,128,0,32,0,False,False
967,128,0,32,0,False,False
968,128,0,32,0,False,False
969,128,0,32,0,False,False
970,128,0,32,0,False,False
971,128,0,32,0,False,False
972,128,0,32,0,False,False
973,128,0,32,0,False,False
974,128,0,32,0,False,False
975,128,0,32,0,False,False
976,128,0,32,0,False,False
977,128,4,32,1,True,True
978,128,0,32,0,False,False
979,128,0,32,0,False,False
980,128,0,32,0,False,False
981,128,0,32,0,False,False
982,128,0,32,0,False,False
983,128,0,32,0,False,False
984,128,0,32,0,False,False
