dataset,fold_id,predictor,similarity,score,n_valid_queries,spearman_risk_vs_retrieval_error
Frangieh,frangieh_context_holdout_2_Control,scGPT,pearson,risk_model_disagreement,279,-0.03326645544330118
Frangieh,frangieh_context_holdout_3_IFNγ,GEARS,cosine,directional_risk_frozen,279,-0.014280289257704169
Frangieh,frangieh_context_holdout_3_IFNγ,GEARS,cosine,safeconf_calibrated_pair_risk,279,0.024375266164683936
Frangieh,frangieh_context_holdout_3_IFNγ,GEARS,cosine,baseline_predicted_magnitude,279,-0.05231713146127384
Frangieh,frangieh_context_holdout_3_IFNγ,GEARS,cosine,risk_model_disagreement,279,-0.03736989271398626
Frangieh,frangieh_context_holdout_3_IFNγ,GEARS,pearson,directional_risk_frozen,279,-0.006056981714659642
Frangieh,frangieh_context_holdout_3_IFNγ,GEARS,pearson,safeconf_calibrated_pair_risk,279,0.03937597907359991
Frangieh,frangieh_context_holdout_3_IFNγ,GEARS,pearson,baseline_predicted_magnitude,279,-0.04098319101434417
Frangieh,frangieh_context_holdout_3_IFNγ,GEARS,pearson,risk_model_disagreement,279,-0.023870414915073836
Frangieh,frangieh_context_holdout_3_IFNγ,scGPT,cosine,directional_risk_frozen,279,-0.0404827964906652
Frangieh,frangieh_context_holdout_3_IFNγ,scGPT,cosine,safeconf_calibrated_pair_risk,279,-0.020294626274956554
Frangieh,frangieh_context_holdout_3_IFNγ,scGPT,cosine,baseline_predicted_magnitude,279,-0.008856932688394414
Frangieh,frangieh_context_holdout_3_IFNγ,scGPT,cosine,risk_model_disagreement,279,-0.018676143015870422
Frangieh,frangieh_context_holdout_3_IFNγ,scGPT,pearson,directional_risk_frozen,279,0.0026566974207292
Frangieh,frangieh_context_holdout_3_IFNγ,scGPT,pearson,safeconf_calibrated_pair_risk,279,-0.006778514718214172
Frangieh,frangieh_context_holdout_3_IFNγ,scGPT,pearson,baseline_predicted_magnitude,279,0.11157991027637683
Frangieh,frangieh_context_holdout_3_IFNγ,scGPT,pearson,risk_model_disagreement,279,0.09635611680981683
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,GEARS,cosine,directional_risk_frozen,51,0.6171503153044834
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,GEARS,cosine,safeconf_calibrated_pair_risk,51,0.08433733864675641
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,GEARS,cosine,baseline_predicted_magnitude,51,-0.36409046196282646
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,GEARS,cosine,risk_model_disagreement,51,-0.38815267486090843
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,GEARS,pearson,directional_risk_frozen,51,0.5750616992795495
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,GEARS,pearson,safeconf_calibrated_pair_risk,51,0.1013935988673571
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,GEARS,pearson,baseline_predicted_magnitude,51,-0.3283244244692509
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,GEARS,pearson,risk_model_disagreement,51,-0.3687083768698428
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,scGPT,cosine,directional_risk_frozen,51,-0.17926604519406122
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,scGPT,cosine,safeconf_calibrated_pair_risk,51,-0.2056646570526461
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,scGPT,cosine,baseline_predicted_magnitude,51,-0.2139510137766959
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,scGPT,cosine,risk_model_disagreement,51,-0.003350767199888994
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,scGPT,pearson,directional_risk_frozen,51,-0.1475057752362689
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,scGPT,pearson,safeconf_calibrated_pair_risk,51,-0.37159499103886584
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,scGPT,pearson,baseline_predicted_magnitude,51,-0.6493062018920439
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,scGPT,pearson,risk_model_disagreement,51,-0.4395735506426852
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,GEARS,cosine,directional_risk_frozen,52,0.3608907723101565
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,GEARS,cosine,safeconf_calibrated_pair_risk,52,-0.10358120381874278
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,GEARS,cosine,baseline_predicted_magnitude,52,-0.229326653223057
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,GEARS,cosine,risk_model_disagreement,52,-0.25571054476179333
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,GEARS,pearson,directional_risk_frozen,52,0.3649679295921765
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,GEARS,pearson,safeconf_calibrated_pair_risk,52,-0.12593408516292695
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,GEARS,pearson,baseline_predicted_magnitude,52,-0.2596213296558846
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,GEARS,pearson,risk_model_disagreement,52,-0.2891008563740236
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,scGPT,cosine,directional_risk_frozen,52,-0.07469092921375554
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,scGPT,cosine,safeconf_calibrated_pair_risk,52,-0.07661265123469264
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,scGPT,cosine,baseline_predicted_magnitude,52,-0.09518929743708467
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,scGPT,cosine,risk_model_disagreement,52,-0.08720347481674602
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,scGPT,pearson,directional_risk_frozen,52,-0.032114110216548974
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,scGPT,pearson,safeconf_calibrated_pair_risk,52,-0.016057055108274487
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,scGPT,pearson,baseline_predicted_magnitude,52,-0.04667649264187238
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,scGPT,pearson,risk_model_disagreement,52,-0.04445583608434506
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),GEARS,cosine,directional_risk_frozen,62,0.5135343536058885
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),GEARS,cosine,safeconf_calibrated_pair_risk,62,-0.12877354004676864
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),GEARS,cosine,baseline_predicted_magnitude,62,-0.3944776414419182
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),GEARS,cosine,risk_model_disagreement,62,-0.3328524961852239
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),GEARS,pearson,directional_risk_frozen,62,0.46522813188310996
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),GEARS,pearson,safeconf_calibrated_pair_risk,62,-0.1726279605024112
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),GEARS,pearson,baseline_predicted_magnitude,62,-0.44557817283970524
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),GEARS,pearson,risk_model_disagreement,62,-0.384325566134092
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),scGPT,cosine,directional_risk_frozen,62,-0.12287886507927942
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),scGPT,cosine,safeconf_calibrated_pair_risk,62,-0.20095998110976682
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),scGPT,cosine,baseline_predicted_magnitude,62,-0.27657192986984835
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),scGPT,cosine,risk_model_disagreement,62,-0.2337646319880161
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),scGPT,pearson,directional_risk_frozen,62,-0.0695937129876392
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),scGPT,pearson,safeconf_calibrated_pair_risk,62,0.0007307087895154007
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),scGPT,pearson,baseline_predicted_magnitude,62,0.006752757089314739
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),scGPT,pearson,risk_model_disagreement,62,0.061908672270322054
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,GEARS,cosine,directional_risk_frozen,51,0.5385355670268904
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,GEARS,cosine,safeconf_calibrated_pair_risk,51,0.058818707955550144
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,GEARS,cosine,baseline_predicted_magnitude,51,-0.5560275669496446
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,GEARS,cosine,risk_model_disagreement,51,-0.4620762019254465
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,GEARS,pearson,directional_risk_frozen,51,0.5155928022556859
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,GEARS,pearson,safeconf_calibrated_pair_risk,51,0.07754951807113393
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,GEARS,pearson,baseline_predicted_magnitude,51,-0.5198047569113067
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,GEARS,pearson,risk_model_disagreement,51,-0.42129457037749557
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,scGPT,cosine,directional_risk_frozen,51,0.020643761896944737
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,scGPT,cosine,safeconf_calibrated_pair_risk,51,-0.013038165408596673
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,scGPT,cosine,baseline_predicted_magnitude,51,-0.14156369178014513
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,scGPT,cosine,risk_model_disagreement,51,0.05079451940432454
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,scGPT,pearson,directional_risk_frozen,51,-0.26397757811641387
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,scGPT,pearson,safeconf_calibrated_pair_risk,51,-0.4415320389932061
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,scGPT,pearson,baseline_predicted_magnitude,51,-0.3482276677879362
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,scGPT,pearson,risk_model_disagreement,51,-0.325229792692217
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,GEARS,cosine,directional_risk_frozen,43,0.5739042378354487
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,GEARS,cosine,safeconf_calibrated_pair_risk,43,0.11173077134783486
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,GEARS,cosine,baseline_predicted_magnitude,43,-0.4400485612702209
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,GEARS,cosine,risk_model_disagreement,43,-0.3462547666522011
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,GEARS,pearson,directional_risk_frozen,43,0.5752636659453421
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,GEARS,pearson,safeconf_calibrated_pair_risk,43,0.11712333465187483
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,GEARS,pearson,baseline_predicted_magnitude,43,-0.4347472765991657
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,GEARS,pearson,risk_model_disagreement,43,-0.344099189658747
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,scGPT,cosine,directional_risk_frozen,43,-0.13486370196268868
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,scGPT,cosine,safeconf_calibrated_pair_risk,43,-0.25439855090274255
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,scGPT,cosine,baseline_predicted_magnitude,43,-0.2838480714881001
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,scGPT,cosine,risk_model_disagreement,43,-0.14354753495580694
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,scGPT,pearson,directional_risk_frozen,43,-0.09545386002241614
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,scGPT,pearson,safeconf_calibrated_pair_risk,43,-0.32744298817816164
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,scGPT,pearson,baseline_predicted_magnitude,43,-0.2847001995921747
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,scGPT,pearson,risk_model_disagreement,43,-0.32117505274947455
Liang,Liang_context_holdout_1_DM2_1,GEARS,cosine,directional_risk_frozen,18,0.07451207620486494
Liang,Liang_context_holdout_1_DM2_1,GEARS,cosine,safeconf_calibrated_pair_risk,18,0.10179818861791406
Liang,Liang_context_holdout_1_DM2_1,GEARS,cosine,baseline_predicted_magnitude,18,-0.8574136092869669
Liang,Liang_context_holdout_1_DM2_1,GEARS,cosine,risk_model_disagreement,18,-0.8805018582518547
Liang,Liang_context_holdout_1_DM2_1,GEARS,pearson,directional_risk_frozen,18,0.09760032516975267
Liang,Liang_context_holdout_1_DM2_1,GEARS,pearson,safeconf_calibrated_pair_risk,18,0.12488643758280181
Liang,Liang_context_holdout_1_DM2_1,GEARS,pearson,baseline_predicted_magnitude,18,-0.8353748261841195
Liang,Liang_context_holdout_1_DM2_1,GEARS,pearson,risk_model_disagreement,18,-0.8721061313555319
Liang,Liang_context_holdout_1_DM2_1,scGPT,cosine,directional_risk_frozen,18,0.23013415892672856
Liang,Liang_context_holdout_1_DM2_1,scGPT,cosine,safeconf_calibrated_pair_risk,18,0.1826625386996904
Liang,Liang_context_holdout_1_DM2_1,scGPT,cosine,baseline_predicted_magnitude,18,0.49638802889576883
Liang,Liang_context_holdout_1_DM2_1,scGPT,cosine,risk_model_disagreement,18,0.5541795665634675
Liang,Liang_context_holdout_1_DM2_1,scGPT,pearson,directional_risk_frozen,18,0.03199174406604747
Liang,Liang_context_holdout_1_DM2_1,scGPT,pearson,safeconf_calibrated_pair_risk,18,-0.017543859649122806
Liang,Liang_context_holdout_1_DM2_1,scGPT,pearson,baseline_predicted_magnitude,18,0.25696594427244585
Liang,Liang_context_holdout_1_DM2_1,scGPT,pearson,risk_model_disagreement,18,0.32301341589267285
Liang,Liang_context_holdout_2_DM2_2,GEARS,cosine,directional_risk_frozen,18,0.23553014074568684
Liang,Liang_context_holdout_2_DM2_2,GEARS,cosine,safeconf_calibrated_pair_risk,18,0.08403892345855493
Liang,Liang_context_holdout_2_DM2_2,GEARS,cosine,baseline_predicted_magnitude,18,-0.20788575802905693
Liang,Liang_context_holdout_2_DM2_2,GEARS,cosine,risk_model_disagreement,18,-0.2454821185236736
Liang,Liang_context_holdout_2_DM2_2,GEARS,pearson,directional_risk_frozen,18,0.23553014074568684
Liang,Liang_context_holdout_2_DM2_2,GEARS,pearson,safeconf_calibrated_pair_risk,18,0.08403892345855493
Liang,Liang_context_holdout_2_DM2_2,GEARS,pearson,baseline_predicted_magnitude,18,-0.20788575802905693
Liang,Liang_context_holdout_2_DM2_2,GEARS,pearson,risk_model_disagreement,18,-0.2454821185236736
Liang,Liang_context_holdout_2_DM2_2,scGPT,cosine,directional_risk_frozen,18,-0.017543859649122806
Liang,Liang_context_holdout_2_DM2_2,scGPT,cosine,safeconf_calibrated_pair_risk,18,-0.1413828689370485
Liang,Liang_context_holdout_2_DM2_2,scGPT,cosine,baseline_predicted_magnitude,18,-0.23632610939112486
Liang,Liang_context_holdout_2_DM2_2,scGPT,cosine,risk_model_disagreement,18,-0.21568627450980388
Liang,Liang_context_holdout_2_DM2_2,scGPT,pearson,directional_risk_frozen,18,-0.05882352941176471
Liang,Liang_context_holdout_2_DM2_2,scGPT,pearson,safeconf_calibrated_pair_risk,18,-0.16408668730650156
Liang,Liang_context_holdout_2_DM2_2,scGPT,pearson,baseline_predicted_magnitude,18,-0.3312693498452013
Liang,Liang_context_holdout_2_DM2_2,scGPT,pearson,risk_model_disagreement,18,-0.32094943240454077
Liang,Liang_context_holdout_3_DM2_3,GEARS,cosine,directional_risk_frozen,18,0.3896467980075693
Liang,Liang_context_holdout_3_DM2_3,GEARS,cosine,safeconf_calibrated_pair_risk,18,0.06512510221656256
Liang,Liang_context_holdout_3_DM2_3,GEARS,cosine,baseline_predicted_magnitude,18,-0.479055836643867
Liang,Liang_context_holdout_3_DM2_3,GEARS,cosine,risk_model_disagreement,18,-0.47132912960122403
Liang,Liang_context_holdout_3_DM2_3,GEARS,pearson,directional_risk_frozen,18,0.3693289530941757
Liang,Liang_context_holdout_3_DM2_3,GEARS,pearson,safeconf_calibrated_pair_risk,18,0.04865411358126864
Liang,Liang_context_holdout_3_DM2_3,GEARS,pearson,baseline_predicted_magnitude,18,-0.4776949333433648
Liang,Liang_context_holdout_3_DM2_3,GEARS,pearson,risk_model_disagreement,18,-0.4699545061827085
Liang,Liang_context_holdout_3_DM2_3,scGPT,cosine,directional_risk_frozen,18,-0.26109391124871
Liang,Liang_context_holdout_3_DM2_3,scGPT,cosine,safeconf_calibrated_pair_risk,18,-0.21568627450980388
Liang,Liang_context_holdout_3_DM2_3,scGPT,cosine,baseline_predicted_magnitude,18,-0.13106295149638802
Liang,Liang_context_holdout_3_DM2_3,scGPT,cosine,risk_model_disagreement,18,-0.038183694530443756
Liang,Liang_context_holdout_3_DM2_3,scGPT,pearson,directional_risk_frozen,18,-0.13657572849791927
Liang,Liang_context_holdout_3_DM2_3,scGPT,pearson,safeconf_calibrated_pair_risk,18,0.01758929836715627
Liang,Liang_context_holdout_3_DM2_3,scGPT,pearson,baseline_predicted_magnitude,18,0.15416502686507555
Liang,Liang_context_holdout_3_DM2_3,scGPT,pearson,risk_model_disagreement,18,0.24418084792052233
Liang,Liang_context_holdout_4_DM2_4,GEARS,cosine,directional_risk_frozen,18,0.19690223755281347
Liang,Liang_context_holdout_4_DM2_4,GEARS,cosine,safeconf_calibrated_pair_risk,18,0.4773387029405192
Liang,Liang_context_holdout_4_DM2_4,GEARS,cosine,baseline_predicted_magnitude,18,-0.038316111091358296
Liang,Liang_context_holdout_4_DM2_4,GEARS,cosine,risk_model_disagreement,18,-0.07769655860192098
Liang,Liang_context_holdout_4_DM2_4,GEARS,pearson,directional_risk_frozen,18,0.19690223755281347
Liang,Liang_context_holdout_4_DM2_4,GEARS,pearson,safeconf_calibrated_pair_risk,18,0.4773387029405192
Liang,Liang_context_holdout_4_DM2_4,GEARS,pearson,baseline_predicted_magnitude,18,-0.038316111091358296
Liang,Liang_context_holdout_4_DM2_4,GEARS,pearson,risk_model_disagreement,18,-0.07769655860192098
Liang,Liang_context_holdout_4_DM2_4,scGPT,cosine,directional_risk_frozen,18,-0.03611971104231166
Liang,Liang_context_holdout_4_DM2_4,scGPT,cosine,safeconf_calibrated_pair_risk,18,0.020226617824916675
Liang,Liang_context_holdout_4_DM2_4,scGPT,cosine,baseline_predicted_magnitude,18,-0.1393188854489164
Liang,Liang_context_holdout_4_DM2_4,scGPT,cosine,risk_model_disagreement,18,-0.07120743034055728
Liang,Liang_context_holdout_4_DM2_4,scGPT,pearson,directional_risk_frozen,18,0.13216315648705593
Liang,Liang_context_holdout_4_DM2_4,scGPT,pearson,safeconf_calibrated_pair_risk,18,0.24641599950440293
Liang,Liang_context_holdout_4_DM2_4,scGPT,pearson,baseline_predicted_magnitude,18,-0.14145587842755203
Liang,Liang_context_holdout_4_DM2_4,scGPT,pearson,risk_model_disagreement,18,-0.04852865902259084
Liang,Liang_context_holdout_5_DM2_5,GEARS,cosine,directional_risk_frozen,18,0.26390058841564024
Liang,Liang_context_holdout_5_DM2_5,GEARS,cosine,safeconf_calibrated_pair_risk,18,0.26390058841564024
Liang,Liang_context_holdout_5_DM2_5,GEARS,cosine,baseline_predicted_magnitude,18,-0.19765393864875114
Liang,Liang_context_holdout_5_DM2_5,GEARS,cosine,risk_model_disagreement,18,-0.24652441798498087
Liang,Liang_context_holdout_5_DM2_5,GEARS,pearson,directional_risk_frozen,18,0.22212504816953474
Liang,Liang_context_holdout_5_DM2_5,GEARS,pearson,safeconf_calibrated_pair_risk,18,0.22212504816953474
Liang,Liang_context_holdout_5_DM2_5,GEARS,pearson,baseline_predicted_magnitude,18,-0.2102061431458036
Liang,Liang_context_holdout_5_DM2_5,GEARS,pearson,risk_model_disagreement,18,-0.24596285821699704
Liang,Liang_context_holdout_5_DM2_5,scGPT,cosine,directional_risk_frozen,18,-0.14344685242518057
Liang,Liang_context_holdout_5_DM2_5,scGPT,cosine,safeconf_calibrated_pair_risk,18,-0.14344685242518057
Liang,Liang_context_holdout_5_DM2_5,scGPT,cosine,baseline_predicted_magnitude,18,0.034055727554179564
Liang,Liang_context_holdout_5_DM2_5,scGPT,cosine,risk_model_disagreement,18,0.09184726522187822
Liang,Liang_context_holdout_5_DM2_5,scGPT,pearson,directional_risk_frozen,18,0.029927760577915376
Liang,Liang_context_holdout_5_DM2_5,scGPT,pearson,safeconf_calibrated_pair_risk,18,0.029927760577915376
Liang,Liang_context_holdout_5_DM2_5,scGPT,pearson,baseline_predicted_magnitude,18,0.1331269349845201
Liang,Liang_context_holdout_5_DM2_5,scGPT,pearson,risk_model_disagreement,18,0.09597523219814243
Liang,Liang_context_holdout_6_DM2_6,GEARS,cosine,directional_risk_frozen,18,-0.2375104376997558
Liang,Liang_context_holdout_6_DM2_6,GEARS,cosine,safeconf_calibrated_pair_risk,18,-0.31980572093782905
Liang,Liang_context_holdout_6_DM2_6,GEARS,cosine,baseline_predicted_magnitude,18,-0.457311763816635
Liang,Liang_context_holdout_6_DM2_6,GEARS,cosine,risk_model_disagreement,18,-0.38960045482328365
Liang,Liang_context_holdout_6_DM2_6,GEARS,pearson,directional_risk_frozen,18,-0.2468858497142198
Liang,Liang_context_holdout_6_DM2_6,GEARS,pearson,safeconf_calibrated_pair_risk,18,-0.353140519211479
Liang,Liang_context_holdout_6_DM2_6,GEARS,pearson,baseline_predicted_magnitude,18,-0.5146059483494708
Liang,Liang_context_holdout_6_DM2_6,GEARS,pearson,risk_model_disagreement,18,-0.46356203849294436
Liang,Liang_context_holdout_6_DM2_6,scGPT,cosine,directional_risk_frozen,18,0.21476512929146585
Liang,Liang_context_holdout_6_DM2_6,scGPT,cosine,safeconf_calibrated_pair_risk,18,0.05162623300275621
Liang,Liang_context_holdout_6_DM2_6,scGPT,cosine,baseline_predicted_magnitude,18,-0.2746515595746631
Liang,Liang_context_holdout_6_DM2_6,scGPT,cosine,risk_model_disagreement,18,-0.2209602772517966
Liang,Liang_context_holdout_6_DM2_6,scGPT,pearson,directional_risk_frozen,18,0.19711042311661509
Liang,Liang_context_holdout_6_DM2_6,scGPT,pearson,safeconf_calibrated_pair_risk,18,0.1393188854489164
Liang,Liang_context_holdout_6_DM2_6,scGPT,pearson,baseline_predicted_magnitude,18,-0.1393188854489164
Liang,Liang_context_holdout_6_DM2_6,scGPT,pearson,risk_model_disagreement,18,-0.027863777089783277
Liang,Liang_context_holdout_7_EM2_1,GEARS,cosine,directional_risk_frozen,18,0.2130176026927659
Liang,Liang_context_holdout_7_EM2_1,GEARS,cosine,safeconf_calibrated_pair_risk,18,0.15712684555060455
Liang,Liang_context_holdout_7_EM2_1,GEARS,cosine,baseline_predicted_magnitude,18,-0.35432630942955123
Liang,Liang_context_holdout_7_EM2_1,GEARS,cosine,risk_model_disagreement,18,-0.35221722425437535
Liang,Liang_context_holdout_7_EM2_1,GEARS,pearson,directional_risk_frozen,18,0.19963149047421072
Liang,Liang_context_holdout_7_EM2_1,GEARS,pearson,safeconf_calibrated_pair_risk,18,0.14576267558434433
Liang,Liang_context_holdout_7_EM2_1,GEARS,pearson,baseline_predicted_magnitude,18,-0.37708170422906473
Liang,Liang_context_holdout_7_EM2_1,GEARS,pearson,risk_model_disagreement,18,-0.37285669913966346
Liang,Liang_context_holdout_7_EM2_1,scGPT,cosine,directional_risk_frozen,18,-0.08776459610468557
Liang,Liang_context_holdout_7_EM2_1,scGPT,cosine,safeconf_calibrated_pair_risk,18,-0.14145587842755203
Liang,Liang_context_holdout_7_EM2_1,scGPT,cosine,baseline_predicted_magnitude,18,-0.2849768061752143
Liang,Liang_context_holdout_7_EM2_1,scGPT,cosine,risk_model_disagreement,18,-0.24780591841322983
Liang,Liang_context_holdout_7_EM2_1,scGPT,pearson,directional_risk_frozen,18,-0.07855306598535326
Liang,Liang_context_holdout_7_EM2_1,scGPT,pearson,safeconf_calibrated_pair_risk,18,-0.09715773950820009
