perturbation,n_target_cells,n_guides,n_eligible_guides,min_cells_per_eligible_guide,max_cells_per_eligible_guide,is_single_gene_label,in_expression_var,in_scgpt_vocab,eligible_e180_target,selection_used_expression_matrix_or_truth_effect,cell_count_quartile,guide_count_stratum,selection_hash,target_split
NDUFS2,768,3,3,181,328,True,True,True,True,False,Q3,THREE_PLUS_GUIDES,6d6ea83a1e57b6d0192cd86479c359b23336358d5cb2dc5f46d41fc52f5ab7bf,conformal_calibration
UPF2,337,3,3,58,179,True,True,True,True,False,Q2,THREE_PLUS_GUIDES,6e2870d57655b3b91922c2d2f8193fc1399b122e880ec12b5c909fec28af69ec,conformal_calibration
SLC28A1,330,2,2,128,202,True,True,True,True,False,Q1,TWO_GUIDES,7df1f33fffbf0bcc9cf99a4d5979d14e297f83190b8bcd024f6d23cb41e668e6,conformal_calibration
SLC29A1,964,3,3,285,394,True,True,True,True,False,Q4,THREE_PLUS_GUIDES,89179961a5cf1ecb8beac4ac8fb558dbe2fae5096c8da9692969d3e245903d15,conformal_calibration
SCO1,596,3,3,142,266,True,True,True,True,False,Q3,THREE_PLUS_GUIDES,8a5b2063a9b3949bcc8dccbec24286efd6af3673c7d6d3d8d43faffc7f67cdec,conformal_calibration
ETF1,370,2,2,158,212,True,True,True,True,False,Q2,TWO_GUIDES,8e4a6d13e17ae1f25fb01734426453ff75ad9e81adee0d95167172fa72fa2143,conformal_calibration
SMARCD1,2158,3,3,326,1227,True,True,True,True,False,Q4,THREE_PLUS_GUIDES,add8fd4b2bc8cbb2b48f686b12e41ebbe8b8dc19287208421000efbecb8d699b,conformal_calibration
EXOSC2,251,3,3,28,124,True,True,True,True,False,Q1,THREE_PLUS_GUIDES,b94697ed325bc1a249b0bb755c889bf5ade4f04e57dc2daef09823d69b6e79e3,conformal_calibration
SLC2A1,680,3,3,199,252,True,True,True,True,False,Q3,THREE_PLUS_GUIDES,be03419c60e53689288ed15eb1a1b5ace68fce132328d16b028e094886734c01,conformal_calibration
SMG5,214,2,2,66,148,True,True,True,True,False,Q1,TWO_GUIDES,c11744b74a6852f0e4babc3cb1e60c4391c66ee80e1d23dfb83c0aba76436fcc,conformal_calibration
IGF2BP1,595,2,2,199,396,True,True,True,True,False,Q3,TWO_GUIDES,c15fe6548068d1c66ded9f7591d2e600b327f01845972225d2c113e3b519d50c,conformal_calibration
LRPPRC,504,3,3,92,292,True,True,True,True,False,Q2,THREE_PLUS_GUIDES,d1cf3bf3af705381519c94c28774557ce4ecc72589192272fc3f1a105d725480,conformal_calibration
SCO2,573,3,3,116,245,True,True,True,True,False,Q3,THREE_PLUS_GUIDES,d3d58326f78710fb6286fd42086b7792ce48d7b138ad42211e0618e052d376a5,conformal_calibration
ARID2,1309,3,3,293,519,True,True,True,True,False,Q4,THREE_PLUS_GUIDES,d8aa05c20c8ac1f3f476c54da566abcee83d1f5b0c65c02859dde8886c9b6352,conformal_calibration
SDHB,415,2,2,167,248,True,True,True,True,False,Q2,TWO_GUIDES,de98d62b0ec1fb5c81dbcf4edac6f118c627dfa563faf948aa00e5e5ec42d8c8,conformal_calibration
CPSF2,242,2,2,43,199,True,True,True,True,False,Q1,TWO_GUIDES,eec742481347a4ab2697c397e882def52a3fe0fddbb449ec5f753b526ca55188,conformal_calibration
CSTF3,536,3,3,110,234,True,True,True,True,False,Q3,THREE_PLUS_GUIDES,f0dcb755159f2507ad2de9e2b260fe3dab9687b4df2b3df796d553e2f14af7fc,conformal_calibration
PDHA1,1184,3,3,314,472,True,True,True,True,False,Q4,THREE_PLUS_GUIDES,fb693493453eb7feebb98970ced249f4051523e1be2e4f7c27d036505d1b2f61,conformal_calibration
RPL30,116,2,2,33,83,True,True,True,True,False,Q1,TWO_GUIDES,07441c03f9bc2bebbc20ba6dd022e7dd566f03123016bd3996ee08662e134734,model_validation
GTF2H3,392,3,3,39,183,True,True,True,True,False,Q2,THREE_PLUS_GUIDES,0e871aa559bc99d74e3b44baa4152c81f2e9371d94f94125ab5676441b4992b1,model_validation
SLC29A4,1012,3,3,296,403,True,True,True,True,False,Q4,THREE_PLUS_GUIDES,0fddd3fb89a90322089356432f28f0bccd7afa72f174fe3daf35c062c6c0fb8d,model_validation
PGK1,181,3,3,48,75,True,True,True,True,False,Q1,THREE_PLUS_GUIDES,1190f59d71f08b96f7d6bc3dee678881cd7f855f9547877b0dd0ac5f6b69fd3b,model_validation
SMC1A,371,2,2,78,293,True,True,True,True,False,Q2,TWO_GUIDES,16b785f9a6f8f6734044726fe45164b48673f1174918e528d91c8f0479d263dd,model_validation
METTL16,666,3,3,153,320,True,True,True,True,False,Q3,THREE_PLUS_GUIDES,1ef775a60a1d5c3af0d580ea0c59d54fbef1ce97193432a6100bf1cac9010a42,model_validation
DLD,485,3,3,137,193,True,True,True,True,False,Q2,THREE_PLUS_GUIDES,2ad5c01b0525975b0a62d663a33964915db7b18199e66c52d800f24a9c15eb20,model_validation
POLR1A,138,2,2,69,69,True,True,True,True,False,Q1,TWO_GUIDES,2fd9a3139dda791eab1ad4df8a943598b9117f30d105f14ec1636f8bfd93ec5f,model_validation
OGDH,1114,3,3,154,559,True,True,True,True,False,Q4,THREE_PLUS_GUIDES,33dd65568bbdaf7c37a503dc36b3118967598167d9e187ee48a4b3cac76c721f,model_validation
INO80,587,3,3,87,276,True,True,True,True,False,Q3,THREE_PLUS_GUIDES,445d2e1e7b72efa0d25e352a33fe10955c1dc6cbfca4e27f2ba41ff6ad800649,model_validation
SLC25A1,1880,3,3,398,899,True,True,True,True,False,Q4,THREE_PLUS_GUIDES,466c1995afdac098d28c136e191cfc8b2128825654ee18e3719f8050a7406dd1,model_validation
GTF2A2,450,3,3,93,243,True,True,True,True,False,Q2,THREE_PLUS_GUIDES,53d7255a0feb85a1f843aaad21b12342980b47d3a8b30ab608d8a50e3da5157f,model_validation
DDX39B,367,2,2,162,205,True,True,True,True,False,Q2,TWO_GUIDES,5fe54e6eb2c6f18f7e622062a32ae1484e047b500a84568320773b1fe793e30e,model_validation
PPP2CA,921,2,2,423,498,True,True,True,True,False,Q4,TWO_GUIDES,6b43d2583ff4386519d46cc43f52d85673fa1725d19ec9ad7486ad0b40c1f477,model_validation
UCK2,794,3,3,118,493,True,True,True,True,False,Q3,THREE_PLUS_GUIDES,6d3556818c65e369e40bb33764b5a5cc18a3ce1f0f7e404f3cc5860c4d4cdc4f,model_validation
SMARCB1,926,3,3,256,351,True,True,True,True,False,Q4,THREE_PLUS_GUIDES,765be09c84c1aee636f4f13d6f01b25b5572ef3824d3fafdcd539f4b2d9558e5,model_validation
SEC61G,147,2,2,65,82,True,True,True,True,False,Q1,TWO_GUIDES,7ba778994b87211973590ea14d644678be626623eac8a5fcfd0680965b893f9d,model_validation
PDIA6,769,3,3,26,469,True,True,True,True,False,Q3,THREE_PLUS_GUIDES,84eaafbee95e864dea176d41cb237be1e6ac6191c0672f059c80dc39f4602b66,model_validation
ZC3H13,689,2,2,117,572,True,True,True,True,False,Q3,TWO_GUIDES,9301f345f10d45e66b6a3e6b2a7ada3b7a801381183f616f90ac3eb9cd57ce85,model_validation
HDAC2,878,3,3,73,526,True,True,True,True,False,Q4,THREE_PLUS_GUIDES,a7efedc5088174a684ecfdede402b05943cda3137a8d6a5e76247c825d4c4031,model_validation
GAPDH,249,3,3,59,103,True,True,True,True,False,Q1,THREE_PLUS_GUIDES,af57c758a369ddddc6eb08d336e4dda78bae1d358f26171fa11a839c20af8c12,model_validation
MCM2,69,2,2,30,39,True,True,True,True,False,Q1,TWO_GUIDES,b4959d97b93c98400e1fa19460aee8b94ef5c866d29505bcbc257747c6888ec2,model_validation
ERCC3,363,3,3,54,177,True,True,True,True,False,Q2,THREE_PLUS_GUIDES,b6350331a453e1486c58cc1e7dc648d25a1a5e97716867a68d96c7eb40ccc2f4,model_validation
SDHC,807,3,3,214,308,True,True,True,True,False,Q3,THREE_PLUS_GUIDES,bcec983c4d873717ac279d5b02bec4c0665fd8ed5e51b1c1504bcf0d0e9f5561,model_validation
DDX19B,916,3,3,205,488,True,True,True,True,False,Q4,THREE_PLUS_GUIDES,c8be7521e3f54daa6f625e959b827ac2121bd13a3190fa2186fe1332ceebc0b2,model_validation
PBRM1,572,3,3,156,231,True,True,True,True,False,Q3,THREE_PLUS_GUIDES,cdd1eaf977b938ef9b5c8bbe3fe121f4a4faccbab5c2960ba521c6340c105729,model_validation
SURF1,512,2,2,126,386,True,True,True,True,False,Q2,TWO_GUIDES,d530bf6158af02a03c7f6c72e908614658a6c2f9436b50507d09fc60d741ed30,model_validation
LSM4,191,3,2,21,160,True,True,True,True,False,Q1,TWO_GUIDES,d81dde41459ebcf6ee13cfcbf19192d58a7d413b2b6645db3cad3922420c8ed9,model_validation
PRDM2,757,3,3,204,320,True,True,True,True,False,Q3,THREE_PLUS_GUIDES,ee1ee9b3cb4b932f3b83ccbd17e4a59f78fcf4280ea0ae76f133a37c024628ce,model_validation
NDUFAF1,968,3,3,288,355,True,True,True,True,False,Q4,THREE_PLUS_GUIDES,f76b59630857ac07e96e9e86a2b3afc33eedabaffde96248421210fb5b29739e,model_validation
NCBP1,249,3,3,24,114,True,True,True,True,False,Q1,THREE_PLUS_GUIDES,fe9fb43ea7423d57c12b819377e55015d77c6e3a399340132cda52a4f25ae93a,model_validation
TAF8,408,3,3,92,203,True,True,True,True,False,Q2,THREE_PLUS_GUIDES,ffc5b7927f4706dc236f3b13c53e90694b669c47a7f17bdeaac0dc526ecc4da1,model_validation
RELA,959,3,3,312,325,True,True,True,True,False,Q4,THREE_PLUS_GUIDES,143dc542771ca90b11f6dac39b5a14b1aef687009b37e5af48bcb5a0086d1ce4,prospective_evaluation
DHX29,136,2,2,48,88,True,True,True,True,False,Q1,TWO_GUIDES,166f35f3f988599b4f4d654fb0331ea5924c18fba33edfe0158004994636d99d,prospective_evaluation
MNAT1,478,3,3,100,189,True,True,True,True,False,Q2,THREE_PLUS_GUIDES,183372e60dfa80549b9c2074c3f09d014a76024f3a87861d97ca33f66540e589,prospective_evaluation
GTF2A1,434,2,2,191,243,True,True,True,True,False,Q2,TWO_GUIDES,24d457afd05913ff399bfebe512326c4920433d3ace7d26bbd6e24e8e47f98a5,prospective_evaluation
DNMT3A,826,3,3,242,337,True,True,True,True,False,Q3,THREE_PLUS_GUIDES,28fceaadbe2da741f5c5f8c4a0260a7169fa5f66590d53bc05bcdec330a3d7ab,prospective_evaluation
XPO5,1583,3,3,302,952,True,True,True,True,False,Q4,THREE_PLUS_GUIDES,38f2a1004db7f04c6dd7be100a960e08d020f96494c9f95beed5c39af837e79c,prospective_evaluation
PCNA,165,2,2,54,111,True,True,True,True,False,Q1,TWO_GUIDES,3986b96357be2c96a21e56200cb9f3491898ce4741637bc9b0bd4b66aad1ea4e,prospective_evaluation
MCM3,442,3,3,79,189,True,True,True,True,False,Q2,THREE_PLUS_GUIDES,42ccd0ece735e0f0e334b4eba2bbea61cd951748e16191b0ea3e308b422cf8c0,prospective_evaluation
DROSHA,574,3,3,110,284,True,True,True,True,False,Q3,THREE_PLUS_GUIDES,52ce3b503120b7c8837c348b35f8a38506395f5d32040be7c472b0bf20f8093d,prospective_evaluation
ACO2,1078,3,3,242,489,True,True,True,True,False,Q4,THREE_PLUS_GUIDES,54ec86c359654eede2b79c9de11d07942d4722d724ae887e3fd6f963bd1caf4a,prospective_evaluation
XRN2,238,3,3,62,106,True,True,True,True,False,Q1,THREE_PLUS_GUIDES,5a06fa6da01d3a2a35a3a7939631e1004d77140b0dacfdb4374fe2904f6e1bea,prospective_evaluation
EXOSC6,352,3,3,106,134,True,True,True,True,False,Q2,THREE_PLUS_GUIDES,728868448f8d2af425d40556ea9b3403f688b21a2d5c011391e59acd7fe4421b,prospective_evaluation
SLC28A3,531,3,3,147,194,True,True,True,True,False,Q3,THREE_PLUS_GUIDES,78293f05c7c15f16ade5e76e722beb8d35889f83b0b2007fbc8acc031d9d6165,prospective_evaluation
FOS,953,3,3,301,348,True,True,True,True,False,Q4,THREE_PLUS_GUIDES,91befec558013a332649dfa9ecc458157d0b51b9905da98ec25dbff08f0598ab,prospective_evaluation
DDX56,121,3,2,51,53,True,True,True,True,False,Q1,TWO_GUIDES,9529f41e5181293a797588b4006f0312c4a62f593f1d5e6aea3d0d3ca08e798c,prospective_evaluation
SMG7,492,2,2,155,337,True,True,True,True,False,Q2,TWO_GUIDES,9be31428dd961006f358044bed98843f1f3e916acbd79afc76bd4213a65da26e,prospective_evaluation
SOX2,614,3,3,129,316,True,True,True,True,False,Q3,THREE_PLUS_GUIDES,9e4018dc7eac1e35f0ed989bfe28da7cd2dfc1d295ed820f1e673c4371fe727d,prospective_evaluation
SDHA,1066,3,3,317,430,True,True,True,True,False,Q4,THREE_PLUS_GUIDES,b0f658f920c4326c554894015492f3c3238f86ccb34c4cd40b48bb9d1794ce79,prospective_evaluation
JUN,272,3,3,49,143,True,True,True,True,False,Q1,THREE_PLUS_GUIDES,bfa6e8ead469be8261a31c91080d361c57ca5cbef7d55c3225655b28b6adf5de,prospective_evaluation
ATP12A,542,3,3,156,219,True,True,True,True,False,Q3,THREE_PLUS_GUIDES,c0443a76845c9a567f5c8753a4352ecf21e1efa11cb732b32f8814f5e1d5a1eb,prospective_evaluation
MCM6,127,2,2,31,96,True,True,True,True,False,Q1,TWO_GUIDES,d25df6f49d062bd2b21f69f751c5c75065033eb6bf4a0280cc728ea10548557e,prospective_evaluation
TPI1,603,3,3,169,232,True,True,True,True,False,Q3,THREE_PLUS_GUIDES,dcc851c3b9e262fe16975616bfb17d8cc2d117248260154bb9b3e46bffd26ebe,prospective_evaluation
EEF1G,453,3,3,94,231,True,True,True,True,False,Q2,THREE_PLUS_GUIDES,dcd9111344906b4ef3edd3d108ca48bfb86c7eb4a3fc25baa40980632deb16c8,prospective_evaluation
CYC1,478,2,2,207,271,True,True,True,True,False,Q2,TWO_GUIDES,e46129f02dd3e587eaa3a36c525cc0193a377b4c1aa2d0e2e1ab67bda1c3043f,prospective_evaluation
BRD7,833,3,3,191,417,True,True,True,True,False,Q4,THREE_PLUS_GUIDES,e8e05ebc462e669d421f38a7d226a73f6a66cbc59eec4acba805367182daacbc,prospective_evaluation
POLR1B,110,2,2,52,58,True,True,True,True,False,Q1,TWO_GUIDES,f86cc1ba6a744f1cda34f5e79614ce3a2f0131db41ac7fb8ed5d84a143c72bf4,prospective_evaluation
COX6B1,835,3,3,185,438,True,True,True,True,False,Q4,THREE_PLUS_GUIDES,fc936edc3b366c9fd54eb98da775afa0575794a89c1346d3db8e07b95cc4a385,prospective_evaluation
REST,492,2,2,112,380,True,True,True,True,False,Q2,TWO_GUIDES,0026c62252b225a50dec30b5cbf571cf4a7beedec53030934446660e171ab74b,supervised_train
POLR3A,652,3,3,30,427,True,True,True,True,False,Q3,THREE_PLUS_GUIDES,01bd524411fde2e6f481334f612c356481c2042eaeae24126796c87091a875e7,supervised_train
RFC4,176,3,2,23,141,True,True,True,True,False,Q1,TWO_GUIDES,0234943dbda7f4e233160cbca1b3227e4a2c6bb1dc88dd0588f0deca80a8ff3b,supervised_train
NDUFS1,480,3,3,137,181,True,True,True,True,False,Q2,THREE_PLUS_GUIDES,0503cd2f96fe6ed6e80828998ad7fcaa05ea0e424c110f22b53d6ab0f5e59bb3,supervised_train
EXOSC5,165,2,2,41,124,True,True,True,True,False,Q1,TWO_GUIDES,057e6c1850cc3379db52cc50d1b667cdbb565a91e54892ec2ef23a0f81ab1ccf,supervised_train
KDM4A,1130,3,3,311,468,True,True,True,True,False,Q4,THREE_PLUS_GUIDES,096ffb9ce987aee384173713ddf44d2fcec30f3d8599a4a95db8112002a8e0e0,supervised_train
SDHAF1,1148,3,3,349,425,True,True,True,True,False,Q4,THREE_PLUS_GUIDES,0a74d4d2af6a03e143e939253667f477bdd4eb3e10a46c81cba690408645cbb7,supervised_train
TAF2,252,3,3,43,157,True,True,True,True,False,Q1,THREE_PLUS_GUIDES,0d8508a47c5590bd58babc7c317343bfacb9b8350f8ce87f845b2e8bad8ba780,supervised_train
PRIM1,383,3,3,24,295,True,True,True,True,False,Q2,THREE_PLUS_GUIDES,0e56eabc944213edf88280498bc70f4496a401e108f8b97c9ed65e4cfbfd4f1e,supervised_train
WDR12,135,3,3,31,69,True,True,True,True,False,Q1,THREE_PLUS_GUIDES,111aa86aafb922e3015501c56b32fb0e3e84d59f4e8d1dd85f36e61c9f9206d3,supervised_train
TAF5,398,2,2,191,207,True,True,True,True,False,Q2,TWO_GUIDES,118826a9bc6b567c5ea429910309741d91c921d501a677daa4ccada5071cb6a8,supervised_train
HDAC1,837,3,3,132,486,True,True,True,True,False,Q4,THREE_PLUS_GUIDES,16343ea44fdd5c4ea9c712dbfd315478797fa33c856daa29004a46d01bc62ac6,supervised_train
CMPK1,748,3,3,175,327,True,True,True,True,False,Q3,THREE_PLUS_GUIDES,1d0a0fd253eae037c753bdc68e419f39b2cc66a43a04824be97f609ca4a728e2,supervised_train
SMC3,515,3,3,130,224,True,True,True,True,False,Q2,THREE_PLUS_GUIDES,1e227951bf4a6835d9b7b99f99edb583db0914a1d0a2be11ac5190442b2fc2b1,supervised_train
CREBBP,1001,3,3,198,526,True,True,True,True,False,Q4,THREE_PLUS_GUIDES,1f2f5ae72fa3dc29b3bd74f1d2d51e1971cfba6426abffae36ddf325b8b1992e,supervised_train
LDB1,1149,2,2,411,738,True,True,True,True,False,Q4,TWO_GUIDES,21844c29e6132b0e9d0686c5d1eaaaf0ac6907f9ceb0f3342d934bbe2c5f8069,supervised_train
RPS9,150,2,2,71,79,True,True,True,True,False,Q1,TWO_GUIDES,2347bc586c15aa66003bd14103d0be41c9c29c29c907f8ddf0b66915694785e1,supervised_train
DICER1,375,3,3,91,151,True,True,True,True,False,Q2,THREE_PLUS_GUIDES,24e253704625052f36b642af35c5f545abcdcfc40f7dc2dbb330e56aded35df7,supervised_train
ATP11A,1167,2,2,531,636,True,True,True,True,False,Q4,TWO_GUIDES,25dd2a137daecea215c03fc29de3dc17d6ffdb5a6728a26f9d8cc1fc89374c20,supervised_train
POLD2,181,2,2,44,137,True,True,True,True,False,Q1,TWO_GUIDES,27fbc529536c71b1775d8b77cc35bf8457cfb17fe21188ff1c7f630352f46605,supervised_train
FH,565,3,3,123,224,True,True,True,True,False,Q3,THREE_PLUS_GUIDES,2ab6fcf179c7d20ac345d7aa8c376d46b1ca02c4ae84cf17b38e113f4c90202e,supervised_train
BCS1L,631,3,3,114,274,True,True,True,True,False,Q3,THREE_PLUS_GUIDES,2dce6829470cbe19245d793ac103605e7ead9c8792a8a3db148337cc939f1f30,supervised_train
NME3,512,2,2,167,345,True,True,True,True,False,Q2,TWO_GUIDES,398722bce798fb9aaeae1492c01f639e624e7ded891d642674c3bb93fc94ceb8,supervised_train
LDHA,1437,3,3,148,806,True,True,True,True,False,Q4,THREE_PLUS_GUIDES,3b7c83e5d06157cff03ed73e03fe89980c68970c2edd5abe9260cfe7b643b468,supervised_train
SLC29A2,893,3,3,231,341,True,True,True,True,False,Q4,THREE_PLUS_GUIDES,3c9a680bc64f69dc9ccc2ff378d4d1372dfce6b9154c9c3e3c72fdb1030919cc,supervised_train
PPP2R1A,495,3,3,96,296,True,True,True,True,False,Q2,THREE_PLUS_GUIDES,458cf7b5fe5c94263a2b0a95d0eb36de12938fc2691e72774563f11835f04714,supervised_train
UPF1,404,3,3,101,162,True,True,True,True,False,Q2,THREE_PLUS_GUIDES,49543475b32a5afe26016d5be3bc48c7c12722ffb2372c268059b059c428ea8d,supervised_train
UPRT,383,2,2,116,267,True,True,True,True,False,Q2,TWO_GUIDES,532380d5f92e1c503cb23d0f8af2836483cfd48bbdf0a1a23ca291417871262c,supervised_train
POLE,79,2,2,23,56,True,True,True,True,False,Q1,TWO_GUIDES,53e78f02112f4569a383eda81a9f6de11b1a2d6d9f5e44df3f541c8e3c2a8caa,supervised_train
KMT2A,1047,3,3,271,414,True,True,True,True,False,Q4,THREE_PLUS_GUIDES,5b460197129c7bdebe9e720106cf410725b6359924f93fc5398fb1270f151ab1,supervised_train
SEC62,1375,3,3,192,862,True,True,True,True,False,Q4,THREE_PLUS_GUIDES,5f9fef51c44ad0a7fb6b516b7907f28d1c98de1ada5a45275c3cdee137339067,supervised_train
DLST,698,3,3,209,271,True,True,True,True,False,Q3,THREE_PLUS_GUIDES,63797fd6d0ee2deff61a70a8fe65b45b568c63d7e8e067dd94af3e8c3c38add9,supervised_train
METTL3,544,3,3,158,221,True,True,True,True,False,Q3,THREE_PLUS_GUIDES,6649387611538bb8d926256c0f4744efa894656f6e828c987c9f95ad932d6d6a,supervised_train
PKM,320,3,3,64,150,True,True,True,True,False,Q1,THREE_PLUS_GUIDES,66f42b502460831886366063eaf73f28ea584c0504d7ee812803b9c069c294ae,supervised_train
EEF1D,649,2,2,289,360,True,True,True,True,False,Q3,TWO_GUIDES,67e7bc601ea3d65431b33f65d71bd8a0fd7543b5dd1c16414d82f1a19ea73ccc,supervised_train
POLA2,142,2,2,55,87,True,True,True,True,False,Q1,TWO_GUIDES,77d2d72664a84af82ce32637920a577ae863149445225f8260e1c3576167a0c5,supervised_train
KDM1A,711,3,3,113,438,True,True,True,True,False,Q3,THREE_PLUS_GUIDES,7bb9aa81acf3c1130a939584b2b3a19ce60e5ee43be6ca38be37484c9cfee23f,supervised_train
IDH3A,583,3,3,152,232,True,True,True,True,False,Q3,THREE_PLUS_GUIDES,7c43b4ffc1273cf647d48cb4cdf012bc3ad2c75931cc3968259139156f7ff431,supervised_train
ACLY,595,2,2,263,332,True,True,True,True,False,Q3,TWO_GUIDES,8c9251bf680d560cc5b986f5742c33da92ec8d32e3b02f889a4eb47772dc43f8,supervised_train
PHF10,883,3,3,59,596,True,True,True,True,False,Q4,THREE_PLUS_GUIDES,92d1372d84fed2348d635aa47f35633f7c988288c2e0a9120c810205a27d74e4,supervised_train
PAPOLG,517,3,3,133,210,True,True,True,True,False,Q2,THREE_PLUS_GUIDES,93a124b8b512b7868185026a800c78cf12d02d68fd6b8a887ea17be121cbf230,supervised_train
IGF2BP2,504,3,3,48,267,True,True,True,True,False,Q2,THREE_PLUS_GUIDES,9573d97b20d6d3de7f56ffba21799c7d6095d2edcfa75e5392483e7166227d6e,supervised_train
CCT3,231,3,3,41,135,True,True,True,True,False,Q1,THREE_PLUS_GUIDES,96f85b758fbb209df4b4e249ee529f8b9bd819c40d809bfc634c80b2d0ec7a71,supervised_train
ENO2,868,3,3,143,394,True,True,True,True,False,Q4,THREE_PLUS_GUIDES,9b09eceabda58d11854f32f6f3af068bcc9772952b04b615b322739f5035d734,supervised_train
CNOT3,186,2,2,80,106,True,True,True,True,False,Q1,TWO_GUIDES,9b61510a8fd6ef8903401011c924f3bfd14148c50c234877eaddc44a40adecc8,supervised_train
SETD2,406,2,2,199,207,True,True,True,True,False,Q2,TWO_GUIDES,9e95cbc6d413029503a82272543c56abba75ed005f8f7e3e839bdb28d9d54e77,supervised_train
POLR2F,525,2,2,57,468,True,True,True,True,False,Q2,TWO_GUIDES,a85885ce8fc0d02633d902c3917095e9c080f36617dbf3af807901dc7001a4f3,supervised_train
CASC3,661,3,3,158,332,True,True,True,True,False,Q3,THREE_PLUS_GUIDES,a947888f80e2789e1da55e7039f177c5dbabeb2f9b3abd93aea514e7777d2a3e,supervised_train
POLD1,61,2,2,29,32,True,True,True,True,False,Q1,TWO_GUIDES,b0f96d897a944bbe2b7de9045c8546d91b62302b2ee355cb5e42b8ef7c5c7b25,supervised_train
SLC29A3,741,3,3,223,293,True,True,True,True,False,Q3,THREE_PLUS_GUIDES,b74610c0b3d7b008a2e36f8c930bbda9c1b117f6b61126dc6cfe65de5c9fcbe9,supervised_train
SMARCA4,891,3,3,242,352,True,True,True,True,False,Q4,THREE_PLUS_GUIDES,baa811b30902130ff7a783cfca0cb0bbc9d701b333b3f121b0abfb227485b123,supervised_train
DLAT,1256,3,3,234,526,True,True,True,True,False,Q4,THREE_PLUS_GUIDES,c0924e8698902039fcb30973f3a1a4114eb2cd46b5c695955873aaad839140dd,supervised_train
RNMT,556,3,3,119,252,True,True,True,True,False,Q3,THREE_PLUS_GUIDES,c355b130c76f516f0e04ad9cc5b7d055330d3252cb05a039ebada1f63a6c867f,supervised_train
NDUFA12,803,3,3,201,370,True,True,True,True,False,Q3,THREE_PLUS_GUIDES,c9257b638c993cc7f38a9381b31df518a3bb4ccb0ac190b4678305369cda1f2b,supervised_train
POLD3,125,3,3,32,48,True,True,True,True,False,Q1,THREE_PLUS_GUIDES,d1d11fac7b272d8ec9c0d7684757c947580a08c3c1a819fd7dc1e7b8f7fbc51e,supervised_train
METTL14,190,2,2,69,121,True,True,True,True,False,Q1,TWO_GUIDES,d4e5bab48c3e7bca997cfde2599df2fe1136ee0a8d7121a19255951117d7c8a5,supervised_train
CCT4,66,2,2,27,39,True,True,True,True,False,Q1,TWO_GUIDES,d60a2bb477d4fc0f0953f2cf4900e1ad6eb43279e0339f65acdbb6e799526504,supervised_train
PPP1CB,265,3,3,48,157,True,True,True,True,False,Q1,THREE_PLUS_GUIDES,d847711df63085d23b708fbf32ff270656e6a34b674322b774e9e4be3da93904,supervised_train
NDUFV1,636,3,3,194,227,True,True,True,True,False,Q3,THREE_PLUS_GUIDES,deeec1ee2c74ca7af85dd3e4a151012de513b9a7c1bcd6453550a36dfa2a675e,supervised_train
