dataset_name,score_name,predictor_name,n,aligned_rho,normalized_rmse_rho,magnitude_only_rho,partial_rho_control_magnitude,risk_coverage80_improve_pct,mean_rmse,aurc,oracle_aurc,random_aurc,excess_aurc
CuiHacohen2023,protocol_v0_2_family_confidence,ContextSimBaseline,1253,0.4202213386986143,0.08677514762832651,0.7301720897895864,0.2894908381737697,21.58323581534211,0.20944653360776738,0.15328677112968034,0.11013868722710064,0.20944653360776738,0.043148083902579695
CuiHacohen2023,protocol_v0_2_family_confidence,V0StrongBaseline,1253,0.47023642943561256,0.1319215831650156,0.7423327386789552,0.3678580210269278,21.60491787090617,0.2126422947368181,0.15465366932322377,0.11293751975486647,0.2126422947368181,0.0417161495683573
CuiHacohen2023,protocol_v0_2_with_stability_confidence,ContextSimBaseline,1253,0.3442767884310637,0.24015779131780537,0.7301720897895864,0.3325937542518891,21.03349901675612,0.20944653360776738,0.16042688949913775,0.11013868722710064,0.20944653360776738,0.050288202272037105
CuiHacohen2023,protocol_v0_2_with_stability_confidence,V0StrongBaseline,1253,0.3770077179734929,0.26747470927532613,0.7423327386789552,0.3856594088498214,20.856592910128562,0.2126422947368181,0.16277133993563944,0.11293751975486647,0.2126422947368181,0.04983382018077297
CuiHacohen2023,random_score,ContextSimBaseline,2506,0.0188925287322387,0.02028454372432557,0.7301720897895863,0.013912100749563418,1.8556207474598745,0.20944653360776738,0.1980716342761539,0.11010709947223292,0.20944653360776738,0.08796453480392098
CuiHacohen2023,random_score,V0StrongBaseline,2506,-0.006815285895618288,-0.005990776260145257,0.7423327386789551,-0.014691794209984422,1.9083113605633437,0.2126422947368181,0.213064033706715,0.11290392974797825,0.2126422947368181,0.10016010395873676
CuiHacohen2023,simple_combined_confidence,ContextSimBaseline,1253,0.4473495538188972,0.11795152813064291,0.7301720897895864,0.3304092514300066,22.076651919442657,0.20944653360776738,0.14916176648441673,0.11013868722710064,0.20944653360776738,0.03902307925731609
CuiHacohen2023,simple_combined_confidence,V0StrongBaseline,1253,0.5207644307711663,0.17066560928824706,0.7423327386789552,0.43689442134101897,21.70776565991495,0.2126422947368181,0.15138042718329497,0.11293751975486647,0.2126422947368181,0.0384429074284285
CuiHacohen2023,support_count_score,ContextSimBaseline,1253,0.023458310534867032,0.0481154408776715,0.7301720897895864,0.04972318128108946,-0.3153147282323,0.20944653360776738,0.2110988222776248,0.11013868722710064,0.20944653360776738,0.10096013505052416
CuiHacohen2023,support_count_score,V0StrongBaseline,1253,0.04881783098569034,0.07951792088864776,0.7423327386789552,0.08881862079452908,0.4640604206790415,0.2126422947368181,0.21334885257359656,0.11293751975486647,0.2126422947368181,0.10041133281873009
Frangieh,context_similarity_score,ContextSimBaseline,633,0.20208420004723013,-0.39800612993326673,0.7926979925303024,-0.2710929880649725,0.8998996630982665,0.058357485009213034,0.05763683990663701,0.04722142359742031,0.058357485009213034,0.010415416309216698
Frangieh,context_similarity_score,V0StrongBaseline,633,0.24868505768570162,-0.39653896145134515,0.8434842781316608,-0.2575309049862709,1.1130257665708752,0.05387136494363354,0.05301388911649012,0.043500776020025354,0.05387136494363354,0.009513113096464763
Frangieh,historical_residual_risk,ContextSimBaseline,1266,0.09186505904875894,-0.20414118374690157,0.7926979925303025,-0.026053249910646142,2.1104017250488387,0.058357485009213034,0.055765591755826495,0.04721362804431555,0.058357485009213034,0.008551963711510943
Frangieh,historical_residual_risk,V0StrongBaseline,1266,0.10217266750917324,-0.17864033772962298,0.8434842781316609,-0.023152861169330564,2.6039605240536967,0.05387136494363352,0.051407174587003515,0.04349349198364976,0.05387136494363352,0.007913682603353754
Frangieh,learned_risk_score,ContextSimBaseline,633,0.9119101316246507,0.20155253699324296,0.7926979925303024,0.8375271784645165,12.356491746828645,0.058357485009213034,0.04804319208974579,0.04722142359742031,0.058357485009213034,0.0008217684923254795
Frangieh,learned_risk_score,V0StrongBaseline,633,0.8064448289704109,0.203058830815504,0.8434842781316608,0.7025802516312731,10.892251595026629,0.05387136494363354,0.04961396431108082,0.043500776020025354,0.05387136494363354,0.006113188291055463
Frangieh,model_disagreement_risk,ContextSimBaseline,1266,0.9051565995507936,0.4277959445299109,0.7926979925303025,0.9215947634579373,12.536403205842175,0.058357485009213034,0.04795986720031527,0.04721362804431555,0.058357485009213034,0.0007462391559997159
Frangieh,model_disagreement_risk,V0StrongBaseline,1266,0.8660210598907321,0.46192657633609535,0.8434842781316609,0.8964348734669545,12.590289808333578,0.05387136494363352,0.04440749902101984,0.04349349198364976,0.05387136494363352,0.0009140070373700807
Frangieh,ood_distance_risk,ContextSimBaseline,633,-0.3186838655550626,-0.6533631326737999,0.7926979925303024,-0.5874940969582544,-2.6957317562973935,0.058357485009213034,0.06114245574622368,0.04722142359742031,0.058357485009213034,0.013921032148803365
Frangieh,ood_distance_risk,V0StrongBaseline,633,-0.25842276769947414,-0.6457732943489074,0.8434842781316608,-0.5590838900209951,-2.361000406891205,0.05387136494363354,0.05604647917571407,0.043500776020025354,0.05387136494363354,0.012545703155688717
Frangieh,prediction_magnitude_risk,ContextSimBaseline,633,-0.15869078607615372,-0.3893063126012819,0.7926979925303024,-0.5263560871399706,6.664182263118721,0.058357485009213034,0.0557560811661433,0.04722142359742031,0.058357485009213034,0.008534657568722986
Frangieh,prediction_magnitude_risk,V0StrongBaseline,633,-0.4835483442412699,-0.4593253159068771,0.8434842781316608,-0.7215004186540944,-0.49434528449214454,0.05387136494363354,0.055679843691184346,0.043500776020025354,0.05387136494363354,0.012179067671158991
Frangieh,protocol_v0_2_family_confidence,ContextSimBaseline,633,0.6222815378115581,0.35340924510316185,0.7926979925303024,0.5433298204375797,4.955103573984585,0.058357485009213034,0.05122647655449842,0.04722142359742031,0.058357485009213034,0.004005052957078106
Frangieh,protocol_v0_2_family_confidence,V0StrongBaseline,633,0.599638479634933,0.36139347431422686,0.8434842781316608,0.5290007541552297,4.922225293349072,0.05387136494363354,0.04747642398356786,0.043500776020025354,0.05387136494363354,0.0039756479635425085
Frangieh,protocol_v0_2_with_stability_confidence,ContextSimBaseline,633,0.21844722606982314,-0.09313241887460676,0.7926979925303024,-0.05313691861174979,1.7990132439600577,0.058357485009213034,0.05617106816919067,0.04722142359742031,0.058357485009213034,0.00894964457177036
Frangieh,protocol_v0_2_with_stability_confidence,V0StrongBaseline,633,0.24036552863671637,-0.08289964010716731,0.8434842781316608,-0.04863103331425682,1.958414462603137,0.05387136494363354,0.05191898266994841,0.043500776020025354,0.05387136494363354,0.008418206649923057
Frangieh,random_score,ContextSimBaseline,1266,0.009537766378363276,-0.0035995422063938983,0.7926979925303025,0.006748557632777998,-0.3363290479877595,0.058357485009213034,0.05930242735408135,0.04721362804431555,0.058357485009213034,0.0120887993097658
Frangieh,random_score,V0StrongBaseline,1266,-0.049425163797975714,-0.003133377444455721,0.8434842781316609,-0.03664377109649305,0.7921095001785815,0.05387136494363352,0.05498590678714977,0.04349349198364976,0.05387136494363352,0.011492414803500009
Frangieh,simple_combined_confidence,ContextSimBaseline,633,0.625613083776108,0.29271737918836466,0.7926979925303024,0.550025267643323,11.36284190814817,0.058357485009213034,0.05015565565180616,0.04722142359742031,0.058357485009213034,0.002934232054385845
Frangieh,simple_combined_confidence,V0StrongBaseline,633,0.5998967084671236,0.32133999662760143,0.8434842781316608,0.5304422341523475,11.336227485908177,0.05387136494363354,0.04637631964514701,0.043500776020025354,0.05387136494363354,0.002875543625121657
Frangieh,support_count_score,ContextSimBaseline,633,0.42290543536160025,0.7117076043892817,0.7926979925303024,0.6891686529478357,1.0203934978219336,0.058357485009213034,0.05497521104198757,0.04722142359742031,0.058357485009213034,0.007753787444567256
Frangieh,support_count_score,V0StrongBaseline,633,0.36177572628562576,0.707383384158621,0.8434842781316608,0.6680003893373507,0.7833961155269565,0.05387136494363354,0.051186898784201025,0.043500776020025354,0.05387136494363354,0.007686122764175671
