file_name,relative_path,n_rows,columns_read
train-00670-of-03388.parquet,mega_external/Tahoe-100M/data/train-00670-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00673-of-03388.parquet,mega_external/Tahoe-100M/data/train-00673-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00676-of-03388.parquet,mega_external/Tahoe-100M/data/train-00676-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-00683-of-03388.parquet,mega_external/Tahoe-100M/data/train-00683-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-01165-of-03388.parquet,mega_external/Tahoe-100M/data/train-01165-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-01173-of-03388.parquet,mega_external/Tahoe-100M/data/train-01173-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-01184-of-03388.parquet,mega_external/Tahoe-100M/data/train-01184-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-01190-of-03388.parquet,mega_external/Tahoe-100M/data/train-01190-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-01193-of-03388.parquet,mega_external/Tahoe-100M/data/train-01193-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-01196-of-03388.parquet,mega_external/Tahoe-100M/data/train-01196-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-01199-of-03388.parquet,mega_external/Tahoe-100M/data/train-01199-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-01203-of-03388.parquet,mega_external/Tahoe-100M/data/train-01203-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-01206-of-03388.parquet,mega_external/Tahoe-100M/data/train-01206-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-01209-of-03388.parquet,mega_external/Tahoe-100M/data/train-01209-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-01213-of-03388.parquet,mega_external/Tahoe-100M/data/train-01213-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-01220-of-03388.parquet,mega_external/Tahoe-100M/data/train-01220-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-01223-of-03388.parquet,mega_external/Tahoe-100M/data/train-01223-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-01225-of-03388.parquet,mega_external/Tahoe-100M/data/train-01225-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-01228-of-03388.parquet,mega_external/Tahoe-100M/data/train-01228-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-01234-of-03388.parquet,mega_external/Tahoe-100M/data/train-01234-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-01237-of-03388.parquet,mega_external/Tahoe-100M/data/train-01237-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-01240-of-03388.parquet,mega_external/Tahoe-100M/data/train-01240-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-01243-of-03388.parquet,mega_external/Tahoe-100M/data/train-01243-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-01246-of-03388.parquet,mega_external/Tahoe-100M/data/train-01246-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-01249-of-03388.parquet,mega_external/Tahoe-100M/data/train-01249-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-01252-of-03388.parquet,mega_external/Tahoe-100M/data/train-01252-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-01254-of-03388.parquet,mega_external/Tahoe-100M/data/train-01254-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-01257-of-03388.parquet,mega_external/Tahoe-100M/data/train-01257-of-03388.parquet,28225,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-02485-of-03388.parquet,mega_external/Tahoe-100M/data/train-02485-of-03388.parquet,28224,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-02488-of-03388.parquet,mega_external/Tahoe-100M/data/train-02488-of-03388.parquet,28224,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-02493-of-03388.parquet,mega_external/Tahoe-100M/data/train-02493-of-03388.parquet,28224,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-02497-of-03388.parquet,mega_external/Tahoe-100M/data/train-02497-of-03388.parquet,28224,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-03095-of-03388.parquet,mega_external/Tahoe-100M/data/train-03095-of-03388.parquet,28224,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-03098-of-03388.parquet,mega_external/Tahoe-100M/data/train-03098-of-03388.parquet,28224,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-03101-of-03388.parquet,mega_external/Tahoe-100M/data/train-03101-of-03388.parquet,28224,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-03106-of-03388.parquet,mega_external/Tahoe-100M/data/train-03106-of-03388.parquet,28224,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-03108-of-03388.parquet,mega_external/Tahoe-100M/data/train-03108-of-03388.parquet,28224,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-03111-of-03388.parquet,mega_external/Tahoe-100M/data/train-03111-of-03388.parquet,28224,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-03115-of-03388.parquet,mega_external/Tahoe-100M/data/train-03115-of-03388.parquet,28224,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-03326-of-03388.parquet,mega_external/Tahoe-100M/data/train-03326-of-03388.parquet,28224,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-03329-of-03388.parquet,mega_external/Tahoe-100M/data/train-03329-of-03388.parquet,28224,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-03332-of-03388.parquet,mega_external/Tahoe-100M/data/train-03332-of-03388.parquet,28224,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-03335-of-03388.parquet,mega_external/Tahoe-100M/data/train-03335-of-03388.parquet,28224,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-03338-of-03388.parquet,mega_external/Tahoe-100M/data/train-03338-of-03388.parquet,28224,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-03341-of-03388.parquet,mega_external/Tahoe-100M/data/train-03341-of-03388.parquet,28224,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-03344-of-03388.parquet,mega_external/Tahoe-100M/data/train-03344-of-03388.parquet,28224,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-03346-of-03388.parquet,mega_external/Tahoe-100M/data/train-03346-of-03388.parquet,28224,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-03349-of-03388.parquet,mega_external/Tahoe-100M/data/train-03349-of-03388.parquet,28224,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-03352-of-03388.parquet,mega_external/Tahoe-100M/data/train-03352-of-03388.parquet,28224,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-03355-of-03388.parquet,mega_external/Tahoe-100M/data/train-03355-of-03388.parquet,28224,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-03358-of-03388.parquet,mega_external/Tahoe-100M/data/train-03358-of-03388.parquet,28224,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-03361-of-03388.parquet,mega_external/Tahoe-100M/data/train-03361-of-03388.parquet,28224,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-03364-of-03388.parquet,mega_external/Tahoe-100M/data/train-03364-of-03388.parquet,28224,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-03367-of-03388.parquet,mega_external/Tahoe-100M/data/train-03367-of-03388.parquet,28224,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-03370-of-03388.parquet,mega_external/Tahoe-100M/data/train-03370-of-03388.parquet,28224,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-03373-of-03388.parquet,mega_external/Tahoe-100M/data/train-03373-of-03388.parquet,28224,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-03375-of-03388.parquet,mega_external/Tahoe-100M/data/train-03375-of-03388.parquet,28224,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-03378-of-03388.parquet,mega_external/Tahoe-100M/data/train-03378-of-03388.parquet,28224,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-03381-of-03388.parquet,mega_external/Tahoe-100M/data/train-03381-of-03388.parquet,28224,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-03384-of-03388.parquet,mega_external/Tahoe-100M/data/train-03384-of-03388.parquet,28224,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
train-03387-of-03388.parquet,mega_external/Tahoe-100M/data/train-03387-of-03388.parquet,28224,drug;cell_line_id;moa-fine;canonical_smiles;pubchem_cid;plate
