e170_global_target_rank,panel_id,panel_target_rank,ensembl_core,perturbed_gene_name,n_identity_complete_guides,eligible_guide_ids,expression_axis_id_unique,expression_axis_gene_name,target_name_matches_expression_axis,expression_axis_name_unique,scgpt_token,in_scgpt_vocabulary,eligible_target,target_selection_sha256,column_unseen_sha256,e170_selection_sha256,e170_column_unseen_sha256,target_stratum,perturbation_support_contexts_pretruth,excluded_e168_primary_target,selection_used_expression_abundance_effect_or_error
16,P01,16,ENSG00000116260,QSOX1,2,QSOX1-1+QSOX1-2,True,QSOX1,True,True,QSOX1,True,True,682d3eec2c0366bf037a51ac5f79409eb652f97463c173f78d4490f531581612,9a478702e051db5500798de98af511226195da3fd17d40c8183acddd8b59571c,00bbf4cad3f782368cabf0663e22427cee331af0210fc72e23e221d0007db5db,923055eea4f74e5892ee3da51039161c8c7b6cb321c00812e8c8efc882d2cc4f,DONOR_UNSEEN_ONLY,6,True,False
17,P01,17,ENSG00000143995,MEIS1,2,MEIS1-1+MEIS1-2,True,MEIS1,True,True,MEIS1,True,True,74c390aa05e575c6831a520c948c514bcf9722e79e8fbb4f515a66546e4a39c4,18ae4a75d4beb5e2936eaec36cf47a3c375ffa7b6c7aa533a2e6ebdb3717ac02,00cf6474918319786a6a2c38a351d4e0c4badcf00724a67f8ca020c64bebd25c,f75785f569a2b3a85085ad745696b0d9b7b2cf4f89d7096ce6829412933df396,DONOR_UNSEEN_ONLY,6,True,False
18,P01,18,ENSG00000154889,MPPE1,2,MPPE1-1+MPPE1-2,True,MPPE1,True,True,MPPE1,True,True,9e32b6d16f1f527d32ca2dfdd16d73a4d72d7d10ac62a49cb0a1cb06583dc092,d31bd33a9672cc38237848d8c677ec98fa7d4aab8280c2f1a83e64ddca01d76e,00d0c6677ce6690e440c7db094a43d4ff6f74e92d6c8156b74a7529942941e27,66da23b51aea4c72fa9025b6318fceb734c4569ab5f1baaf15c68b2ba2438ab9,DONOR_UNSEEN_ONLY,6,True,False
19,P01,19,ENSG00000065883,CDK13,2,CDK13-1+CDK13-2,True,CDK13,True,True,CDK13,True,True,e72d713fd3e1ab7831dcb89781eb2354dc339b0677f0694ab1676bb70146f3e8,2b09d314c975eb8e1ee551f7848a48d2aa593cc9cb79912005e715d87e614456,00e422b99a30d94e0f428e559741ab3a2a52e644a19a0ed419c836d35a02ff66,9642a520ffab738aafe0fa8e360ef92cb403091bb0dd771d2524c3974f0d73e4,DONOR_UNSEEN_ONLY,6,True,False
20,P01,20,ENSG00000087157,PGS1,2,PGS1-1+PGS1-2,True,PGS1,True,True,PGS1,True,True,1b3324e7935c4ba7bea95eb41c2ad81b4baa1071ae97b7916178d44a1a2181b2,24c3d00763488c90bcfd6af83fb68d9318e6b842e2c84e1e33e827b7ff100d03,00f9a4623e629d78e64d2940adbd3ad9ac1d9b6b0c8177a56c60923aa437e549,2b1b6a94d24d0985379f90ce3b280faa22449168182e94ff6d70f6ceaeced119,COLUMN_UNSEEN,0,True,False
21,P01,21,ENSG00000148200,NR6A1,2,NR6A1-1+NR6A1-2,True,NR6A1,True,True,NR6A1,True,True,a568efa8465ecb95aff04fdb83a943fd3675fb6597d96abb2a4311a5001a3273,70b68b4e06808650415d562412389058846e8b09a8239d3643525d69582b3f7d,011066c70933bd920614dfde42594f9fc1e18adb5d8d1861fd23c3da0072bba4,7dea209cfb8da3a430ba27b321bf566aeb37ba24e5e359bbe3a395580f243c44,DONOR_UNSEEN_ONLY,6,True,False
22,P01,22,ENSG00000167302,TEPSIN,2,TEPSIN-1+TEPSIN-2,True,TEPSIN,True,True,TEPSIN,True,True,c29175d730f00c0a3082e87ea82fd0c13c7dddd05bdac2cc5dbcd191bfb4ae5a,92cd7304c52dc9e9054004741108fdcf312540a5cb5e615242caf9bada66059e,01192504f5b4b1aaa6702fa5cc3ce0be304f789ff700675afd57735a7908f5b7,ea53cb776bf3061eca5983d9ff15cb1c1e8e8141235772d5637eed62618b6590,DONOR_UNSEEN_ONLY,6,True,False
23,P01,23,ENSG00000030110,BAK1,2,BAK1-1+BAK1-2,True,BAK1,True,True,BAK1,True,True,6ca08013fb64bba771ab91f998ab0652d4937ac559eff655a37a47c97a241fe2,bc2c66ee7c47170561fa29a1a1f87d0b5491749d642de7f52d92213dbf7a3149,0129a5fb48411c55d069d966ac1870585206edf3ccf3437994a650976a4db736,228381449cb0bf6c0e8ca7cdaf1d36997ff54d00311130d60196e55d97c4bd7f,COLUMN_UNSEEN,0,True,False
24,P01,24,ENSG00000213588,ZBTB9,2,ZBTB9-1+ZBTB9-2,True,ZBTB9,True,True,ZBTB9,True,True,672ca8bd5465eeda4be384386f09e2318d18fe9899a153363cbc825a0227cf68,34f3c0135a322642ce87b591a895b04c2b3f2f9149939ecb1025b3800ae718c4,013031351e5a468123e53aebaa84cb6c3724e3f8dd717416ec2f8f19a83848d7,17dade1d71c9cc5af3ca5d4244d04f42a7b1ada07afe2fae5c117a303aa12449,COLUMN_UNSEEN,0,True,False
25,P01,25,ENSG00000197746,PSAP,2,PSAP-1+PSAP-2,True,PSAP,True,True,PSAP,True,True,9e109a3d4a38c3064cd64606e90a03fcebd43188cf2fa6dd62ca5ab44ea7050c,4e76321f7fbf0fca9db75d23143726b9329e1f3632037361b77979593c1a7ca6,0134eb55a343f7eff984c1bea689fa50c3931be84f7e6cb006754cd053ec2830,62df5f71a488addc9490d1ef5a37cf4b67090b922b8ee2007540a27ca11711ec,DONOR_UNSEEN_ONLY,6,True,False
26,P01,26,ENSG00000196511,TPK1,2,TPK1-1+TPK1-2,True,TPK1,True,True,TPK1,True,True,d799de81e529be0cbe2402af205a3b6566b26a07c0d95eeaefb0ffef82b1c4fb,eb50a0702ec56d97718b8e93b1b7e24914e97d63880e840e706371180d7a3819,0143ba5b67b692c113755b4392f3f59f3b5bd58b929b61b4ffe5eca1c7656ee2,7395aa003fc6008b91682bdc73a79cf68e40b79cd907851c570c711e05df1fa3,DONOR_UNSEEN_ONLY,6,True,False
27,P01,27,ENSG00000159202,UBE2Z,2,UBE2Z-1+UBE2Z-2,True,UBE2Z,True,True,UBE2Z,True,True,c6ec39e68aeebdf1dc337df503d24d269d2816c9526fd9e077be01c80795753b,9c47b36ab96f429d3334b75e9a3cd3736e1c524eedcc31a48589046da2127d04,014e5f201b116bf36daa377d73cc31152a777c800075928cdf6d27ce9d95574f,28656eca6647c23816beda8ee6906767ee335ab3368603542020ab4dd1de1259,COLUMN_UNSEEN,0,True,False
28,P01,28,ENSG00000087074,PPP1R15A,2,PPP1R15A-1+PPP1R15A-2,True,PPP1R15A,True,True,PPP1R15A,True,True,38e8310d86be2e2dda6c4b153829e22ab96b9b1ebeee1d089b3b4577bfe161c9,222cc49119f622d1a592688d8beda48a3af92d9d731fce1f5a4b7fcea473d5dc,0160b23196e795f2a647a0e27481f9ce07528f6a285cfbbb66a8c32cb52d174c,78bbfbfef3f11b39bab0770f6eefec4384f4f1a683e0acf9f616005a84ee7617,DONOR_UNSEEN_ONLY,6,True,False
29,P01,29,ENSG00000164091,WDR82,2,WDR82-1+WDR82-2,True,WDR82,True,True,WDR82,True,True,6d080eb7cfd109c241177745a0866af05b2f6f43d045e80b42fb61eb5235939e,8c4322db05e32c52ece035d6b32abbbcbaa7ec50ad29cbda1fb094760678b732,01700fc42241aaf467267ad6624a477ef6df14dcb39d210af3f4b845688bf456,247e3c099dcf29d3c8d3b4b43d62717f77de5d9483916ec2ad087b0080e216b8,COLUMN_UNSEEN,0,True,False
30,P01,30,ENSG00000215251,FASTKD5,2,FASTKD5-1+FASTKD5-2,True,FASTKD5,True,True,FASTKD5,True,True,c4eb567873c81044a2d4334a1a97d6c2140c4db7750f32118f6da1fee0b86f26,824212add0b9e9f002e6bec9e6b0aa34dd812306e750380239f87c9c04a1f424,017259a8715b8ab52c097078ea3d030cb4b26022e979070ba8ce36db6d430e37,361ddf013fe5b5d310b6d1af455b4d8d6586f478d356498fe11be8800b89e0da,DONOR_UNSEEN_ONLY,6,True,False
31,P01,31,ENSG00000110721,CHKA,2,CHKA-1+CHKA-2,True,CHKA,True,True,CHKA,True,True,d3023f97a9e690ece83aca3ed865092706aec2aefa0701ecb05831f6e9f828a6,916e6ac7a3184bbc85db889a6342e564b72b61218fee0e3d1141b1f501815eef,01760a4ceeb97f3a96668efe43ae059664a0542016ea89e58f9d08d6f2310ac6,5ca2ba4492db327ad2c7fbfbc4adac38fdb1cdff431dfd18b5f39a41f331f83c,DONOR_UNSEEN_ONLY,6,True,False
32,P01,32,ENSG00000136235,GPNMB,2,GPNMB-1+GPNMB-2,True,GPNMB,True,True,GPNMB,True,True,10c8d1ab1b7522550546c700e1358d24583e018dad10d86ac324bd4b48804aad,8e311928c6350358e86d1a4dc6f8611a2cd002cbad442ee4fe73a8114c97996c,018465522bb7484e82972a1c04e1b3f3a19545cf6f53f7244920a9910392fe97,a818cf88d24ee7f5e1f2e3e1365287dfbbe00ff5ffadc2721c2df33735aa357c,DONOR_UNSEEN_ONLY,6,True,False
33,P01,33,ENSG00000139193,CD27,2,CD27-1+CD27-2,True,CD27,True,True,CD27,True,True,0c3c334f69353ea46b89996462a3c0717dbf7d0b35fd6a1c724570f5f2e8e9f9,9703fa33e77cd3d091e5191147a6dce58ec063624b811b277b5a777564629c53,01854a38db8ca1587e5340af1a010072bf08a75353a696684fe8031e5d1a3337,6ff00f8e658f69f160ca733cc237fb65bfb33ba7dc5886042d36ce56ece89329,DONOR_UNSEEN_ONLY,6,True,False
34,P01,34,ENSG00000159840,ZYX,2,ZYX-2+ZYX-3,True,ZYX,True,True,ZYX,True,True,8443fcb8fa64b9a0d50e0609d8aef6ce8619001b3bc5c6e211714969b3a92c22,6835b808b89a075b9ae4fd1c1874f0cd1bed94c4fba7de96c8257cf835260e66,01859d042d3c0645e1ac77308dbc36416c031f2d6293e00c1239f524a91cd714,f04f1847a82c86028313fc3513054b19a9bd67f324dd149e24cb64acb4f632fd,DONOR_UNSEEN_ONLY,6,True,False
35,P01,35,ENSG00000163481,RNF25,2,RNF25-1+RNF25-2,True,RNF25,True,True,RNF25,True,True,e7eea607d337d1b6a85f2b6f0b44f6eebd76f9ff13d5ff7fbb13f6c0a8792fe7,70939ae147621f90f4ee889d65b774f36accd3766c125c6e5c4657d9254d88f5,01917ccc3ecc31bcdbb94baf05d036c3099ce5e225d4cbac866f2a616b43fd66,f7b8effd398bc647eaf0f2115b38e325070626a3d39f3661743ba08193f7d392,DONOR_UNSEEN_ONLY,6,True,False
36,P01,36,ENSG00000067836,ROGDI,2,ROGDI-1+ROGDI-2,True,ROGDI,True,True,ROGDI,True,True,2e18aee26284b2d818ceffba0b55b2441dabb75c56ef2fa92d3c59e3dc0e0d3e,5e47e78cb7421c2bc4e0cdc1e00675e94bc37868ccd120efb9ae906675e41863,01a7edccd925b228621ff6dad05ccdc01d2060dc49459964fe3704bf297f4871,75a6d44b310494ccf23b0d5189eea869ed4ca6ad5c54da2dfec990d3ace4e722,DONOR_UNSEEN_ONLY,6,True,False
37,P01,37,ENSG00000163132,MSX1,2,MSX1-1+MSX1-2,True,MSX1,True,True,MSX1,True,True,f2182bc8fb63ce88206bb1edf3991a4209867306bd84c7b1a81bae5011a3f69b,83ce50dd8c90515e70d2abcf12484cb9d5eeea567c45c858b8afcb55d704e472,01b148cb98731942ba334f1f024617054530ea44b3103b400d5c663c245398b6,bd5e29ef75aa3771c4ad88254c814f1423a936c5ace01e74a9adf141fe2dbbb3,DONOR_UNSEEN_ONLY,6,True,False
38,P01,38,ENSG00000278535,DHRS11,2,DHRS11-1+DHRS11-2,True,DHRS11,True,True,DHRS11,True,True,2fa215f4d79041450ad2a1a80291ad6b44c7400bdf927a7402b7a9f28ef2640b,50e91b67b3b7cd39dba1f4dd8bcf6fd433da8d65cea0eade1333bb0c015afd7d,01bc140232851faf3fbec2ec71d96ecc30dedf2ed14f125033a9c853fb8b6bd7,40e2523d2124ea11ef6b40277dfb746a8e1f81ea474d5101f93442e48fe963e1,DONOR_UNSEEN_ONLY,6,True,False
39,P01,39,ENSG00000182107,TMEM30B,2,TMEM30B-1+TMEM30B-2,True,TMEM30B,True,True,TMEM30B,True,True,e4341cd3c03327161b6a5ef34e915cd9cbff463875cbbe5ea5cb3142919bb14b,35f5b7c12e8e37ccaa5887cb94aec11c041d66d69c35f15644b243845ef10893,01bd41887b365d15e63609b57ee15b1d5d36f651a5b65796d6f655cec1f102f3,afad110cbc7cebe699908ab06b3c316d678bce648a6496d0fa40fb68701c0563,DONOR_UNSEEN_ONLY,6,True,False
40,P01,40,ENSG00000173230,GOLGB1,2,GOLGB1-1+GOLGB1-2,True,GOLGB1,True,True,GOLGB1,True,True,71f8412cba4fda1789b6589d117a4bec37414ea0e353b258c4224b0415904f88,be50c5603674492436db510d87c340a6c6e9adcbd3c961993b05f5ef2ad76401,01bdf797a83a8108cdb1aa2845d6b24405b72ce35b66420363f6f533ef70d61c,0711b1b60bb490b2324df8e44584fa740584388dfa05e6ecd8bf853130459a2e,COLUMN_UNSEEN,0,True,False
41,P01,41,ENSG00000091317,CMTM6,2,CMTM6-1+CMTM6-2,True,CMTM6,True,True,CMTM6,True,True,f65c23e0b72496c29929b2d217633ed7c53c751695260eb4bb4a7eaf9e020020,fca61a2c025559eb7d120f2c771abc99595ac5df017be38f7af91c00ca7f2abe,01cebdcd57c1f683bf9ceda483ff884f71df723428b1d7e916cffcb180bacdf2,60fddd45026dffcce31ca3edd9792c3d2e8c92e54fedc243f76ca35529449d61,DONOR_UNSEEN_ONLY,6,True,False
42,P01,42,ENSG00000104880,ARHGEF18,2,ARHGEF18-1+ARHGEF18-2,True,ARHGEF18,True,True,ARHGEF18,True,True,5a10dd23ef2db7b74ce9e596c20d8c1387477cabc60765216386d916e4f52d2c,416310ee339e5ae2a4fa0d89c1928a45dd575a7a5e7ff2604adb0682eecf4b03,01d80e38b042309045d9638a38eb6029511f7a1841e40df7cc031717779192a3,6f98a1fcf1fd62e3c257deca4d575496ca6fa5b8b313e4cff3142c58c44e5b49,DONOR_UNSEEN_ONLY,6,True,False
43,P01,43,ENSG00000146858,ZC3HAV1L,2,ZC3HAV1L-1+ZC3HAV1L-2,True,ZC3HAV1L,True,True,ZC3HAV1L,True,True,9859633419c4cc1af504a2dfe3ce7ea181d0a4308309aa645370b149cdbbfcda,c615c75a29c9c05904507b550b047836350b0eae226a425747db85e58202bbb5,01d86d0be8ac199f3b52012d1040fe733b3f57d7c8c0c1b006cfdd73b403c7a3,dcedd4792cf635f9087a6364e95466409a73ba2629adeb87cc8f6d490b367207,DONOR_UNSEEN_ONLY,6,True,False
44,P01,44,ENSG00000178403,NEUROG2,2,NEUROG2-1+NEUROG2-2,True,NEUROG2,True,True,NEUROG2,True,True,97f5b6081929093bc3d220746ec38d0f2ea25ae956a3a60f4a3cfbf307674ddc,577980ef7fdeb15e27054537004a5eca977a4bdc563bbe54ddd39ed910a066f2,01e80de88cdd8ace5b78fecc4e012ef57b0967fcc93144a4d82fc3d978530a2e,2d26890af6767ad92d827dd65ab7fe1aeea23e733a865e9840e74efb0d9e2c06,COLUMN_UNSEEN,0,True,False
45,P01,45,ENSG00000182134,TDRKH,2,TDRKH-1+TDRKH-2,True,TDRKH,True,True,TDRKH,True,True,10eca2c3c9d05aa30bb5b4af6c1cf6bdd8365d8c354d8db15fce49dd410bb725,82d9e4be8bb5f04d68361957ed6a0516388b9833cf69473ac42fc8c8a1a4cd07,0202aae4492a39fbe674541090f7c71a552ca9476b144f326d07a0401d3d88dd,0a63b9de3ad7fac22ce6e054f283418b61436beddcc9b9bbe9317fd7e311ff01,COLUMN_UNSEEN,0,True,False
46,P01,46,ENSG00000147687,TATDN1,2,TATDN1-1+TATDN1-2,True,TATDN1,True,True,TATDN1,True,True,fe4237c0a9765e7a20b9bd4bbae897e2022fc9575f305e3e246d716e2c150352,05f30c883f53aa5e43fcfe4575a1761c10285e782d21f82782d8270da63cb105,020774577a8f546e610a788185f3708514d3a33540053bb872f977009a7038b4,c8770309a0cca2335517625eb4b9d44794d21998efab9325e3b33a75921fd20e,DONOR_UNSEEN_ONLY,6,True,False
47,P01,47,ENSG00000179627,ZBTB42,2,ZBTB42-1+ZBTB42-2,True,ZBTB42,True,True,ZBTB42,True,True,e277499fcec336c5c68d7fa7ee7a7149e8a79869f8c0961da4a4613a4402dbfe,c90bc2445d4662bc3dd2a045cc88d060e1cf28099b244279e3ceaf7fd9b47102,02152048f5009316b57e448dcd87750f61d8fca40e948ef760ddbf07c2c66787,162149a51ad9bad6b3fcc4b19dfdac7c59dff2f725cba5bd08d4a1a6b9a3c37b,COLUMN_UNSEEN,0,True,False
48,P01,48,ENSG00000023734,STRAP,2,STRAP-1+STRAP-2,True,STRAP,True,True,STRAP,True,True,b6f129a736da0328b06672d6cb404d952b09f5352997b4d9aee21802cf735e11,42184e30071572aa58d26c33cb0bb8adf4e0b9b9af502b2d2322072150f3b0e0,0221c85c88e337e5f0d34a0913e0bd07e93cfa92f939271261f9d90c8372573d,aa731e9216785e541d9c44e11782fa02f7a4ae839785c0830aa26e75688ee640,DONOR_UNSEEN_ONLY,6,True,False
49,P01,49,ENSG00000073921,PICALM,2,PICALM-1+PICALM-2,True,PICALM,True,True,PICALM,True,True,cef54fe963de7fca5ad56717eabc78b283164769d400ba67b597e0bbc186fee6,b396e32c1c545df301c1be68c1ae0d44b6b3fa856609f48df176560e520180eb,022cf5648fa82a50ca25adb5accb0521fa44d2d915728d80418da7f0b3619341,67d8ddc8b556e6afe2661926fb20a8cb5b0bab16d35ffe01f253990762e6d06d,DONOR_UNSEEN_ONLY,6,True,False
50,P01,50,ENSG00000126821,SGPP1,2,SGPP1-1+SGPP1-2,True,SGPP1,True,True,SGPP1,True,True,cd8111def1e88474dee42d011447593a4860573252a0de0c06afb42c32583b1f,2d5f23148961d7fff5cc05d2631b8985ac8bc794a568906406b786f64d656013,0231f1a2256ffa97405a08eea0d6a3c9aef41a4457ebcca2cc08632254dffcd7,a2f7c43b4de5e8329f76713bbef0a17da0804113e6db8067b987656b6ead3964,DONOR_UNSEEN_ONLY,6,True,False
51,P01,51,ENSG00000054523,KIF1B,2,KIF1B-1+KIF1B-2,True,KIF1B,True,True,KIF1B,True,True,495496894c1920d8735ccca0494cae3db52095ff8aa982f551f7bb54dceed34b,d5200a3d42cbc62233ac2eefc0f5c7915d12c60419348334598ff98ba08e832f,02322c52b7a2d5c4aa8e965ee18973e83a8502f9ce0bde7787972fa1d2f38e43,a8e10c512d7f92ad4f7ea91815190f5a504afe128b594fd22a3520b866a4f1f2,DONOR_UNSEEN_ONLY,6,True,False
52,P01,52,ENSG00000100099,HPS4,2,HPS4-1+HPS4-2,True,HPS4,True,True,HPS4,True,True,ec73a63897021254b160abd58f967d7b03fa5d6061f20d3f8ae8400f2328eee9,50c68b39d71d31affd41a5d49eeefc95772712db771df490d2242e73783ef287,0233239475143974f191f63377517b9b1c1e576963ee32036555cd4d5fe7914c,487813a33e7671911e7bfa0131e68c8ca5a374196722838ff528ce4e52a7313f,DONOR_UNSEEN_ONLY,6,True,False
53,P01,53,ENSG00000143815,LBR,2,LBR-1+LBR-2,True,LBR,True,True,LBR,True,True,5742f7e280e64b1be8eb316e404ead54d0a11c5e241bcf4ba3f58d23c2f35cfc,f7e5652555918173ffca1f1c2a3264870c6908d3e1ddf232c6093cd07cd2b716,023576b98639d1c6e9425d06bca7219f11d89fdb512644cdf64202026e2f3410,fb574b8a4e6242cc04b47b7da79e491a59db795f03cc5c8bebf43beb1609cf0d,DONOR_UNSEEN_ONLY,6,True,False
