target_dataset,target_error,risk_model,reject_fraction,n_kept,kept_mean_error,kept_vs_all_error_ratio
Adamson,task_mean_rmse,magnitude_only,0.0,24,0.10759366333775251,1.0
Adamson,task_mean_rmse,magnitude_only,0.1,21,0.10290610010010354,0.9564327201785665
Adamson,task_mean_rmse,magnitude_only,0.2,19,0.10307032170840366,0.9579590331899992
Adamson,task_mean_rmse,magnitude_only,0.3,16,0.10622973098626955,0.9873233022357332
Adamson,task_mean_rmse,disagreement_only,0.0,24,0.10759366333775251,1.0
Adamson,task_mean_rmse,disagreement_only,0.1,21,0.10360827900939991,0.9629589308076454
Adamson,task_mean_rmse,disagreement_only,0.2,19,0.09576874600574312,0.8900965264572392
Adamson,task_mean_rmse,disagreement_only,0.3,16,0.09278861094545518,0.8623984728001864
Adamson,task_mean_rmse,fixed_rank_average,0.0,24,0.10759366333775251,1.0
Adamson,task_mean_rmse,fixed_rank_average,0.1,21,0.10167485689654233,0.9449892655608336
Adamson,task_mean_rmse,fixed_rank_average,0.2,19,0.10400304546241332,0.9666279800877519
Adamson,task_mean_rmse,fixed_rank_average,0.3,16,0.0912801245255774,0.8483782566175437
Adamson,task_mean_rmse,predictor_aware_residual,0.0,24,0.10759366333775251,1.0
Adamson,task_mean_rmse,predictor_aware_residual,0.1,21,0.10360827900939991,0.9629589308076454
Adamson,task_mean_rmse,predictor_aware_residual,0.2,19,0.09576874600574312,0.8900965264572392
Adamson,task_mean_rmse,predictor_aware_residual,0.3,16,0.0912801245255774,0.8483782566175437
Adamson,task_max_rmse,magnitude_only,0.0,24,0.11877780342168921,1.0000000000000002
Adamson,task_max_rmse,magnitude_only,0.1,21,0.11454227441853515,0.964340736390646
Adamson,task_max_rmse,magnitude_only,0.2,19,0.11499016970944559,0.9681116033203896
Adamson,task_max_rmse,magnitude_only,0.3,16,0.1178224210731092,0.9919565582031504
Adamson,task_max_rmse,disagreement_only,0.0,24,0.1187778034216892,1.0
Adamson,task_max_rmse,disagreement_only,0.1,21,0.11283371608966654,0.9499562446788163
Adamson,task_max_rmse,disagreement_only,0.2,19,0.10375142455146141,0.8734916925776056
Adamson,task_max_rmse,disagreement_only,0.3,16,0.10116939423488983,0.8517533690677427
Adamson,task_max_rmse,fixed_rank_average,0.0,24,0.1187778034216892,1.0
Adamson,task_max_rmse,fixed_rank_average,0.1,21,0.11214016303890395,0.9441171650630711
Adamson,task_max_rmse,fixed_rank_average,0.2,19,0.11371771742261787,0.9573987238919814
Adamson,task_max_rmse,fixed_rank_average,0.3,16,0.09998522891845851,0.8417837848329909
Adamson,task_max_rmse,predictor_aware_residual,0.0,24,0.1187778034216892,1.0
Adamson,task_max_rmse,predictor_aware_residual,0.1,21,0.11283371608966654,0.9499562446788163
Adamson,task_max_rmse,predictor_aware_residual,0.2,19,0.10375142455146141,0.8734916925776056
Adamson,task_max_rmse,predictor_aware_residual,0.3,16,0.09998522891845851,0.8417837848329909
Norman,gears_ensemble_rmse,magnitude_only,0.0,24,0.11199510557036962,1.0
Norman,gears_ensemble_rmse,magnitude_only,0.1,21,0.10712793961291313,0.9565412619357877
Norman,gears_ensemble_rmse,magnitude_only,0.2,19,0.10492117909632111,0.936837181964137
Norman,gears_ensemble_rmse,magnitude_only,0.3,16,0.1019257981114745,0.910091540093524
Norman,gears_ensemble_rmse,disagreement_only,0.0,24,0.11199510557036962,1.0
Norman,gears_ensemble_rmse,disagreement_only,0.1,21,0.10721445944849593,0.9573137942276426
Norman,gears_ensemble_rmse,disagreement_only,0.2,19,0.10362858975004394,0.9252957012923322
Norman,gears_ensemble_rmse,disagreement_only,0.3,16,0.09447357300176024,0.8435509080564229
Norman,gears_ensemble_rmse,fixed_rank_average,0.0,24,0.11199510557036962,1.0
Norman,gears_ensemble_rmse,fixed_rank_average,0.1,21,0.10712793961291313,0.9565412619357877
Norman,gears_ensemble_rmse,fixed_rank_average,0.2,19,0.10353296256334717,0.9244418498118612
Norman,gears_ensemble_rmse,fixed_rank_average,0.3,16,0.10131672955241812,0.9046531903017674
Norman,gears_ensemble_rmse,predictor_aware_residual,0.0,24,0.11199510557036962,1.0
Norman,gears_ensemble_rmse,predictor_aware_residual,0.1,21,0.11001905994604311,0.9823559644480632
Norman,gears_ensemble_rmse,predictor_aware_residual,0.2,19,0.10496910709009306,0.9372651291813647
Norman,gears_ensemble_rmse,predictor_aware_residual,0.3,16,0.10131672955241812,0.9046531903017674
Norman,scgpt_finetuned_rmse,magnitude_only,0.0,24,0.10391293285944447,0.9999999999999999
Norman,scgpt_finetuned_rmse,magnitude_only,0.1,21,0.0988434820975558,0.9512144386421488
Norman,scgpt_finetuned_rmse,magnitude_only,0.2,19,0.10009936736292768,0.9633003766559535
Norman,scgpt_finetuned_rmse,magnitude_only,0.3,16,0.0958321194323126,0.9222347670808
Norman,scgpt_finetuned_rmse,disagreement_only,0.0,24,0.10391293285944447,0.9999999999999999
Norman,scgpt_finetuned_rmse,disagreement_only,0.1,21,0.10078219399302495,0.9698715185851383
Norman,scgpt_finetuned_rmse,disagreement_only,0.2,19,0.09938109751720164,0.9563881490249849
Norman,scgpt_finetuned_rmse,disagreement_only,0.3,16,0.09236076464595039,0.8888283883862668
Norman,scgpt_finetuned_rmse,fixed_rank_average,0.0,24,0.10391293285944449,1.0
Norman,scgpt_finetuned_rmse,fixed_rank_average,0.1,21,0.10031300785079128,0.9653563333303029
Norman,scgpt_finetuned_rmse,fixed_rank_average,0.2,19,0.09886252335999601,0.9513976811117457
Norman,scgpt_finetuned_rmse,fixed_rank_average,0.3,16,0.09648417115955076,0.928509748541675
Norman,scgpt_finetuned_rmse,predictor_aware_residual,0.0,24,0.10391293285944449,1.0
Norman,scgpt_finetuned_rmse,predictor_aware_residual,0.1,21,0.09931266823978946,0.9557296238969842
Norman,scgpt_finetuned_rmse,predictor_aware_residual,0.2,19,0.09653307171910487,0.9289803402015241
Norman,scgpt_finetuned_rmse,predictor_aware_residual,0.3,16,0.09348799387189177,0.899676212568711
Norman,task_mean_rmse,magnitude_only,0.0,24,0.10795401921490706,1.0
Norman,task_mean_rmse,magnitude_only,0.1,21,0.10372047373185221,0.9607838085710638
Norman,task_mean_rmse,magnitude_only,0.2,19,0.10163419349726625,0.9414581711398836
Norman,task_mean_rmse,magnitude_only,0.3,16,0.09814458264515287,0.9091331972529316
Norman,task_mean_rmse,disagreement_only,0.0,24,0.10795401921490705,0.9999999999999999
Norman,task_mean_rmse,disagreement_only,0.1,21,0.10399832672076044,0.9633576172252382
Norman,task_mean_rmse,disagreement_only,0.2,19,0.10150484363362279,0.9402599770885258
Norman,task_mean_rmse,disagreement_only,0.3,16,0.09341716882385531,0.8653422031271217
Norman,task_mean_rmse,fixed_rank_average,0.0,24,0.10795401921490706,1.0
Norman,task_mean_rmse,fixed_rank_average,0.1,21,0.10372047373185221,0.9607838085710638
Norman,task_mean_rmse,fixed_rank_average,0.2,19,0.1011977429616716,0.9374152412075963
Norman,task_mean_rmse,fixed_rank_average,0.3,16,0.09890045035598444,0.916134953336944
Norman,task_mean_rmse,predictor_aware_residual,0.0,24,0.10795401921490705,0.9999999999999999
Norman,task_mean_rmse,predictor_aware_residual,0.1,21,0.10470912401070771,0.9699418768490717
Norman,task_mean_rmse,predictor_aware_residual,0.2,19,0.10253423722651038,0.9497954589573235
Norman,task_mean_rmse,predictor_aware_residual,0.3,16,0.09341716882385531,0.8653422031271217
Norman,task_max_rmse,magnitude_only,0.0,24,0.12157108505410609,1.0
Norman,task_max_rmse,magnitude_only,0.1,21,0.11410679666552728,0.9386014496353572
Norman,task_max_rmse,magnitude_only,0.2,19,0.11263465268078938,0.9264921229473317
Norman,task_max_rmse,magnitude_only,0.3,16,0.10875591093150372,0.8945869890286915
Norman,task_max_rmse,disagreement_only,0.0,24,0.12157108505410609,1.0
Norman,task_max_rmse,disagreement_only,0.1,21,0.11419331650111009,0.9393131306699083
Norman,task_max_rmse,disagreement_only,0.2,19,0.11134206333451221,0.9158597481050582
Norman,task_max_rmse,disagreement_only,0.3,16,0.1016964308069559,0.836518245779374
Norman,task_max_rmse,fixed_rank_average,0.0,24,0.12157108505410608,0.9999999999999999
Norman,task_max_rmse,fixed_rank_average,0.1,21,0.11410679666552728,0.9386014496353572
Norman,task_max_rmse,fixed_rank_average,0.2,19,0.11124643614781543,0.9150731532773965
Norman,task_max_rmse,fixed_rank_average,0.3,16,0.10853958735761379,0.8928075891508862
Norman,task_max_rmse,predictor_aware_residual,0.0,24,0.12157108505410609,1.0
Norman,task_max_rmse,predictor_aware_residual,0.1,21,0.11708443683424005,0.9630944462010089
Norman,task_max_rmse,predictor_aware_residual,0.2,19,0.11268258067456134,0.9268863613778815
Norman,task_max_rmse,predictor_aware_residual,0.3,16,0.1016964308069559,0.836518245779374
Frangieh,gears_ensemble_rmse,magnitude_only,0.0,24,0.048085478523916064,1.0
Frangieh,gears_ensemble_rmse,magnitude_only,0.1,21,0.048016550556699546,0.9985665533684512
Frangieh,gears_ensemble_rmse,magnitude_only,0.2,19,0.04850327424437767,1.0086886048197234
Frangieh,gears_ensemble_rmse,magnitude_only,0.3,16,0.04896015660460954,1.0181900670960036
Frangieh,gears_ensemble_rmse,disagreement_only,0.0,24,0.048085478523916064,1.0
Frangieh,gears_ensemble_rmse,disagreement_only,0.1,21,0.047552380268024275,0.9889135291514954
Frangieh,gears_ensemble_rmse,disagreement_only,0.2,19,0.04773877112962741,0.9927897692831276
Frangieh,gears_ensemble_rmse,disagreement_only,0.3,16,0.04803949994765047,0.9990438157698124
Frangieh,gears_ensemble_rmse,fixed_rank_average,0.0,24,0.04808547852391607,1.0000000000000002
Frangieh,gears_ensemble_rmse,fixed_rank_average,0.1,21,0.047881869708190715,0.9957656901423143
Frangieh,gears_ensemble_rmse,fixed_rank_average,0.2,19,0.047489939424073625,0.9876149906765254
Frangieh,gears_ensemble_rmse,fixed_rank_average,0.3,16,0.047748106191441556,0.9929839040219448
Frangieh,gears_ensemble_rmse,predictor_aware_residual,0.0,24,0.04808547852391607,1.0000000000000002
Frangieh,gears_ensemble_rmse,predictor_aware_residual,0.1,21,0.048258015443404606,1.0035881294059021
Frangieh,gears_ensemble_rmse,predictor_aware_residual,0.2,19,0.04828643033420056,1.004179053977482
Frangieh,gears_ensemble_rmse,predictor_aware_residual,0.3,16,0.04865688007878934,1.011883037715619
Frangieh,scgpt_finetuned_rmse,magnitude_only,0.0,24,0.04698938971535138,1.0
Frangieh,scgpt_finetuned_rmse,magnitude_only,0.1,21,0.047330517337113104,1.0072596733821864
Frangieh,scgpt_finetuned_rmse,magnitude_only,0.2,19,0.048115886554071875,1.0239734298645822
Frangieh,scgpt_finetuned_rmse,magnitude_only,0.3,16,0.04977717337476037,1.0593279392708994
Frangieh,scgpt_finetuned_rmse,disagreement_only,0.0,24,0.04698938971535138,1.0
Frangieh,scgpt_finetuned_rmse,disagreement_only,0.1,21,0.04695066370052565,0.9991758561866769
Frangieh,scgpt_finetuned_rmse,disagreement_only,0.2,19,0.047496371359760516,1.0107892791857969
Frangieh,scgpt_finetuned_rmse,disagreement_only,0.3,16,0.04767392628288633,1.0145678965332745
Frangieh,scgpt_finetuned_rmse,fixed_rank_average,0.0,24,0.04698938971535138,1.0
Frangieh,scgpt_finetuned_rmse,fixed_rank_average,0.1,21,0.04733104075517006,1.0072708124512428
Frangieh,scgpt_finetuned_rmse,fixed_rank_average,0.2,19,0.04723928710465408,1.0053181663098096
Frangieh,scgpt_finetuned_rmse,fixed_rank_average,0.3,16,0.04785174578200405,1.018352144428276
Frangieh,scgpt_finetuned_rmse,predictor_aware_residual,0.0,24,0.04698938971535138,1.0
Frangieh,scgpt_finetuned_rmse,predictor_aware_residual,0.1,21,0.04733051733711311,1.0072596733821866
Frangieh,scgpt_finetuned_rmse,predictor_aware_residual,0.2,19,0.04798154494455198,1.0211144523308517
Frangieh,scgpt_finetuned_rmse,predictor_aware_residual,0.3,16,0.04916980580793702,1.0464023071121797
Frangieh,task_mean_rmse,magnitude_only,0.0,24,0.047537434119633716,0.9999999999999997
Frangieh,task_mean_rmse,magnitude_only,0.1,21,0.04779231308892316,1.005361647594357
Frangieh,task_mean_rmse,magnitude_only,0.2,19,0.04859244668382472,1.022193300579411
Frangieh,task_mean_rmse,magnitude_only,0.3,16,0.050007302406228735,1.0519562810306353
Frangieh,task_mean_rmse,disagreement_only,0.0,24,0.047537434119633716,0.9999999999999997
Frangieh,task_mean_rmse,disagreement_only,0.1,21,0.04725152198427496,0.9939855370687606
Frangieh,task_mean_rmse,disagreement_only,0.2,19,0.04761757124469396,1.0016857688376397
Frangieh,task_mean_rmse,disagreement_only,0.3,16,0.0478567131152684,1.0067163699839408
Frangieh,task_mean_rmse,fixed_rank_average,0.0,24,0.04753743411963373,1.0
Frangieh,task_mean_rmse,fixed_rank_average,0.1,21,0.047606455231680375,1.001451931794908
Frangieh,task_mean_rmse,fixed_rank_average,0.2,19,0.04736461326436385,0.9963645312695053
Frangieh,task_mean_rmse,fixed_rank_average,0.3,16,0.0477999259867228,1.005521792918576
Frangieh,task_mean_rmse,predictor_aware_residual,0.0,24,0.047537434119633716,0.9999999999999997
Frangieh,task_mean_rmse,predictor_aware_residual,0.1,21,0.047663483842789366,1.002651588700358
Frangieh,task_mean_rmse,predictor_aware_residual,0.2,19,0.047937018393699016,1.0084056761048499
Frangieh,task_mean_rmse,predictor_aware_residual,0.3,16,0.04892591511772042,1.029208160343539
Frangieh,task_max_rmse,magnitude_only,0.0,24,0.04896397265792545,0.9999999999999999
Frangieh,task_max_rmse,magnitude_only,0.1,21,0.04925810213674392,1.006007059126377
Frangieh,task_max_rmse,magnitude_only,0.2,19,0.050017979742553675,1.0215261758271081
Frangieh,task_max_rmse,magnitude_only,0.3,16,0.05136636582985049,1.0490645068509605
Frangieh,task_max_rmse,disagreement_only,0.0,24,0.04896397265792546,1.0
Frangieh,task_max_rmse,disagreement_only,0.1,21,0.048556373564035,0.991675530563297
Frangieh,task_max_rmse,disagreement_only,0.2,19,0.048848447930481376,0.9976406177609164
Frangieh,task_max_rmse,disagreement_only,0.3,16,0.049064087389909576,1.002044661136537
Frangieh,task_max_rmse,fixed_rank_average,0.0,24,0.04896397265792545,0.9999999999999999
Frangieh,task_max_rmse,fixed_rank_average,0.1,21,0.04888586300420144,0.9984047525255004
Frangieh,task_max_rmse,fixed_rank_average,0.2,19,0.04859961622492758,0.9925586831864448
Frangieh,task_max_rmse,fixed_rank_average,0.3,16,0.048952910606957584,0.9997740777480382
Frangieh,task_max_rmse,predictor_aware_residual,0.0,24,0.04896397265792546,1.0
Frangieh,task_max_rmse,predictor_aware_residual,0.1,21,0.04925810213674392,1.006007059126377
Frangieh,task_max_rmse,predictor_aware_residual,0.2,19,0.050017979742553675,1.0215261758271081
Frangieh,task_max_rmse,predictor_aware_residual,0.3,16,0.050948709339334486,1.0405346333982108
