target_dataset,target_error,stage,alpha,grouped_source_cv_mae
Frangieh,scgpt_finetuned_rmse,disagreement_residual,0.0,0.24920373671070162
Frangieh,scgpt_finetuned_rmse,disagreement_residual,0.1,0.23941892661626396
Frangieh,scgpt_finetuned_rmse,disagreement_residual,1.0,0.22916524975541586
Frangieh,scgpt_finetuned_rmse,disagreement_residual,10.0,0.23437355299751786
Frangieh,scgpt_finetuned_rmse,disagreement_residual,100.0,0.2371368620024128
Frangieh,task_mean_rmse,magnitude_base,0.0,0.2413962795020085
Frangieh,task_mean_rmse,magnitude_base,0.1,0.24091740231715375
Frangieh,task_mean_rmse,magnitude_base,1.0,0.2415426954389052
Frangieh,task_mean_rmse,magnitude_base,10.0,0.24680764416021297
Frangieh,task_mean_rmse,magnitude_base,100.0,0.2496055004781805
Frangieh,task_mean_rmse,disagreement_residual,0.0,0.26645307297781007
Frangieh,task_mean_rmse,disagreement_residual,0.1,0.2489988633508172
Frangieh,task_mean_rmse,disagreement_residual,1.0,0.23373097155555755
Frangieh,task_mean_rmse,disagreement_residual,10.0,0.23862194942314474
Frangieh,task_mean_rmse,disagreement_residual,100.0,0.24065230828810988
Frangieh,task_max_rmse,magnitude_base,0.0,0.22934485865907472
Frangieh,task_max_rmse,magnitude_base,0.1,0.2276482982453173
Frangieh,task_max_rmse,magnitude_base,1.0,0.23330216417418517
Frangieh,task_max_rmse,magnitude_base,10.0,0.24558056594763633
Frangieh,task_max_rmse,magnitude_base,100.0,0.2494732269787834
Frangieh,task_max_rmse,disagreement_residual,0.0,0.24974689130477193
Frangieh,task_max_rmse,disagreement_residual,0.1,0.23626772861962012
Frangieh,task_max_rmse,disagreement_residual,1.0,0.2281471230269625
Frangieh,task_max_rmse,disagreement_residual,10.0,0.22654257942111222
Frangieh,task_max_rmse,disagreement_residual,100.0,0.22731429631889336
