run_id,seed,train_fraction,reused_e151,metric_group,metric,value,fold_min,fold_max
seed2_frac100,2026071542,100,False,two_fold_macro_spearman,magnitude_cosine_spearman,0.3511233061710309,0.1516263047060977,0.550620307635964
seed2_frac100,2026071542,100,False,two_fold_macro_spearman,magnitude_pearson_spearman,0.3462792986632484,0.1543959439663065,0.5381626533601904
seed2_frac100,2026071542,100,False,model_and_simple_baseline,rmse_scgpt_mean,0.1037646530972416,,
seed2_frac100,2026071542,100,False,model_and_simple_baseline,rmse_gears_mean,0.1131432115777687,,
seed2_frac100,2026071542,100,False,model_and_simple_baseline,rmse_individual_mean,0.1084539323375051,,
seed2_frac100,2026071542,100,False,model_and_simple_baseline,rmse_ensemble_mean,0.1002784901538415,,
seed2_frac100,2026071542,100,False,model_and_simple_baseline,rmse_training_perturbed_mean,0.5807667731166616,,
seed2_frac100,2026071542,100,False,model_and_simple_baseline,ensemble_minus_simple_baseline,-0.4804882829628201,,
seed2_frac100,2026071542,100,False,model_and_simple_baseline,fraction_tasks_ensemble_beats_simple_baseline,1.0,,
seed3_frac100,2026071543,100,False,two_fold_macro_spearman,absolute_disagreement_spearman,0.3301678950741622,0.2267384636513459,0.4335973264969785
seed3_frac100,2026071543,100,False,two_fold_macro_spearman,absolute_magnitude_spearman,0.3207803058047976,0.2191391228712689,0.4224214887383262
seed3_frac100,2026071543,100,False,two_fold_macro_spearman,absolute_safeconf_spearman,0.3296402598348853,0.2264121792950539,0.4328683403747166
seed3_frac100,2026071543,100,False,two_fold_macro_spearman,directional_composite_spearman,0.3734196603226259,0.2508694900094532,0.4959698306357986
seed3_frac100,2026071543,100,False,two_fold_macro_spearman,directional_cosine_spearman,0.3735171858224868,0.2505557956073157,0.4964785760376578
seed3_frac100,2026071543,100,False,two_fold_macro_spearman,directional_pearson_spearman,0.3729578226447055,0.2508276132663354,0.4950880320230757
seed3_frac100,2026071543,100,False,two_fold_macro_spearman,magnitude_composite_spearman,0.3459868440016456,0.2309784359609109,0.4609952520423803
seed3_frac100,2026071543,100,False,two_fold_macro_spearman,magnitude_cosine_spearman,0.3448658670573155,0.2301833455411097,0.4595483885735213
seed3_frac100,2026071543,100,False,two_fold_macro_spearman,magnitude_pearson_spearman,0.3470689891961179,0.2306983611060245,0.4634396172862113
seed3_frac100,2026071543,100,False,model_and_simple_baseline,rmse_scgpt_mean,0.0999536793855243,,
seed3_frac100,2026071543,100,False,model_and_simple_baseline,rmse_gears_mean,0.1065247796236046,,
seed3_frac100,2026071543,100,False,model_and_simple_baseline,rmse_individual_mean,0.1032392295045644,,
seed3_frac100,2026071543,100,False,model_and_simple_baseline,rmse_ensemble_mean,0.0982534156523004,,
seed3_frac100,2026071543,100,False,model_and_simple_baseline,rmse_training_perturbed_mean,0.5807667731166616,,
seed3_frac100,2026071543,100,False,model_and_simple_baseline,ensemble_minus_simple_baseline,-0.4825133574643612,,
seed3_frac100,2026071543,100,False,model_and_simple_baseline,fraction_tasks_ensemble_beats_simple_baseline,1.0,,
