level,group_id,score_name,top_fraction,n_records,aligned_rho,precision,random_expected_precision,enrichment
predictor,V0ExactDoseMean,predicted_magnitude,0.1,8057,0.6098262179696882,0.7109181141439206,0.10003723470274295,7.106535044240159
predictor,V0ExactDoseMean,predicted_magnitude,0.2,8057,0.6098262179696882,0.6606699751861043,0.2000744694054859,3.3021203412372473
predictor,V0ExactDoseMean,support_only,0.05,8057,0.4133334669515853,0.12655086848635236,0.050018617351371475,2.5300753037085384
predictor,V0ExactDoseMean,support_only,0.1,8057,0.4133334669515853,0.2977667493796526,0.10003723470274295,2.9765591808335743
predictor,V0ExactDoseMean,support_only,0.2,8057,0.4133334669515853,0.4609181141439206,0.2000744694054859,2.3037327826659855
predictor,V0ExactDoseMean,disagreement_only,0.05,8057,0.45228533991854836,0.5409429280397022,0.050018617351371475,10.814831690361988
predictor,V0ExactDoseMean,disagreement_only,0.1,8057,0.45228533991854836,0.5483870967741935,0.10003723470274295,5.481829824701833
predictor,V0ExactDoseMean,disagreement_only,0.2,8057,0.45228533991854836,0.5607940446650124,0.2000744694054859,2.802926561951616
predictor,V0ExactDoseMean,random,0.05,8057,-0.00821936168902996,0.04218362282878412,0.050018617351371475,0.8433584345695129
predictor,V0ExactDoseMean,random,0.1,8057,-0.00821936168902996,0.09181141439205956,0.10003723470274295,0.9177724140903523
predictor,V0ExactDoseMean,random,0.2,8057,-0.00821936168902996,0.19851116625310175,0.2000744694054859,0.9921863936111917
predictor,V0ExactDoseMean,oracle_error,0.05,8057,1.0,1.0,0.050018617351371475,19.99255583126551
predictor,V0ExactDoseMean,oracle_error,0.1,8057,1.0,1.0,0.10003723470274295,9.996277915632755
predictor,V0ExactDoseMean,oracle_error,0.2,8057,1.0,1.0,0.2000744694054859,4.998138957816377
