perturbation,combo_size,genes,available_single_count,missing_single_count,n_cells,mean_single_pred_l2,sum_single_pred_l2,true_l2_diagnostic,error_mean_single_rmse,error_sum_single_rmse,mean_vs_sum_disagreement_rmse,risk_mean_single_magnitude,risk_sum_single_magnitude,risk_additive_disagreement,risk_missing_single,risk_norman_formal
CBFA2T3+PRDM1,2,CBFA2T3+PRDM1,2,0,106,1.6226860846702678,3.2453721693405355,3.5971597867229104,0.07341095540055617,0.0557225131629356,0.05131383955018883,0.2979146627343995,0.2979146627343995,0.2979146627343993,0.0,0.5958293254687987
CBL+CNN1,2,CBL+CNN1,2,0,300,1.329430284119836,2.658860568239672,3.2847315115581357,0.06949127666995827,0.049024317681006804,0.04204027688223459,-0.2801504002198047,-0.2801504002198047,-0.28015040021980464,0.0,-0.5603008004396093
CBL+PTPN12,2,CBL+PTPN12,2,0,300,1.2005449987606571,2.4010899975213142,2.4103835232830004,0.04584639858789808,0.03572747382260785,0.037964566296077,-0.5342087358270886,-0.5342087358270886,-0.5342087358270892,0.0,-1.0684174716541777
CBL+PTPN9,2,CBL+PTPN9,2,0,300,1.1520987074484323,2.3041974148968647,2.293998557033701,0.043366538309566875,0.033963903981230684,0.036432560048730425,-0.629705937876406,-0.629705937876406,-0.6297059378764065,0.0,-1.2594118757528125
CBL+TGFBR2,2,CBL+TGFBR2,2,0,188,0.8255255798351351,1.6510511596702702,1.8025118236046318,0.039065357166122396,0.034148797236845656,0.02610541099010195,-1.273446028331896,-1.273446028331896,-1.2734460283318965,0.0,-2.5468920566637925
CBL+UBASH3A,2,CBL+UBASH3A,2,0,64,0.9568978795192065,1.913795759038413,2.188908590762567,0.05345110273404971,0.05247882479547741,0.030259767874660802,-1.0144852966267734,-1.0144852966267734,-1.0144852966267734,0.0,-2.028970593253547
CBL+UBASH3B,2,CBL+UBASH3B,2,0,300,1.122661881852665,2.24532376370533,2.955373918006373,0.06575404970131749,0.049332489405504894,0.03550168588905275,-0.6877317310891914,-0.6877317310891914,-0.6877317310891915,0.0,-1.375463462178383
CDKN1A+CDKN1B,2,CDKN1A+CDKN1B,2,0,134,1.762259030807616,3.524518061615232,2.357206626423351,0.02908789662888281,0.048444836301271436,0.05572752364552904,0.5730404871653297,0.5730404871653297,0.5730404871653295,0.0,1.1460809743306593
CDKN1A+CDKN1C,2,CDKN1A+CDKN1C,2,0,126,1.8439553697310325,3.687910739462065,2.4922671752765178,0.03200241100012731,0.051354218500539596,0.058310988720479684,0.7340800956376989,0.7340800956376989,0.7340800956376987,0.0,1.4681601912753977
CDKN1B+CDKN1C,2,CDKN1B+CDKN1C,2,0,107,1.7885833828337883,3.5771667656675765,2.436014954197671,0.03334503292359715,0.05184278753091111,0.05655997274883677,0.6249309806617097,0.6249309806617097,0.6249309806617096,0.0,1.2498619613234192
CEBPA+CEBPB,2,CEBPA+CEBPB,2,0,64,3.6102264582617947,7.220452916523589,4.554650090554358,0.056713291501200865,0.10842244960468539,0.11416538477110084,4.215749021092216,4.215749021092216,4.215749021092216,0.0,8.431498042184431
CEBPA+CEBPE,2,CEBPA+CEBPE,2,0,180,3.707467934102352,7.414935868204704,4.17872515596377,0.03747597900823668,0.11330397628045315,0.11724043023802481,4.407431162581058,4.407431162581058,4.407431162581058,0.0,8.814862325162116
CEBPA+JUN,2,CEBPA+JUN,2,0,54,2.9927687819452053,5.985537563890411,5.465421138865832,0.09425326806295979,0.07622242990292556,0.09463965861194655,2.9986180730886014,2.9986180730886014,2.998618073088601,0.0,5.997236146177203
CEBPA+KLF1,2,CEBPA+KLF1,2,0,300,2.432078973167434,4.864157946334868,3.7077167957436004,0.05318383823923989,0.06115467051438014,0.07690909004612627,1.8933877963112988,1.8933877963112988,1.893387796311298,0.0,3.7867755926225968
CEBPA+ZC3HAV1,2,CEBPA+ZC3HAV1,2,0,86,2.4424178816412327,4.8848357632824655,4.234677741466533,0.06577819662240195,0.05149618378909584,0.07723603503909847,1.9137678255095838,1.9137678255095838,1.9137678255095834,0.0,3.827535651019167
CEBPB+CEBPE,2,CEBPB+CEBPE,2,0,114,2.636382707867842,5.272765415735684,3.6691327420331326,0.04980414479331689,0.07348059718876081,0.08336974140744695,2.296110780953713,2.296110780953713,2.296110780953712,0.0,4.592221561907425
CEBPB+FOSB,2,CEBPB+FOSB,2,0,71,1.9164186497184408,3.8328372994368816,3.966751084494928,0.07736684198105225,0.05984532723511363,0.06060247883534675,0.8769195226129401,0.8769195226129401,0.8769195226129394,0.0,1.7538390452258796
CEBPB+JUN,2,CEBPB+JUN,2,0,59,2.044600433434183,4.089200866868366,4.002207795886694,0.07458096459940501,0.058887648828066415,0.06465594274619504,1.129591117630479,1.129591117630479,1.1295911176304794,0.0,2.2591822352609583
CEBPB+LYL1,2,CEBPB+LYL1,2,0,192,1.5666363582262777,3.1332727164525553,1.9984158533467349,0.030434051438863026,0.0526069958170218,0.049541391572265045,0.1874295893459224,0.1874295893459224,0.18742958934592222,0.0,0.3748591786918446
CEBPB+MAPK1,2,CEBPB+MAPK1,2,0,300,2.0568958696602384,4.113791739320477,2.6185071258698103,0.030091963763075547,0.05844753403913827,0.06504475857919181,1.153827849189491,1.153827849189491,1.15382784918949,0.0,2.307655698378981
CEBPB+OSR2,2,CEBPB+OSR2,2,0,211,1.988765711213728,3.977531422427456,3.174574263158661,0.045996936150994566,0.04543008503675601,0.06289029379880051,1.0195298600020988,1.0195298600020988,1.0195298600020988,0.0,2.0390597200041976
CEBPB+PTPN12,2,CEBPB+PTPN12,2,0,300,1.572158003305261,3.144316006610522,1.8085626864199063,0.027260089677712276,0.056202202469983455,0.04971600132107152,0.19831384160692517,0.19831384160692517,0.19831384160692506,0.0,0.3966276832138502
CEBPE+CNN1,2,CEBPE+CNN1,2,0,237,1.6603437926375144,3.320687585275029,1.8866573390541392,0.02904686240404113,0.06034440765747562,0.05250468083656852,0.3721454376617445,0.3721454376617445,0.3721454376617443,0.0,0.7442908753234888
CEBPE+ETS2,2,CEBPE+ETS2,2,0,300,1.9135783565764346,3.827156713152869,2.5321194737249284,0.032443899264134005,0.054928575652578845,0.060512660879833806,0.8713207442397232,0.8713207442397232,0.871320744239723,0.0,1.742641488479446
CEBPE+FOSB,2,CEBPE+FOSB,2,0,151,1.9717338607920052,3.9434677215840104,3.702174923522132,0.06438426541142826,0.048580211366047656,0.06235169939780107,0.9859567212345789,0.9859567212345789,0.9859567212345787,0.0,1.9719134424691576
CEBPE+KLF1,2,CEBPE+KLF1,2,0,300,1.4611728073535855,2.922345614707171,1.5402948472392246,0.036987261322989885,0.06807098302373557,0.046206341263397586,-0.020459884827027517,-0.020459884827027517,-0.02045988482702762,0.0,-0.04091976965405514
CEBPE+PTPN12,2,CEBPE+PTPN12,2,0,300,1.6278382436631245,3.255676487326249,1.6402660335177168,0.02680820741177241,0.06361290752369181,0.05147676512303629,0.30807058499396145,0.30807058499396145,0.3080705849939609,0.0,0.6161411699879223
CEBPE+RUNX1T1,2,CEBPE+RUNX1T1,2,0,300,1.6020067715372972,3.2040135430745944,1.6208504107610746,0.021375073192809495,0.05847634432857692,0.050659902250708634,0.25715165506115634,0.25715165506115634,0.25715165506115584,0.0,0.5143033101223122
CEBPE+SET,2,CEBPE+SET,2,0,300,2.027510482074792,4.055020964149584,2.021687612350814,0.03243542911262703,0.0789841175892602,0.06411551103222336,1.0959034504473986,1.0959034504473986,1.0959034504473983,0.0,2.1918069008947967
CEBPE+SPI1,2,CEBPE+SPI1,2,0,179,2.6891626751402233,5.378325350280447,4.751411308155556,0.0788621097731311,0.06577041191299404,0.08503879052154566,2.4001505136606642,2.4001505136606642,2.4001505136606642,0.0,4.8003010273213285
CEBPE+ZC3HAV1,2,CEBPE+ZC3HAV1,2,0,300,1.4479732406481136,2.8959464812962272,1.225764967338445,0.028665536176993855,0.06583448324959244,0.04578893431423143,-0.046478836009732655,-0.046478836009732655,-0.04647883600973264,0.0,-0.0929576720194653
CLDN6+KLF1,2,CLDN6+KLF1,2,0,237,1.6222920621044892,3.2445841242089783,3.1869919288496704,0.06035034742188594,0.0488986133020784,0.05130137946261519,0.2971379664887851,0.2971379664887851,0.29713796648878466,0.0,0.5942759329775698
CNN1+ETS2,2,CNN1+ETS2,2,0,300,1.0049227969358174,2.009845593871635,1.4460440451608891,0.024399731631451826,0.033457287433847446,0.031778449109440596,-0.9198187056925236,-0.9198187056925236,-0.9198187056925241,0.0,-1.8396374113850475
CNN1+MAPK1,2,CNN1+MAPK1,2,0,300,1.1641113021812357,2.3282226043624714,1.7642289075496382,0.030788790220376186,0.03864849047462343,0.03681243164837243,-0.6060267427251848,-0.6060267427251848,-0.6060267427251851,0.0,-1.2120534854503697
CNN1+UBASH3A,2,CNN1+UBASH3A,2,0,178,1.0763659136915673,2.1527318273831346,3.1740955878698993,0.07436801218311491,0.057475619453076464,0.03403767883033569,-0.7789902217970963,-0.7789902217970963,-0.7789902217970966,0.0,-1.557980443594193
CNN1+UBASH3B,2,CNN1+UBASH3B,2,0,300,1.2723734860380318,2.5447469720760636,3.3671696662347856,0.07296906992068043,0.05048769498513247,0.04023598250288631,-0.392620610572733,-0.392620610572733,-0.39262061057273334,0.0,-0.7852412211454664
COL2A1+KLF1,2,COL2A1+KLF1,2,0,298,1.5739366958644847,3.1478733917289694,2.7921073713768756,0.05124312609612333,0.04909588390167684,0.04977224851851494,0.20181999570274864,0.20181999570274864,0.20181999570274892,0.0,0.40363999140549756
DLX2+SNAI1,2,DLX2+SNAI1,2,0,131,1.309454581852658,2.618909163705316,2.8648521076282107,0.058550748850270916,0.045588873501579745,0.04140858971197787,-0.3195264520044817,-0.3195264520044817,-0.31952645200448193,0.0,-0.6390529040089636
DLX2+ZBTB10,2,DLX2+ZBTB10,2,0,89,1.916880144313068,3.833760288626136,4.660819584793632,0.09772516499196833,0.06874616730220201,0.06061707257581554,0.8778292195444093,0.8778292195444093,0.877829219544409,0.0,1.7556584390888181
DUSP9+ETS2,2,DUSP9+ETS2,2,0,300,1.3279418679179622,2.6558837358359244,1.7526400000006221,0.028551366607595614,0.04566698271026196,0.0419932090291924,-0.28308436232327644,-0.28308436232327644,-0.28308436232327694,0.0,-0.5661687246465534
DUSP9+IGDCC3,2,DUSP9+IGDCC3,2,0,300,1.6753460993364226,3.3506921986728453,2.6827283404269378,0.03921100240588224,0.03862050201566347,0.05297909542981804,0.40171794517936227,0.40171794517936227,0.401717945179362,0.0,0.8034358903587242
DUSP9+KLF1,2,DUSP9+KLF1,2,0,300,1.446663684475094,2.893327368950188,3.0259026152443176,0.05786414899892716,0.041546413488480496,0.045747522511924675,-0.04906022969462409,-0.04906022969462409,-0.04906022969462393,0.0,-0.09812045938924802
DUSP9+MAPK1,2,DUSP9+MAPK1,2,0,290,1.461385473236674,2.922770946473348,1.301725166863772,0.0272886059851297,0.06376631262626963,0.046213066349109294,-0.020040678397469952,-0.020040678397469952,-0.020040678397470136,0.0,-0.040081356794940085
DUSP9+PRTG,2,DUSP9+PRTG,2,0,297,1.7685567583738273,3.5371135167476546,2.828004482204602,0.04104224727243148,0.04033495737140402,0.055926675277453604,0.5854545511845145,0.5854545511845145,0.5854545511845142,0.0,1.1709091023690288
DUSP9+SNAI1,2,DUSP9+SNAI1,2,0,183,1.4353013526444682,2.8706027052889365,3.7619128668400554,0.0856681023613546,0.06816332630161451,0.04538821403077059,-0.07145762832288306,-0.07145762832288306,-0.07145762832288327,0.0,-0.14291525664576632
ETS2+IGDCC3,2,ETS2+IGDCC3,2,0,300,1.1578558291574723,2.3157116583149446,1.5517060400619866,0.02805183645758008,0.042979991446586645,0.0366146162224041,-0.618357514701401,-0.618357514701401,-0.6183575147014015,0.0,-1.2367150294028026
ETS2+IKZF3,2,ETS2+IKZF3,2,0,300,1.9622480366360338,3.9244960732720675,3.477778418571749,0.0563350493931023,0.044194655402289014,0.062051731299633935,0.9672582896004837,0.9672582896004837,0.9672582896004834,0.0,1.934516579200967
ETS2+MAP7D1,2,ETS2+MAP7D1,2,0,300,0.9653474325465324,1.9306948650930649,2.1243495168760083,0.04522847397490672,0.03797578409190076,0.03052696620242801,-0.9978295599166785,-0.9978295599166785,-0.9978295599166788,0.0,-1.9956591198333573
ETS2+MAPK1,2,ETS2+MAPK1,2,0,300,1.8353392515768718,3.6706785031537437,3.2270770928965113,0.05100490837776749,0.03906296366776356,0.05803852314091695,0.7170960261875562,0.7170960261875562,0.7170960261875562,0.0,1.4341920523751124
ETS2+PRTG,2,ETS2+PRTG,2,0,300,1.2206861068500374,2.441372213700075,1.6302323935770349,0.028155956648055303,0.043680742614793454,0.038601484057697845,-0.49450663652060683,-0.49450663652060683,-0.49450663652060717,0.0,-0.989013273041214
ETS2+TGFBR2,2,ETS2+TGFBR2,2,0,300,0.8723730463709349,1.7447460927418699,1.312981095333726,0.025051794231080216,0.03245512125625211,0.027586857958718413,-1.1811004254778956,-1.1811004254778956,-1.1811004254778958,0.0,-2.3622008509557917
FEV+ISL2,2,FEV+ISL2,2,0,284,1.346407762248971,2.692815524497942,3.602665273965813,0.07851582248181652,0.05455180481195507,0.0425771518803722,-0.2466844399724667,-0.2466844399724667,-0.2466844399724667,0.0,-0.4933688799449334
FEV+MAP7D1,2,FEV+MAP7D1,2,0,277,1.3226245565539547,2.6452491131079094,2.8311222049807845,0.0555065130887659,0.04056309266082297,0.0418250608798068,-0.2935658325025968,-0.2935658325025968,-0.2935658325025972,0.0,-0.5871316650051941
FOSB+IKZF3,2,FOSB+IKZF3,2,0,247,2.0385599682785185,4.077119936557037,2.8478330005289303,0.037378726842520145,0.054732432162012366,0.06446492646600718,1.1176841685985144,1.1176841685985144,1.1176841685985135,0.0,2.235368337197028
FOSB+OSR2,2,FOSB+OSR2,2,0,300,1.4415406886051803,2.8830813772103605,2.7287599515830205,0.04922891136747441,0.039457821395745225,0.04558551915799904,-0.059158665682922704,-0.059158665682922704,-0.059158665682922704,0.0,-0.11831733136584541
FOSB+PTPN12,2,FOSB+PTPN12,2,0,300,1.0283630350178925,2.056726070035785,1.3905866533403417,0.02885035882310348,0.04296529101004415,0.03251969452180035,-0.8736133700192193,-0.8736133700192193,-0.8736133700192192,0.0,-1.7472267400384385
FOSB+UBASH3B,2,FOSB+UBASH3B,2,0,300,0.9920853420056293,1.9841706840112585,1.2697125485164076,0.02355507502786465,0.03828811584449525,0.03137249314004908,-0.9451238630959312,-0.9451238630959312,-0.9451238630959313,0.0,-1.8902477261918627
FOXA1+FOXA3,2,FOXA1+FOXA3,2,0,216,1.3408320574100827,2.6816641148201654,2.7113676780083167,0.051334404125942486,0.03891771602933634,0.0424008326118551,-0.25767525469004876,-0.25767525469004876,-0.25767525469004926,0.0,-0.5153505093800981
FOXA1+FOXF1,2,FOXA1+FOXF1,2,0,272,1.0430705028653287,2.0861410057306573,2.2797886971716093,0.04774280981360863,0.03920851211077572,0.03298478549191625,-0.84462204807037,-0.84462204807037,-0.8446220480703709,0.0,-1.689244096140741
FOXA1+FOXL2,2,FOXA1+FOXL2,2,0,192,1.3271701591027825,2.654340318205565,2.447077061073839,0.04591624551832043,0.0418470826293709,0.041968805453728435,-0.284605552710617,-0.284605552710617,-0.2846055527106168,0.0,-0.5692111054212339
FOXA1+HOXB9,2,FOXA1+HOXB9,2,0,295,1.2737190513752579,2.5474381027505157,2.8090625328355983,0.05711105529547163,0.04332705164463263,0.04027853301494838,-0.38996823571804085,-0.38996823571804085,-0.38996823571804123,0.0,-0.7799364714360821
FOXA1+KLF1,2,FOXA1+KLF1,2,0,300,1.070393482649779,2.140786965299558,1.9459112604052808,0.04029024045874195,0.04185117363315718,0.033848813977732255,-0.7907630621626777,-0.7907630621626777,-0.7907630621626781,0.0,-1.5815261243253558
FOXA3+FOXF1,2,FOXA3+FOXF1,2,0,175,1.1270120186002397,2.2540240372004794,2.255363846408204,0.04523755254258985,0.03932579840945025,0.035639249291608076,-0.6791567529706811,-0.6791567529706811,-0.6791567529706817,0.0,-1.358313505941363
FOXA3+FOXL2,2,FOXA3+FOXL2,2,0,130,1.4509537405893558,2.9019074811787116,3.2411421336770183,0.07003809674785619,0.059297564672490526,0.04588318599803464,-0.040603682362523354,-0.040603682362523354,-0.04060368236252462,0.0,-0.08120736472504797
FOXA3+HOXB9,2,FOXA3+HOXB9,2,0,300,1.403169226220232,2.806338452440464,3.0715436931152102,0.06181094467273337,0.046309533130647715,0.04437210697511991,-0.1347963914416855,-0.1347963914416855,-0.13479639144168554,0.0,-0.2695927828833711
FOXF1+FOXL2,2,FOXF1+FOXL2,2,0,192,1.2113204548230605,2.422640909646121,2.9713685241944057,0.06417791251609252,0.048406326981281084,0.038305316135919656,-0.5129681851700104,-0.5129681851700104,-0.5129681851700102,0.0,-1.0259363703400206
FOXF1+HOXB9,2,FOXF1+HOXB9,2,0,200,1.14922564099966,2.29845128199932,2.6678139952100537,0.05713028990732322,0.04529842916275491,0.0363417057102591,-0.6353693189057461,-0.6353693189057461,-0.6353693189057464,0.0,-1.2707386378114927
FOXL2+HOXB9,2,FOXL2+HOXB9,2,0,96,1.530257498021492,3.060514996042984,3.4417830079578335,0.06987553006365459,0.051016518403239855,0.048390991002985224,0.11571967576532079,0.11571967576532079,0.11571967576532065,0.0,0.23143935153064144
FOXL2+MEIS1,2,FOXL2+MEIS1,2,0,193,1.2228136539928671,2.4456273079857342,2.47442290778125,0.04809694447747932,0.03865759788669771,0.0386687630057051,-0.4903128211868624,-0.4903128211868624,-0.49031282118686287,0.0,-0.9806256423737253
FOXL2+POU3F2,2,FOXL2+POU3F2,2,0,300,1.3902602357358513,2.7805204714717027,2.8566708050936214,0.055185839278120145,0.042379625660491485,0.04396388885287907,-0.16024255954142078,-0.16024255954142078,-0.1602425595414212,0.0,-0.32048511908284194
FOXL2+ZNF318,2,FOXL2+ZNF318,2,0,246,1.1593581707695826,2.318716341539165,1.9838676616370507,0.033690656395744534,0.031978312871747475,0.03666212443558328,-0.6153961028658868,-0.6153961028658868,-0.6153961028658869,0.0,-1.2307922057317735
HOXC13+ZC3HAV1,2,HOXC13+ZC3HAV1,2,0,300,1.317159362293016,2.634318724586032,1.9031033694191528,0.03147290237469274,0.04276800561671817,0.04165223626260833,-0.30433880905950284,-0.30433880905950284,-0.3043388090595031,0.0,-0.6086776181190059
IER5L+LYL1,2,IER5L+LYL1,2,0,300,1.3479394848864705,2.695878969772941,2.5401207433385498,0.046767738515378014,0.03944757344601522,0.04262558920315358,-0.24366511233695998,-0.24366511233695998,-0.24366511233696042,0.0,-0.4873302246739204
IGDCC3+MAPK1,2,IGDCC3+MAPK1,2,0,300,1.3121531810875766,2.6243063621751532,1.6976188133904935,0.030497560360254573,0.04921163156768823,0.04149392691272118,-0.3142069802883437,-0.3142069802883437,-0.3142069802883439,0.0,-0.6284139605766876
IGDCC3+PRTG,2,IGDCC3+PRTG,2,0,140,1.6666077257628882,3.3332154515257764,2.1018743529750146,0.028162609314370982,0.05218766093856618,0.0527027637944401,0.38449288616801,0.38449288616801,0.3844928861680094,0.0,0.7689857723360194
IGDCC3+TGFBR2,2,IGDCC3+TGFBR2,2,0,300,1.0238808857904464,2.047761771580893,1.6713828451956714,0.029409642319494698,0.03214028070942922,0.032377956518085414,-0.8824485707909365,-0.8824485707909365,-0.8824485707909363,0.0,-1.7648971415818728
IGDCC3+ZBTB25,2,IGDCC3+ZBTB25,2,0,141,1.3093021599882302,2.6186043199764604,2.7387179346354737,0.05300346984944591,0.0393281578384742,0.04140376970940986,-0.3198269055828616,-0.3198269055828616,-0.3198269055828618,0.0,-0.6396538111657234
IKZF3+MAP2K3,2,IKZF3+MAP2K3,2,0,261,1.7520341392064176,3.504068278412835,3.1335296446928123,0.05217039092131133,0.04199688790238833,0.05540418418264791,0.552885207726517,0.552885207726517,0.552885207726517,0.0,1.105770415453034
IKZF3+MAP2K6,2,IKZF3+MAP2K6,2,0,300,1.6849440552045105,3.369888110409021,3.0645953661743452,0.04996726130030512,0.035774049025329956,0.053282609444067396,0.42063741054954085,0.42063741054954085,0.4206374105495402,0.0,0.841274821099081
IKZF3+MAPK1,2,IKZF3+MAPK1,2,0,300,2.0782233021606697,4.1564466043213395,3.1062954922138295,0.043361982766050036,0.05243544222322987,0.06571919121264044,1.195868428055699,1.195868428055699,1.195868428055698,0.0,2.3917368561113967
IRF1+SET,2,IRF1+SET,2,0,300,1.7726141455469455,3.545228291093891,3.1933283255218443,0.05632826914449794,0.04932265030425783,0.056054981125615654,0.593452462111616,0.593452462111616,0.5934524621116152,0.0,1.186904924223231
KIF18B+KIF2C,2,KIF18B+KIF2C,2,0,96,0.7587096353225099,1.5174192706450198,1.1476788546285666,0.030034420517398675,0.040475260341754075,0.023992505303348708,-1.4051534424684258,-1.4051534424684258,-1.405153442468426,0.0,-2.8103068849368515
KLF1+MAP2K6,2,KLF1+MAP2K6,2,0,263,1.182278043516797,2.364556087033594,1.7967454083617107,0.0276089373872468,0.033042026711458665,0.037386914451207454,-0.5702165099724041,-0.5702165099724041,-0.5702165099724049,0.0,-1.1404330199448092
KLF1+SET,2,KLF1+SET,2,0,300,1.3781440993934924,2.7562881987869847,2.2167232969320008,0.03957732251009537,0.04491579962954376,0.04358074298004911,-0.18412585564114442,-0.18412585564114442,-0.18412585564114498,0.0,-0.3682517112822894
KLF1+TGFBR2,2,KLF1+TGFBR2,2,0,300,1.0673041812635577,2.1346083625271155,1.7236635234225621,0.03045365903764071,0.034089751924436425,0.033751121690140516,-0.7968526849321457,-0.7968526849321457,-0.7968526849321457,0.0,-1.5937053698642913
MAP2K3+MAP2K6,2,MAP2K3+MAP2K6,2,0,300,1.0339312021019615,2.067862404203923,1.1881022913000496,0.01614785065393812,0.03532628721294336,0.032695775425580706,-0.862637413704117,-0.862637413704117,-0.8626374137041173,0.0,-1.7252748274082341
MAP2K3+SLC38A2,2,MAP2K3+SLC38A2,2,0,300,0.8329190629549204,1.6658381259098407,1.2984794346415873,0.02385667517741814,0.028978291697785537,0.02633921345510725,-1.2588720138467007,-1.2588720138467007,-1.2588720138467007,0.0,-2.5177440276934013
MAP2K6+SPI1,2,MAP2K6+SPI1,2,0,300,1.3720667099410722,2.7441334198821443,1.4440466189137215,0.024279321166987455,0.05346806849064529,0.04338855905107379,-0.1961055897497843,-0.1961055897497843,-0.1961055897497852,0.0,-0.3922111794995695
MAPK1+PRTG,2,MAPK1+PRTG,2,0,300,1.3713007119923903,2.7426014239847807,1.8260419422745848,0.03394812086007882,0.0522632942928091,0.043364336069065285,-0.1976155228921004,-0.1976155228921004,-0.1976155228921009,0.0,-0.3952310457842013
MAPK1+TGFBR2,2,MAPK1+TGFBR2,2,0,300,1.0621718503990993,2.1243437007981987,1.8808746919936155,0.03244183312448044,0.028699713335357348,0.033588823137767815,-0.8069695220371452,-0.8069695220371452,-0.8069695220371457,0.0,-1.613939044074291
OSR2+PTPN12,2,OSR2+PTPN12,2,0,300,1.021029341932027,2.042058683864054,1.1148847974697635,0.026144729640453356,0.04700135634732152,0.032287782783680705,-0.8880695265467644,-0.8880695265467644,-0.8880695265467649,0.0,-1.7761390530935293
OSR2+UBASH3B,2,OSR2+UBASH3B,2,0,300,1.0079876934534349,2.0159753869068697,1.1253056411924183,0.027137590440007006,0.04731451388302315,0.03187536964732449,-0.9137771897358768,-0.9137771897358768,-0.9137771897358773,0.0,-1.8275543794717541
PLK4+STIL,2,PLK4+STIL,2,0,81,1.0184567146960393,2.0369134293920785,1.9140674434683125,0.043783085123101646,0.0473790150495671,0.032206429167317654,-0.8931406825898425,-0.8931406825898425,-0.8931406825898429,0.0,-1.7862813651796854
PRTG+TGFBR2,2,PRTG+TGFBR2,2,0,265,1.105556160636902,2.211112321273804,1.9302171937217936,0.034018772230711466,0.03214535988094126,0.03496075548843599,-0.7214504837716865,-0.7214504837716865,-0.7214504837716871,0.0,-1.4429009675433737
PTPN12+PTPN9,2,PTPN12+PTPN9,2,0,300,1.1993581838764729,2.3987163677529457,2.3907349409825414,0.044584123404997504,0.03371638574954673,0.03792703591412689,-0.5365481822061654,-0.5365481822061654,-0.536548182206166,0.0,-1.0730963644123315
PTPN12+SAMD1,2,PTPN12+SAMD1,2,0,300,1.3730752993261732,2.7461505986523465,2.662052490223598,0.04779601746454015,0.03539868169120027,0.04342045344788168,-0.19411746100587177,-0.19411746100587177,-0.1941174610058721,0.0,-0.38823492201174387
PTPN12+SNAI1,2,PTPN12+SNAI1,2,0,283,1.0648417739163918,2.1296835478327836,1.637241431004076,0.02910526219302623,0.035797333395214584,0.03367325353269873,-0.8017065758201918,-0.8017065758201918,-0.8017065758201923,0.0,-1.603413151640384
PTPN12+UBASH3A,2,PTPN12+UBASH3A,2,0,300,0.9692507270786666,1.938501454157333,2.7026867191854156,0.06236618874749536,0.04851248746044935,0.030650399213428263,-0.9901353959983117,-0.9901353959983117,-0.9901353959983118,0.0,-1.9802707919966234
