experiment_group,risk_score_name,target_error,n_tasks,spearman,top20_k,top20_mean_error,top20_enrichment
internal_compound_holdout_pooled,risk_low_drug_support,error_cell_mean_rmse,596,,120,0.7863032455314467,1.2772610674894564
internal_compound_holdout_pooled,risk_low_pair_support,error_additive_rmse,596,,120,0.7863032455718224,1.2772610675383078
internal_compound_holdout_pooled,risk_low_pair_support,error_pair_or_additive_rmse,596,,120,0.7863032455718224,1.2772610675383078
internal_compound_holdout_pooled,risk_low_pair_support,error_drug_mean_rmse,596,,120,0.7724917808885959,1.241447499878005
internal_compound_holdout_pooled,risk_low_pair_support,error_cell_mean_rmse,596,,120,0.7863032455314467,1.2772610674894564
internal_compound_holdout_pooled,risk_low_smiles_similarity,error_additive_rmse,596,,120,0.7863032455718224,1.2772610675383078
internal_compound_holdout_pooled,risk_low_smiles_similarity,error_pair_or_additive_rmse,596,,120,0.7863032455718224,1.2772610675383078
internal_compound_holdout_pooled,risk_low_smiles_similarity,error_drug_mean_rmse,596,,120,0.7724917808885959,1.241447499878005
internal_compound_holdout_pooled,risk_low_smiles_similarity,error_cell_mean_rmse,596,,120,0.7863032455314467,1.2772610674894564
internal_compound_holdout_pooled,risk_oracle_true_magnitude_diagnostic,error_additive_rmse,596,0.4913884747180718,120,0.7271383805198783,1.1811544075154943
internal_compound_holdout_pooled,risk_oracle_true_magnitude_diagnostic,error_pair_or_additive_rmse,596,0.4913884747180718,120,0.7271383805198783,1.1811544075154943
internal_compound_holdout_pooled,risk_oracle_true_magnitude_diagnostic,error_drug_mean_rmse,596,0.4674210259463807,120,0.753864771081723,1.2115126121199171
internal_compound_holdout_pooled,risk_oracle_true_magnitude_diagnostic,error_cell_mean_rmse,596,0.4913884747180718,120,0.7271383805061823,1.181154407508722
official_train_to_test,risk_op_formal,error_additive_rmse,255,0.48399794465030116,51,0.8995987598937742,1.1801480299810436
official_train_to_test,risk_op_formal,error_pair_or_additive_rmse,255,0.48399794465030116,51,0.8995987598937742,1.1801480299810436
official_train_to_test,risk_op_formal,error_drug_mean_rmse,255,0.008861886289949052,51,0.7652925503184157,1.2116792394044127
official_train_to_test,risk_op_formal,error_cell_mean_rmse,255,0.6341216998610468,51,1.0540720939598789,1.2889727626305756
official_train_to_test,risk_predicted_magnitude,error_additive_rmse,255,0.6420398622047244,51,0.9535550086910543,1.250931098569084
official_train_to_test,risk_predicted_magnitude,error_pair_or_additive_rmse,255,0.6420398622047244,51,0.9535550086910543,1.250931098569084
official_train_to_test,risk_predicted_magnitude,error_drug_mean_rmse,255,0.4758670101899028,51,0.9777244368815299,1.5480202982961297
official_train_to_test,risk_predicted_magnitude,error_cell_mean_rmse,255,0.12112233672996758,51,0.9383149181012076,1.1474190229804446
official_train_to_test,risk_disagreement,error_additive_rmse,255,0.18636232051875867,51,0.7957399012854682,1.0438997014516167
official_train_to_test,risk_disagreement,error_pair_or_additive_rmse,255,0.18636232051875867,51,0.7957399012854682,1.0438997014516167
official_train_to_test,risk_disagreement,error_drug_mean_rmse,255,-0.31876954029643356,51,0.5832530494143738,0.9234581089292836
official_train_to_test,risk_disagreement,error_cell_mean_rmse,255,0.594663327929597,51,0.9757092491740746,1.1931467056559624
official_train_to_test,risk_low_drug_support,error_additive_rmse,255,0.1447639766637666,51,0.8078705920555055,1.0598134748501695
official_train_to_test,risk_low_drug_support,error_pair_or_additive_rmse,255,0.1447639766637666,51,0.8078705920555055,1.0598134748501695
official_train_to_test,risk_low_drug_support,error_drug_mean_rmse,255,0.1383410015899476,51,0.724584546174983,1.1472267062160737
official_train_to_test,risk_low_drug_support,error_cell_mean_rmse,255,0.055830475641657426,51,0.880727342307704,1.0769980175396392
official_train_to_test,risk_low_pair_support,error_additive_rmse,255,,51,0.7974693280103867,1.0461684679655345
official_train_to_test,risk_low_pair_support,error_pair_or_additive_rmse,255,,51,0.7974693280103867,1.0461684679655345
official_train_to_test,risk_low_pair_support,error_drug_mean_rmse,255,,51,0.6992245768205194,1.1070745469327374
official_train_to_test,risk_low_pair_support,error_cell_mean_rmse,255,,51,0.855306323136964,1.0459119073037668
official_train_to_test,risk_low_smiles_similarity,error_additive_rmse,255,,51,0.7974693280103867,1.0461684679655345
official_train_to_test,risk_low_smiles_similarity,error_pair_or_additive_rmse,255,,51,0.7974693280103867,1.0461684679655345
official_train_to_test,risk_low_smiles_similarity,error_drug_mean_rmse,255,,51,0.6992245768205194,1.1070745469327374
official_train_to_test,risk_low_smiles_similarity,error_cell_mean_rmse,255,,51,0.855306323136964,1.0459119073037668
official_train_to_test,risk_oracle_true_magnitude_diagnostic,error_additive_rmse,255,0.018319389763779528,51,0.8907549927685818,1.1685462416997445
official_train_to_test,risk_oracle_true_magnitude_diagnostic,error_pair_or_additive_rmse,255,0.018319389763779528,51,0.8907549927685818,1.1685462416997445
official_train_to_test,risk_oracle_true_magnitude_diagnostic,error_drug_mean_rmse,255,0.9230770900880038,51,1.0773728905121538,1.7057925939401197
official_train_to_test,risk_oracle_true_magnitude_diagnostic,error_cell_mean_rmse,255,-0.34150937934228814,51,0.9050547945235673,1.1067468586958857
