heldout_dose,celltype,log_dose,n_train,n_test_same_dose,nearest_logdose_distance,predicted_l2_mean,dose_predictor_disagreement,error_nearest_rmse,error_linear_rmse,error_mean_rmse,true_l2_diagnostic,risk_logdose_extreme,risk_nearest_dose_distance,risk_predicted_magnitude,risk_dose_disagreement,risk_tcdd_dose_aware
3.0,EndothelialCells,0.47712125471966244,42,6,0.47712125471966244,2.548245023386738,0.07960670989471391,0.06605137271603057,0.09854897486956893,0.07384466858001444,3.2024710365852336,-0.853559611027364,0.0,-0.27958552774993783,0.5293779447618863,-0.6037671940154157
3.0,HepatocytesCentral,0.47712125471966244,42,6,0.47712125471966244,3.8341759968231552,0.09057857740449064,0.055786340390576755,0.07161274197195093,0.04548769748296712,4.28602890686884,-0.853559611027364,0.0,0.6659821697048834,0.9843735037104697,0.7967960623879892
3.0,HepatocytesPortal,0.47712125471966244,42,6,0.47712125471966244,3.114829949194319,0.08497202640826744,0.06453004167195962,0.06424684331085861,0.04838212747302053,3.970366541475818,-0.853559611027364,0.0,0.137034349036143,0.7518738128395012,0.03534855084828015
3.0,PortalFibroblasts,0.47712125471966244,42,6,0.47712125471966244,3.2515342166500414,0.11785502615246353,0.10045048872202121,0.09560011458877365,0.07837339790764668,3.1761808889865306,-0.853559611027364,0.0,0.23755540504968872,2.115508475323781,1.4995042693461058
3.0,StellateCells,0.47712125471966244,42,6,0.47712125471966244,2.293966221088356,0.09481973477236821,0.05863238673728726,0.09883780900368293,0.06599726589794533,2.8425988964844775,-0.853559611027364,0.0,-0.4665612104013359,1.1602512898272679,-0.15986953160143202
10.0,Cholangiocytes,1.0,42,6,0.4771212547196624,4.925882786356174,0.0995373265526849,0.14006265333749515,0.06611474847125058,0.0975573347748086,3.764369881976818,0.0,0.0,1.468733403323546,1.3558864729046936,2.8246198762282395
10.0,EndothelialCells,1.0,42,6,0.4771212547196624,5.392164439232522,0.11909556700387157,0.19895549920170236,0.10202994881005199,0.1464607866918541,3.8880852100667807,0.0,0.0,1.8115985166021296,2.1669528240257674,3.978551340627897
10.0,HepatocytesCentral,1.0,42,6,0.4771212547196624,6.5056874436781875,0.10083067069183135,0.1239037796003279,0.07313064024742005,0.08836522241855654,6.191976372571726,0.0,0.0,2.6303915973558722,1.409520536474952,4.039912133830824
10.0,HepatocytesPortal,1.0,42,6,0.4771212547196624,5.602287948927084,0.09278318172646892,0.12781647646468475,0.07253219261938479,0.09298820144614953,5.277138588061875,0.0,0.0,1.9661060347716788,1.0757968803457734,3.0419029151174524
10.0,PortalFibroblasts,1.0,42,6,0.4771212547196624,5.194448145970045,0.11847796473438109,0.15584223169509567,0.08428343583267028,0.1103901822438642,4.417043141888264,0.0,0.0,1.666214243237984,2.141341296219372,3.807555539457356
10.0,StellateCells,1.0,42,6,0.4771212547196624,5.227280221905323,0.11955421215432531,0.14711229469233536,0.06566509909984304,0.09697249008743669,3.9869442702224864,0.0,0.0,1.6903562470360731,2.185972512916816,3.876328759952889
30.0,Cholangiocytes,1.4771212547196624,42,6,0.4771212547196624,3.6005637210884474,0.045453034484671584,0.14006265333749515,0.16239095431050748,0.1499256144391016,6.31098243338469,0.7788640029210941,0.0,0.49420294809289955,-0.8869507357925985,0.3861162152213953
30.0,EndothelialCells,1.4771212547196624,42,6,0.4771212547196624,3.7741050900077067,0.045557094177941064,0.19895549920170236,0.21558799693674185,0.20618408118817794,7.0801330134766784,0.7788640029210941,0.0,0.6218109737271428,-0.8826354541633794,0.5180395224848575
30.0,HepatocytesCentral,1.4771212547196624,42,6,0.4771212547196624,6.032512099683354,0.0518134026562234,0.1239037796003279,0.14333764038541003,0.13144487704565702,7.822553766477719,0.7788640029210941,0.0,2.2824574315600663,-0.6231907816411937,2.4381306528399667
30.0,HepatocytesPortal,1.4771212547196624,42,6,0.4771212547196624,5.212890003484122,0.044036878180794235,0.12781647646468475,0.14302961701233188,0.13383740074916764,6.804303155143624,0.7788640029210941,0.0,1.6797748659359315,-0.9456777326750414,1.5129611361819841
30.0,PortalFibroblasts,1.4771212547196624,42,6,0.4771212547196624,4.170002356626145,0.0676091922719695,0.15584223169509567,0.18462742244636518,0.1674643019557637,6.761375442527027,0.7788640029210941,0.0,0.9129212079138798,0.03184940352750931,1.7236346143624832
30.0,StellateCells,1.4771212547196624,42,6,0.4771212547196624,3.6009706008456295,0.06037853097672241,0.14711229469233536,0.1836664423431305,0.1636346628791918,6.953103500797229,0.7788640029210941,0.0,0.49450213394586295,-0.268000988820674,1.005365148046283
