dataset,fold_id,score,coverage,retained_mean_error
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,model_disagreement,0.7,0.09309198064189773
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,model_disagreement,0.75,0.09119626184134924
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,model_disagreement,0.8,0.09075490641896766
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,model_disagreement,0.85,0.09250109149540042
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,model_disagreement,0.9,0.09312533007380262
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,model_disagreement,0.95,0.09370503892310633
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,model_disagreement,1.0,0.09490830598344813
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,SafeConf,0.5,0.09265776608143059
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,SafeConf,0.55,0.09537769922463935
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,SafeConf,0.6,0.0970054468012027
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,SafeConf,0.65,0.09673025553201449
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,SafeConf,0.7,0.09602842343000707
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,SafeConf,0.75,0.0974440751755942
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,SafeConf,0.8,0.0978191991637903
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,SafeConf,0.85,0.1021469292297262
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,SafeConf,0.9,0.10252673123361157
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,SafeConf,0.95,0.10249019804735146
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,SafeConf,1.0,0.1030374777492868
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,predicted_magnitude,0.5,0.09729304005342633
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,predicted_magnitude,0.55,0.09833462945658283
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,predicted_magnitude,0.6,0.09697130338033995
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,predicted_magnitude,0.65,0.09720574080042363
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,predicted_magnitude,0.7,0.09732266272403399
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,predicted_magnitude,0.75,0.09720247829153254
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,predicted_magnitude,0.8,0.10160267393453856
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,predicted_magnitude,0.85,0.10286765622473397
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,predicted_magnitude,0.9,0.10248446324825781
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,predicted_magnitude,0.95,0.10294321954269217
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,predicted_magnitude,1.0,0.1030374777492868
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,model_disagreement,0.5,0.0966453601959892
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,model_disagreement,0.55,0.09653465796177348
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,model_disagreement,0.6,0.0957692835855749
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,model_disagreement,0.65,0.09499788335150851
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,model_disagreement,0.7,0.09566440135504946
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,model_disagreement,0.75,0.09861634521073065
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,model_disagreement,0.8,0.09978067583034157
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,model_disagreement,0.85,0.10295403779065992
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,model_disagreement,0.9,0.10252673123361158
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,model_disagreement,0.95,0.10249019804735146
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,model_disagreement,1.0,0.1030374777492868
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,SafeConf,0.5,0.04881968119188858
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,SafeConf,0.55,0.0528549764970609
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,SafeConf,0.6,0.05377368892788739
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,SafeConf,0.65,0.05347921754084764
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,SafeConf,0.7,0.052824439320284036
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,SafeConf,0.75,0.05255366622688925
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,SafeConf,0.8,0.05191472620088756
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,SafeConf,0.85,0.05247950761457665
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,SafeConf,0.9,0.0523293763512925
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,SafeConf,0.95,0.053121611062446596
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,SafeConf,1.0,0.05289573593845782
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,predicted_magnitude,0.5,0.05669612470838618
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,predicted_magnitude,0.55,0.05588098884073052
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,predicted_magnitude,0.6,0.055117021518152516
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,predicted_magnitude,0.65,0.054028660018801584
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,predicted_magnitude,0.7,0.05386877674050952
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,predicted_magnitude,0.75,0.05323223614777577
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,predicted_magnitude,0.8,0.053744889428254
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,predicted_magnitude,0.85,0.05353937325689017
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,predicted_magnitude,0.9,0.05303785978542222
