fold_id,endpoint,method,n_tasks,utility_20,spearman,source_radius_coverage,L_nonzero_fraction
Lara_exvivo_context_holdout_2_GMP,absolute_error,M_plus_H,23,0.9216093164719923,0.6380034788298126,0.9130434782608695,0.0
Lara_exvivo_context_holdout_2_GMP,absolute_error,M_plus_G,23,1.0,0.6410903658288291,0.9130434782608695,0.0
Lara_exvivo_context_holdout_2_GMP,absolute_error,M_plus_L,23,0.9216093164719923,0.6571146245059288,0.9130434782608695,0.0
Lara_exvivo_context_holdout_2_GMP,excess_error,M,23,-1.22082649345833,-0.7371541501976284,0.9130434782608695,0.0
Lara_exvivo_context_holdout_2_GMP,excess_error,G,23,-0.7227814519548681,-0.44960474308300397,0.9130434782608695,0.0
Lara_exvivo_context_holdout_2_GMP,excess_error,L,23,1.8943344367578761e-16,,0.9130434782608695,0.0
Lara_exvivo_context_holdout_2_GMP,excess_error,M_plus_H,23,-1.22082649345833,-0.7368421277577463,0.9130434782608695,0.0
Lara_exvivo_context_holdout_2_GMP,excess_error,M_plus_G,23,-1.047957183576605,-0.7391103599864415,0.9130434782608695,0.0
Lara_exvivo_context_holdout_2_GMP,excess_error,M_plus_L,23,-1.22082649345833,-0.7371541501976284,0.9130434782608695,0.0
Lara_exvivo_context_holdout_3_GMP_(late),absolute_error,M,23,0.8689362576193161,0.816205533596838,0.043478260869565216,0.0
Lara_exvivo_context_holdout_3_GMP_(late),absolute_error,G,23,0.5578918011160453,0.2737154150197629,0.043478260869565216,0.0
Lara_exvivo_context_holdout_3_GMP_(late),absolute_error,L,23,0.0,,0.043478260869565216,0.0
Lara_exvivo_context_holdout_3_GMP_(late),absolute_error,M_plus_H,23,0.8023121413077392,0.8435878685999147,0.043478260869565216,0.0
Lara_exvivo_context_holdout_3_GMP_(late),absolute_error,M_plus_G,23,0.8689362576193161,0.7877440319556321,0.043478260869565216,0.0
Lara_exvivo_context_holdout_3_GMP_(late),absolute_error,M_plus_L,23,0.8689362576193161,0.816205533596838,0.043478260869565216,0.0
Lara_exvivo_context_holdout_3_GMP_(late),excess_error,M,23,-0.43724196753481587,-0.26679841897233203,0.043478260869565216,0.0
Lara_exvivo_context_holdout_3_GMP_(late),excess_error,G,23,-0.3371934986065866,-0.19071146245059292,0.043478260869565216,0.0
Lara_exvivo_context_holdout_3_GMP_(late),excess_error,L,23,0.0,,0.043478260869565216,0.0
Lara_exvivo_context_holdout_3_GMP_(late),excess_error,M_plus_H,23,-0.08601180252254595,-0.25747468045726746,0.043478260869565216,0.0
Lara_exvivo_context_holdout_3_GMP_(late),excess_error,M_plus_G,23,-0.43724196753481587,-0.29009143460348563,0.043478260869565216,0.0
Lara_exvivo_context_holdout_3_GMP_(late),excess_error,M_plus_L,23,-0.43724196753481587,-0.26679841897233203,0.043478260869565216,0.0
Lara_exvivo_context_holdout_4_HSC,absolute_error,M,24,0.857035067911555,0.8121739130434782,1.0,0.0
Lara_exvivo_context_holdout_4_HSC,absolute_error,G,24,0.13982406334787015,0.13391304347826086,1.0,0.0
Lara_exvivo_context_holdout_4_HSC,absolute_error,L,24,0.0,,1.0,0.0
Lara_exvivo_context_holdout_4_HSC,absolute_error,M_plus_H,24,0.857035067911555,0.8164420085100493,1.0,0.0
Lara_exvivo_context_holdout_4_HSC,absolute_error,M_plus_G,24,0.6718434465423381,0.7871276550502192,1.0,0.0
Lara_exvivo_context_holdout_4_HSC,absolute_error,M_plus_L,24,0.857035067911555,0.8121739130434782,1.0,0.0
Lara_exvivo_context_holdout_4_HSC,excess_error,M,24,-0.7228250299009411,-0.5747826086956522,1.0,0.0
Lara_exvivo_context_holdout_4_HSC,excess_error,G,24,-0.5012520346199625,-0.13652173913043478,1.0,0.0
Lara_exvivo_context_holdout_4_HSC,excess_error,L,24,-1.7146453590409847e-16,,1.0,0.0
Lara_exvivo_context_holdout_4_HSC,excess_error,M_plus_H,24,-0.7228250299009411,-0.551109230038483,1.0,0.0
Lara_exvivo_context_holdout_4_HSC,excess_error,M_plus_G,24,-1.0921037146895312,-0.5923026884963528,1.0,0.0
Lara_exvivo_context_holdout_4_HSC,excess_error,M_plus_L,24,-0.7228250299009411,-0.5747826086956522,1.0,0.0
Lara_exvivo_context_holdout_5_MkP,absolute_error,M,22,0.29491331553881384,0.41050254093732363,0.7727272727272727,0.0
Lara_exvivo_context_holdout_5_MkP,absolute_error,G,22,0.2835709872647903,0.31789949181253535,0.7727272727272727,0.0
Lara_exvivo_context_holdout_5_MkP,absolute_error,L,22,0.0,,0.7727272727272727,0.0
Lara_exvivo_context_holdout_5_MkP,absolute_error,M_plus_H,22,0.29491331553881384,0.3795538134973616,0.7727272727272727,0.0
Lara_exvivo_context_holdout_5_MkP,absolute_error,M_plus_G,22,0.4701399035005113,0.4615819945708499,0.7727272727272727,0.0
Lara_exvivo_context_holdout_5_MkP,absolute_error,M_plus_L,22,0.29491331553881384,0.41050254093732363,0.7727272727272727,0.0
Lara_exvivo_context_holdout_5_MkP,excess_error,M,22,-0.6259628328257605,-0.549407114624506,0.7727272727272727,0.0
Lara_exvivo_context_holdout_5_MkP,excess_error,G,22,0.01699846394304409,0.10671936758893281,0.7727272727272727,0.0
Lara_exvivo_context_holdout_5_MkP,excess_error,L,22,0.0,,0.7727272727272727,0.0
Lara_exvivo_context_holdout_5_MkP,excess_error,M_plus_H,22,-0.6259628328257605,-0.5365716113429962,0.7727272727272727,0.0
Lara_exvivo_context_holdout_5_MkP,excess_error,M_plus_G,22,-0.1589985257071301,-0.46497182562032985,0.7727272727272727,0.0
Lara_exvivo_context_holdout_5_MkP,excess_error,M_plus_L,22,-0.6259628328257605,-0.549407114624506,0.7727272727272727,0.0
