culture_condition,stratum,score_name,coverage,selected_k,risk_tie_average,risk_best_legal_tie_order,risk_worst_legal_tie_order
Stim48hr,all_200,SafeConf,0.25,50,0.1140155593832762,0.1140155593832762,0.1140155593832762
Stim48hr,all_200,SafeConf,0.30000000000000004,61,0.11252427891715562,0.11252427891715562,0.11252427891715562
Stim48hr,all_200,SafeConf,0.35000000000000003,70,0.11911522109306115,0.11911522109306115,0.11911522109306115
Stim48hr,all_200,SafeConf,0.40000000000000002,80,0.12287587709316847,0.12287587709316847,0.12287587709316847
Stim48hr,all_200,SafeConf,0.45000000000000001,90,0.1211805574059906,0.1211805574059906,0.1211805574059906
Stim48hr,all_200,SafeConf,0.5,100,0.12259483439769987,0.12259483439769987,0.12259483439769987
Stim48hr,all_200,SafeConf,0.55000000000000004,111,0.12206983381289033,0.12206983381289033,0.12206983381289033
Stim48hr,all_200,SafeConf,0.60000000000000009,121,0.12299765632001082,0.12299765632001082,0.12299765632001082
Stim48hr,all_200,SafeConf,0.65000000000000002,130,0.12377585411293808,0.12377585411293808,0.12377585411293808
Stim48hr,all_200,SafeConf,0.69999999999999996,140,0.12333932162653155,0.12333932162653155,0.12333932162653155
Stim48hr,all_200,SafeConf,0.75,150,0.12224550765876353,0.12224550765876353,0.12224550765876353
Stim48hr,all_200,SafeConf,0.80000000000000004,160,0.12300022337474067,0.12300022337474067,0.12300022337474067
Stim48hr,all_200,SafeConf,0.85000000000000009,171,0.12349439119586816,0.12349439119586816,0.12349439119586816
Stim48hr,all_200,SafeConf,0.90000000000000013,181,0.12314885005632295,0.12314885005632295,0.12314885005632295
Stim48hr,all_200,SafeConf,0.94999999999999996,190,0.12567241689017719,0.12567241689017719,0.12567241689017719
Stim48hr,all_200,SafeConf,1,200,0.12546836589682522,0.12546836589682522,0.12546836589682522
Stim48hr,all_200,magnitude,0.20000000000000001,40,0.13068938334793706,0.13068938334793706,0.13068938334793706
Stim48hr,all_200,magnitude,0.25,50,0.12434386300133961,0.12434386300133961,0.12434386300133961
Stim48hr,all_200,magnitude,0.30000000000000004,61,0.12185862633733048,0.12185862633733048,0.12185862633733048
Stim48hr,all_200,magnitude,0.35000000000000003,70,0.1197880908484739,0.1197880908484739,0.1197880908484739
Stim48hr,all_200,magnitude,0.40000000000000002,80,0.11959402192766491,0.11959402192766491,0.11959402192766491
Stim48hr,all_200,magnitude,0.45000000000000001,90,0.12049107419647412,0.12049107419647412,0.12049107419647412
Stim48hr,all_200,magnitude,0.5,100,0.11865194065387036,0.11865194065387036,0.11865194065387036
