fold_id,task_id,split,setting,context,perturbation,risk_model_disagreement,baseline_predicted_magnitude,context_novelty_scaled,training_support_count,perturbation_novelty,risk_disagreement_z,predicted_magnitude_z,safeconf_frozen_pair_risk,safeconf_calibrated_pair_risk,test_truth_used_for_score_or_threshold,dataset,error_scgpt_rmse,error_gears_rmse,error_two_predictor_mean_rmse,error_two_predictor_max_rmse
Nadig_cellline_holdout_1_HepG2,Jurkat::TFAM,test,perturbation_unseen,Jurkat,TFAM,0.09206128141678369,0.07513518631458282,0.0,0,1.0,-0.6338581682161286,-0.03441830465797533,0.3661418317838714,0.1445101545037212,False,Nadig_two_cellline,0.23105155988886356,0.2224936781145,0.22677261900168177,0.23105155988886356
Nadig_cellline_holdout_1_HepG2,Jurkat::TUBGCP2,test,perturbation_unseen,Jurkat,TUBGCP2,0.10116944712841572,0.06901960074901581,0.0,0,1.0,0.48626273753740046,-0.48750005354712045,1.4862627375374005,0.1563552111746796,False,Nadig_two_cellline,0.10326562970989037,0.09719403828920957,0.10022983399954996,0.10326562970989037
Nadig_cellline_holdout_1_HepG2,Jurkat::SIRT7,test,perturbation_unseen,Jurkat,SIRT7,0.09443584785973545,0.07092379778623581,0.0,0,1.0,-0.3418343294914732,-0.34642494068944024,0.6581656705085268,0.14759824874533112,False,Nadig_two_cellline,0.15199764882489447,0.12258357054511829,0.1372906096850064,0.15199764882489447
Nadig_cellline_holdout_1_HepG2,Jurkat::POLRMT,test,random_seen_pair,Jurkat,POLRMT,0.08304071224509245,0.07430560886859894,0.0,0,1.0,-1.7432064641197895,-0.09587871528187944,-0.7432064641197895,0.13277901604776118,False,Nadig_two_cellline,0.37289329407178423,0.37860573206989423,0.37574951307083926,0.37860573206989423
Nadig_cellline_holdout_1_HepG2,Jurkat::RCL1,test,perturbation_unseen,Jurkat,RCL1,0.10111037028475746,0.08132965117692947,0.0,0,1.0,0.4789974758236133,0.4245073277567776,1.4789974758236133,0.15627838247137882,False,Nadig_two_cellline,0.18279249955897905,0.22714698814334372,0.2049697438511614,0.22714698814334372
Nadig_cellline_holdout_1_HepG2,Jurkat::ELP3,test,perturbation_unseen,Jurkat,ELP3,0.10808334963126008,0.0727597028017044,0.0,0,1.0,1.3365334703027523,-0.21040933821201144,2.3365334703027525,0.1653466557263618,False,Nadig_two_cellline,0.14154399406907991,0.13438996687992386,0.1379669804745019,0.14154399406907991
Nadig_cellline_holdout_1_HepG2,Jurkat::C17orf58,test,perturbation_unseen,Jurkat,C17orf58,0.07679875804882087,0.09164034575223923,0.0,0,1.0,-2.5108410910425967,1.1883896216692216,-1.5108410910425967,0.12466143194430779,False,Nadig_two_cellline,0.14148222100426744,0.14420830421540531,0.14284526260983638,0.14420830421540531
Nadig_cellline_holdout_1_HepG2,Jurkat::ELL,test,random_seen_pair,Jurkat,ELL,0.09653024277361627,0.05514355003833771,0.0,0,1.0,-0.08426594500921435,-1.5155267659958065,0.9157340549907856,0.15032198338430489,False,Nadig_two_cellline,0.2780933935968848,0.3016055580288852,0.289849475812885,0.3016055580288852
Nadig_cellline_holdout_1_HepG2,Jurkat::COPZ1,test,perturbation_unseen,Jurkat,COPZ1,0.09778184569832728,0.09269572794437408,0.0,0,1.0,0.06965600218160518,1.2665790941624555,1.0696560021816053,0.1519496774823389,False,Nadig_two_cellline,0.10101613693703516,0.11898355809064587,0.10999984751384051,0.11898355809064587
Nadig_cellline_holdout_2_Jurkat,HepG2::GON4L,test,random_seen_pair,HepG2,GON4L,0.11407220245029598,0.0825221985578537,0.0,0,1.0,0.45681336453594834,1.1641762511912572,1.4568133645359485,0.19313563923187907,False,Nadig_two_cellline,0.08993205677217597,0.1053652445534313,0.09764865066280363,0.1053652445534313
Nadig_cellline_holdout_2_Jurkat,HepG2::DHX37,test,perturbation_unseen,HepG2,DHX37,0.0904473890307173,0.0595407634973526,0.0,0,1.0,-1.156854957363408,-0.8258386914979505,-0.15685495736340793,0.15514703394133514,False,Nadig_two_cellline,0.08864659165956772,0.06744409004446392,0.07804534085201581,0.08864659165956772
