dataset_name,score_name,magnitude_bin,n,mag_min,mag_max,within_bin_rho_risk_vs_error
SantinhaPlatt2023,safeconf_lodo_risk,3,137,28.41949331787328,102.54574091711159,0.01203402289197858
SrivatsanTrapnell2020_sciplex3,safeconf_lodo_risk,0,282,0.8161059086433,1.5655605802339125,0.5693911025605831
SrivatsanTrapnell2020_sciplex3,safeconf_lodo_risk,1,282,1.5927435048810863,2.636839619623754,0.6852553313847223
SrivatsanTrapnell2020_sciplex3,safeconf_lodo_risk,2,282,2.648039676604306,3.5360065794412163,0.5478824292169304
SrivatsanTrapnell2020_sciplex3,safeconf_lodo_risk,3,282,3.5597081254477274,23.079837896506167,0.5985867559444362
CuiHacohen2023,predicted_magnitude,0,627,3.0313572089935006,8.121865642413434,0.6635564549194395
CuiHacohen2023,predicted_magnitude,1,626,8.121865642413434,12.03896728910352,0.24848916948193894
CuiHacohen2023,predicted_magnitude,2,626,12.03896728910352,18.796838230766504,-0.20386512374459237
CuiHacohen2023,predicted_magnitude,3,627,18.796838230766504,279.19103405993167,-0.1467654495622352
Frangieh,predicted_magnitude,0,317,2.105267365542812,2.5118209089653085,0.9524090353061696
Frangieh,predicted_magnitude,1,316,2.5118209089653085,2.8305064096909414,0.9244234578799101
Frangieh,predicted_magnitude,2,316,2.8305064096909414,3.267514061452535,0.8777283326364523
Frangieh,predicted_magnitude,3,317,3.267514061452535,8.537299169273812,0.8627439125077465
LaraAstiasoHuntly2023_exvivo,predicted_magnitude,0,162,11.016681954538228,22.184783691477993,0.9149035862826207
LaraAstiasoHuntly2023_exvivo,predicted_magnitude,1,161,22.241372641125793,33.16148887182573,0.6714285714285716
LaraAstiasoHuntly2023_exvivo,predicted_magnitude,2,161,33.16148887182573,49.8802726816134,0.4782867494824017
LaraAstiasoHuntly2023_exvivo,predicted_magnitude,3,162,49.884182010348724,1409.850861545876,-0.19101107738077597
LaraAstiasoHuntly2023_invivo,predicted_magnitude,0,188,15.998204475816111,68.54156772149231,0.8651200002889614
LaraAstiasoHuntly2023_invivo,predicted_magnitude,1,187,68.61144124931188,111.62439139329511,0.7994744163342008
LaraAstiasoHuntly2023_invivo,predicted_magnitude,2,187,111.62439139329511,265.1676260719824,0.6209209459037874
LaraAstiasoHuntly2023_invivo,predicted_magnitude,3,188,268.1715552716967,3331.6815776035787,0.0028155685227024396
McFarlandTsherniak2020,predicted_magnitude,0,582,7.750976658324057,60.715279610983806,0.40436559618051193
McFarlandTsherniak2020,predicted_magnitude,1,581,60.71981599887744,100.33188903238062,-0.28816889619317254
McFarlandTsherniak2020,predicted_magnitude,2,581,100.33188903238062,164.65038063407488,-0.40966009179167545
McFarlandTsherniak2020,predicted_magnitude,3,582,164.99452356022024,1590.562080487464,-0.2559728958957462
SantinhaPlatt2023,predicted_magnitude,0,137,4.237872360195846,10.491215657110573,0.8275290757369275
SantinhaPlatt2023,predicted_magnitude,1,136,10.491215657110573,15.209640226184646,0.7000333953532751
SantinhaPlatt2023,predicted_magnitude,2,136,15.209640226184646,28.41949331787328,0.33959734745479697
SantinhaPlatt2023,predicted_magnitude,3,137,28.41949331787328,102.54574091711159,0.05633132338940019
SrivatsanTrapnell2020_sciplex3,predicted_magnitude,0,282,0.8161059086433,1.5655605802339125,0.9456799514231831
SrivatsanTrapnell2020_sciplex3,predicted_magnitude,1,282,1.5927435048810863,2.636839619623754,0.8530369525299664
SrivatsanTrapnell2020_sciplex3,predicted_magnitude,2,282,2.648039676604306,3.5360065794412163,0.6655132460763568
SrivatsanTrapnell2020_sciplex3,predicted_magnitude,3,282,3.5597081254477274,23.079837896506167,0.6941751112053262
CuiHacohen2023,protocol_v0_2_family_confidence,0,627,2.105267365542812,2.7838254156296522,0.4510374440332003
CuiHacohen2023,protocol_v0_2_family_confidence,1,626,2.7862004478820275,6.08614793280948,0.44051375205664833
CuiHacohen2023,protocol_v0_2_family_confidence,2,626,6.126760926425012,83.06817264979905,0.3512648604278941
CuiHacohen2023,protocol_v0_2_family_confidence,3,627,83.06817264979905,1590.562080487464,0.5246611354459804
Frangieh,protocol_v0_2_family_confidence,0,317,2.105267365542812,2.5118209089653085,0.7450382226555337
Frangieh,protocol_v0_2_family_confidence,1,316,2.5118209089653085,2.8305064096909414,0.6040842180098411
Frangieh,protocol_v0_2_family_confidence,2,316,2.8305064096909414,3.267514061452535,0.45174279549844937
Frangieh,protocol_v0_2_family_confidence,3,317,3.267514061452535,8.537299169273812,0.3236650047231903
LaraAstiasoHuntly2023_exvivo,protocol_v0_2_family_confidence,0,162,2.105267365542812,2.427179879644792,0.5769091536812669
LaraAstiasoHuntly2023_exvivo,protocol_v0_2_family_confidence,1,161,2.427406994868756,2.6151205528721384,0.5603889531939421
LaraAstiasoHuntly2023_exvivo,protocol_v0_2_family_confidence,2,161,2.6151205528721384,2.9897830206754463,0.6342898757675927
LaraAstiasoHuntly2023_exvivo,protocol_v0_2_family_confidence,3,162,2.994442874846175,8.250021709348118,0.4875442630637293
LaraAstiasoHuntly2023_invivo,protocol_v0_2_family_confidence,0,188,2.105267365542812,2.4859967797868516,0.38631791109427316
LaraAstiasoHuntly2023_invivo,protocol_v0_2_family_confidence,1,187,2.4859967797868516,2.7925201082092075,0.44328941491817536
LaraAstiasoHuntly2023_invivo,protocol_v0_2_family_confidence,2,187,2.793740423612938,3.2747187588693536,0.3306497196077941
LaraAstiasoHuntly2023_invivo,protocol_v0_2_family_confidence,3,188,3.2755602726532294,8.537299169273812,0.408485292371545
McFarlandTsherniak2020,protocol_v0_2_family_confidence,0,582,2.105267365542812,2.8398861298120663,-0.14674714108062817
McFarlandTsherniak2020,protocol_v0_2_family_confidence,1,581,2.8457913933264654,8.481754326068756,-0.06799437605133549
McFarlandTsherniak2020,protocol_v0_2_family_confidence,2,581,8.537299169273812,97.30708177563027,0.01282469213366263
McFarlandTsherniak2020,protocol_v0_2_family_confidence,3,582,97.47055625003175,646.1950147470933,-0.14691906936826257
SantinhaPlatt2023,protocol_v0_2_family_confidence,0,137,2.105267365542812,2.520735794292297,0.12315224382382015
SantinhaPlatt2023,protocol_v0_2_family_confidence,1,136,2.520956953414398,2.854452986578821,0.1142902125188223
SantinhaPlatt2023,protocol_v0_2_family_confidence,2,136,2.8556248170286653,3.2747187588693536,0.218848958148474
SantinhaPlatt2023,protocol_v0_2_family_confidence,3,137,3.2747187588693536,8.537299169273812,0.16653831977390293
SrivatsanTrapnell2020_sciplex3,protocol_v0_2_family_confidence,0,282,2.105267365542812,2.5149920189252795,0.4807765499325312
SrivatsanTrapnell2020_sciplex3,protocol_v0_2_family_confidence,1,282,2.5149920189252795,2.852233885555208,0.4390852914319648
SrivatsanTrapnell2020_sciplex3,protocol_v0_2_family_confidence,2,282,2.852233885555208,3.21357848016445,0.42928780522606375
SrivatsanTrapnell2020_sciplex3,protocol_v0_2_family_confidence,3,282,3.2145042399942034,8.537299169273812,0.35771145683165184
