source_dataset,target_dataset,target_error,risk_model,reject_fraction,n_kept,kept_mean_error,kept_vs_all_error_ratio
Adamson,Norman,task_max_rmse,magnitude,0.2,19,0.11736059013469294,0.9653659838806304
Adamson,Norman,task_max_rmse,magnitude,0.3,16,0.10545431931454566,0.867429284419173
Adamson,Norman,task_max_rmse,magnitude_plus_disagreement,0.0,24,0.12157108505410609,1.0
Adamson,Norman,task_max_rmse,magnitude_plus_disagreement,0.1,21,0.11419331650111009,0.9393131306699083
Adamson,Norman,task_max_rmse,magnitude_plus_disagreement,0.2,19,0.10696762171956373,0.879877165462141
Adamson,Norman,task_max_rmse,magnitude_plus_disagreement,0.3,16,0.1016964308069559,0.836518245779374
Norman,Adamson,gears_ensemble_rmse,magnitude,0.0,24,0.10013181826981699,0.9999999999999999
Norman,Adamson,gears_ensemble_rmse,magnitude,0.1,21,0.09973540586665097,0.9960410945290352
Norman,Adamson,gears_ensemble_rmse,magnitude,0.2,19,0.10179380436703514,1.0165979817997484
Norman,Adamson,gears_ensemble_rmse,magnitude,0.3,16,0.09980021729017609,0.9966883555559994
Norman,Adamson,gears_ensemble_rmse,magnitude_plus_disagreement,0.0,24,0.100131818269817,1.0
Norman,Adamson,gears_ensemble_rmse,magnitude_plus_disagreement,0.1,21,0.09863689337599173,0.9850704309613452
Norman,Adamson,gears_ensemble_rmse,magnitude_plus_disagreement,0.2,19,0.09019300834361958,0.9007427399409035
Norman,Adamson,gears_ensemble_rmse,magnitude_plus_disagreement,0.3,16,0.08626984941506842,0.8615627969783204
Norman,Adamson,scgpt_finetuned_rmse,magnitude,0.0,24,0.11505550840568808,1.0000000000000002
Norman,Adamson,scgpt_finetuned_rmse,magnitude,0.1,21,0.10912489248406608,0.9484543069358269
Norman,Adamson,scgpt_finetuned_rmse,magnitude,0.2,19,0.10810915007116616,0.9396260254656482
Norman,Adamson,scgpt_finetuned_rmse,magnitude,0.3,16,0.09889164138756201,0.8595124454091156
Norman,Adamson,scgpt_finetuned_rmse,magnitude_plus_disagreement,0.0,24,0.11505550840568807,1.0
Norman,Adamson,scgpt_finetuned_rmse,magnitude_plus_disagreement,0.1,21,0.10857966464280808,0.9437154826169118
Norman,Adamson,scgpt_finetuned_rmse,magnitude_plus_disagreement,0.2,19,0.10134448366786666,0.8808312185325708
Norman,Adamson,scgpt_finetuned_rmse,magnitude_plus_disagreement,0.3,16,0.09867563937950849,0.8576350732515663
Norman,Adamson,task_mean_rmse,magnitude,0.0,24,0.10759366333775251,1.0
Norman,Adamson,task_mean_rmse,magnitude,0.1,21,0.1037989249552927,0.9647308376279785
Norman,Adamson,task_mean_rmse,magnitude,0.2,19,0.10344826209520475,0.961471697180393
Norman,Adamson,task_mean_rmse,magnitude,0.3,16,0.09198710317770695,0.8549490771491417
Norman,Adamson,task_mean_rmse,magnitude_plus_disagreement,0.0,24,0.10759366333775251,1.0
Norman,Adamson,task_mean_rmse,magnitude_plus_disagreement,0.1,21,0.10360827900939991,0.9629589308076454
Norman,Adamson,task_mean_rmse,magnitude_plus_disagreement,0.2,19,0.09576874600574312,0.8900965264572392
Norman,Adamson,task_mean_rmse,magnitude_plus_disagreement,0.3,16,0.09278861094545518,0.8623984728001864
Norman,Adamson,task_max_rmse,magnitude,0.0,24,0.1187778034216892,1.0
Norman,Adamson,task_max_rmse,magnitude,0.1,21,0.11454227441853512,0.9643407363906458
Norman,Adamson,task_max_rmse,magnitude,0.2,19,0.11500075553615123,0.96820072625751
Norman,Adamson,task_max_rmse,magnitude,0.3,16,0.10079322513662829,0.8485863707951273
Norman,Adamson,task_max_rmse,magnitude_plus_disagreement,0.0,24,0.1187778034216892,1.0
Norman,Adamson,task_max_rmse,magnitude_plus_disagreement,0.1,21,0.11283371608966654,0.9499562446788163
Norman,Adamson,task_max_rmse,magnitude_plus_disagreement,0.2,19,0.10375142455146141,0.8734916925776056
Norman,Adamson,task_max_rmse,magnitude_plus_disagreement,0.3,16,0.10116939423488983,0.8517533690677427
