test_index,condition,gene_a,gene_b,score_name,raw_value,analysis_score,raw_orientation,analysis_orientation,estimability_before_truth,direction_frozen_before_E163
7,EP300+IKZF1,EP300,IKZF1,min_train_pair_degree_confidence,2,1.0986122886681096,higher_train_pair_degree,higher_expected_accuracy,estimable,True
7,EP300+IKZF1,EP300,IKZF1,matching_se_pca10_confidence,0.25515169482021027,-0.25515169482021027,higher_uncertainty,higher_expected_accuracy,estimable,True
7,EP300+IKZF1,EP300,IKZF1,matching_se_gene_confidence,0.03772083291499078,-0.03772083291499078,higher_uncertainty,higher_expected_accuracy,estimable_sensitivity,True
7,EP300+IKZF1,EP300,IKZF1,matching_magnitude_confidence,0.088199155222520725,-0.088199155222520725,higher_effect_size,higher_expected_accuracy,estimable,True
7,EP300+IKZF1,EP300,IKZF1,hash_random_confidence,0.85721637828388464,0.85721637828388464,random_no_semantic_direction,higher_expected_accuracy,estimable_negative_control,True
7,EP300+IKZF1,EP300,IKZF1,constant_confidence,0,0,constant,higher_expected_accuracy,constant_non_estimable,True
7,EP300+IKZF1,EP300,IKZF1,exact_pair_support_confidence,0,0,higher_exact_pair_support,higher_expected_accuracy,constant_non_estimable_by_design,True
8,EP300+MYB,EP300,MYB,min_single_cell_count_confidence,15,2.7725887222397811,higher_singleton_cell_support,higher_expected_accuracy,estimable,True
8,EP300+MYB,EP300,MYB,min_train_pair_degree_confidence,1,0.69314718055994529,higher_train_pair_degree,higher_expected_accuracy,estimable,True
8,EP300+MYB,EP300,MYB,matching_se_pca10_confidence,0.3969019348496145,-0.3969019348496145,higher_uncertainty,higher_expected_accuracy,estimable,True
8,EP300+MYB,EP300,MYB,matching_se_gene_confidence,0.059260415162402533,-0.059260415162402533,higher_uncertainty,higher_expected_accuracy,estimable_sensitivity,True
8,EP300+MYB,EP300,MYB,matching_magnitude_confidence,0.13818092841232135,-0.13818092841232135,higher_effect_size,higher_expected_accuracy,estimable,True
8,EP300+MYB,EP300,MYB,hash_random_confidence,0.24323813235327224,0.24323813235327224,random_no_semantic_direction,higher_expected_accuracy,estimable_negative_control,True
8,EP300+MYB,EP300,MYB,constant_confidence,0,0,constant,higher_expected_accuracy,constant_non_estimable,True
8,EP300+MYB,EP300,MYB,exact_pair_support_confidence,0,0,higher_exact_pair_support,higher_expected_accuracy,constant_non_estimable_by_design,True
9,FLI1+GSE1,FLI1,GSE1,min_single_cell_count_confidence,92,4.5325994931532554,higher_singleton_cell_support,higher_expected_accuracy,estimable,True
9,FLI1+GSE1,FLI1,GSE1,min_train_pair_degree_confidence,5,1.791759469228055,higher_train_pair_degree,higher_expected_accuracy,estimable,True
9,FLI1+GSE1,FLI1,GSE1,matching_se_pca10_confidence,0.19722813092605357,-0.19722813092605357,higher_uncertainty,higher_expected_accuracy,estimable,True
9,FLI1+GSE1,FLI1,GSE1,matching_se_gene_confidence,0.028954466669227991,-0.028954466669227991,higher_uncertainty,higher_expected_accuracy,estimable_sensitivity,True
9,FLI1+GSE1,FLI1,GSE1,matching_magnitude_confidence,0.091043667883852361,-0.091043667883852361,higher_effect_size,higher_expected_accuracy,estimable,True
9,FLI1+GSE1,FLI1,GSE1,hash_random_confidence,0.87850355240119671,0.87850355240119671,random_no_semantic_direction,higher_expected_accuracy,estimable_negative_control,True
9,FLI1+GSE1,FLI1,GSE1,constant_confidence,0,0,constant,higher_expected_accuracy,constant_non_estimable,True
9,FLI1+GSE1,FLI1,GSE1,exact_pair_support_confidence,0,0,higher_exact_pair_support,higher_expected_accuracy,constant_non_estimable_by_design,True
10,FLI1+HDAC3,FLI1,HDAC3,min_single_cell_count_confidence,96,4.5747109785033828,higher_singleton_cell_support,higher_expected_accuracy,estimable,True
10,FLI1+HDAC3,FLI1,HDAC3,min_train_pair_degree_confidence,5,1.791759469228055,higher_train_pair_degree,higher_expected_accuracy,estimable,True
10,FLI1+HDAC3,FLI1,HDAC3,matching_se_pca10_confidence,0.19790412972976074,-0.19790412972976074,higher_uncertainty,higher_expected_accuracy,estimable,True
10,FLI1+HDAC3,FLI1,HDAC3,matching_se_gene_confidence,0.029267785835734205,-0.029267785835734205,higher_uncertainty,higher_expected_accuracy,estimable_sensitivity,True
