scope,target,method,budget,n_tasks,spearman,utility,capture,remaining_relative_error
primary,hepg2,E232,0.2,405,0.7996835151495446,0.8222390144561642,0.29009901725919124,0.8873762284260108
primary,hepg2,E232,0.3,405,0.7996835151495446,0.8034917738878348,0.4060655482680878,0.8499768655527365
primary,jurkat,M,0.1,421,0.7094741700532478,0.7107420934713137,0.14733112252233843,0.9496656016351734
primary,jurkat,M,0.2,421,0.7094741700532478,0.7367456992605275,0.2719763794122845,0.9121962627006794
primary,jurkat,M,0.3,421,0.7094741700532478,0.7261540541056949,0.3845356782531642,0.881328161412986
primary,jurkat,M+D,0.1,421,0.7259976060453773,0.7042653069483132,0.14691928858533898,0.9501242844062759
primary,jurkat,M+D,0.2,421,0.7259976060453773,0.7187254761202977,0.27026237183165225,0.9143438733895071
primary,jurkat,M+D,0.3,421,0.7259976060453773,0.7516839896715903,0.3874493046150619,0.8771559277450985
primary,jurkat,M+G,0.1,421,0.7238831545218462,0.6307748426911268,0.1422463127014693,0.9553288422028609
primary,jurkat,M+G,0.2,421,0.7238831545218462,0.7207603209794092,0.2704559176877045,0.9141013650401085
primary,jurkat,M+G,0.3,421,0.7238831545218462,0.7072778141128759,0.38238141075356047,0.8844130138528946
primary,jurkat,M+H,0.1,421,0.7298133144909557,0.7436526651602692,0.1494237791599214,0.9473348914647437
primary,jurkat,M+H,0.2,421,0.7298133144909557,0.7440513820735664,0.2726712651318341,0.9113255874389817
primary,jurkat,M+H,0.3,421,0.7298133144909557,0.7435217163695308,0.38651777799195264,0.8784898485217276
primary,jurkat,M+N,0.1,421,0.7181703371516694,0.6942781564630472,0.14628424410932508,0.950831569391466
primary,jurkat,M+N,0.2,421,0.7181703371516694,0.7162817158037676,0.2700299316628938,0.9146351153866717
primary,jurkat,M+N,0.3,421,0.7181703371516694,0.7121556052748215,0.38293809296220116,0.8836158600779365
primary,jurkat,M+C,0.1,421,0.6959510595561078,0.6154178490238964,0.1412698205567937,0.9564164167872747
primary,jurkat,M+C,0.2,421,0.6959510595561078,0.6933945351163749,0.2678529996186999,0.9173627594063313
primary,jurkat,M+C,0.3,421,0.6959510595561078,0.741382505112695,0.3862736386248361,0.8788394494521905
primary,jurkat,E230,0.1,421,0.7373351772888775,0.7119151300351041,0.14740571140443212,0.9495825277744289
primary,jurkat,E230,0.2,421,0.7373351772888775,0.7389684461062777,0.2721877977123685,0.9119313606044429
primary,jurkat,E230,0.3,421,0.7373351772888775,0.7281336623509067,0.38476160278613414,0.8810046436293792
primary,jurkat,E232,0.1,421,0.7315568728420101,0.723575074685639,0.14814712242571135,0.948756776345967
primary,jurkat,E232,0.2,421,0.7315568728420101,0.7487740892902567,0.27312046911269056,0.9107627455463015
primary,jurkat,E232,0.3,421,0.7315568728420101,0.702955641687322,0.38188813902213536,0.8851193655499354
all,K562,M,0.1,580,0.9001310328221698,0.9609857583039885,0.17872579205105382,0.9125268977210513
all,K562,M,0.2,580,0.9001310328221698,0.9330814158108366,0.311050208148966,0.8611872398137925
all,K562,M,0.3,580,0.9001310328221698,0.9314668231235753,0.4314812090480798,0.8121697013598861
all,K562,M+D,0.1,580,0.9083987667838476,0.9134062892328929,0.17482799090715204,0.9168577878809423
all,K562,M+D,0.2,580,0.9083987667838476,0.9192296462476254,0.3094016468689308,0.8632479414138364
all,K562,M+D,0.3,580,0.9083987667838476,0.9334980490641323,0.43176792676671916,0.8117601046189726
all,K562,M+G,0.1,580,0.9029437044396372,0.860615519446972,0.17050327003749396,0.9216630332916733
all,K562,M+G,0.2,580,0.9029437044396372,0.9124744796731158,0.3085976841691397,0.8642528947885755
all,K562,M+G,0.3,580,0.9029437044396372,0.9378941967137924,0.43238846503365697,0.81087362138049
all,K562,M+H,0.1,580,0.9005527044228594,0.8958041314229117,0.1733859884597442,0.9184600128225064
all,K562,M+H,0.2,580,0.9005527044228594,0.946123684441019,0.312602427088894,0.8592469661388824
all,K562,M+H,0.3,580,0.9005527044228594,0.9267194324425285,0.4308110910674152,0.8131270127608353
all,K562,M+N,0.1,580,0.903877329241307,0.922746883363364,0.17559319025042489,0.9160075663884168
all,K562,M+N,0.2,580,0.903877329241307,0.9271439939188719,0.3103435689149202,0.8620705388563498
all,K562,M+N,0.3,580,0.903877329241307,0.9373873876261942,0.4323169263916574,0.8109758194404894
all,K562,M+C,0.1,580,0.8963801913798788,0.927317421256575,0.17596761745981185,0.9155915361557646
all,K562,M+C,0.2,580,0.8963801913798788,0.9260196347524677,0.3102097538829759,0.8622378076462802
all,K562,M+C,0.3,580,0.8963801913798788,0.9406868888212685,0.4327826675169604,0.8103104749757709
all,K562,E230,0.1,580,0.9133566032323513,0.9351571042677985,0.17660985929238282,0.9148779341195747
all,K562,E230,0.2,580,0.9133566032323513,0.9359034223594634,0.31138606781706407,0.8607674152286698
all,K562,E230,0.3,580,0.9133566032323513,0.9397126473389442,0.43264514845045055,0.8105069307850706
all,K562,E232,0.1,580,0.9143028737118517,0.9523929070690983,0.1780218492365032,0.9133090564038854
all,K562,E232,0.2,580,0.9143028737118517,0.9351562661321773,0.3112971454002696,0.8608785682496631
all,K562,E232,0.3,580,0.9143028737118517,0.9436995917330671,0.43320792562762245,0.8097029633891107
all,RPE1,M,0.1,467,0.589483906345253,0.5416596235342879,0.13468404374267626,0.9621489323146907
all,RPE1,M,0.2,467,0.589483906345253,0.6188014093598604,0.2609183901050357,0.9253381013966443
all,RPE1,M,0.3,467,0.589483906345253,0.5956999040385799,0.37359021564653827,0.8973416235983639
all,RPE1,M+D,0.1,467,0.5621008202075428,0.5316379684555117,0.13405421346873891,0.9628492435954736
all,RPE1,M+D,0.2,467,0.5621008202075428,0.6150936514170428,0.26056107525938493,0.9257854634151937
all,RPE1,M+D,0.3,467,0.5621008202075428,0.5923496055818436,0.3731871729293652,0.897918988472351
all,RPE1,M+G,0.1,467,0.6132234547742096,0.6093230962347514,0.13893648540141365,0.9574206221846185
all,RPE1,M+G,0.2,467,0.6132234547742096,0.6551414174088712,0.2644204591632746,0.9209534733800288
all,RPE1,M+G,0.3,467,0.6132234547742096,0.6339595338719727,0.37819286981756695,0.8907482509055099
all,RPE1,M+H,0.1,467,0.6125992507528509,0.6193748925530898,0.13956820995978014,0.9567182046399588
all,RPE1,M+H,0.2,467,0.6125992507528509,0.668251528543176,0.2656838742536511,0.9193716641381903
all,RPE1,M+H,0.3,467,0.6125992507528509,0.6299304862732295,0.3777081732113431,0.8914425862279225
all,RPE1,M+N,0.1,467,0.5892615493712037,0.5739607335988289,0.13671406940615324,0.9598917371126819
all,RPE1,M+N,0.2,467,0.5892615493712037,0.627784959989912,0.2617841305487966,0.9242541850769758
all,RPE1,M+N,0.3,467,0.5892615493712037,0.6026930240333903,0.37443149176585205,0.8961364826544388
all,RPE1,M+C,0.1,467,0.5798160018229684,0.5784149986721543,0.13699400629973715,0.9595804739476732
all,RPE1,M+C,0.2,467,0.5798160018229684,0.5909799549440748,0.2582372499541221,0.9286949176177612
all,RPE1,M+C,0.3,467,0.5798160018229684,0.5912214018248033,0.37305144940692847,0.8981134144998907
all,RPE1,E230,0.1,467,0.6017025600733866,0.6375405846766065,0.14070986797499627,0.9554487896563734
all,RPE1,E230,0.2,467,0.6017025600733866,0.6686753838520246,0.26572472098544836,0.9193205235919453
all,RPE1,E230,0.3,467,0.6017025600733866,0.6139329334893169,0.3757836589552521,0.8941994824168625
all,RPE1,E232,0.1,467,0.6022323110714912,0.6280777873783466,0.14011516019791476,0.9561100480656518
all,RPE1,E232,0.2,467,0.6022323110714912,0.6601199391569755,0.2649002369042782,0.9203527865032227
all,RPE1,E232,0.3,467,0.6022323110714912,0.616777014574152,0.3761258034486742,0.8937093551824207
