method,baseline,budget,metric,delta,ci95_lower,ci95_upper,positive_studies,n_studies
MD,magnitude,0.2,utility,-0.006685487051265829,-0.033323737368689044,0.01684416073582297,2,4
MD,magnitude,0.2,capture,-0.000779487748551598,-0.0032942118338889492,0.0010282307617298578,2,4
MD,magnitude,0.2,spearman,0.0055302072688279275,0.0003876931035518838,0.01057754417709185,3,4
MD,magnitude,0.2,remaining_relative_error,0.001018962182485872,-0.0012481097943617125,0.004150295606961257,2,4
MDH,magnitude,0.2,utility,-0.0025409922083717354,-0.020289711452171885,0.015207727035428414,2,4
MDH,magnitude,0.2,capture,-0.0006401379338007995,-0.00237666140948848,0.0009665643261816265,2,4
MDH,magnitude,0.2,spearman,0.005922235527786257,-0.00019543657039845785,0.012944146791727992,3,4
MDH,magnitude,0.2,remaining_relative_error,0.0008287980185583965,-0.00122416044427065,0.002959413645447717,2,4
MDH_condition,magnitude,0.2,utility,-0.0006845435335112726,-0.03300319038913055,0.01864129003700793,3,4
MDH_condition,magnitude,0.2,capture,-0.0004277235153819364,-0.003178471869998409,0.0011389919085154632,3,4
MDH_condition,magnitude,0.2,spearman,0.004165806927968731,-0.0028741346943848833,0.00933985838402114,3,4
MDH_condition,magnitude,0.2,remaining_relative_error,0.0005443393714063827,-0.0014330880852568006,0.004031561267763217,1,4
M,M,0.2,utility,0.0,0.0,0.0,0,4
M,M,0.2,capture,0.0,0.0,0.0,0,4
M,M,0.2,spearman,0.0,0.0,0.0,0,4
M,M,0.2,remaining_relative_error,0.0,0.0,0.0,0,4
MD,M,0.2,utility,-0.006685487051265829,-0.033323737368689044,0.01684416073582297,2,4
MD,M,0.2,capture,-0.000779487748551598,-0.0032942118338889492,0.0010282307617298578,2,4
MD,M,0.2,spearman,0.0055302072688279275,0.0003876931035518838,0.01057754417709185,3,4
MD,M,0.2,remaining_relative_error,0.001018962182485872,-0.0012481097943617125,0.004150295606961257,2,4
MDH,M,0.2,utility,-0.0025409922083717354,-0.020289711452171885,0.015207727035428414,2,4
MDH,M,0.2,capture,-0.0006401379338007995,-0.00237666140948848,0.0009665643261816265,2,4
MDH,M,0.2,spearman,0.005922235527786257,-0.00019543657039845785,0.012944146791727992,3,4
MDH,M,0.2,remaining_relative_error,0.0008287980185583965,-0.00122416044427065,0.002959413645447717,2,4
MDH_condition,M,0.2,utility,-0.0006845435335112726,-0.03300319038913055,0.01864129003700793,3,4
MDH_condition,M,0.2,capture,-0.0004277235153819364,-0.003178471869998409,0.0011389919085154632,3,4
MDH_condition,M,0.2,spearman,0.004165806927968731,-0.0028741346943848833,0.00933985838402114,3,4
MDH_condition,M,0.2,remaining_relative_error,0.0005443393714063827,-0.0014330880852568006,0.004031561267763217,1,4
M,MD,0.2,utility,0.006685487051265829,-0.01684416073582297,0.033323737368689044,2,4
M,MD,0.2,capture,0.000779487748551598,-0.0010282307617298578,0.0032942118338889492,2,4
M,MD,0.2,spearman,-0.0055302072688279275,-0.01057754417709185,-0.0003876931035518838,1,4
M,MD,0.2,remaining_relative_error,-0.001018962182485872,-0.004150295606961257,0.0012481097943617125,2,4
MD,MD,0.2,utility,0.0,0.0,0.0,0,4
MD,MD,0.2,capture,0.0,0.0,0.0,0,4
MD,MD,0.2,spearman,0.0,0.0,0.0,0,4
MD,MD,0.2,remaining_relative_error,0.0,0.0,0.0,0,4
MDH,MD,0.2,utility,0.004144494842894093,-0.005415569158649394,0.013704558844437581,2,4
MDH,MD,0.2,capture,0.0001393498147507985,-0.00046184063314458346,0.0007639521127937796,2,4
MDH,MD,0.2,spearman,0.0003920282589583296,-0.0014140741209907187,0.0022131253006392737,2,4
MDH,MD,0.2,remaining_relative_error,-0.00019016416392747537,-0.0009959914971495454,0.0005785440024574373,2,4
