dataset,fold_id,score,endpoint,n_tasks,spearman
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,safeconf_frozen_pair_risk,error_centered_pearson_mean,69,0.29430032882718304
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,safeconf_frozen_pair_risk,error_centered_cosine_mean,69,0.312130069419072
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,safeconf_frozen_pair_risk,excess_rmse_mean_vs_training_perturbed_mean,69,0.015674095725246622
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,risk_model_disagreement,error_two_predictor_mean_rmse,69,0.07745706978443552
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,risk_model_disagreement,error_centered_pearson_mean,69,-0.010230179028132993
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,risk_model_disagreement,error_centered_cosine_mean,69,0.0038363171355498727
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,risk_model_disagreement,excess_rmse_mean_vs_training_perturbed_mean,69,-0.10931677018633543
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,baseline_predicted_magnitude,error_two_predictor_mean_rmse,69,0.008220679576178298
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,baseline_predicted_magnitude,error_centered_pearson_mean,69,-0.0935330654000731
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,baseline_predicted_magnitude,error_centered_cosine_mean,69,-0.08987943003288275
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,baseline_predicted_magnitude,excess_rmse_mean_vs_training_perturbed_mean,69,-0.15462184873949583
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,safeconf_calibrated_pair_risk,error_two_predictor_mean_rmse,69,0.4598465473145781
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,safeconf_calibrated_pair_risk,error_centered_pearson_mean,69,0.3327365728900256
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,safeconf_calibrated_pair_risk,error_centered_cosine_mean,69,0.31070515162586776
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,safeconf_calibrated_pair_risk,excess_rmse_mean_vs_training_perturbed_mean,69,0.0027036901717208627
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,safeconf_frozen_pair_risk,error_two_predictor_mean_rmse,69,0.4709901351845086
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,safeconf_frozen_pair_risk,error_centered_pearson_mean,69,0.35191815856777503
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,safeconf_frozen_pair_risk,error_centered_cosine_mean,69,0.3347460723419803
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,safeconf_frozen_pair_risk,excess_rmse_mean_vs_training_perturbed_mean,69,0.03335769090244794
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,risk_model_disagreement,error_two_predictor_mean_rmse,69,0.31962002192181227
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,risk_model_disagreement,error_centered_pearson_mean,69,0.16949214468396054
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,risk_model_disagreement,error_centered_cosine_mean,69,0.163646328096456
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,risk_model_disagreement,excess_rmse_mean_vs_training_perturbed_mean,69,-0.08724881256850568
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,baseline_predicted_magnitude,error_two_predictor_mean_rmse,69,0.23511143587869934
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,baseline_predicted_magnitude,error_centered_pearson_mean,69,0.05348922177566679
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,baseline_predicted_magnitude,error_centered_cosine_mean,69,0.034198027036901724
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,baseline_predicted_magnitude,excess_rmse_mean_vs_training_perturbed_mean,69,-0.2214103032517355
Liang,Liang_context_holdout_1_DM2_1,safeconf_calibrated_pair_risk,error_two_predictor_mean_rmse,68,0.4583730961560484
Liang,Liang_context_holdout_1_DM2_1,safeconf_calibrated_pair_risk,error_centered_pearson_mean,68,0.18170019467877999
Liang,Liang_context_holdout_1_DM2_1,safeconf_calibrated_pair_risk,error_centered_cosine_mean,68,0.17547810818032597
Liang,Liang_context_holdout_1_DM2_1,safeconf_calibrated_pair_risk,excess_rmse_mean_vs_training_perturbed_mean,68,0.051456273619116685
Liang,Liang_context_holdout_1_DM2_1,safeconf_frozen_pair_risk,error_two_predictor_mean_rmse,68,0.3173645837309615
Liang,Liang_context_holdout_1_DM2_1,safeconf_frozen_pair_risk,error_centered_pearson_mean,68,0.2221246707638279
Liang,Liang_context_holdout_1_DM2_1,safeconf_frozen_pair_risk,error_centered_cosine_mean,68,0.21674237508111613
Liang,Liang_context_holdout_1_DM2_1,safeconf_frozen_pair_risk,excess_rmse_mean_vs_training_perturbed_mean,68,0.15906401496354544
Liang,Liang_context_holdout_1_DM2_1,risk_model_disagreement,error_two_predictor_mean_rmse,68,-0.08218498301332212
Liang,Liang_context_holdout_1_DM2_1,risk_model_disagreement,error_centered_pearson_mean,68,0.07611558575409397
Liang,Liang_context_holdout_1_DM2_1,risk_model_disagreement,error_centered_cosine_mean,68,0.07321449020880252
Liang,Liang_context_holdout_1_DM2_1,risk_model_disagreement,excess_rmse_mean_vs_training_perturbed_mean,68,0.10936366759552618
Liang,Liang_context_holdout_1_DM2_1,baseline_predicted_magnitude,error_two_predictor_mean_rmse,68,-0.0873382448371951
Liang,Liang_context_holdout_1_DM2_1,baseline_predicted_magnitude,error_centered_pearson_mean,68,-0.019391533381684926
Liang,Liang_context_holdout_1_DM2_1,baseline_predicted_magnitude,error_centered_cosine_mean,68,-0.02164369966026644
Liang,Liang_context_holdout_1_DM2_1,baseline_predicted_magnitude,excess_rmse_mean_vs_training_perturbed_mean,68,-0.042218574645951815
Liang,Liang_context_holdout_2_DM2_2,safeconf_calibrated_pair_risk,error_two_predictor_mean_rmse,68,0.17440928350574492
Liang,Liang_context_holdout_2_DM2_2,safeconf_calibrated_pair_risk,error_centered_pearson_mean,68,0.1753635912509066
Liang,Liang_context_holdout_2_DM2_2,safeconf_calibrated_pair_risk,error_centered_cosine_mean,68,0.17280604649387335
Liang,Liang_context_holdout_2_DM2_2,safeconf_calibrated_pair_risk,excess_rmse_mean_vs_training_perturbed_mean,68,0.10046951941061953
Liang,Liang_context_holdout_2_DM2_2,safeconf_frozen_pair_risk,error_two_predictor_mean_rmse,68,0.15696453792418977
Liang,Liang_context_holdout_2_DM2_2,safeconf_frozen_pair_risk,error_centered_pearson_mean,68,0.11039431996030079
Liang,Liang_context_holdout_2_DM2_2,safeconf_frozen_pair_risk,error_centered_cosine_mean,68,0.10623353819139597
Liang,Liang_context_holdout_2_DM2_2,safeconf_frozen_pair_risk,excess_rmse_mean_vs_training_perturbed_mean,68,0.014200099248005497
Liang,Liang_context_holdout_2_DM2_2,risk_model_disagreement,error_two_predictor_mean_rmse,68,0.20445089132343397
Liang,Liang_context_holdout_2_DM2_2,risk_model_disagreement,error_centered_pearson_mean,68,0.1691033324426461
Liang,Liang_context_holdout_2_DM2_2,risk_model_disagreement,error_centered_cosine_mean,68,0.16875978165438787
Liang,Liang_context_holdout_2_DM2_2,risk_model_disagreement,excess_rmse_mean_vs_training_perturbed_mean,68,0.07951292132686948
Liang,Liang_context_holdout_2_DM2_2,baseline_predicted_magnitude,error_two_predictor_mean_rmse,68,0.15036072832767108
Liang,Liang_context_holdout_2_DM2_2,baseline_predicted_magnitude,error_centered_pearson_mean,68,0.1804405084551666
Liang,Liang_context_holdout_2_DM2_2,baseline_predicted_magnitude,error_centered_cosine_mean,68,0.18063137000419896
Liang,Liang_context_holdout_2_DM2_2,baseline_predicted_magnitude,excess_rmse_mean_vs_training_perturbed_mean,68,0.13959613696224757
Liang,Liang_context_holdout_3_DM2_3,safeconf_calibrated_pair_risk,error_two_predictor_mean_rmse,68,0.2856433942817879
Liang,Liang_context_holdout_3_DM2_3,safeconf_calibrated_pair_risk,error_centered_pearson_mean,68,0.039126617551628044
Liang,Liang_context_holdout_3_DM2_3,safeconf_calibrated_pair_risk,error_centered_cosine_mean,68,0.03309539260220635
