dataset,predictor,method,n_folds,utility20_mean,delta_utility20_vs_M,positive_utility_folds_vs_M,spearman_mean,delta_spearman_vs_M,positive_spearman_folds_vs_M
CuiHacohen2023,V0StrongBaseline,P_plus_B_plus_E_dynamic,5,0.7938032467653576,0.40207845316677365,5,0.7555512767160095,0.3004378335981921,5
CuiHacohen2023,V0StrongBaseline,P_plus_E,5,0.7794317917686646,0.3877069981700807,5,0.7153230867693884,0.26020964365157084,5
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,P,5,0.16006740395238245,0.10458170507636382,4,0.15590857182037987,0.015253777617897873,4
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,P_plus_B,5,0.9358769944638695,0.8803912955878509,5,0.6575280247779963,0.5168732305755143,5
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,P_plus_B_plus_E,5,0.9530232098983505,0.897537511022332,5,0.6704934306986545,0.5298386364961725,5
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,P_plus_B_plus_E_dynamic,5,0.969154427094787,0.9136687282187685,5,0.7474492246110763,0.6067944304085944,5
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,P_plus_E,5,0.8916495812184146,0.8361638823423961,5,0.5508857808857809,0.4102309866832988,5
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,P,5,0.21545925527600454,-4.567628357372011e-05,4,0.5889733668078384,0.12249898539787951,5
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,P_plus_B,5,0.4130157592063921,0.1975108276468139,4,0.795798143458658,0.32932376204869906,5
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,P_plus_B_plus_E,5,0.6066160650817537,0.39111113352217536,4,0.8479791352925681,0.3815047538826092,5
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,P_plus_B_plus_E_dynamic,5,0.8419685039743021,0.6264635724147238,5,0.9296145717525814,0.46314019034262255,5
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,P_plus_E,5,0.26206165378885937,0.04655672222928111,2,0.7214900335982426,0.2550156521882836,4
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,P,5,0.15724595271010772,-0.0006896537681823689,2,0.5558838592582654,0.03640158895678034,5
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,P_plus_B,5,0.383132629689535,0.22519702321124485,4,0.7853658107976322,0.26588354049614715,5
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,P_plus_B_plus_E,5,0.5605322124208874,0.4025966059425973,4,0.8256315077956868,0.3061492374942018,5
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,P_plus_B_plus_E_dynamic,5,0.8381865365716411,0.680250930093351,5,0.9189865365292021,0.39950426622771706,5
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,P_plus_E,5,0.17622869548662165,0.01829308900833155,3,0.6868531779166107,0.16737090761512563,4
SantinhaPlatt2023,ContextSimBaseline,P,5,0.2341642364217727,-0.014115102339199872,1,0.2993339342991776,-0.027755654901257497,1
SantinhaPlatt2023,ContextSimBaseline,P_plus_B,5,0.5247197192402667,0.2764403804792941,4,0.7202185324330309,0.39312894323259584,5
SantinhaPlatt2023,ContextSimBaseline,P_plus_B_plus_E,5,0.7426039822410396,0.49432464348006694,5,0.7873144531734402,0.46022486397300516,5
SantinhaPlatt2023,ContextSimBaseline,P_plus_B_plus_E_dynamic,5,0.7344191973236441,0.4861398585626716,5,0.8284830793160628,0.5013934901156276,5
SantinhaPlatt2023,ContextSimBaseline,P_plus_E,5,0.603056746683456,0.35477740792248336,5,0.7425864547016484,0.41549686550121334,5
SantinhaPlatt2023,PertMeanPredictor,P,5,0.11113202087683591,-0.03811875159899062,2,0.30693189707587565,-0.005336796823392531,3
SantinhaPlatt2023,PertMeanPredictor,P_plus_B,5,0.5871003186921697,0.4378495462163432,5,0.6747037263615043,0.36243503246223613,5
SantinhaPlatt2023,PertMeanPredictor,P_plus_B_plus_E,5,0.7599811525883353,0.6107303801125087,5,0.7693417439892117,0.4570730500899436,5
SantinhaPlatt2023,PertMeanPredictor,P_plus_B_plus_E_dynamic,5,0.8186378931298604,0.6693871206540339,5,0.8198832442739455,0.5076145503746774,5
SantinhaPlatt2023,PertMeanPredictor,P_plus_E,5,0.6530569080989671,0.5038061356231405,5,0.715139283093603,0.4028705891943347,5
SantinhaPlatt2023,V0StrongBaseline,P,5,0.12550011116313567,-0.04320011970359117,3,0.3621715532173667,0.013017707533194223,3
SantinhaPlatt2023,V0StrongBaseline,P_plus_B,5,0.5845528796325441,0.4158526487658172,5,0.6684354330431789,0.3192815873590063,5
SantinhaPlatt2023,V0StrongBaseline,P_plus_B_plus_E,5,0.8135466939363971,0.6448464630696702,5,0.7590307518808015,0.4098769061966291,5
SantinhaPlatt2023,V0StrongBaseline,P_plus_B_plus_E_dynamic,5,0.8105878392466472,0.6418876083799204,5,0.7956097579458522,0.4464559122616797,5
SantinhaPlatt2023,V0StrongBaseline,P_plus_E,5,0.7286432541884852,0.5599430233217584,5,0.7154508539016979,0.3662970082175255,5
