dataset,predictor,held_fold,method,n_fit,n_test,utility20,spearman
CuiHacohen2023,V0StrongBaseline,4,P_plus_B_plus_E_dynamic,1002,251,0.8014106950055668,0.708466247954214
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,0,M,259,64,0.009610443029533925,0.09684881182976854
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,0,P,259,64,0.00493800510678447,0.14765208267995636
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,0,P_plus_B,259,64,0.9808469407340429,0.6211380625185166
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,0,P_plus_E,259,64,0.8777909332824277,0.5752747252747252
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,0,P_plus_B_plus_E,259,64,0.9808469407340429,0.6453754578754577
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,0,P_plus_B_plus_E_dynamic,259,64,0.9797530166000434,0.7852367465846098
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,1,M,259,64,-0.1505269845749414,0.20742100206516195
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,1,P,259,64,0.04283653745118559,0.21022746853528498
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,1,P_plus_B,259,64,0.8998126667452471,0.6577838827838828
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,1,P_plus_E,259,64,0.9477189332498339,0.6331043956043956
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,1,P_plus_B_plus_E,259,64,0.9473518609759566,0.6804029304029303
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,1,P_plus_B_plus_E_dynamic,259,64,0.9502407120852422,0.8025968012717377
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,2,M,257,66,0.3494489620842786,0.11388837320483362
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,2,P,257,66,0.36864064091109694,0.13453991318896683
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,2,P_plus_B,257,66,0.8598780943916782,0.6209163970358001
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,2,P_plus_E,257,66,0.8065295980647047,0.3734265734265735
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,2,P_plus_B_plus_E,257,66,0.9370415133838663,0.6198726646487841
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,2,P_plus_B_plus_E_dynamic,257,66,0.9674786248699919,0.6408843261525816
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,3,M,258,65,0.1894385972645587,0.11276199866061518
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,3,P,258,65,0.4187930598413296,0.11481894274906805
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,3,P_plus_B,258,65,0.991576034750402,0.6936625874125875
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,3,P_plus_E,258,65,0.9172837141783211,0.5576048951048951
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,3,P_plus_B_plus_E,258,65,0.991576034750402,0.6895541958041957
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,3,P_plus_B_plus_E_dynamic,258,65,0.991576034750402,0.7826124981307014
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,4,M,259,64,-0.1205425234233369,0.17235378525203074
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,4,P,259,64,-0.03487122354848454,0.17230445194862318
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,4,P_plus_B,259,64,0.9472712356979773,0.6941391941391941
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,4,P_plus_E,259,64,0.908924727316786,0.6150183150183149
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,4,P_plus_B_plus_E,259,64,0.9082996996474851,0.7172619047619047
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,4,P_plus_B_plus_E_dynamic,259,64,0.9567237471682561,0.7259157509157509
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,0,M,259,64,0.08675809555606893,0.27458852271264306
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,0,P,259,64,0.08856385942476924,0.3678263576895681
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,0,P_plus_B,259,64,0.1603246045755777,0.7582133292584394
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,0,P_plus_E,259,64,0.08620763694868505,0.6226190476190475
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,0,P_plus_B_plus_E,259,64,0.27489054215748204,0.8435439560439559
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,0,P_plus_B_plus_E_dynamic,259,64,0.47543961550374464,0.848126806778314
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,1,M,259,64,0.40730931679147775,0.4488928690477416
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,1,P,259,64,0.40837152496897944,0.5868208862397487
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,1,P_plus_B,259,64,0.46782767880242576,0.7422619047619047
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,1,P_plus_E,259,64,0.3688758838495985,0.7494505494505495
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,1,P_plus_B_plus_E,259,64,0.5261185877905233,0.8102106227106226
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,1,P_plus_B_plus_E_dynamic,259,64,0.7465445511572008,0.9589173211749411
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,2,M,257,66,0.5187908854708175,0.7176147078093685
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,2,P,257,66,0.5196574286520896,0.760597491900331
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,2,P_plus_B,257,66,0.3946843919566628,0.7958876943951572
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,2,P_plus_E,257,66,0.2704453724784891,0.6955641373551823
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,2,P_plus_B_plus_E,257,66,0.43860008157164365,0.7937584803256447
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,2,P_plus_B_plus_E_dynamic,257,66,0.9936326291184943,0.94243515602487
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,3,M,258,65,-0.006375972309450717,0.3583822146120658
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,3,P,258,65,-0.011524262442464442,0.5501491529120435
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,3,P_plus_B,258,65,0.7236015391297356,0.8696241258741259
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,3,P_plus_E,258,65,0.3298380128987715,0.6927010489510489
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,3,P_plus_B_plus_E,258,65,0.9119443663251706,0.8936188811188811
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,3,P_plus_B_plus_E_dynamic,258,65,1.0,0.9647884392987237
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,4,M,259,64,0.07104233228897783,0.5328935928679756
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,4,P,259,64,0.07222772577664885,0.6794729452975008
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,4,P_plus_B,259,64,0.318640581567559,0.8130036630036629
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,4,P_plus_E,259,64,0.25494136276875273,0.8471153846153845
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,4,P_plus_B_plus_E,259,64,0.8815267475639486,0.8987637362637362
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,4,P_plus_B_plus_E_dynamic,259,64,0.9942257240920709,0.9338051354860586
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,0,M,259,64,0.032620132787907284,0.292735453878417
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,0,P,259,64,0.03535244919142073,0.314701404569663
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,0,P_plus_B,259,64,0.11638147680523378,0.7468034204177512
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,0,P_plus_E,259,64,0.03439888827221447,0.582554945054945
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,0,P_plus_B_plus_E,259,64,0.23395262839844022,0.8203296703296702
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,0,P_plus_B_plus_E_dynamic,259,64,0.4420717488982141,0.8681137600812459
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,1,M,259,64,0.33335064158999317,0.537886286797593
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,1,P,259,64,0.3345080196464349,0.5856060209998516
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,1,P_plus_B,259,64,0.41688747570302254,0.7462912087912088
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,1,P_plus_E,259,64,0.27519957624646857,0.7239926739926739
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,1,P_plus_B_plus_E,259,64,0.42010422811004444,0.7961080586080586
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,1,P_plus_B_plus_E_dynamic,259,64,0.766727623069075,0.9628730800227691
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,2,M,257,66,0.44813881364875036,0.706442928510746
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,2,P,257,66,0.443183205267543,0.7242192720348839
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,2,P_plus_B,257,66,0.33224751812900316,0.7907107817555581
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,2,P_plus_E,257,66,0.21980852566320974,0.6734787600459243
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,2,P_plus_B_plus_E,257,66,0.3600832708448092,0.7798142156351113
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,2,P_plus_B_plus_E_dynamic,257,66,0.9926613445059085,0.9235201427530941
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,3,M,258,65,-0.04522316098522805,0.44448818110523297
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,3,P,258,65,-0.04760551590488772,0.5006118881118882
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,3,P_plus_B,258,65,0.7236637348460585,0.8513111888111887
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,3,P_plus_E,258,65,0.31574257429798025,0.638854895104895
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,3,P_plus_B_plus_E,258,65,0.9110735051681593,0.864597902097902
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,3,P_plus_B_plus_E_dynamic,258,65,1.0,0.9357246981321555
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,4,M,259,64,0.020791605350027827,0.6158585012154364
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,4,P,259,64,0.020791605350027827,0.6542807105750403
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,4,P_plus_B,259,64,0.32648294296435687,0.7917124542124542
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,4,P_plus_E,259,64,0.03599391295323531,0.8153846153846153
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,4,P_plus_B_plus_E,259,64,0.8774474295829837,0.8673076923076921
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,4,P_plus_B_plus_E_dynamic,259,64,0.9894719663850076,0.904701001656746
SantinhaPlatt2023,ContextSimBaseline,0,M,218,55,0.25188463822314094,0.4232004398654725
SantinhaPlatt2023,ContextSimBaseline,0,P,218,55,0.20049164283272902,0.37936507936507946
SantinhaPlatt2023,ContextSimBaseline,0,P_plus_B,218,55,0.5214355115289717,0.7521645021645023
SantinhaPlatt2023,ContextSimBaseline,0,P_plus_E,218,55,0.6955799640869095,0.7675324675324677
SantinhaPlatt2023,ContextSimBaseline,0,P_plus_B_plus_E,218,55,0.8966326629866193,0.8343434343434344
SantinhaPlatt2023,ContextSimBaseline,0,P_plus_B_plus_E_dynamic,218,55,0.8087311975011157,0.8290043290043292
SantinhaPlatt2023,ContextSimBaseline,1,M,220,53,0.25377323769706744,0.3969595032809212
SantinhaPlatt2023,ContextSimBaseline,1,P,220,53,0.24032917962895667,0.40703112401225605
SantinhaPlatt2023,ContextSimBaseline,1,P_plus_B,220,53,0.8196298015393828,0.7677793904208998
SantinhaPlatt2023,ContextSimBaseline,1,P_plus_E,220,53,0.6637141062633455,0.7641509433962264
SantinhaPlatt2023,ContextSimBaseline,1,P_plus_B_plus_E,220,53,0.8379507087421655,0.8425253991291727
SantinhaPlatt2023,ContextSimBaseline,1,P_plus_B_plus_E_dynamic,220,53,0.8579643158218887,0.8257705567424583
SantinhaPlatt2023,ContextSimBaseline,2,M,218,55,0.22685144164091617,0.22008881045297102
SantinhaPlatt2023,ContextSimBaseline,2,P,218,55,0.22685144164091617,0.1785714285714286
SantinhaPlatt2023,ContextSimBaseline,2,P_plus_B,218,55,0.6166414089461766,0.6644300144300146
SantinhaPlatt2023,ContextSimBaseline,2,P_plus_E,218,55,0.7112253782846483,0.7860028860028861
SantinhaPlatt2023,ContextSimBaseline,2,P_plus_B_plus_E,218,55,0.8893129595280542,0.7632034632034633
SantinhaPlatt2023,ContextSimBaseline,2,P_plus_B_plus_E_dynamic,218,55,0.8862253673185367,0.8226551226551228
SantinhaPlatt2023,ContextSimBaseline,3,M,217,56,0.0007860809654339806,0.2264118777410616
SantinhaPlatt2023,ContextSimBaseline,3,P,217,56,0.01733550505028096,0.21613123718386876
SantinhaPlatt2023,ContextSimBaseline,3,P_plus_B,217,56,0.29789112767824977,0.6887218045112782
SantinhaPlatt2023,ContextSimBaseline,3,P_plus_E,217,56,0.43019927954017556,0.7103212576896788
SantinhaPlatt2023,ContextSimBaseline,3,P_plus_B_plus_E,217,56,0.44016582718904895,0.7022556390977444
SantinhaPlatt2023,ContextSimBaseline,3,P_plus_B_plus_E_dynamic,217,56,0.5880849559527591,0.8297334244702667
SantinhaPlatt2023,ContextSimBaseline,4,M,219,54,0.5081012952783043,0.36878731466174913
SantinhaPlatt2023,ContextSimBaseline,4,P,219,54,0.48581341295598063,0.31557080236325513
SantinhaPlatt2023,ContextSimBaseline,4,P_plus_B,219,54,0.3680007465085526,0.7279969506384599
SantinhaPlatt2023,ContextSimBaseline,4,P_plus_E,219,54,0.5145650052422008,0.684924718886983
SantinhaPlatt2023,ContextSimBaseline,4,P_plus_B_plus_E,219,54,0.6489577527593098,0.7942443300933866
SantinhaPlatt2023,ContextSimBaseline,4,P_plus_B_plus_E_dynamic,219,54,0.5310901500239205,0.8352519637081369
SantinhaPlatt2023,PertMeanPredictor,0,M,218,55,0.19135464533778085,0.3740269925625033
SantinhaPlatt2023,PertMeanPredictor,0,P,218,55,0.19135464533778085,0.3102925792992933
SantinhaPlatt2023,PertMeanPredictor,0,P_plus_B,218,55,0.6118311069347,0.6752525252525253
SantinhaPlatt2023,PertMeanPredictor,0,P_plus_E,218,55,0.7667809471523758,0.7438672438672441
SantinhaPlatt2023,PertMeanPredictor,0,P_plus_B_plus_E,218,55,0.8465512698955245,0.7955266955266956
SantinhaPlatt2023,PertMeanPredictor,0,P_plus_B_plus_E_dynamic,218,55,0.8817348644433605,0.7743867243867245
SantinhaPlatt2023,PertMeanPredictor,1,M,220,53,0.07666483799477762,0.3229283033351452
SantinhaPlatt2023,PertMeanPredictor,1,P,220,53,0.03412441345544382,0.30890179003386553
SantinhaPlatt2023,PertMeanPredictor,1,P_plus_B,220,53,0.7002458219948303,0.702386711820674
SantinhaPlatt2023,PertMeanPredictor,1,P_plus_E,220,53,0.7166370923832153,0.7065795839380745
SantinhaPlatt2023,PertMeanPredictor,1,P_plus_B_plus_E,220,53,0.9184315434847937,0.8032575391065957
SantinhaPlatt2023,PertMeanPredictor,1,P_plus_B_plus_E_dynamic,220,53,0.8953768913961623,0.8254480216163015
SantinhaPlatt2023,PertMeanPredictor,2,M,218,55,0.23785339644709486,0.33198441449411853
SantinhaPlatt2023,PertMeanPredictor,2,P,218,55,0.0684770875993593,0.3528202168722751
SantinhaPlatt2023,PertMeanPredictor,2,P_plus_B,218,55,0.8538331533809234,0.631818181818182
SantinhaPlatt2023,PertMeanPredictor,2,P_plus_E,218,55,0.8162554854215723,0.8172438672438674
SantinhaPlatt2023,PertMeanPredictor,2,P_plus_B_plus_E,218,55,0.8291166194246593,0.7717893217893219
SantinhaPlatt2023,PertMeanPredictor,2,P_plus_B_plus_E_dynamic,218,55,0.8849276124414572,0.8327440673961642
SantinhaPlatt2023,PertMeanPredictor,3,M,217,56,-0.1434704307521423,0.19475995820112946
SantinhaPlatt2023,PertMeanPredictor,3,P,217,56,-0.13574033690466789,0.21825763025837358
SantinhaPlatt2023,PertMeanPredictor,3,P_plus_B,217,56,0.25668751727944367,0.6357593261236876
SantinhaPlatt2023,PertMeanPredictor,3,P_plus_E,217,56,0.37034924081232273,0.6431305536568694
SantinhaPlatt2023,PertMeanPredictor,3,P_plus_B_plus_E,217,56,0.578057631394659,0.6686261107313739
SantinhaPlatt2023,PertMeanPredictor,3,P_plus_B_plus_E_dynamic,217,56,0.6879882005509771,0.7969241285030759
SantinhaPlatt2023,PertMeanPredictor,4,M,219,54,0.3838514133516217,0.3376438009034444
SantinhaPlatt2023,PertMeanPredictor,4,P,219,54,0.39744429489626354,0.34438726891557075
SantinhaPlatt2023,PertMeanPredictor,4,P_plus_B,219,54,0.5129039938709513,0.7283018867924528
SantinhaPlatt2023,PertMeanPredictor,4,P_plus_E,219,54,0.5952617747253494,0.6648751667619591
SantinhaPlatt2023,PertMeanPredictor,4,P_plus_B_plus_E,219,54,0.6277486987420398,0.8075090527920715
SantinhaPlatt2023,PertMeanPredictor,4,P_plus_B_plus_E_dynamic,219,54,0.7431618968173453,0.8699132794674618
SantinhaPlatt2023,V0StrongBaseline,0,M,218,55,0.1451264258994231,0.4092368819979699
SantinhaPlatt2023,V0StrongBaseline,0,P,218,55,0.17937203239412144,0.37857142857142867
SantinhaPlatt2023,V0StrongBaseline,0,P_plus_B,218,55,0.5511616232566805,0.6427849927849929
SantinhaPlatt2023,V0StrongBaseline,0,P_plus_E,218,55,0.871215188621075,0.7389610389610392
SantinhaPlatt2023,V0StrongBaseline,0,P_plus_B_plus_E,218,55,0.871215188621075,0.7650793650793651
SantinhaPlatt2023,V0StrongBaseline,0,P_plus_B_plus_E_dynamic,218,55,0.871215188621075,0.7746753246753249
SantinhaPlatt2023,V0StrongBaseline,1,M,220,53,0.1466981330959225,0.3214732929502373
SantinhaPlatt2023,V0StrongBaseline,1,P,220,53,0.04887225184523267,0.3149492017416545
