context,perturbation,n_cells_noise,n_split_repeats,split_half_rmse_mean,split_half_rmse_sd,split_half_pearson_error_mean,split_half_cosine_error_mean
HepG2,RCL1,109,50,0.11464886835476477,0.006696869944090348,0.0945112398566443,0.09451123985664431
HepG2,RHOQ,149,50,0.08502899302650058,0.008714735549081051,0.8780949947347,0.8780949947347
HepG2,RPL37A,76,50,0.11798861941392691,0.007792009194378147,0.05053394823872541,0.05053394823872536
HepG2,RPL9,63,50,0.14992157385761243,0.007560436857738652,0.07720855574623117,0.0772085557462311
HepG2,RPS13,148,50,0.09344688898379917,0.0069440619468196674,0.036531647246985294,0.03653164724698527
HepG2,RSL1D1,166,50,0.07647855669596433,0.005778784474092702,0.14902128264366143,0.1490212826436615
HepG2,SART3,355,50,0.05709433901014339,0.005602201560476643,0.09852951777108852,0.0985295177710885
HepG2,SEC61A1,110,50,0.10908354428794956,0.010908065650268526,0.09376180003431138,0.09376180003431131
HepG2,SIRT7,242,50,0.06574318150959187,0.004003574449321481,0.48303450374191415,0.4830345037419142
HepG2,SMARCB1,81,50,0.11433506078577388,0.006438513046061067,0.7476916730464731,0.7476916730464731
HepG2,SRP54,118,50,0.1125410293382237,0.009772351765752283,0.0723110171379476,0.07231101713794764
HepG2,TAF8,68,50,0.1524505450030559,0.008589863946793315,0.14061407546442173,0.14061407546442178
HepG2,TFAM,1213,50,0.03167536006054245,0.002250376569536775,0.06682361477015088,0.06682361477015077
HepG2,TTC1,76,50,0.12627986630510027,0.01277771172884186,0.7946538899354572,0.7946538899354572
HepG2,TUBGCP2,64,50,0.14668467604750388,0.01157357815093803,0.5957241282862441,0.5957241282862441
HepG2,USP14,93,50,0.10914054584267165,0.007763534359716478,0.6001960555836852,0.6001960555836853
HepG2,WDR74,79,50,0.1222806997182396,0.00977741113668157,0.27146735447054143,0.2714673544705413
HepG2,YRDC,96,50,0.11138784094854978,0.005903603078085933,0.9793842398169359,0.9793842398169359
Jurkat,ABCF1,145,50,0.10381285439332323,0.00804476504985286,0.40968792669240295,0.40968792669240295
Jurkat,ACTR2,89,50,0.12254724724671666,0.009834597347317599,0.5415646321120466,0.5415646321120465
Jurkat,ADAM10,290,50,0.06959219550174577,0.004423244061872773,0.4304461499432908,0.4304461499432909
Jurkat,ARMC7,168,50,0.08918423830325745,0.006219087893531358,0.2452993244004378,0.2452993244004378
Jurkat,ATP11B,192,50,0.10092548267878444,0.006033703661209038,0.1625491973399164,0.1625491973399165
Jurkat,BAP1,200,50,0.08247586734451978,0.00467362191704959,0.3986090135042248,0.3986090135042248
Jurkat,C17orf58,151,50,0.09231043864489573,0.0055110746042681125,0.24396585348644426,0.24396585348644423
Jurkat,CCNC,82,50,0.1422944631219697,0.015447882334616166,0.22244810675557578,0.2224481067555758
Jurkat,CDIPT,175,50,0.08305017897891409,0.0033536828265779946,0.8774720067500758,0.8774720067500758
Jurkat,CNOT10,100,50,0.1245208284301567,0.00978991260052074,0.4947432258530268,0.4947432258530268
Jurkat,COPS2,66,50,0.1656417398204474,0.011726542967269412,0.3964404475972729,0.39644044759727287
Jurkat,COPZ1,133,50,0.10343525588720398,0.007224877485216805,0.9912979713566314,0.9912979713566312
Jurkat,CSNK2B,149,50,0.11735704230536377,0.008671063152680689,0.16717706378618125,0.1671770637861812
Jurkat,DBR1,155,50,0.10883799212274844,0.009146171716589225,0.15726992845552742,0.15726992845552734
Jurkat,DDX1,116,50,0.10359731382315379,0.004547488216741018,0.6100164079309781,0.6100164079309781
Jurkat,DDX51,295,50,0.07364874237425145,0.0033818995957973735,0.19269908684264792,0.1926990868426479
Jurkat,DHX37,134,50,0.12175671469251545,0.006930480424689633,0.16003217547217627,0.16003217547217638
Jurkat,DNAJC17,79,50,0.14669294983571338,0.010824033638572676,0.13404040503128414,0.13404040503128403
Jurkat,DNAJC19,114,50,0.1048020398549159,0.0060452396760301876,0.688309816459861,0.6883098164598611
Jurkat,DNTTIP2,70,50,0.21118722119360622,0.019051513754153124,0.2679411294397093,0.26794112943970916
Jurkat,DRAP1,141,50,0.09190656438249718,0.004406494864040082,0.24967912893948696,0.24967912893948685
Jurkat,DYNLL2,164,50,0.09236771562979897,0.004099311277891985,0.6660957049734273,0.6660957049734273
Jurkat,EHMT2,125,50,0.14090906213916046,0.008400408999979,0.1952855095073566,0.1952855095073566
Jurkat,EIF2B1,257,50,0.08102999820969475,0.00452161905996059,0.07230401346974218,0.07230401346974227
Jurkat,ELL,92,50,0.16512771690596728,0.017771028176725285,0.10267707854893651,0.10267707854893658
Jurkat,ELP3,210,50,0.08281438529130886,0.006009640714883905,0.159337283655183,0.15933728365518307
Jurkat,ENY2,102,50,0.1168883489981717,0.0066854515028933565,0.345375208483088,0.345375208483088
Jurkat,ESF1,238,50,0.08265710861299916,0.0034542580361046522,0.1847883584237691,0.1847883584237691
Jurkat,EXOC5,102,50,0.13366394460101996,0.009766155822230007,0.31680676458970525,0.3168067645897053
Jurkat,EXOSC7,74,50,0.22269748382951668,0.01367670683871446,0.3072383413423735,0.3072383413423735
Jurkat,FCF1,86,50,0.16433066282384867,0.011168457714219288,0.27472600432790767,0.2747260043279077
Jurkat,GINS1,238,50,0.0714331895204447,0.004323308779531298,0.11764469850601769,0.11764469850601754
Jurkat,GNB1L,139,50,0.1035227518053311,0.008061894744497153,0.8310750099916702,0.8310750099916702
Jurkat,GON4L,101,50,0.12169816379932769,0.010347898056231531,0.662541058282859,0.662541058282859
Jurkat,GTF2F2,121,50,0.1350242057335971,0.007406598123821406,0.1810797359571794,0.18107973595717936
Jurkat,IGBP1,72,50,0.1570302260473824,0.009858616724489396,0.5934344058489127,0.5934344058489127
Jurkat,INO80C,188,50,0.08080385460068847,0.004764226780566555,0.3696272114780947,0.3696272114780947
Jurkat,IST1,122,50,0.09909056858170956,0.00644804242190393,0.612712981355982,0.612712981355982
Jurkat,KIF18B,90,50,0.12738285033542313,0.0064762064164077,0.478021560838865,0.478021560838865
Jurkat,LAMTOR1,293,50,0.06400872888067063,0.0033195316488005334,0.35897403174920656,0.35897403174920656
Jurkat,LSG1,167,50,0.09787956386379394,0.007230768181570566,0.22405094303145467,0.22405094303145462
Jurkat,LSM12,108,50,0.11555764994215545,0.00830394862318288,0.4853731025612696,0.4853731025612696
Jurkat,MED11,95,50,0.19287256576968903,0.017212879133536692,0.17904570089365404,0.17904570089365401
Jurkat,MICOS10,150,50,0.09335959858821548,0.0060058798671154745,0.3644787892643976,0.3644787892643976
Jurkat,MKRN1,181,50,0.08808083944190788,0.005961237787531764,0.8333905557726099,0.8333905557726098
Jurkat,MNAT1,145,50,0.11800832572546857,0.007036684474705941,0.21538625160790809,0.21538625160790814
Jurkat,MPHOSPH6,263,50,0.07763901183583025,0.005603634334103594,0.23710384938480417,0.2371038493848042
Jurkat,MRPL24,147,50,0.10407244933355676,0.005483422226643305,0.32490439439242585,0.3249043943924259
Jurkat,MRPL38,131,50,0.11260387469090925,0.008237318298925458,0.3472953222098914,0.3472953222098913
Jurkat,MRPL41,151,50,0.09187852237790942,0.003679183088940448,0.2124068113442482,0.2124068113442482
Jurkat,MRPL54,156,50,0.09337620766888481,0.004457025340995909,0.48364965316715186,0.4836496531671518
Jurkat,MTG2,182,50,0.0867826210550157,0.005048920141313465,0.439474804770943,0.439474804770943
Jurkat,NAA50,73,50,0.1475945678396558,0.012315221542199646,0.5315555104002503,0.5315555104002503
Jurkat,NOL11,151,50,0.11925078486451364,0.005708363169869826,0.1621363472478087,0.1621363472478086
Jurkat,NPLOC4,136,50,0.11772846090096344,0.011942495708836421,0.10417563454988389,0.10417563454988392
Jurkat,PFN1,133,50,0.09697053695061303,0.00541294305692701,0.17864219589427677,0.17864219589427688
Jurkat,PNN,94,50,0.13093407657532677,0.006909421804284072,0.30036755369254864,0.30036755369254864
Jurkat,POLRMT,190,50,0.09805704265167652,0.006988486173479737,0.02572173383186237,0.025721733831862395
Jurkat,PPIA,140,50,0.0977509579093452,0.004586334010326069,0.19152020277581655,0.19152020277581655
Jurkat,PPP6C,1186,50,0.0351638338874185,0.002587912373809303,0.11779733694078845,0.11779733694078841
Jurkat,RBM15,134,50,0.10405816852234069,0.006058004545990339,0.5621530811493574,0.5621530811493574
Jurkat,RCL1,199,50,0.10331930103994043,0.005303441389748411,0.1270943618932583,0.1270943618932583
Jurkat,RHOQ,313,50,0.06643911671823839,0.0039505255427581,0.8909425018130241,0.8909425018130241
Jurkat,RPL37A,68,50,0.1701205264140884,0.011569135523534071,0.18158247605767935,0.18158247605767946
Jurkat,RPL7L1,76,50,0.16679378914125734,0.007245279647168444,0.31420667946013137,0.3142066794601314
Jurkat,RPP14,224,50,0.09260202250183176,0.003935465948575077,0.18738207998829762,0.18738207998829762
Jurkat,RPS13,290,50,0.08650584542094103,0.004391743489442577,0.04216182596613752,0.04216182596613745
Jurkat,RSL1D1,274,50,0.07845928299319492,0.005527125908444008,0.2388922776551786,0.23889227765517873
Jurkat,SART3,201,50,0.08919272532399408,0.006293523320115082,0.11208128350888265,0.11208128350888254
Jurkat,SEC61A1,163,50,0.10689741069350749,0.015470013655287506,0.22382224889849034,0.2238222488984903
Jurkat,SIRT7,271,50,0.08470538343243357,0.007199054286703401,0.10254246470395328,0.10254246470395323
Jurkat,SKA3,93,50,0.12708155276828148,0.008893254855146405,0.6314983794980161,0.6314983794980161
Jurkat,SMARCB1,204,50,0.07896956985813695,0.006089899168888311,0.5556343973228275,0.5556343973228275
Jurkat,SRP54,171,50,0.10889809831420774,0.0073496604196219475,0.16004837092430563,0.16004837092430563
Jurkat,TACC3,148,50,0.09608478117755812,0.005216626665672686,0.71867517742735,0.71867517742735
Jurkat,TAF10,120,50,0.1657829606471576,0.009482504933564496,0.15359862978353905,0.15359862978353905
Jurkat,TAF8,174,50,0.1409736129008552,0.00941519100872077,0.0989098572788534,0.09890985727885336
Jurkat,TAZ,92,50,0.12768188776161002,0.005507652929725121,0.5741747388313816,0.5741747388313817
Jurkat,TFAM,2555,50,0.026555032023099227,0.0015977712504324328,0.005895631407848592,0.005895631407848625
Jurkat,TGS1,157,50,0.09380665179574152,0.007390456461781568,0.2708196238893004,0.2708196238893005
Jurkat,TTC1,173,50,0.09943563923817061,0.00768017186557528,0.15633546105033988,0.15633546105033988
Jurkat,UBE2L3,101,50,0.12058529188736065,0.008042112861672376,0.5359362568944015,0.5359362568944014
Jurkat,USP14,175,50,0.09193717342158396,0.007522944169663466,0.2404162765612239,0.24041627656122394
Jurkat,WDR74,138,50,0.1092220198524725,0.005898521971083148,0.49169363434389024,0.4916936343438902
Jurkat,WDR75,149,50,0.1218640234533212,0.008461112638344596,0.14063706297381012,0.1406370629738101
Jurkat,YRDC,226,50,0.07694152746119994,0.004532179192283683,0.6047929018494087,0.6047929018494088
