perturbation,guide_id,n_guide_cells,target_split,cell_count_quartile,selection_hash,task_id,target_cluster_id,truth_access_phase,primary_task_unit,selection_used_expression_matrix_or_truth_effect,effect_asset_key,pretruth_x_access,family_diversity_lower,family_radius,family_diameter,worst_member_lower,two_architecture_mean_lower,registered_family_centroid_magnitude,scgpt_seed_spread,gears_seed_spread,constant_centroid_base,calibration_or_evaluation_truth_present,registered_family_size,learned_or_adaptive_upper_fitted
CPEB2,CPEB2_1,24,prospective_evaluation,Q1_low,cf5dfbc91a59f29b5a596da70e906ab2ce6d944e6b131d8734f2c430dfc2d49b,E182::CPEB2::CPEB2_1,CPEB2,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False,,QUERY_ONLY,0.071384477401881474,0.18061584118345755,0.21861588181532421,0.1093079409076621,0.034332418433142685,0.033579854912269606,0.083643078804016113,0.02894638292491436,0,False,10,False
CPEB2,CPEB2_2,12,prospective_evaluation,Q1_low,cf5dfbc91a59f29b5a596da70e906ab2ce6d944e6b131d8734f2c430dfc2d49b,E182::CPEB2::CPEB2_2,CPEB2,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False,,QUERY_ONLY,0.071384477401881474,0.18061584118345755,0.21861588181532421,0.1093079409076621,0.034332418433142685,0.033579854912269606,0.083643078804016113,0.02894638292491436,0,False,10,False
CSTF2T,CSTF2T_1,15,conformal_calibration,Q1_low,ad73b6dc5f70f476f547d1802d1f7302de0bafecc4d9f00dc0dcb2759fd0b90b,E182::CSTF2T::CSTF2T_1,CSTF2T,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False,,QUERY_ONLY,0.071731131997529216,0.18159915685009503,0.21856690520579986,0.10928345260289993,0.035895497607115537,0.033303161109851036,0.083615884184837341,0.026872312650084496,0,False,10,False
CSTF2T,CSTF2T_2,21,conformal_calibration,Q1_low,ad73b6dc5f70f476f547d1802d1f7302de0bafecc4d9f00dc0dcb2759fd0b90b,E182::CSTF2T::CSTF2T_2,CSTF2T,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False,,QUERY_ONLY,0.071731131997529216,0.18159915685009503,0.21856690520579986,0.10928345260289993,0.035895497607115537,0.033303161109851036,0.083615884184837341,0.026872312650084496,0,False,10,False
DAZAP1,DAZAP1_1,70,supervised_train,Q4_high,135baef1e1afc4d12bb69734d6491403eb341a3135d2d05b1a3f5e4bb97c6e18,E182::DAZAP1::DAZAP1_1,DAZAP1,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False,E182::DAZAP1::DAZAP1_1,SEEN_TARGET_EFFECT_AVAILABLE,0.07012230448664572,0.17656387642832655,0.21857443137445678,0.10928721568722839,0.032271273490282464,0.039372586655553612,0.083657585084438324,0.02743745781481266,0,False,10,False
DAZAP1,DAZAP1_2,34,supervised_train,Q4_high,135baef1e1afc4d12bb69734d6491403eb341a3135d2d05b1a3f5e4bb97c6e18,E182::DAZAP1::DAZAP1_2,DAZAP1,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False,E182::DAZAP1::DAZAP1_2,SEEN_TARGET_EFFECT_AVAILABLE,0.07012230448664572,0.17656387642832655,0.21857443137445678,0.10928721568722839,0.032271273490282464,0.039372586655553612,0.083657585084438324,0.02743745781481266,0,False,10,False
DDX3X,DDX3X_1,23,model_validation,Q3,4b60394558f692272cfaa8af9be3a8cf2b7d51ba60d11ad52c2a0cc832be26c8,E182::DDX3X::DDX3X_1,DDX3X,F2_PRETRUTH_VALIDATION,guide_replicate_effect_vs_negative_guide_controls,False,E182::DDX3X::DDX3X_1,SEEN_TARGET_EFFECT_AVAILABLE,0.072557653559539623,0.17794118838907824,0.21869939904490729,0.10934969952245364,0.032333704023266123,0.037024963842501972,0.083692990243434906,0.037865191698074341,0,False,10,False
DDX3X,DDX3X_2,23,model_validation,Q3,4b60394558f692272cfaa8af9be3a8cf2b7d51ba60d11ad52c2a0cc832be26c8,E182::DDX3X::DDX3X_2,DDX3X,F2_PRETRUTH_VALIDATION,guide_replicate_effect_vs_negative_guide_controls,False,E182::DDX3X::DDX3X_2,SEEN_TARGET_EFFECT_AVAILABLE,0.072588907693087748,0.17792849686958012,0.21869939904490729,0.10934969952245364,0.032374229484501582,0.037104078801123611,0.083692990243434906,0.037915706634521484,0,False,10,False
DDX42,DDX42_1,35,prospective_evaluation,Q2,c364e314190adc5bb8b8e07d230343630513f46fd70a8e6bc9789c6889931797,E182::DDX42::DDX42_1,DDX42,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False,,QUERY_ONLY,0.074088223815451798,0.17962323310572831,0.21955323280609013,0.10977661640304506,0.032635987303318834,0.033939857876963971,0.083658561110496521,0.043001856654882431,0,False,10,False
DDX42,DDX42_2,7,prospective_evaluation,Q2,c364e314190adc5bb8b8e07d230343630513f46fd70a8e6bc9789c6889931797,E182::DDX42::DDX42_2,DDX42,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False,,QUERY_ONLY,0.074088223815451798,0.17962323310572831,0.21955323280609013,0.10977661640304506,0.032635987303318834,0.033939857876963971,0.083658561110496521,0.043001856654882431,0,False,10,False
DDX55,DDX55_1,37,supervised_train,Q3,38f767ccb61c4fda665beac9d82694ba85b8dec62b2986608460577aab61701f,E182::DDX55::DDX55_1,DDX55,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False,E182::DDX55::DDX55_1,SEEN_TARGET_EFFECT_AVAILABLE,0.071726769206314225,0.17757774450705646,0.21865126193471804,0.10932563096735902,0.032853456247782971,0.037751480577795635,0.083703696727752686,0.033532824367284775,0,False,10,False
DDX55,DDX55_2,16,supervised_train,Q3,38f767ccb61c4fda665beac9d82694ba85b8dec62b2986608460577aab61701f,E182::DDX55::DDX55_2,DDX55,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False,E182::DDX55::DDX55_2,SEEN_TARGET_EFFECT_AVAILABLE,0.071726769206314225,0.17757774450705646,0.21865126193471804,0.10932563096735902,0.032853456247782971,0.037751480577795635,0.083703696727752686,0.033532824367284775,0,False,10,False
DDX6,DDX6_1,23,prospective_evaluation,Q2,d4b6c581a4a976986029a5dc6fd1a4d0785d96dbd729a939dd0dc2cf4efbc782,E182::DDX6::DDX6_1,DDX6,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False,,QUERY_ONLY,0.074217575392736504,0.17963909320250129,0.2191052316261059,0.10955261581305295,0.032821646634284447,0.034103577841391272,0.083687014877796173,0.043109863996505737,0,False,10,False
DDX6,DDX6_2,17,prospective_evaluation,Q2,d4b6c581a4a976986029a5dc6fd1a4d0785d96dbd729a939dd0dc2cf4efbc782,E182::DDX6::DDX6_2,DDX6,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False,,QUERY_ONLY,0.074217575392736504,0.17963909320250129,0.2191052316261059,0.10955261581305295,0.032821646634284447,0.034103577841391272,0.083687014877796173,0.043109863996505737,0,False,10,False
DGCR8,DGCR8_1,26,supervised_train,Q3,09c6b75352eeb0e0ff7e0ff838f763ac87a03e8c864688c90a073cc6e39d468f,E182::DGCR8::DGCR8_1,DGCR8,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False,E182::DGCR8::DGCR8_1,SEEN_TARGET_EFFECT_AVAILABLE,0.074291752128967506,0.18063446116872722,0.21942459770555295,0.10971229885277647,0.037749458472162864,0.038768184002405545,0.083690419793128967,0.034415103495121002,0,False,10,False
DGCR8,DGCR8_2,21,supervised_train,Q3,09c6b75352eeb0e0ff7e0ff838f763ac87a03e8c864688c90a073cc6e39d468f,E182::DGCR8::DGCR8_2,DGCR8,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False,E182::DGCR8::DGCR8_2,SEEN_TARGET_EFFECT_AVAILABLE,0.074291752128967506,0.18063446116872722,0.21942459770555295,0.10971229885277647,0.037749458472162864,0.038768184002405545,0.083690419793128967,0.034415103495121002,0,False,10,False
DROSHA,DROSHA_1,16,supervised_train,Q1_low,2571a8df5f907c1894eb027cbabe36582f04daa1651d9b44728c6183faff8375,E182::DROSHA::DROSHA_1,DROSHA,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False,E182::DROSHA::DROSHA_1,SEEN_TARGET_EFFECT_AVAILABLE,0.077798232426023725,0.18197785462536137,0.22788920693601891,0.11394460346800946,0.043012392627151189,0.042380175660173137,0.083664551377296448,0.037486542016267776,0,False,10,False
DROSHA,DROSHA_2,20,supervised_train,Q1_low,2571a8df5f907c1894eb027cbabe36582f04daa1651d9b44728c6183faff8375,E182::DROSHA::DROSHA_2,DROSHA,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False,E182::DROSHA::DROSHA_2,SEEN_TARGET_EFFECT_AVAILABLE,0.077798232426023725,0.18197785462536137,0.22788920693601891,0.11394460346800946,0.043012392627151189,0.042380175660173137,0.083664551377296448,0.037486542016267776,0,False,10,False
EIF4G2,EIF4G2_1,13,prospective_evaluation,Q1_low,d3fefe7c842473a3f940bccccb24700fa067edb7f8abe872f88731fcdffee346,E182::EIF4G2::EIF4G2_1,EIF4G2,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False,,QUERY_ONLY,0.073742575894145179,0.1789307015867013,0.21862295596869291,0.10931147798434646,0.032445692351100806,0.035233872160543654,0.083647191524505615,0.042114563286304474,0,False,10,False
EIF4G2,EIF4G2_2,21,prospective_evaluation,Q1_low,d3fefe7c842473a3f940bccccb24700fa067edb7f8abe872f88731fcdffee346,E182::EIF4G2::EIF4G2_2,EIF4G2,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False,,QUERY_ONLY,0.073742575894145179,0.1789307015867013,0.21862295596869291,0.10931147798434646,0.032445692351100806,0.035233872160543654,0.083647191524505615,0.042114563286304474,0,False,10,False
EWSR1,EWSR1_1,20,supervised_train,Q1_low,46cd75b99495993e7b5fc41a09ba7a926545b781e65e6bee377a59cc154acab3,E182::EWSR1::EWSR1_1,EWSR1,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False,E182::EWSR1::EWSR1_1,SEEN_TARGET_EFFECT_AVAILABLE,0.078494124649529123,0.17917707202270369,0.229109430052443,0.1145547150262215,0.041836258173535458,0.046651838270100908,0.083676233887672424,0.042666126042604446,0,False,10,False
EWSR1,EWSR1_2,5,supervised_train,Q1_low,46cd75b99495993e7b5fc41a09ba7a926545b781e65e6bee377a59cc154acab3,E182::EWSR1::EWSR1_2,EWSR1,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False,E182::EWSR1::EWSR1_2,SEEN_TARGET_EFFECT_AVAILABLE,0.078494124649529123,0.17917707202270369,0.229109430052443,0.1145547150262215,0.041836258173535458,0.046651838270100908,0.083676233887672424,0.042666126042604446,0,False,10,False
FAM120A,FAM120A_1,46,conformal_calibration,Q4_high,97a55892c7d6b969383da288ba33cdf4e22235488ba672e41755c99c699fe526,E182::FAM120A::FAM120A_1,FAM120A,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False,,QUERY_ONLY,0.072622899600554208,0.18282498570410155,0.21865922958574335,0.10932961479287168,0.037542572637032465,0.032817319994379687,0.083672448992729187,0.026985228061676025,0,False,10,False
FAM120A,FAM120A_2,28,conformal_calibration,Q4_high,97a55892c7d6b969383da288ba33cdf4e22235488ba672e41755c99c699fe526,E182::FAM120A::FAM120A_2,FAM120A,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False,,QUERY_ONLY,0.072675574331296205,0.18282214541999633,0.21865922958574335,0.10932961479287168,0.03761488520936293,0.032912752974641378,0.083672448992729187,0.027067322283983231,0,False,10,False
FASTKD2,FASTKD2_1,19,conformal_calibration,Q3,6cae2ac6ba0541172d40650e957b6e1472a08fb053eb57e7133b540bca6907c4,E182::FASTKD2::FASTKD2_1,FASTKD2,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False,,QUERY_ONLY,0.072567887434692474,0.18013136879960151,0.21851385666790521,0.1092569283339526,0.033516007165379953,0.033404190143037256,0.083642087876796722,0.035910326987504959,0,False,10,False
FASTKD2,FASTKD2_2,30,conformal_calibration,Q3,6cae2ac6ba0541172d40650e957b6e1472a08fb053eb57e7133b540bca6907c4,E182::FASTKD2::FASTKD2_2,FASTKD2,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False,,QUERY_ONLY,0.072567887434692474,0.18013136879960151,0.21851385666790521,0.1092569283339526,0.033516007165379953,0.033404190143037256,0.083642087876796722,0.035910326987504959,0,False,10,False
FTO,FTO_1,49,model_validation,Q4_high,63e39568c3675828a4e2b9476e9df03c17fed4d85828e91deaa7c053a758aa88,E182::FTO::FTO_1,FTO,F2_PRETRUTH_VALIDATION,guide_replicate_effect_vs_negative_guide_controls,False,E182::FTO::FTO_1,SEEN_TARGET_EFFECT_AVAILABLE,0.072689296028310785,0.17986509150516,0.21852486691954698,0.10926243345977349,0.03340245625990354,0.034556194997624932,0.083639606833457947,0.036611955612897873,0,False,10,False
FTO,FTO_2,30,model_validation,Q4_high,63e39568c3675828a4e2b9476e9df03c17fed4d85828e91deaa7c053a758aa88,E182::FTO::FTO_2,FTO,F2_PRETRUTH_VALIDATION,guide_replicate_effect_vs_negative_guide_controls,False,E182::FTO::FTO_2,SEEN_TARGET_EFFECT_AVAILABLE,0.072689296028310785,0.17986509150516,0.21852486691954698,0.10926243345977349,0.03340245625990354,0.034556194997624932,0.083639606833457947,0.036611955612897873,0,False,10,False
FXR1,FXR1_1,23,supervised_train,Q2,2912d0f4fc0b498d7da0c1943d4391e40a70da7702d908ed2256c3d4637de0a2,E182::FXR1::FXR1_1,FXR1,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False,E182::FXR1::FXR1_1,SEEN_TARGET_EFFECT_AVAILABLE,0.075713603211443478,0.18332808250167687,0.23229235298341469,0.11614617649170735,0.040646186719651423,0.039190383907663322,0.083683446049690247,0.034028753638267517,0,False,10,False
FXR1,FXR1_2,19,supervised_train,Q2,2912d0f4fc0b498d7da0c1943d4391e40a70da7702d908ed2256c3d4637de0a2,E182::FXR1::FXR1_2,FXR1,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False,E182::FXR1::FXR1_2,SEEN_TARGET_EFFECT_AVAILABLE,0.075713603211443478,0.18332808250167687,0.23229235298341469,0.11614617649170735,0.040646186719651423,0.039190383907663322,0.083683446049690247,0.034028753638267517,0,False,10,False
FXR2,FXR2_1,40,prospective_evaluation,Q3,e4b1e3c430f0271669fca04ab47ecd595c1c3b9e650016316d4398c790df51ac,E182::FXR2::FXR2_1,FXR2,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False,,QUERY_ONLY,0.075099369256252296,0.18055375032239443,0.2193708851916904,0.1096854425958452,0.033813247416658296,0.033491660578429679,0.083667971193790436,0.044641114771366119,0,False,10,False
FXR2,FXR2_2,18,prospective_evaluation,Q3,e4b1e3c430f0271669fca04ab47ecd595c1c3b9e650016316d4398c790df51ac,E182::FXR2::FXR2_2,FXR2,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False,,QUERY_ONLY,0.075099369256252296,0.18055375032239443,0.2193708851916904,0.1096854425958452,0.033813247416658296,0.033491660578429679,0.083667971193790436,0.044641114771366119,0,False,10,False
GPKOW,GPKOW_1,36,conformal_calibration,Q4_high,b2b74681cbc71f55925f2f14be489235e40acee6cde654c69c692d7d62ecc826,E182::GPKOW::GPKOW_1,GPKOW,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False,,QUERY_ONLY,0.073463991974855286,0.18007160140415496,0.21871636069900752,0.10935818034950376,0.03403161741032272,0.034710367296359484,0.083676844835281372,0.038416139781475067,0,False,10,False
GPKOW,GPKOW_2,26,conformal_calibration,Q4_high,b2b74681cbc71f55925f2f14be489235e40acee6cde654c69c692d7d62ecc826,E182::GPKOW::GPKOW_2,GPKOW,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False,,QUERY_ONLY,0.073463991974855286,0.18007160140415496,0.21871636069900752,0.10935818034950376,0.03403161741032272,0.034710367296359484,0.083676844835281372,0.038416139781475067,0,False,10,False
GTF2F1,GTF2F1_1,42,supervised_train,Q4_high,3848d6310a085e473964efde6ff36496253a15dff4e87c3b508f13fcd44d34d7,E182::GTF2F1::GTF2F1_1,GTF2F1,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False,E182::GTF2F1::GTF2F1_1,SEEN_TARGET_EFFECT_AVAILABLE,0.071160633786937155,0.17768613912386946,0.21842731915355607,0.10921365957677803,0.033845652868691428,0.039424908321605542,0.083668477833271027,0.028917133808135986,0,False,10,False
GTF2F1,GTF2F1_2,26,supervised_train,Q4_high,3848d6310a085e473964efde6ff36496253a15dff4e87c3b508f13fcd44d34d7,E182::GTF2F1::GTF2F1_2,GTF2F1,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False,E182::GTF2F1::GTF2F1_2,SEEN_TARGET_EFFECT_AVAILABLE,0.071160633786937155,0.17768613912386946,0.21842731915355607,0.10921365957677803,0.033845652868691428,0.039424908321605542,0.083668477833271027,0.028917133808135986,0,False,10,False
HNRNPC,HNRNPC_1,31,prospective_evaluation,Q2,c54c24b0bd2221621ead4cbc32fdeddb49d1e0fba5776ba22ccd4af9d3eb0ab9,E182::HNRNPC::HNRNPC_1,HNRNPC,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False,,QUERY_ONLY,0.072249553878617437,0.18036853944755124,0.21866716294984717,0.10933358147492359,0.034871004192722432,0.035118396164435246,0.083674058318138123,0.03172813355922699,0,False,10,False
HNRNPC,HNRNPC_2,5,prospective_evaluation,Q2,c54c24b0bd2221621ead4cbc32fdeddb49d1e0fba5776ba22ccd4af9d3eb0ab9,E182::HNRNPC::HNRNPC_2,HNRNPC,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False,,QUERY_ONLY,0.072249553878617437,0.18036853944755124,0.21866716294984717,0.10933358147492359,0.034871004192722432,0.035118396164435246,0.083674058318138123,0.03172813355922699,0,False,10,False
HNRNPK,HNRNPK_1,17,conformal_calibration,Q1_low,a178ba97cbe1586d767cc2230845c2637ed66a96b6e4cecf2db12ef931794b16,E182::HNRNPK::HNRNPK_1,HNRNPK,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False,,QUERY_ONLY,0.072700169404542367,0.1799430373339618,0.21856978901564078,0.10928489450782039,0.034191604529193904,0.035493560509096619,0.083625376224517822,0.035203620791435242,0,False,10,False
HNRNPK,HNRNPK_2,9,conformal_calibration,Q1_low,a178ba97cbe1586d767cc2230845c2637ed66a96b6e4cecf2db12ef931794b16,E182::HNRNPK::HNRNPK_2,HNRNPK,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False,,QUERY_ONLY,0.072783483311157041,0.17995865938851166,0.21856978901564078,0.10928489450782039,0.034259789967267348,0.035541098299158989,0.083625376224517822,0.035414710640907288,0,False,10,False
HNRNPM,HNRNPM_1,21,prospective_evaluation,Q3,a6d576632286bd1a3faf785c2987455eeacc80b4cce59940d4049bcf4b2d7e3e,E182::HNRNPM::HNRNPM_1,HNRNPM,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False,,QUERY_ONLY,0.074045503945478902,0.18049971776528248,0.21993301630528272,0.10996650815264136,0.034771378015897962,0.034191076542303328,0.083708189427852631,0.039246845990419388,0,False,10,False
HNRNPM,HNRNPM_2,23,prospective_evaluation,Q3,a6d576632286bd1a3faf785c2987455eeacc80b4cce59940d4049bcf4b2d7e3e,E182::HNRNPM::HNRNPM_2,HNRNPM,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False,,QUERY_ONLY,0.074045503945478902,0.18049971776528248,0.21993301630528272,0.10996650815264136,0.034771378015897962,0.034191076542303328,0.083708189427852631,0.039246845990419388,0,False,10,False
IGF2BP1,IGF2BP1_1,18,supervised_train,Q4_high,2e90f6e8abe2746ed9e9bb4165b2ea7eb719bfa1ac9a2e160a3ebe5a6d1ec572,E182::IGF2BP1::IGF2BP1_1,IGF2BP1,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False,E182::IGF2BP1::IGF2BP1_1,SEEN_TARGET_EFFECT_AVAILABLE,0.071963689315657581,0.17851167741848636,0.21859184077127231,0.10929592038563615,0.033701360387905478,0.037016610578325317,0.083676502108573914,0.032927569001913071,0,False,10,False
IGF2BP1,IGF2BP1_2,47,supervised_train,Q4_high,2e90f6e8abe2746ed9e9bb4165b2ea7eb719bfa1ac9a2e160a3ebe5a6d1ec572,E182::IGF2BP1::IGF2BP1_2,IGF2BP1,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False,E182::IGF2BP1::IGF2BP1_2,SEEN_TARGET_EFFECT_AVAILABLE,0.071963689315657581,0.17851167741848636,0.21859184077127231,0.10929592038563615,0.033701360387905478,0.037016610578325317,0.083676502108573914,0.032927569001913071,0,False,10,False
IGF2BP3,IGF2BP3_1,13,supervised_train,Q1_low,32d051c2631ec7a5a4244152d169dafbaf7aa2dfed95ac532a6144e0e196729c,E182::IGF2BP3::IGF2BP3_1,IGF2BP3,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False,E182::IGF2BP3::IGF2BP3_1,SEEN_TARGET_EFFECT_AVAILABLE,0.075940933242846925,0.17825167478234666,0.21867494909051405,0.10933747454525702,0.039610390441694836,0.046235850173097073,0.083670049905776978,0.037355154752731323,0,False,10,False
